Date,symbol,open,high,low,close,deliverable volume,deliverable_percentage,volume
2021-09-01,63MOONS,95.15,95.15,92.25,93.15,25347,0.5810000000000001,43628
2021-09-02,63MOONS,92.55,97.8,92.55,94.8,49622,0.3298,150447
2021-09-03,63MOONS,93.75,99.45,93.75,96.8,75668,0.5548,136393
2021-09-06,63MOONS,97.5,99.0,93.65,95.95,44649,0.32520000000000004,137290
2021-09-07,63MOONS,98.0,98.05,94.15,94.9,24312,0.7105,34217
2021-09-08,63MOONS,94.9,96.0,93.25,94.0,26014,0.6973999999999999,37303
2021-09-09,63MOONS,93.8,96.45,92.95,95.8,26323,0.5795,45423
2021-09-13,63MOONS,92.1,94.9,92.1,93.25,22717,0.5971000000000001,38046
2021-09-14,63MOONS,93.4,97.4,93.4,96.0,37555,0.6485,57908
2021-09-15,63MOONS,96.75,97.9,95.0,95.35,25527,0.6494,39307
2021-09-16,63MOONS,95.5,97.25,93.7,95.15,48508,0.639,75910
2021-09-17,63MOONS,95.05,96.0,93.8,94.85,30242,0.49460000000000004,61146
2021-09-20,63MOONS,94.05,95.9,92.05,92.9,27756,0.5777,48042
2021-09-21,63MOONS,93.5,94.2,91.5,92.3,20307,0.6319,32137
2021-09-22,63MOONS,92.45,95.4,92.0,94.1,28936,0.5935,48756
2021-09-23,63MOONS,94.5,95.9,92.5,93.1,31022,0.7406999999999999,41884
2021-09-24,63MOONS,93.8,93.9,90.45,92.35,30730,0.6792,45244
2021-09-27,63MOONS,91.7,96.95,91.7,93.6,56394,0.6634000000000001,85004
2021-09-28,63MOONS,94.0,94.95,92.05,93.75,23839,0.5882000000000001,40527
2021-09-29,63MOONS,93.8,93.8,91.0,93.0,25570,0.5835,43820
2021-09-30,63MOONS,93.0,94.35,92.25,92.8,22270,0.631,35295
2021-10-01,63MOONS,92.5,93.0,91.85,92.15,24765,0.6754000000000001,36669
2021-10-04,63MOONS,92.85,93.3,91.8,92.2,52134,0.7095999999999999,73468
2021-10-05,63MOONS,92.15,96.15,91.5,94.05,52313,0.48369999999999996,108151
2021-10-06,63MOONS,94.75,95.75,92.2,92.9,54621,0.6501,84025
2021-10-07,63MOONS,94.0,96.25,93.05,95.35,46122,0.49600000000000005,92995
2021-10-08,63MOONS,95.5,104.85,94.5,104.85,377875,0.4582,824778
2021-10-11,63MOONS,104.85,111.35,101.4,107.4,405778,0.5202,780023
2021-10-12,63MOONS,108.4,108.4,102.8,105.75,116122,0.5417000000000001,214376
2021-10-13,63MOONS,106.95,106.95,102.0,102.7,95109,0.7046,134974
2021-10-14,63MOONS,103.6,105.75,100.0,100.5,73562,0.5592,131537
2021-10-18,63MOONS,102.0,105.5,100.85,101.75,60012,0.5438000000000001,110352
2021-10-19,63MOONS,101.5,103.4,99.0,99.8,52485,0.6045,86828
2021-10-20,63MOONS,101.15,101.15,97.9,98.45,42009,0.6015,69840
2021-10-21,63MOONS,99.0,101.1,96.0,96.8,33591,0.5995,56028
2021-10-22,63MOONS,96.15,102.25,95.45,97.6,64925,0.4294,151201
2021-10-25,63MOONS,98.5,98.5,93.55,94.15,60699,0.6445000000000001,94175
2021-10-26,63MOONS,94.9,95.7,93.5,93.95,42598,0.6903,61711
2021-10-27,63MOONS,94.55,97.9,94.0,94.1,53399,0.6415000000000001,83244
2021-10-28,63MOONS,93.0,94.65,91.65,92.0,44037,0.7636000000000001,57668
2021-10-29,63MOONS,92.05,93.9,90.55,91.3,31332,0.5381,58224
2021-11-01,63MOONS,92.15,97.8,91.85,96.5,85149,0.6915000000000001,123134
2021-11-02,63MOONS,97.35,99.0,95.1,98.3,58662,0.7478,78448
2021-11-03,63MOONS,98.3,101.25,97.1,98.3,47040,0.6143,76570
2021-11-04,63MOONS,98.95,99.25,98.15,98.45,11070,0.738,15000
2021-11-08,63MOONS,101.9,101.9,97.1,98.0,42148,0.7064,59663
2021-11-09,63MOONS,97.3,100.85,97.3,99.0,39936,0.7877,50699
2021-11-10,63MOONS,98.7,101.8,97.05,98.75,29368,0.4491,65391
2021-11-11,63MOONS,98.5,101.55,98.1,100.9,43368,0.6820999999999999,63583
2021-11-12,63MOONS,102.0,104.9,100.4,102.95,132026,0.6957,189787
2021-11-15,63MOONS,103.9,108.9,103.5,106.95,223729,0.511,437789
2021-11-16,63MOONS,108.4,117.6,106.5,117.6,560828,0.4966,1129241
2021-11-17,63MOONS,120.0,129.35,119.5,129.35,574881,0.5755,998842
2021-11-18,63MOONS,135.8,135.8,122.9,122.9,676597,0.4098,1651230
2021-11-22,63MOONS,121.55,121.55,116.8,116.8,137985,0.5835,236496
2021-11-23,63MOONS,111.0,121.15,111.0,115.5,246710,0.3282,751778
2021-11-24,63MOONS,114.5,118.6,111.1,113.75,107427,0.4291,250336
2021-11-25,63MOONS,117.5,117.5,112.5,113.4,54270,0.5035000000000001,107789
2021-11-26,63MOONS,112.6,112.6,107.75,107.95,110042,0.6219,176934
2021-11-29,63MOONS,106.3,110.5,103.05,104.2,45536,0.49,92933
2021-11-30,63MOONS,104.0,107.85,103.5,105.2,47530,0.4744,100181
2021-12-01,63MOONS,106.95,110.45,105.5,110.45,200191,0.7321,273454
2021-12-02,63MOONS,115.95,115.95,115.95,115.95,62767,0.935,67128
2021-12-03,63MOONS,121.7,121.7,121.7,121.7,26303,1.0,26303
2021-12-06,63MOONS,127.75,127.75,127.75,127.75,51999,1.0,51999
2021-12-07,63MOONS,140.5,140.5,140.5,140.5,151473,1.0,151473
2021-12-08,63MOONS,154.55,154.55,141.5,154.55,620430,0.6078,1020757
2021-12-09,63MOONS,170.0,170.0,156.6,170.0,797644,0.5155,1547377
2021-12-10,63MOONS,178.5,178.5,178.5,178.5,119109,1.0,119109
2021-12-13,63MOONS,187.4,187.4,187.4,187.4,35065,1.0,35065
2021-12-14,63MOONS,196.75,196.75,187.4,196.75,422061,0.6035,699387
2021-12-15,63MOONS,206.55,206.55,206.55,206.55,82452,1.0,82452
2021-12-16,63MOONS,216.85,216.85,196.25,196.25,1041496,0.4042,2576738
2021-12-17,63MOONS,193.1,199.6,186.45,186.45,203663,0.5622,362262
2021-12-20,63MOONS,177.15,177.15,177.15,177.15,55561,0.7352,75574
2021-12-21,63MOONS,177.1,186.0,170.35,186.0,470381,0.4449,1057225
2021-12-22,63MOONS,190.0,195.3,189.0,195.3,134952,0.6567000000000001,205506
2021-12-23,63MOONS,205.05,205.05,196.5,205.05,377215,0.26,1450771
2021-12-24,63MOONS,205.0,213.7,195.15,197.3,293666,0.3332,881400
2021-12-27,63MOONS,194.0,207.15,194.0,207.15,360488,0.5086,708841
2021-12-28,63MOONS,214.0,217.5,209.0,217.5,227213,0.7948999999999999,285839
2021-12-29,63MOONS,227.0,228.35,220.0,228.35,433488,0.47009999999999996,922165
2021-12-30,63MOONS,233.0,233.8,216.95,217.3,395847,0.4158,951957
2021-12-31,63MOONS,211.0,228.15,208.25,228.15,176952,0.5096,347253
2022-01-03,63MOONS,235.8,239.55,231.15,239.55,143596,0.6158,233178
2022-01-04,63MOONS,251.5,251.5,241.5,251.5,432108,0.5554,778049
2022-01-05,63MOONS,261.0,264.05,257.05,264.05,171019,0.7726000000000001,221368
2022-01-06,63MOONS,277.25,277.25,277.25,277.25,67042,1.0,67042
2022-01-07,63MOONS,291.1,291.1,291.1,291.1,31925,0.9984000000000001,31975
2022-01-10,63MOONS,305.65,305.65,305.65,305.65,30931,1.0,30931
2022-01-11,63MOONS,320.9,320.9,320.9,320.9,22853,1.0,22853
2022-01-12,63MOONS,336.9,336.9,306.55,336.75,829731,0.3281,2529155
2022-01-13,63MOONS,345.7,351.9,319.95,321.95,364624,0.42869999999999997,850549
2022-01-14,63MOONS,310.35,338.0,310.35,338.0,227716,0.5182,439419
2022-01-17,63MOONS,354.9,354.9,354.9,354.9,39787,1.0,39787
2022-01-18,63MOONS,372.6,372.6,337.2,356.1,579280,0.2738,2115988
2022-05-02,63MOONS,209.95,209.95,209.95,209.95,8007,1.0,8007
2022-05-04,63MOONS,199.5,199.5,199.5,199.5,13214,1.0,13214
2022-05-05,63MOONS,189.55,198.7,189.55,189.55,364007,0.5053,720414
2022-05-06,63MOONS,180.1,180.1,180.1,180.1,15738,1.0,15738
2022-05-09,63MOONS,171.1,171.1,171.1,171.1,11077,1.0,11077
2022-05-10,63MOONS,162.55,173.0,162.55,162.55,176815,0.43,411230
2022-05-11,63MOONS,158.55,170.65,154.45,163.5,196581,0.3207,612900
2022-05-12,63MOONS,160.15,160.2,155.35,155.35,66483,0.4769,139419
2022-05-13,63MOONS,150.25,158.3,147.6,147.6,145680,0.5074000000000001,287094
2022-05-16,63MOONS,144.25,154.15,140.65,148.95,108174,0.4029,268514
2022-05-17,63MOONS,148.2,156.35,146.45,156.35,67028,0.6901999999999999,97108
2022-05-18,63MOONS,164.15,164.15,164.15,164.15,9002,1.0,9002
2022-05-19,63MOONS,163.8,172.35,157.55,172.35,115262,0.7471,154270
2022-05-20,63MOONS,180.95,180.95,180.95,180.95,5601,1.0,5601
2022-05-23,63MOONS,189.95,189.95,189.95,189.95,11256,1.0,11256
2022-05-24,63MOONS,197.4,197.4,180.5,180.5,177875,0.41740000000000005,426157
2022-05-25,63MOONS,175.05,180.4,171.5,171.5,35153,0.5181,67849
2022-05-26,63MOONS,162.95,176.8,162.95,170.55,74878,0.2637,283913
2022-05-27,63MOONS,172.2,174.65,163.15,165.1,43496,0.6071,71651
2022-05-30,63MOONS,173.0,173.35,169.55,173.35,37874,0.6647,56983
2022-05-31,63MOONS,181.8,182.0,176.0,182.0,94097,0.5767,163169
2022-06-01,63MOONS,186.9,186.9,172.9,175.45,79682,0.5758,138385
2022-06-02,63MOONS,170.35,176.9,170.35,171.8,32589,0.6534000000000001,49876
2022-06-03,63MOONS,174.45,177.4,165.55,167.55,24133,0.5879,41050
2022-06-06,63MOONS,167.5,169.85,164.0,166.0,8981,0.5304,16932
2022-06-07,63MOONS,167.9,174.3,163.05,170.0,27627,0.42460000000000003,65068
2022-06-08,63MOONS,169.95,169.95,165.0,165.85,24023,0.6814,35254
2022-06-09,63MOONS,168.9,169.9,164.2,168.15,23395,0.5969,39193
2022-06-10,63MOONS,167.05,173.9,165.85,169.15,16514,0.4773,34600
2022-06-13,63MOONS,169.0,169.0,160.95,163.1,46361,0.693,66900
2022-06-14,63MOONS,163.0,171.25,157.1,168.3,32984,0.3043,108391
2022-06-15,63MOONS,171.9,171.9,165.65,166.4,13580,0.6486,20937
2022-06-16,63MOONS,172.9,172.9,158.1,158.1,28704,0.7478,38385
2022-06-17,63MOONS,154.0,162.75,150.3,151.6,24286,0.5761999999999999,42146
2022-06-20,63MOONS,151.6,156.9,144.05,144.95,25166,0.5661,44452
2022-06-21,63MOONS,150.45,152.15,141.05,152.15,22132,0.6491,34096
2022-06-22,63MOONS,158.0,159.75,152.55,158.5,52728,0.43920000000000003,120055
2022-06-23,63MOONS,159.0,166.4,157.1,166.4,29898,0.2933,107266
