Date,symbol,open,high,low,close,deliverable volume,deliverable_percentage,volume
2021-09-01,AARTIDRUGS,617.95,622.0,611.0,612.5,61866,0.5125,120713
2021-09-02,AARTIDRUGS,617.95,619.35,612.0,617.15,55223,0.4547,121442
2021-09-03,AARTIDRUGS,619.95,626.8,617.7,621.25,55316,0.43100000000000005,128348
2021-09-06,AARTIDRUGS,626.0,626.15,616.5,617.6,50679,0.5005,101259
2021-09-07,AARTIDRUGS,624.45,624.45,611.0,612.25,48549,0.461,105315
2021-09-08,AARTIDRUGS,615.0,615.0,608.05,609.75,57569,0.46590000000000004,123559
2021-09-09,AARTIDRUGS,610.0,612.5,606.05,608.15,43753,0.42950000000000005,101871
2021-09-13,AARTIDRUGS,609.0,612.95,605.0,606.05,57172,0.5226,109399
2021-09-14,AARTIDRUGS,609.25,616.5,607.3,611.9,64889,0.4387,147899
2021-09-15,AARTIDRUGS,615.0,625.0,612.4,620.35,79403,0.3797,209096
2021-09-16,AARTIDRUGS,621.95,628.65,614.05,616.65,97793,0.4413,221608
2021-09-17,AARTIDRUGS,620.0,633.3,612.8,627.3,140650,0.4815,292123
2021-09-20,AARTIDRUGS,626.5,648.3,620.15,630.75,157356,0.23399999999999999,672406
2021-09-21,AARTIDRUGS,633.4,633.4,613.3,619.45,63987,0.3401,188130
2021-09-22,AARTIDRUGS,627.0,627.0,617.15,621.6,47245,0.40240000000000004,117397
2021-09-23,AARTIDRUGS,623.9,626.65,617.8,619.55,57944,0.48130000000000006,120387
2021-09-24,AARTIDRUGS,621.0,623.85,611.6,613.8,59687,0.5127,116407
2021-09-27,AARTIDRUGS,613.8,618.0,608.35,609.6,74441,0.5067,146925
2021-09-28,AARTIDRUGS,614.0,614.5,605.05,609.0,75499,0.5113000000000001,147659
2021-09-29,AARTIDRUGS,605.5,614.0,605.5,608.8,51318,0.43270000000000003,118604
2021-09-30,AARTIDRUGS,610.2,615.0,606.15,607.3,51152,0.534,95787
2021-10-01,AARTIDRUGS,610.0,612.05,603.8,604.5,75857,0.5895,128684
