Date,symbol,open,high,low,close,deliverable volume,deliverable_percentage,volume
2021-09-01,ABAN,40.0,40.3,38.8,39.05,33226,0.5207,63807
2021-09-02,ABAN,39.0,39.7,38.35,39.1,44689,0.5351,83523
2021-09-03,ABAN,40.4,43.0,39.5,43.0,175904,0.79,222653
2021-09-06,ABAN,44.4,44.9,40.1,41.9,193328,0.4755,406585
2021-09-07,ABAN,41.9,42.1,40.2,40.55,71840,0.6493000000000001,110643
2021-09-08,ABAN,41.0,44.6,40.55,44.55,294286,0.3394,867110
2021-09-09,ABAN,44.8,47.6,42.4,44.25,250855,0.38070000000000004,658972
2021-09-13,ABAN,44.3,45.8,44.05,44.7,79611,0.4181,190415
2021-09-14,ABAN,44.7,45.5,43.1,43.7,94063,0.5463,172192
2021-09-15,ABAN,44.0,47.3,44.0,45.2,132622,0.5411,245113
2021-09-16,ABAN,46.0,46.6,44.5,44.95,86795,0.5924,146526
2021-09-17,ABAN,46.0,46.0,42.3,42.95,151474,0.6275000000000001,241412
2021-09-20,ABAN,42.9,43.6,41.9,42.15,54943,0.6375000000000001,86179
2021-09-21,ABAN,42.15,43.8,41.7,42.45,77229,0.5670000000000001,136210
2021-09-22,ABAN,42.2,43.25,42.2,42.55,51475,0.7055,72963
2021-09-23,ABAN,43.0,43.5,42.25,42.6,58665,0.5915,99187
2021-09-24,ABAN,43.0,44.0,41.95,42.2,72049,0.5025000000000001,143371
2021-09-27,ABAN,42.75,43.7,42.0,42.75,57963,0.6025,96210
2021-09-28,ABAN,43.1,44.4,42.5,43.4,114686,0.3847,298137
2021-09-29,ABAN,43.0,43.45,42.7,42.9,54326,0.48869999999999997,111161
2021-09-30,ABAN,42.7,43.35,42.25,42.6,61383,0.604,101634
2021-10-01,ABAN,42.3,43.3,42.2,42.35,55467,0.6041,91810
2021-10-04,ABAN,42.35,43.8,42.35,43.05,64309,0.5154,124781
2021-10-05,ABAN,44.4,47.35,43.55,47.35,410257,0.4681,876486
2021-10-06,ABAN,49.5,50.0,45.3,45.8,352991,0.5917,596542
2021-10-07,ABAN,46.5,54.95,46.35,54.95,789956,0.48240000000000005,1637691
2021-10-08,ABAN,58.55,62.6,57.4,57.8,1194771,0.3122,3826720
2021-10-11,ABAN,57.5,69.35,55.8,69.35,955991,0.35259999999999997,2711391
2021-10-12,ABAN,71.0,74.7,67.5,70.1,1067413,0.41090000000000004,2598045
2021-10-13,ABAN,70.0,72.9,66.5,67.0,444524,0.4786,928728
2021-10-14,ABAN,67.0,69.0,64.0,65.3,342577,0.4364,785074
2021-10-18,ABAN,66.0,69.45,65.5,66.05,214035,0.46520000000000006,460067
2021-10-19,ABAN,66.4,66.75,60.3,61.1,280841,0.5792,484888
2021-10-20,ABAN,60.0,62.0,58.05,59.45,154839,0.45310000000000006,341753
2022-01-04,ABAN,52.95,53.4,49.1,49.65,143825,0.6309,227976
2022-01-05,ABAN,49.95,50.4,48.15,49.45,62923,0.5385,116841
2022-01-06,ABAN,48.3,51.9,48.3,51.9,157231,0.5002000000000001,314330
2022-01-07,ABAN,54.45,54.45,52.35,53.15,310442,0.4889,634977
2022-01-10,ABAN,54.4,54.4,52.4,52.85,110490,0.6426999999999999,171908
2022-01-11,ABAN,52.6,52.75,50.25,50.4,135227,0.6338,213356
2022-01-12,ABAN,50.0,52.85,49.95,51.15,81163,0.6551,123893
2022-01-13,ABAN,52.3,53.5,48.7,50.3,166846,0.41759999999999997,399537
2022-01-14,ABAN,49.7,50.1,49.1,49.55,97405,0.7545999999999999,129082
2022-01-17,ABAN,50.4,51.0,49.7,50.1,78695,0.6052000000000001,130041
2022-01-18,ABAN,51.0,52.55,49.1,50.8,160752,0.4686,343077
2022-01-19,ABAN,51.45,51.45,49.7,50.45,72009,0.44689999999999996,161145
2022-01-20,ABAN,50.55,51.3,49.5,49.7,69523,0.6268,110925
2022-01-21,ABAN,50.0,50.0,47.3,47.6,114185,0.6976000000000001,163686
2022-01-24,ABAN,47.4,47.5,45.25,45.75,47632,0.6504000000000001,123781
2022-01-25,ABAN,45.5,47.4,44.85,46.9,49767,0.6019,82680
2022-01-27,ABAN,46.0,49.2,45.8,47.35,59410,0.32630000000000003,182056
2022-01-28,ABAN,47.85,49.0,47.5,48.0,45215,0.5948,76020
2022-01-31,ABAN,49.2,49.2,47.4,47.7,35573,0.6236,57048
2022-02-01,ABAN,47.95,48.6,46.25,47.9,38779,0.5648,68654
2022-02-02,ABAN,48.8,50.25,47.5,49.9,151384,0.5786,261629
2022-02-03,ABAN,50.7,51.75,49.1,50.5,109591,0.5428000000000001,201887
2022-02-04,ABAN,51.05,52.95,49.6,51.85,157515,0.5301,297129
2022-02-07,ABAN,53.0,56.0,52.0,55.5,469234,0.5246999999999999,894233
2022-02-08,ABAN,58.9,59.75,55.6,56.5,448038,0.4204,1065621
2022-02-09,ABAN,56.9,57.35,52.7,54.3,113867,0.4229,269255
2022-02-10,ABAN,54.0,54.15,51.7,52.2,173903,0.49450000000000005,351671
2022-02-11,ABAN,51.5,53.6,51.5,52.05,75612,0.5910000000000001,127943
2022-02-14,ABAN,52.5,52.95,46.85,47.3,154706,0.6453,239743
2022-02-15,ABAN,46.05,49.6,46.05,48.55,100032,0.5670000000000001,176433
2022-02-16,ABAN,50.8,50.8,48.5,48.9,54099,0.5763,93874
2022-02-17,ABAN,49.0,50.2,48.0,48.35,50458,0.627,80478
2022-02-18,ABAN,48.0,48.8,47.0,47.2,51809,0.6866,75460
2022-02-21,ABAN,45.2,51.5,44.9,47.2,79864,0.5021,159053
2022-02-22,ABAN,46.2,47.2,44.9,45.75,47074,0.5235000000000001,89917
2022-02-23,ABAN,45.9,47.2,45.85,46.65,33433,0.5609000000000001,59609
2022-02-24,ABAN,44.05,46.05,42.0,42.05,115446,0.5867,196762
2022-02-25,ABAN,42.15,44.65,41.45,42.55,124456,0.5509000000000001,225899
2022-02-28,ABAN,42.55,43.75,41.0,42.95,65713,0.5592,117512
2022-03-02,ABAN,43.0,46.5,43.0,46.05,126756,0.5373,235933
2022-03-03,ABAN,46.85,48.7,46.8,47.65,102056,0.45909999999999995,222315
2022-03-04,ABAN,47.5,47.5,45.1,45.45,47220,0.5693,82951
2022-03-07,ABAN,44.4,47.8,44.4,46.9,98369,0.5123,192020
