Date,symbol,open,high,low,close,deliverable volume,deliverable_percentage,volume
2021-09-01,ACC,2420.0,2437.4,2393.05,2424.05,193513,0.46240000000000003,418473
2021-09-02,ACC,2428.9,2498.0,2413.15,2474.2,164680,0.2793,589580
2021-09-03,ACC,2483.3,2485.0,2436.3,2469.0,159351,0.35869999999999996,444256
2021-09-06,ACC,2487.9,2509.0,2469.0,2472.75,131444,0.30820000000000003,426552
2021-09-07,ACC,2476.0,2494.0,2444.7,2483.5,94022,0.2918,322194
2021-09-08,ACC,2478.1,2486.9,2431.25,2448.95,135753,0.4347,312258
2021-09-09,ACC,2440.0,2463.0,2433.5,2458.75,51921,0.2862,181417
2021-09-13,ACC,2460.0,2479.9,2420.35,2471.4,104276,0.3932,265232
2021-09-14,ACC,2470.0,2475.05,2437.55,2442.95,69770,0.399,174874
2021-09-15,ACC,2448.0,2479.6,2442.6,2467.4,78542,0.3354,234175
2021-09-16,ACC,2476.6,2479.4,2416.25,2429.7,78630,0.2972,264530
2021-09-17,ACC,2440.0,2444.0,2372.3,2394.85,277140,0.515,538103
2021-09-20,ACC,2378.0,2390.0,2320.0,2325.95,124172,0.41509999999999997,299170
2021-09-21,ACC,2325.95,2339.9,2284.0,2332.3,241874,0.4264,567297
2021-09-22,ACC,2339.3,2379.0,2331.1,2365.55,94533,0.3061,308803
2021-09-23,ACC,2375.0,2380.5,2340.05,2351.05,178657,0.469,380958
2021-09-24,ACC,2368.0,2372.95,2281.0,2298.75,176889,0.40700000000000003,434577
2021-09-27,ACC,2305.55,2346.75,2286.5,2331.85,143817,0.39590000000000003,363257
2021-09-28,ACC,2334.0,2357.9,2286.05,2300.25,98388,0.3233,304307
2021-09-29,ACC,2290.0,2293.35,2245.1,2271.1,214877,0.41409999999999997,518866
2021-09-30,ACC,2270.2,2276.9,2251.2,2254.5,153235,0.5102,300368
2021-10-01,ACC,2237.0,2258.0,2211.35,2237.5,73474,0.2297,319800
2021-10-04,ACC,2245.0,2283.95,2233.0,2265.65,155531,0.39409999999999995,394631
2021-10-05,ACC,2253.15,2284.0,2253.15,2263.7,88138,0.35100000000000003,251071
2021-10-06,ACC,2265.95,2278.0,2194.35,2203.25,192440,0.4311,446408
2021-10-07,ACC,2215.3,2276.0,2215.3,2265.85,87251,0.27399999999999997,318393
2021-10-08,ACC,2273.0,2284.9,2235.45,2240.9,58347,0.23399999999999999,249365
2021-10-11,ACC,2250.0,2274.8,2242.15,2249.85,70143,0.3315,211576
2021-10-12,ACC,2245.0,2259.0,2226.95,2245.65,51484,0.28,183872
2021-10-13,ACC,2257.5,2269.8,2250.0,2259.7,116263,0.41409999999999997,280779
2021-10-14,ACC,2270.0,2349.5,2267.0,2309.85,613854,0.4756,1290679
2021-10-18,ACC,2364.0,2364.0,2291.85,2304.4,182162,0.2903,627590
2021-10-19,ACC,2319.0,2328.0,2232.45,2242.75,285244,0.4197,679577
2021-10-20,ACC,2289.0,2359.0,2221.0,2263.6,632759,0.16570000000000001,3817624
2021-10-21,ACC,2285.95,2286.75,2202.85,2236.35,295470,0.3676,803674
2021-10-22,ACC,2241.2,2259.35,2165.0,2212.05,122493,0.2318,528370
2021-10-25,ACC,2210.0,2215.95,2142.05,2208.45,205477,0.3007,683253
2021-10-26,ACC,2215.0,2244.95,2210.0,2236.3,157165,0.3245,484377
2021-10-27,ACC,2238.4,2275.0,2233.5,2249.4,190186,0.4033,471518
2021-10-28,ACC,2252.0,2324.9,2245.0,2287.85,275147,0.30920000000000003,889979
2021-10-29,ACC,2285.0,2354.8,2237.55,2333.4,230212,0.3141,732835
2021-11-01,ACC,2345.05,2399.8,2328.4,2374.3,255723,0.3636,703217
2021-11-02,ACC,2385.0,2416.0,2374.9,2392.0,141872,0.30770000000000003,461093
2021-11-03,ACC,2404.15,2428.75,2394.15,2420.5,133030,0.36460000000000004,364903
2021-11-04,ACC,2425.9,2437.45,2419.05,2431.45,34142,0.49520000000000003,68940
2021-11-08,ACC,2453.85,2530.0,2440.05,2518.35,305031,0.34740000000000004,878142
2021-11-09,ACC,2523.0,2552.5,2502.05,2538.3,228912,0.4307,531520
2021-11-10,ACC,2530.7,2568.35,2513.1,2554.15,206724,0.4983,414868
2021-11-11,ACC,2545.95,2564.8,2525.0,2558.2,150009,0.5019,298854
2021-11-12,ACC,2568.0,2578.0,2546.0,2571.95,125606,0.414,303364
2021-11-15,ACC,2570.0,2589.0,2530.3,2563.1,77163,0.3362,229541
2021-11-16,ACC,2561.15,2566.45,2483.0,2492.75,66196,0.2668,248153
2021-11-17,ACC,2482.0,2496.35,2463.05,2471.55,121304,0.4347,279037
2021-11-18,ACC,2474.8,2502.3,2415.1,2440.5,64930,0.2735,237386
2021-11-22,ACC,2440.5,2445.0,2355.0,2373.55,80464,0.32880000000000004,244687
2021-11-23,ACC,2350.0,2420.1,2349.9,2403.9,73337,0.3504,209320
2021-11-24,ACC,2410.0,2428.25,2392.55,2404.75,103389,0.43560000000000004,237362
2021-11-25,ACC,2404.9,2413.55,2380.0,2385.45,79847,0.3965,201394
2021-11-26,ACC,2358.8,2388.0,2300.1,2311.5,50751,0.2436,208380
2021-11-29,ACC,2280.0,2325.0,2240.0,2289.6,120855,0.2635,458730
2021-11-30,ACC,2283.15,2322.95,2269.85,2286.4,190168,0.4581,415128
2021-12-01,ACC,2296.0,2332.45,2248.0,2253.45,153128,0.3615,423543
2021-12-02,ACC,2248.15,2278.75,2229.6,2264.65,179699,0.3931,457153
2021-12-03,ACC,2268.1,2304.55,2250.1,2262.2,161205,0.36710000000000004,439164
2021-12-06,ACC,2265.0,2272.95,2205.0,2217.3,96190,0.4094,234956
2021-12-07,ACC,2239.0,2254.95,2211.0,2245.05,125724,0.4286,293341
2021-12-08,ACC,2255.15,2299.9,2249.2,2292.25,135817,0.4301,315816
2021-12-09,ACC,2294.1,2324.0,2287.95,2320.0,136499,0.4758,286871
2021-12-10,ACC,2319.0,2330.2,2302.0,2315.55,89491,0.443,202000
2021-12-13,ACC,2329.0,2340.85,2290.0,2296.05,139148,0.49200000000000005,282819
2021-12-14,ACC,2280.0,2326.3,2272.45,2320.15,233906,0.5732,408050
