Date,symbol,open,high,low,close,deliverable volume,deliverable_percentage,volume
2021-09-01,ACE,240.5,242.55,232.0,240.35,373003,0.3054,1221424
2021-09-02,ACE,242.45,247.9,238.9,246.75,360752,0.30510000000000004,1182255
2021-09-03,ACE,246.5,246.5,236.35,237.6,271250,0.37210000000000004,729056
2021-09-06,ACE,237.6,244.7,237.6,239.35,147386,0.29100000000000004,506530
2021-09-07,ACE,240.3,240.9,232.9,234.1,162176,0.3791,427742
2021-09-08,ACE,234.5,236.5,230.35,232.9,105271,0.33490000000000003,314362
2021-09-09,ACE,234.0,241.25,234.0,237.05,165373,0.32030000000000003,516261
2021-09-13,ACE,237.0,282.4,233.0,278.2,1467827,0.146,10056722
2021-09-14,ACE,278.0,291.75,271.25,277.1,1249627,0.1948,6413416
2021-09-15,ACE,277.9,279.0,267.8,269.1,422353,0.3175,1330342
2021-09-16,ACE,272.0,281.75,268.2,274.4,504816,0.2018,2501008
2021-09-17,ACE,278.0,278.0,257.75,267.75,545075,0.3753,1452226
2021-09-20,ACE,261.0,266.35,245.1,248.0,487753,0.4608,1058385
2021-09-21,ACE,248.0,254.7,242.6,252.2,312782,0.2425,1289580
2021-09-22,ACE,253.75,274.1,249.05,267.15,507449,0.237,2140804
2021-09-23,ACE,268.6,278.95,265.5,270.3,535479,0.3261,1642018
2021-09-24,ACE,270.0,271.65,257.7,261.05,389216,0.3886,1001548
2021-09-27,ACE,263.7,266.7,251.3,254.75,398756,0.44450000000000006,897103
2021-09-28,ACE,256.05,261.55,251.5,254.65,428610,0.4164,1029245
2021-09-29,ACE,253.75,260.9,250.1,254.4,166564,0.3027,550308
2021-09-30,ACE,255.9,263.3,255.25,258.15,218446,0.2889,756241
2021-10-01,ACE,258.15,262.45,253.4,258.95,159314,0.23500000000000001,677886
2021-10-04,ACE,261.9,272.0,258.0,265.7,466727,0.3323,1404608
2021-10-05,ACE,267.95,274.9,265.5,271.35,361647,0.3543,1020671
2021-10-06,ACE,272.65,272.75,261.4,263.8,298220,0.47909999999999997,622460
2021-10-07,ACE,266.25,271.0,263.35,266.5,354009,0.4264,830143
2021-10-08,ACE,269.0,276.75,264.3,266.75,458155,0.413,1109392
2021-10-11,ACE,271.0,272.4,266.8,268.4,292010,0.5201,561430
2021-10-12,ACE,266.7,267.95,263.55,265.8,182227,0.4823,377857
2021-10-13,ACE,268.2,268.2,256.1,258.15,423039,0.5855,722580
2021-10-14,ACE,260.9,264.8,254.4,260.2,232712,0.3891,598061
2021-10-18,ACE,263.4,266.5,258.0,261.2,204549,0.38070000000000004,537255
2021-10-19,ACE,263.75,266.5,246.7,251.1,326289,0.4177,781148
2021-10-20,ACE,252.95,254.2,240.0,246.7,183133,0.3025,605428
2021-10-21,ACE,249.9,251.6,241.65,246.35,119207,0.292,408218
2021-10-22,ACE,248.35,255.9,242.3,244.35,135564,0.304,445993
2021-10-25,ACE,245.0,246.65,225.8,227.7,345067,0.4047,852620
2021-10-26,ACE,232.2,247.0,230.5,244.7,208033,0.2547,816851
2021-10-27,ACE,246.5,253.75,242.55,246.85,169648,0.3221,526770
2021-10-28,ACE,245.0,245.0,238.5,239.85,109635,0.3583,305944
2021-10-29,ACE,237.8,239.05,230.0,233.35,137276,0.3641,377068
2021-11-01,ACE,236.85,255.0,233.75,251.3,177273,0.3628,488626
2021-11-02,ACE,253.3,253.35,246.0,247.35,123119,0.32520000000000004,378543
2021-11-03,ACE,248.95,259.8,246.2,253.5,274250,0.33799999999999997,811303
2021-11-04,ACE,256.4,258.8,256.0,256.7,150332,0.6209,242127
2021-11-08,ACE,258.0,261.2,251.7,258.15,265330,0.3325,797887
2021-11-09,ACE,258.15,268.4,255.1,262.45,445142,0.3539,1257705
2021-11-10,ACE,261.0,272.45,255.0,256.35,221094,0.2958,747428
2021-11-11,ACE,256.35,258.65,249.75,251.6,210246,0.4523,464878
2021-11-12,ACE,253.0,258.9,247.6,255.15,133288,0.33880000000000005,393377
2021-11-15,ACE,255.0,258.7,251.05,252.8,124830,0.2601,480016
2021-11-16,ACE,253.8,255.7,248.35,249.45,101769,0.3362,302729
2021-11-17,ACE,248.5,249.4,242.0,242.5,207300,0.4796,432233
2021-11-18,ACE,243.8,244.4,228.0,232.3,393493,0.4596,856196
2021-11-22,ACE,234.6,236.9,215.5,219.2,431424,0.43229999999999996,998023
2021-11-23,ACE,219.2,224.45,213.0,220.25,329757,0.3911,843224
