Date,symbol,open,high,low,close,deliverable volume,deliverable_percentage,volume
2021-09-20,ADANIPOWER,96.05,98.55,95.45,95.45,3433714,0.6297,5452646
2021-09-21,ADANIPOWER,93.6,96.4,91.05,94.55,1938229,0.5234000000000001,3703371
2021-09-22,ADANIPOWER,95.0,97.5,94.85,95.9,1585108,0.5449,2908802
2021-09-23,ADANIPOWER,96.9,98.75,95.7,97.05,2399316,0.5079,4723835
2021-09-24,ADANIPOWER,98.0,98.4,95.5,95.85,2019607,0.5896,3425363
2021-09-27,ADANIPOWER,96.0,98.5,95.0,97.0,2041369,0.4839,4218958
2021-09-28,ADANIPOWER,97.45,97.75,95.15,96.0,1850492,0.5371,3445198
2021-09-29,ADANIPOWER,95.7,100.8,94.4,98.3,5447520,0.44939999999999997,12121578
2021-09-30,ADANIPOWER,99.25,99.4,96.9,97.1,3206232,0.5935,5402480
2021-10-01,ADANIPOWER,96.0,99.0,95.0,96.95,1654326,0.4355,3799113
2021-10-04,ADANIPOWER,97.85,101.75,97.5,101.75,6826678,0.42100000000000004,16213791
2021-10-05,ADANIPOWER,102.8,106.8,101.75,106.5,8659949,0.47100000000000003,18388056
2021-10-06,ADANIPOWER,107.3,108.9,101.2,101.55,6769125,0.5609000000000001,12067633
2021-10-07,ADANIPOWER,102.3,104.8,101.55,101.95,2715714,0.5302,5122515
2021-10-08,ADANIPOWER,102.9,103.45,101.0,101.6,2180339,0.5107,4269144
2021-10-11,ADANIPOWER,103.0,104.75,101.0,101.85,3272673,0.5268,6211799
2021-10-12,ADANIPOWER,102.9,103.4,101.2,101.65,2698108,0.6221,4336792
2021-10-13,ADANIPOWER,102.4,106.7,101.8,106.7,6857356,0.6268,10940656
2021-10-14,ADANIPOWER,108.45,112.0,107.5,112.0,6615951,0.5946,11126786
2021-10-18,ADANIPOWER,118.45,123.2,117.15,123.2,5898289,0.7434999999999999,7932757
2021-10-19,ADANIPOWER,133.45,135.5,115.1,124.85,22547785,0.314,71805365
2021-10-20,ADANIPOWER,122.2,128.0,115.0,120.9,8414092,0.40880000000000005,20580766
2021-10-21,ADANIPOWER,122.95,126.5,120.0,123.2,5125858,0.4901,10458639
2021-11-01,ADANIPOWER,98.15,104.4,98.0,102.85,2441796,0.5202,4693977
2021-11-02,ADANIPOWER,104.7,105.2,102.1,104.1,1841211,0.5683,3240056
2021-11-03,ADANIPOWER,104.9,104.9,101.3,103.25,1837769,0.6174000000000001,2976676
2021-11-04,ADANIPOWER,105.2,106.5,104.75,105.4,1195388,0.7115,1680073
2021-11-08,ADANIPOWER,106.2,106.2,103.0,104.5,2189466,0.6376,3433737
2021-11-09,ADANIPOWER,104.4,109.7,104.15,109.7,3642589,0.4189,8696567
2021-11-10,ADANIPOWER,111.0,113.7,109.05,110.15,4122426,0.5264,7831137
2021-11-11,ADANIPOWER,110.8,111.6,107.35,108.1,1745631,0.4557,3830677
2021-11-12,ADANIPOWER,109.2,110.7,107.0,108.45,2124901,0.4244,5006556
2021-11-15,ADANIPOWER,110.25,110.25,104.75,107.15,1778923,0.5767,3084563
2021-11-16,ADANIPOWER,107.6,109.8,106.25,106.75,1346439,0.4612,2919587
2021-11-17,ADANIPOWER,106.5,107.7,104.0,104.3,2261148,0.5484,4122988
2021-11-18,ADANIPOWER,105.0,105.8,101.4,102.9,2407074,0.6063000000000001,3970297
2021-11-22,ADANIPOWER,102.9,103.25,98.8,100.95,2213416,0.5945,3723327
2021-11-23,ADANIPOWER,100.6,105.95,98.65,105.95,2276573,0.5709000000000001,3987471
2021-11-24,ADANIPOWER,107.0,109.7,105.4,105.9,2864614,0.4767,6009879
2021-11-25,ADANIPOWER,106.45,107.0,103.6,105.05,1592086,0.40049999999999997,3974953
2021-11-26,ADANIPOWER,104.05,104.3,101.0,101.25,2589402,0.5971000000000001,4336484
2021-11-29,ADANIPOWER,100.0,101.0,93.6,98.4,2438284,0.5272,4625241
2021-11-30,ADANIPOWER,100.5,103.2,99.0,99.35,1661996,0.479,3469788
2021-12-01,ADANIPOWER,102.0,102.0,99.7,101.25,1324865,0.5455,2428583
2021-12-02,ADANIPOWER,100.8,102.0,100.4,101.75,1354350,0.4933,2745370
2021-12-03,ADANIPOWER,101.9,102.6,100.5,100.8,1411901,0.48360000000000003,2919273
2021-12-06,ADANIPOWER,100.8,101.0,99.0,99.5,1353322,0.5719,2366475
2021-12-07,ADANIPOWER,100.6,100.95,99.0,100.35,1454672,0.5407000000000001,2690187
2021-12-08,ADANIPOWER,101.0,107.5,101.0,103.95,3109270,0.4379,7100221
2021-12-09,ADANIPOWER,105.35,105.35,102.7,103.55,1593905,0.529,3013021
2021-12-10,ADANIPOWER,103.8,106.45,103.5,104.05,2038112,0.414,4922750
2021-12-13,ADANIPOWER,105.6,107.4,103.5,103.75,2294117,0.49090000000000006,4673258
2021-12-14,ADANIPOWER,103.4,104.85,102.5,103.35,1210758,0.465,2603876
2021-12-15,ADANIPOWER,103.5,104.7,101.55,102.2,1286326,0.49460000000000004,2600789
2021-12-16,ADANIPOWER,103.7,103.95,100.8,101.3,1290743,0.5525,2336205
2021-12-17,ADANIPOWER,101.0,101.3,99.0,100.1,1755068,0.5228,3357266
2021-12-20,ADANIPOWER,98.8,98.8,95.1,97.1,2440475,0.5943,4106643
2021-12-21,ADANIPOWER,97.15,99.9,97.15,98.85,1178249,0.4123,2857892
2021-12-22,ADANIPOWER,99.9,100.95,99.0,99.65,991684,0.4595,2158306
2021-12-23,ADANIPOWER,100.45,100.95,99.1,99.3,1202606,0.538,2235524
2021-12-24,ADANIPOWER,99.95,99.95,98.1,98.65,1139259,0.4429,2572160
2021-12-27,ADANIPOWER,98.8,100.7,97.3,99.45,1516841,0.32659999999999995,4643998
2021-12-28,ADANIPOWER,100.3,104.0,99.2,101.0,2344165,0.3322,7055795
2021-12-29,ADANIPOWER,101.2,102.4,99.7,99.85,1372130,0.4462,3075259
2021-12-30,ADANIPOWER,100.0,100.4,99.1,99.45,1122295,0.5364,2092134
2021-12-31,ADANIPOWER,99.9,101.5,99.5,99.7,1480228,0.4416,3351858
2022-01-03,ADANIPOWER,100.15,103.9,100.1,101.3,2816770,0.38310000000000005,7352927
2022-01-04,ADANIPOWER,102.5,103.55,100.1,100.55,2210464,0.3738,5914012
2022-01-05,ADANIPOWER,100.65,101.6,99.6,99.85,1894527,0.4457,4250315
2022-01-06,ADANIPOWER,99.5,100.4,98.65,99.85,1643737,0.37579999999999997,4373449
2022-01-07,ADANIPOWER,101.4,102.45,99.5,100.2,2271729,0.4773,4759250
2022-01-10,ADANIPOWER,101.0,110.2,99.25,108.7,11925886,0.31829999999999997,37472714
2022-01-11,ADANIPOWER,109.0,111.5,105.4,108.55,6851010,0.3225,21242976
2022-01-12,ADANIPOWER,111.35,119.4,111.35,119.4,17810556,0.4465,39885648
2022-01-13,ADANIPOWER,122.7,124.4,115.0,116.45,10911219,0.3319,32879276
2022-01-14,ADANIPOWER,116.0,119.7,115.0,117.15,5102484,0.3351,15228552
2022-01-17,ADANIPOWER,118.0,121.0,115.0,116.05,4790275,0.434,11036495
2022-01-18,ADANIPOWER,116.9,117.75,109.0,109.75,5381717,0.42090000000000005,12785308
2022-01-19,ADANIPOWER,110.7,115.25,108.0,113.9,4272784,0.31120000000000003,13729230
2022-01-20,ADANIPOWER,114.5,116.0,112.65,113.75,2885250,0.2729,10573412
2022-01-21,ADANIPOWER,112.4,114.05,108.65,109.95,2747635,0.36450000000000005,7538938
2022-01-24,ADANIPOWER,110.0,110.0,102.0,102.8,2669593,0.32280000000000003,9542881
2022-01-25,ADANIPOWER,102.2,108.75,98.0,107.15,2670268,0.2936,9094276
2022-01-27,ADANIPOWER,103.0,106.95,102.8,105.65,1917964,0.3257,5889375
2022-01-28,ADANIPOWER,106.7,109.3,105.0,105.75,1972239,0.3824,5158004
2022-01-31,ADANIPOWER,106.95,108.3,105.65,106.25,1700487,0.424,4010368
2022-02-01,ADANIPOWER,107.95,110.55,106.0,108.0,2860369,0.3124,9155535
2022-02-02,ADANIPOWER,109.0,109.8,107.75,108.35,1820975,0.4786,3804770
2022-02-03,ADANIPOWER,108.6,109.1,107.0,107.6,1571041,0.5024000000000001,3127342
2022-02-04,ADANIPOWER,108.7,112.4,107.5,108.55,3136958,0.3417,9181079
2022-02-07,ADANIPOWER,109.9,115.0,109.35,111.7,5218610,0.2893,18041803
2022-02-08,ADANIPOWER,112.7,113.65,106.8,108.15,2750611,0.2581,10657420
2022-02-09,ADANIPOWER,109.2,109.85,106.5,107.6,2112221,0.2664,7927714
2022-02-10,ADANIPOWER,108.15,129.1,106.1,122.75,26577924,0.2241,118621529
2022-02-11,ADANIPOWER,122.7,131.8,120.1,125.0,16353361,0.1516,107886260
2022-02-14,ADANIPOWER,122.0,124.5,111.0,113.35,9946108,0.18059999999999998,55057371
2022-02-15,ADANIPOWER,115.4,119.8,112.3,117.95,7068987,0.1424,49640106
2022-02-16,ADANIPOWER,120.2,135.5,119.6,126.75,19259499,0.1399,137678036
2022-02-17,ADANIPOWER,129.45,137.7,128.75,132.0,15061178,0.12060000000000001,124908183
2022-02-18,ADANIPOWER,132.0,136.5,130.1,131.6,9903250,0.1178,84048571
2022-02-21,ADANIPOWER,132.0,134.65,117.85,120.15,11341059,0.1462,77582256
2022-02-22,ADANIPOWER,113.65,124.4,111.05,120.55,6926191,0.0978,70848294
2022-02-23,ADANIPOWER,125.9,129.45,124.15,125.55,6683549,0.1028,65007796
2022-02-24,ADANIPOWER,112.55,120.4,108.7,111.15,14270310,0.18739999999999998,76143909
2022-02-25,ADANIPOWER,120.0,127.8,117.25,124.05,11846452,0.10869999999999999,109027166
2022-02-28,ADANIPOWER,122.0,126.75,119.05,123.75,6809903,0.10800000000000001,63056418
2022-03-02,ADANIPOWER,123.35,125.45,121.55,123.1,4676812,0.1231,37990829
2022-03-03,ADANIPOWER,125.25,127.25,121.8,122.7,3986790,0.1334,29879343
2022-03-04,ADANIPOWER,122.0,122.65,117.2,119.75,4551418,0.12060000000000001,37730845
2022-03-07,ADANIPOWER,116.0,118.45,115.35,116.45,3690286,0.1653,22319366
2022-03-08,ADANIPOWER,118.4,121.45,117.35,118.7,3806642,0.13720000000000002,27745685
2022-03-09,ADANIPOWER,121.3,122.7,119.6,121.3,3320684,0.1564,21234389
2022-03-10,ADANIPOWER,125.0,125.7,121.35,122.5,3915809,0.188,20823339
2022-03-11,ADANIPOWER,122.0,123.5,121.1,121.8,2865979,0.1995,14362421
2022-03-14,ADANIPOWER,122.55,123.1,120.5,122.15,2787403,0.19710000000000003,14143340
2022-03-15,ADANIPOWER,122.9,127.2,121.5,122.3,4449458,0.16440000000000002,27067023
2022-03-16,ADANIPOWER,124.3,125.0,122.3,122.9,2363687,0.2172,10882357
2022-03-17,ADANIPOWER,125.3,127.65,123.7,125.1,6239505,0.2215,28165037
2022-03-21,ADANIPOWER,125.85,126.9,124.1,124.55,3410560,0.2409,14158100
2022-03-22,ADANIPOWER,124.5,124.75,122.3,123.75,2673752,0.22649999999999998,11802958
2022-03-23,ADANIPOWER,124.7,134.4,124.25,130.2,11754091,0.1778,66120008
2022-03-24,ADANIPOWER,130.7,134.85,130.2,132.15,5142121,0.19899999999999998,25846110
2022-03-25,ADANIPOWER,133.45,144.9,132.6,143.2,17384857,0.1696,102500073
2022-03-28,ADANIPOWER,146.0,153.25,145.05,152.25,14863229,0.1634,90954944
2022-03-29,ADANIPOWER,154.65,181.4,154.0,173.55,25965822,0.1072,242199873
2022-03-30,ADANIPOWER,177.0,178.9,164.0,171.5,15522727,0.1169,132769353
2022-03-31,ADANIPOWER,169.9,187.5,167.2,185.1,18046697,0.1305,138311563
2022-04-01,ADANIPOWER,187.7,203.6,187.7,203.45,21075884,0.1484,142017760
2022-04-04,ADANIPOWER,207.0,220.8,199.35,211.95,25773377,0.153,168426403
2022-04-05,ADANIPOWER,215.0,233.1,211.8,233.1,20048685,0.20809999999999998,96357690
2022-04-06,ADANIPOWER,237.5,244.75,234.0,244.75,13974111,0.2557,54655056
2022-04-07,ADANIPOWER,256.95,256.95,232.55,232.55,13290565,0.45189999999999997,29413380
2022-04-08,ADANIPOWER,220.95,220.95,220.95,220.95,2656514,0.9708,2736278
2022-04-11,ADANIPOWER,218.95,231.95,216.1,231.6,18113745,0.2928,61868038
2022-04-12,ADANIPOWER,234.0,239.9,224.65,230.8,12715501,0.2988,42554718
2022-04-13,ADANIPOWER,232.4,236.25,219.3,223.25,9370761,0.3417,27425466
2022-04-18,ADANIPOWER,221.0,234.4,214.0,234.4,12576253,0.4096,30703759
2022-04-19,ADANIPOWER,240.0,246.1,225.05,232.45,13157096,0.3013,43663282
2022-04-20,ADANIPOWER,238.95,243.5,232.0,235.05,7767490,0.2982,26049922
2022-04-21,ADANIPOWER,239.3,246.8,238.2,246.8,12275626,0.4043,30361095
2022-04-22,ADANIPOWER,249.8,259.1,248.7,259.1,10669973,0.3084,34601657
2022-04-25,ADANIPOWER,263.4,272.05,262.1,272.05,9345000,0.3607,25909476
2022-04-26,ADANIPOWER,285.6,285.65,283.0,285.65,3321615,0.5664,5864099
2022-04-27,ADANIPOWER,298.0,299.9,276.65,299.2,13658523,0.3042,44895283
2022-04-28,ADANIPOWER,305.2,312.0,284.25,284.25,17595645,0.36310000000000003,48465993
2022-04-29,ADANIPOWER,278.0,296.0,270.05,280.35,11749737,0.2589,45385821
2022-05-02,ADANIPOWER,280.0,288.85,273.0,280.35,5307267,0.2956,17953004
2022-05-04,ADANIPOWER,288.0,289.0,266.35,266.35,7000661,0.39659999999999995,17652624
2022-05-05,ADANIPOWER,260.0,279.65,253.05,278.15,10400299,0.2612,39813793
2022-05-06,ADANIPOWER,283.95,292.05,271.5,292.05,13413317,0.2936,45678881
2022-05-09,ADANIPOWER,295.65,298.0,277.45,281.6,10992916,0.2716,40481648
2022-05-10,ADANIPOWER,272.45,281.6,267.55,267.55,6429001,0.4622,13908532
2022-05-11,ADANIPOWER,257.3,278.0,254.2,255.3,8787083,0.2549,34477812
2022-05-12,ADANIPOWER,250.0,254.6,242.55,242.55,5086982,0.4596,11068771
2022-05-13,ADANIPOWER,250.0,254.65,245.6,254.65,4068240,0.5101,7976144
2022-05-16,ADANIPOWER,267.35,267.35,267.35,267.35,2121304,0.6759999999999999,3138052
2022-05-17,ADANIPOWER,280.7,280.7,280.7,280.7,1419672,1.0,1419672
2022-05-18,ADANIPOWER,294.7,294.7,283.6,294.7,13168224,0.36469999999999997,36111034
2022-05-19,ADANIPOWER,286.95,303.95,284.65,297.4,10145658,0.3233,31377678
2022-05-20,ADANIPOWER,307.0,312.25,305.1,312.25,9106628,0.40549999999999997,22456814
2022-05-23,ADANIPOWER,321.65,327.85,318.35,327.85,5379925,0.41409999999999997,12991259
2022-05-24,ADANIPOWER,340.95,343.9,311.5,311.5,13877607,0.35200000000000004,39427567
2022-05-25,ADANIPOWER,309.1,318.8,295.95,299.35,10624362,0.3362,31601250
2022-05-26,ADANIPOWER,308.9,314.3,286.1,314.3,9827953,0.324,30333101
2022-05-27,ADANIPOWER,325.3,330.0,315.0,328.1,8665797,0.34390000000000004,25197002
2022-05-30,ADANIPOWER,338.7,344.5,326.0,340.25,14180065,0.36,39394054
2022-05-31,ADANIPOWER,323.25,323.25,323.25,323.25,63273033,0.9826,64390369
2022-06-01,ADANIPOWER,310.5,316.7,307.1,307.1,7378335,0.5888,12531939
2022-06-02,ADANIPOWER,291.75,313.0,291.75,295.35,17905362,0.33390000000000003,53627093
2022-06-03,ADANIPOWER,301.0,302.8,282.0,284.1,8536365,0.41020000000000006,20811415
2022-06-06,ADANIPOWER,285.0,298.3,277.1,298.3,5006378,0.3907,12813174
2022-06-07,ADANIPOWER,299.95,302.8,288.4,291.4,6017459,0.3803,15824786
2022-06-08,ADANIPOWER,295.55,296.8,282.2,284.5,3750035,0.40630000000000005,9228822
2022-06-09,ADANIPOWER,284.45,290.5,277.1,287.75,3097016,0.32549999999999996,9514178
2022-06-10,ADANIPOWER,282.8,285.35,279.0,280.1,3085847,0.42590000000000006,7245446
2022-06-13,ADANIPOWER,269.5,275.5,266.1,266.2,5840449,0.5221,11186749
2022-06-14,ADANIPOWER,261.6,279.5,261.6,266.65,4929047,0.3007,16393298
2022-06-15,ADANIPOWER,270.0,275.7,270.0,272.05,3073915,0.4128,7446565
2022-06-16,ADANIPOWER,280.0,282.55,258.45,259.3,5344727,0.4547,11754891
2022-06-17,ADANIPOWER,258.5,267.8,249.35,261.3,5253496,0.32420000000000004,16205333
2022-06-20,ADANIPOWER,265.35,266.8,248.25,248.25,3043546,0.4114,7398184
2022-06-21,ADANIPOWER,248.35,258.65,238.3,254.05,4101659,0.23170000000000002,17701689
2022-06-22,ADANIPOWER,251.9,253.0,245.1,247.3,2547064,0.35380000000000006,7198933
2022-06-23,ADANIPOWER,249.05,258.7,247.5,252.6,2779282,0.40159999999999996,8083950
2022-06-24,ADANIPOWER,256.0,265.2,256.0,264.45,3624351,0.38939999999999997,9307365
2022-06-27,ADANIPOWER,270.95,277.65,268.2,272.9,4413160,0.3529,12506733
2022-06-28,ADANIPOWER,270.05,274.8,267.75,270.25,2394419,0.3411,7019512
2022-06-29,ADANIPOWER,267.95,274.4,267.25,270.05,2359622,0.3951,5972377
2022-06-30,ADANIPOWER,272.0,275.65,261.1,262.85,2481164,0.44200000000000006,5613740
2022-07-01,ADANIPOWER,262.85,264.9,255.1,263.25,1336780,0.2778,4812767
2022-07-04,ADANIPOWER,263.9,266.5,261.0,261.7,1346726,0.43310000000000004,3109382
