Date,symbol,open,high,low,close,deliverable volume,deliverable_percentage,volume
2021-09-01,ADORWELD,695.0,695.0,681.0,686.2,4719,0.7286,6477
2021-09-02,ADORWELD,684.0,693.4,676.6,679.95,4188,0.6745,6209
2021-09-03,ADORWELD,691.0,691.0,674.0,676.75,2275,0.6515000000000001,3492
2021-09-06,ADORWELD,689.8,689.8,665.1,674.7,7210,0.6109,11802
2021-09-07,ADORWELD,675.0,678.6,658.4,662.0,7748,0.7911,9794
2021-09-08,ADORWELD,675.0,680.0,663.65,669.65,2514,0.5871000000000001,4282
2021-09-09,ADORWELD,675.0,698.0,670.15,692.05,8293,0.532,15588
2021-09-13,ADORWELD,704.0,706.0,688.05,693.2,4048,0.5735,7059
2021-09-14,ADORWELD,693.2,698.85,680.0,685.3,4863,0.7513,6473
2021-09-15,ADORWELD,685.0,693.9,675.0,676.95,4394,0.6138,7159
2021-09-16,ADORWELD,685.0,696.9,675.0,676.05,5368,0.47990000000000005,11186
2021-09-17,ADORWELD,675.0,678.9,656.0,660.0,6456,0.7070000000000001,9132
2021-09-20,ADORWELD,669.0,670.3,658.1,663.3,7749,0.8259000000000001,9383
2021-09-21,ADORWELD,656.2,674.9,632.0,666.85,11818,0.6847,17261
2021-09-22,ADORWELD,672.0,678.0,663.0,669.15,4196,0.7190000000000001,5836
2021-09-23,ADORWELD,674.0,689.0,670.5,675.1,8149,0.721,11303
2021-09-24,ADORWELD,688.0,688.05,671.25,681.45,10574,0.7644,13833
2021-09-27,ADORWELD,698.25,698.25,682.0,685.7,10882,0.7532,14448
2021-09-28,ADORWELD,685.7,692.25,680.85,685.4,2624,0.6555,4003
2021-09-29,ADORWELD,687.0,690.45,680.0,683.0,2415,0.8034,3006
2021-09-30,ADORWELD,684.9,693.4,678.0,680.6,1913,0.6485,2950
2021-10-01,ADORWELD,679.2,684.8,666.05,678.7,3622,0.6148,5891
2021-10-04,ADORWELD,689.0,705.0,678.0,700.15,9190,0.675,13614
2021-10-05,ADORWELD,705.0,745.0,683.85,740.1,37605,0.4518,83231
2021-10-06,ADORWELD,746.9,757.0,711.05,713.95,13454,0.6696,20092
2021-10-07,ADORWELD,726.0,727.95,709.0,715.15,3416,0.5425,6297
2021-10-08,ADORWELD,711.35,725.0,701.55,706.9,2998,0.6229,4813
2021-10-11,ADORWELD,712.0,720.0,700.85,702.15,3582,0.614,5834
2021-10-12,ADORWELD,695.0,716.15,676.55,690.6,7502,0.6534000000000001,11482
2021-10-13,ADORWELD,697.0,720.0,688.8,715.5,7588,0.6459999999999999,11746
2021-10-14,ADORWELD,724.8,729.9,713.0,713.1,9191,0.6983,13162
2021-10-18,ADORWELD,717.0,736.0,691.15,710.85,9085,0.09670000000000001,93970
2021-10-19,ADORWELD,710.85,719.8,685.55,699.45,9078,0.5455,16641
