Date,symbol,open,high,low,close,deliverable volume,deliverable_percentage,volume
2021-09-01,ADSL,74.0,74.25,68.75,69.95,210628,0.6296,334545
2021-09-02,ADSL,70.0,71.7,68.6,70.8,127755,0.5304,240867
2021-09-03,ADSL,70.95,71.4,69.2,70.35,108848,0.5708,190685
2021-09-06,ADSL,70.45,71.4,69.05,69.5,87444,0.5953,146899
2021-09-07,ADSL,69.4,70.5,67.0,67.8,106559,0.5397,197447
2021-09-08,ADSL,67.5,70.0,66.8,68.15,76699,0.4823,159041
2021-09-09,ADSL,67.9,69.35,67.05,68.1,58492,0.3722,157154
2021-09-13,ADSL,68.9,74.9,66.9,73.95,364582,0.544,670236
2021-09-14,ADSL,75.0,78.65,73.2,74.15,414431,0.49570000000000003,836087
2021-09-15,ADSL,75.4,75.4,72.0,73.15,141727,0.513,276276
2021-09-16,ADSL,73.0,74.15,71.15,71.6,87832,0.6034,145572
2021-09-17,ADSL,72.0,73.5,68.8,70.85,103659,0.5244,197667
2021-09-20,ADSL,69.0,71.15,68.0,68.45,119438,0.618,193259
2021-09-21,ADSL,67.05,69.2,66.6,68.4,72371,0.5157,140332
2021-09-22,ADSL,68.4,70.5,68.1,68.55,69906,0.5206000000000001,134269
2021-09-23,ADSL,70.25,70.25,68.6,68.75,49223,0.6133,80255
2021-09-24,ADSL,69.7,70.15,67.8,68.85,76352,0.7084999999999999,107767
2021-09-27,ADSL,70.0,70.0,67.9,68.55,62418,0.6919,90215
2021-09-28,ADSL,68.5,72.25,67.75,70.4,117140,0.5936,197330
2021-09-29,ADSL,69.8,73.5,69.5,71.6,158414,0.5628000000000001,281461
2021-09-30,ADSL,71.6,74.0,70.55,73.3,152173,0.5285,287928
2021-10-01,ADSL,73.0,76.8,71.75,75.75,296449,0.5599000000000001,529439
2021-10-04,ADSL,76.4,78.8,75.05,75.3,208205,0.5545,375460
2021-10-05,ADSL,75.6,82.8,75.0,82.8,814432,0.47250000000000003,1723612
2021-10-06,ADSL,85.0,89.0,80.65,82.0,641953,0.47990000000000005,1337706
