Date,symbol,open,high,low,close,deliverable volume,deliverable_percentage,volume
2021-09-01,ADVENZYMES,383.1,390.0,381.35,384.45,96642,0.4153,232718
2021-09-02,ADVENZYMES,384.9,390.0,378.2,379.75,146548,0.6470999999999999,226453
2021-09-03,ADVENZYMES,380.1,383.55,377.05,378.7,34463,0.4025,85617
2021-09-06,ADVENZYMES,381.0,381.0,375.0,376.2,37647,0.4534,83034
2021-09-07,ADVENZYMES,377.0,379.35,366.05,368.75,59915,0.5079,117960
2021-09-08,ADVENZYMES,370.6,372.0,364.3,366.3,75001,0.4825,155455
2021-09-09,ADVENZYMES,366.3,376.5,364.3,366.55,63827,0.39030000000000004,163553
2021-09-13,ADVENZYMES,367.7,422.35,366.25,412.3,670929,0.1174,5716457
2021-09-14,ADVENZYMES,414.85,417.7,403.0,407.3,260342,0.24980000000000002,1042393
2021-09-15,ADVENZYMES,409.2,413.95,390.0,393.75,269215,0.37320000000000003,721363
2021-09-16,ADVENZYMES,395.2,396.7,385.15,390.2,186524,0.4307,433042
2021-09-17,ADVENZYMES,392.9,409.2,390.1,398.95,251827,0.3123,806265
2021-09-20,ADVENZYMES,394.7,405.95,387.95,390.9,143025,0.2747,520743
2021-09-21,ADVENZYMES,392.7,392.7,380.3,384.8,208590,0.5557,375378
2021-09-22,ADVENZYMES,387.0,396.85,384.6,390.6,83836,0.3308,253441
2021-09-23,ADVENZYMES,393.0,394.95,385.75,387.35,100257,0.49369999999999997,203092
2021-09-24,ADVENZYMES,388.7,391.35,378.05,380.2,95502,0.5058,188830
2021-09-27,ADVENZYMES,384.0,392.35,381.55,385.45,136582,0.4808,284062
2021-09-28,ADVENZYMES,386.0,391.0,383.5,384.8,126896,0.4869,260605
2021-09-29,ADVENZYMES,383.75,396.9,383.0,390.9,140290,0.4361,321684
2021-09-30,ADVENZYMES,394.4,395.85,387.15,388.55,82355,0.349,235983
2021-10-01,ADVENZYMES,387.5,391.85,378.25,384.05,117167,0.3826,306252
2021-10-04,ADVENZYMES,386.7,391.7,385.8,387.8,97057,0.484,200522
2021-10-05,ADVENZYMES,388.7,394.0,387.0,389.0,97158,0.3679,264097
2021-10-06,ADVENZYMES,389.5,404.35,389.5,400.35,304402,0.4329,703221
2021-10-07,ADVENZYMES,404.05,408.0,400.0,402.3,131656,0.3965,332082
2021-10-08,ADVENZYMES,402.25,420.9,402.25,405.3,389462,0.39640000000000003,982434
2021-10-11,ADVENZYMES,408.7,421.5,404.5,412.9,338140,0.46240000000000003,731286
