Date,symbol,open,high,low,close,deliverable volume,deliverable_percentage,volume
2021-09-01,AEGISCHEM,268.0,269.5,261.25,262.6,222542,0.5513,403697
2021-09-02,AEGISCHEM,263.6,266.2,258.4,260.25,183021,0.5705,320824
2021-09-03,AEGISCHEM,261.8,262.9,255.9,259.15,218607,0.5618,389151
2021-09-06,AEGISCHEM,261.4,262.05,254.0,256.95,263485,0.5756,457783
2021-09-07,AEGISCHEM,258.25,258.6,252.3,253.2,288495,0.6424,449121
2021-09-08,AEGISCHEM,253.5,267.9,249.25,259.65,708824,0.46020000000000005,1540352
2021-09-09,AEGISCHEM,260.95,264.65,256.55,259.05,240185,0.5258,456825
2021-09-13,AEGISCHEM,251.6,252.0,239.0,244.8,1164188,0.4596,2533134
2021-09-14,AEGISCHEM,244.45,251.5,241.5,243.0,580325,0.5004,1159830
2021-09-15,AEGISCHEM,244.0,247.0,241.05,242.3,459187,0.5194,884083
2021-09-16,AEGISCHEM,243.0,244.5,237.6,238.9,501922,0.5849000000000001,858078
2021-09-17,AEGISCHEM,240.8,245.7,231.0,241.7,1168991,0.5528000000000001,2114760
2021-09-20,AEGISCHEM,242.0,250.5,238.0,239.6,464149,0.3973,1168209
2021-09-21,AEGISCHEM,240.1,246.0,234.65,244.55,308900,0.4475,690298
2021-09-22,AEGISCHEM,246.0,249.65,238.2,239.05,571885,0.5643,1013388
2021-09-23,AEGISCHEM,241.0,242.5,235.85,238.65,403593,0.507,796003
2021-09-24,AEGISCHEM,240.0,245.75,240.0,244.05,550014,0.5683,967771
2021-09-27,AEGISCHEM,246.0,246.0,240.25,243.5,293166,0.5534,529779
2021-09-28,AEGISCHEM,243.55,244.5,235.75,236.6,363784,0.6479,561497
2021-09-29,AEGISCHEM,236.0,236.0,229.0,229.4,553697,0.6342,873009
2021-09-30,AEGISCHEM,229.4,235.5,227.0,227.6,372773,0.5275,706687
2021-10-01,AEGISCHEM,228.25,232.45,227.6,228.9,209779,0.4533,462817
2021-10-04,AEGISCHEM,232.0,233.05,227.5,229.25,296276,0.4907,603789
2021-10-05,AEGISCHEM,230.85,232.95,229.25,230.15,398263,0.5761999999999999,691195
2021-10-06,AEGISCHEM,231.7,233.0,227.35,228.55,227645,0.4643,490329
