Date,symbol,open,high,low,close,deliverable volume,deliverable_percentage,volume
2021-09-01,AGARIND,321.85,321.85,311.0,312.05,12388,0.7893000000000001,15695
2021-09-02,AGARIND,317.65,327.65,303.15,320.5,11998,0.6437,18638
2021-09-03,AGARIND,321.0,327.7,313.65,322.45,8438,0.7492000000000001,11263
2021-09-06,AGARIND,332.8,334.95,326.1,328.1,7124,0.7256,9818
2021-09-07,AGARIND,328.0,328.0,316.0,317.6,9286,0.7551000000000001,12297
2021-09-08,AGARIND,325.0,325.0,310.1,318.25,12281,0.7933,15481
2021-09-09,AGARIND,324.0,324.0,314.4,315.3,5967,0.5574,10705
2021-09-13,AGARIND,321.65,321.65,312.75,313.3,6551,0.7684000000000001,8526
2021-09-14,AGARIND,315.0,319.5,310.0,311.45,8759,0.7222,12128
2021-09-15,AGARIND,313.45,315.95,302.1,305.35,15637,0.6511,24017
2021-09-16,AGARIND,305.35,311.95,305.05,308.2,9661,0.703,13742
2021-09-17,AGARIND,315.9,315.9,302.0,303.35,5911,0.6773,8727
2021-09-20,AGARIND,304.0,309.0,290.15,293.8,11599,0.8140000000000001,14250
2021-09-21,AGARIND,289.0,298.35,282.1,292.6,15564,0.7972,19524
2021-09-22,AGARIND,303.9,305.3,290.4,304.4,12562,0.8235,15254
2021-09-23,AGARIND,315.95,315.95,301.2,302.95,8396,0.7587999999999999,11065
2021-09-24,AGARIND,300.05,305.0,300.0,301.3,11319,0.8683,13036
2021-09-27,AGARIND,309.0,316.35,301.5,316.35,33571,0.8142,41233
2021-09-28,AGARIND,318.0,332.15,312.2,332.0,95971,0.789,121631
2021-09-29,AGARIND,340.45,348.6,334.15,347.3,86377,0.7522,114826
2021-09-30,AGARIND,350.7,358.95,336.2,350.85,27346,0.49340000000000006,55420
2021-10-01,AGARIND,349.8,350.85,336.0,339.05,46723,0.6967,67062
2021-10-04,AGARIND,346.0,356.0,346.0,356.0,74689,0.8287000000000001,90125
2021-10-05,AGARIND,356.0,373.8,356.0,373.8,44816,0.9046,49541
2021-10-06,AGARIND,390.0,392.45,385.0,392.45,71923,0.8014,89743
2021-10-07,AGARIND,414.0,414.0,372.0,384.1,90425,0.5603,161373
2021-10-08,AGARIND,387.2,400.0,375.0,390.65,48513,0.4276,113452
2021-10-11,AGARIND,396.5,398.4,375.0,379.55,24603,0.2569,95779
2021-10-12,AGARIND,375.0,384.25,363.2,371.1,33449,0.3109,107571
2021-10-13,AGARIND,368.3,376.05,357.65,362.55,23102,0.7221,31995
2021-10-14,AGARIND,367.9,372.8,357.05,368.55,28078,0.6548,42877
2021-10-18,AGARIND,373.0,380.0,362.1,368.1,28041,0.526,53310
2021-10-19,AGARIND,373.6,374.0,346.0,351.5,26027,0.5561,46802
2021-10-20,AGARIND,355.0,355.0,320.0,328.7,38175,0.5829,65495
2021-10-21,AGARIND,332.45,343.5,330.15,332.7,28763,0.6058,47482
2021-10-22,AGARIND,337.9,339.9,321.1,326.35,9176,0.544,16867
2021-10-25,AGARIND,339.2,339.2,320.0,332.3,17740,0.49570000000000003,35786
2021-10-26,AGARIND,335.0,337.65,329.6,331.2,9586,0.6485,14782
2021-10-27,AGARIND,331.05,334.85,320.95,323.4,7839,0.6896,11368
2021-10-28,AGARIND,320.05,324.7,315.05,319.8,13899,0.753,18457
2021-10-29,AGARIND,315.5,317.0,310.2,311.45,16535,0.6398,25843
2021-11-01,AGARIND,317.0,327.95,313.35,321.8,10698,0.38,28151
2021-11-02,AGARIND,328.7,349.75,325.1,337.85,20459,0.40850000000000003,50084
2021-11-03,AGARIND,345.0,364.0,340.0,352.8,41501,0.546,76011
2021-11-04,AGARIND,359.95,360.9,351.85,354.15,13363,0.7381000000000001,18105
2021-11-08,AGARIND,359.9,379.0,346.75,372.55,33813,0.46049999999999996,73425
2021-11-09,AGARIND,375.0,388.8,367.5,379.65,37391,0.39270000000000005,95224
2021-11-10,AGARIND,381.0,405.0,369.2,399.0,120744,0.5154,234255
2021-11-11,AGARIND,403.0,408.0,375.15,384.25,61478,0.4889,125747
2021-11-12,AGARIND,388.7,388.7,365.0,373.25,37942,0.5949,63779
2021-11-15,AGARIND,342.85,403.0,342.85,395.45,105363,0.45890000000000003,229598
2021-11-16,AGARIND,395.0,400.0,381.1,384.05,39880,0.6583,60579
2021-11-17,AGARIND,380.0,388.9,372.1,382.4,31941,0.7284999999999999,43843
2021-11-18,AGARIND,375.1,383.95,370.0,375.5,27759,0.5149,53910
2021-11-22,AGARIND,375.5,379.0,354.45,359.7,47527,0.7145999999999999,66513
2021-11-23,AGARIND,360.0,386.8,360.0,383.8,50703,0.7493000000000001,67668
2021-11-24,AGARIND,387.95,401.7,380.3,387.25,60691,0.6392,94954
2021-11-25,AGARIND,387.0,425.95,385.5,425.5,162744,0.584,278673
2021-11-26,AGARIND,425.5,439.0,400.0,402.2,82085,0.4903,167403
