Date,symbol,open,high,low,close,deliverable volume,deliverable_percentage,volume
2021-10-25,AJMERA,306.2,328.0,303.75,304.65,12942,0.721,17951
2021-10-26,AJMERA,306.3,319.85,300.3,319.85,17976,0.7792,23069
2021-10-27,AJMERA,334.8,335.8,326.0,331.05,25309,0.7347,34450
2021-10-28,AJMERA,327.0,335.7,314.5,319.0,9147,0.5222,17517
2021-10-29,AJMERA,308.95,334.95,308.95,328.95,162880,0.9501000000000001,171430
2021-11-01,AJMERA,345.35,345.35,325.0,341.0,15231,0.6088,25017
2021-11-29,AJMERA,300.0,300.0,284.2,289.35,7429,0.6853,10841
2021-11-30,AJMERA,299.95,301.0,280.15,281.95,18741,0.6865000000000001,27301
2021-12-01,AJMERA,287.6,294.0,280.45,288.7,5034,0.7743000000000001,6501
2021-12-02,AJMERA,288.9,293.4,286.7,289.55,10112,0.7183,14078
2021-12-03,AJMERA,291.0,296.95,286.1,288.15,9491,0.7406,12815
2021-12-06,AJMERA,290.0,298.0,275.3,280.55,23906,0.7443000000000001,32119
2021-12-07,AJMERA,289.9,294.55,279.05,294.2,60141,0.7284999999999999,82549
2021-12-08,AJMERA,301.4,301.4,288.05,294.35,11637,0.48369999999999996,24056
2021-12-09,AJMERA,298.65,298.65,290.0,291.7,6595,0.7019,9396
2021-12-10,AJMERA,293.75,296.15,289.05,294.7,4204,0.5364,7838
2021-12-13,AJMERA,294.7,305.95,294.7,297.3,16731,0.7835,21354
2021-12-14,AJMERA,304.9,304.9,290.65,291.7,10906,0.7568000000000001,14410
2021-12-15,AJMERA,290.25,293.95,281.65,284.5,6251,0.5623,11116
2021-12-16,AJMERA,290.05,292.85,283.9,288.75,6192,0.7263,8525
2021-12-17,AJMERA,286.2,290.6,274.35,276.35,9958,0.5712,17434
2021-12-20,AJMERA,267.1,276.35,262.55,262.55,9845,0.7432,13246
2021-12-21,AJMERA,262.55,275.65,258.3,269.6,10336,0.6352000000000001,16273
2021-12-22,AJMERA,274.9,274.9,264.0,267.0,58944,0.7325,80469
2021-12-23,AJMERA,267.0,274.95,266.0,268.25,11285,0.7459,15129
2021-12-24,AJMERA,268.25,270.95,256.1,260.5,29252,0.7528,38860
2021-12-27,AJMERA,270.0,286.55,262.8,280.1,44205,0.6928,63802
2021-12-28,AJMERA,271.2,292.1,271.2,284.9,22710,0.5995,37883
2021-12-29,AJMERA,287.85,287.85,276.0,278.35,7985,0.5472,14593
2021-12-30,AJMERA,273.0,286.0,273.0,275.4,64660,0.9244,69947
2021-12-31,AJMERA,279.95,282.2,271.8,280.85,6347,0.4606,13779
2022-01-03,AJMERA,286.95,308.9,281.15,299.4,38277,0.44930000000000003,85184
2022-01-04,AJMERA,317.75,329.0,304.0,304.9,82428,0.4645,177467
2022-01-05,AJMERA,306.5,309.5,298.55,301.4,13129,0.5586,23503
2022-01-06,AJMERA,300.0,300.0,291.2,291.95,21863,0.6965000000000001,31392
2022-01-07,AJMERA,296.85,298.0,285.8,296.35,23089,0.5465,42250
2022-01-10,AJMERA,301.0,325.95,295.4,325.95,50710,0.9867,51396
2022-01-11,AJMERA,345.0,358.5,330.0,358.5,90634,0.5772,157017
2022-01-12,AJMERA,371.95,394.35,366.0,387.95,200323,0.4275,468627
2022-01-13,AJMERA,386.0,395.2,368.6,388.35,122079,0.4123,296058
2022-01-14,AJMERA,387.0,407.75,380.0,407.75,94628,0.6016,157297
2022-01-17,AJMERA,419.9,428.1,401.2,428.1,91509,0.41619999999999996,219858
2022-01-18,AJMERA,444.95,449.5,422.2,439.35,149351,0.4533,329464
2022-01-19,AJMERA,448.7,448.7,417.4,417.4,71889,0.6820999999999999,105400
2022-01-20,AJMERA,414.8,435.0,405.0,432.45,60450,0.40130000000000005,150632
2022-01-21,AJMERA,435.0,448.0,410.85,435.75,103202,0.3049,338532
2022-01-24,AJMERA,444.0,446.0,414.0,414.25,23295,0.4879,138040
2022-01-25,AJMERA,401.1,423.0,393.55,412.0,23977,0.46740000000000004,51298
2022-01-27,AJMERA,408.0,408.9,391.7,395.55,23331,0.505,46203
2022-01-28,AJMERA,400.0,415.3,381.1,415.05,42268,0.7018000000000001,60231
2022-01-31,AJMERA,420.0,435.8,418.75,435.8,101684,0.5075999999999999,200318
2022-02-01,AJMERA,444.0,457.55,439.4,457.55,201267,0.6467,311239
2022-02-02,AJMERA,475.0,480.4,467.1,480.4,77654,0.7585,102382
2022-02-03,AJMERA,489.95,495.0,456.4,458.45,110569,0.5336,207230
2022-02-04,AJMERA,465.0,465.0,442.2,452.25,22768,0.49369999999999997,46118
2022-02-07,AJMERA,450.0,450.0,429.65,430.0,38971,0.6196,62894
2022-02-08,AJMERA,432.6,449.2,408.5,416.0,70347,0.5368,131051
2022-02-09,AJMERA,428.0,428.0,395.2,395.4,55932,0.6411,87244
2022-02-10,AJMERA,382.15,415.15,382.15,415.15,29393,0.6376,46100
2022-02-11,AJMERA,423.7,433.0,410.1,427.6,44069,0.5165,85327
2022-02-14,AJMERA,407.05,420.0,406.25,406.25,23911,0.5737,41676
2022-02-15,AJMERA,402.0,420.5,386.5,414.95,30226,0.4924,61383
2022-02-16,AJMERA,423.9,427.75,398.3,401.8,18488,0.6078,30419
