Date,symbol,open,high,low,close,deliverable volume,deliverable_percentage,volume
2021-09-01,ALBERTDAVD,584.75,592.0,568.3,571.45,10611,0.5113000000000001,20753
2021-09-02,ALBERTDAVD,571.2,581.1,565.0,569.0,6805,0.5272,12908
2021-09-03,ALBERTDAVD,572.8,617.65,563.0,602.25,39733,0.45380000000000004,87548
2021-09-06,ALBERTDAVD,605.0,620.05,595.65,610.15,18553,0.4504,41195
2021-09-07,ALBERTDAVD,614.0,614.7,591.35,593.9,7029,0.5508,12762
2021-09-08,ALBERTDAVD,594.0,611.0,592.85,597.4,5890,0.5309,11095
2021-09-09,ALBERTDAVD,599.8,607.4,588.5,593.85,7169,0.39630000000000004,18089
2021-09-13,ALBERTDAVD,603.0,603.0,585.0,587.5,5579,0.5112,10913
2021-09-14,ALBERTDAVD,590.1,598.0,585.25,591.2,5207,0.39909999999999995,13048
2021-09-15,ALBERTDAVD,594.95,618.25,591.3,601.3,13581,0.42460000000000003,31983
2021-09-16,ALBERTDAVD,605.6,629.0,601.2,608.4,14966,0.28440000000000004,52614
2021-09-17,ALBERTDAVD,611.15,617.0,592.0,593.8,16773,0.5795,28946
2021-09-20,ALBERTDAVD,596.9,599.95,581.55,585.05,9857,0.6053000000000001,16284
2021-09-21,ALBERTDAVD,580.55,592.9,578.3,588.25,6603,0.461,14322
2021-09-22,ALBERTDAVD,588.25,599.7,586.0,589.25,4890,0.3957,12359
2021-09-23,ALBERTDAVD,591.0,604.0,590.25,593.05,6324,0.5334000000000001,11856
2021-09-24,ALBERTDAVD,592.75,602.55,587.75,589.25,6828,0.4814,14184
2021-09-27,ALBERTDAVD,590.5,595.95,585.0,589.45,5431,0.5183,10478
2021-09-28,ALBERTDAVD,595.0,595.0,580.1,586.35,4407,0.5740999999999999,7677
2021-09-29,ALBERTDAVD,585.6,593.5,585.6,590.1,2402,0.4983,4820
2021-09-30,ALBERTDAVD,588.15,613.0,588.1,601.25,11373,0.47340000000000004,24026
2021-10-01,ALBERTDAVD,591.3,605.1,590.1,592.2,6303,0.5433,11602
2021-10-04,ALBERTDAVD,588.05,615.0,588.05,604.25,13323,0.3164,42107
2021-10-05,ALBERTDAVD,605.9,625.8,605.0,610.8,14057,0.4755,29563
2021-10-06,ALBERTDAVD,623.7,623.7,600.05,601.65,8091,0.4213,19206
2021-10-07,ALBERTDAVD,605.7,614.1,598.5,604.0,3806,0.539,7061
2021-10-08,ALBERTDAVD,604.5,623.65,604.5,617.75,14656,0.5417000000000001,27057
2021-10-11,ALBERTDAVD,618.15,636.0,616.1,618.95,18141,0.6046,30003
2021-10-12,ALBERTDAVD,617.1,634.4,617.1,623.05,8650,0.43210000000000004,20020
2021-10-13,ALBERTDAVD,618.3,628.8,611.0,615.5,7151,0.1438,49717
2021-10-14,ALBERTDAVD,616.85,624.95,606.3,617.55,10884,0.1252,86902
2021-10-18,ALBERTDAVD,617.3,644.0,617.25,632.35,22338,0.0977,228709
2021-10-19,ALBERTDAVD,627.2,635.5,601.0,605.7,10866,0.3091,35150
2021-10-20,ALBERTDAVD,607.55,607.55,581.55,588.6,12408,0.4572,27137
2021-10-21,ALBERTDAVD,591.25,595.95,582.35,584.45,6292,0.42450000000000004,14823
2021-10-22,ALBERTDAVD,588.65,594.0,584.1,585.6,4718,0.5391,8751
2021-10-25,ALBERTDAVD,586.0,589.85,560.35,566.35,11702,0.5468000000000001,21399
2021-10-26,ALBERTDAVD,562.0,580.2,562.0,569.75,5737,0.6635,8646
2021-10-27,ALBERTDAVD,569.75,582.6,569.5,577.5,3190,0.5361,5950
2021-10-28,ALBERTDAVD,574.65,584.85,571.0,574.3,2567,0.5437,4721
2021-10-29,ALBERTDAVD,573.55,576.0,567.3,569.45,3488,0.5731,6086
2021-11-01,ALBERTDAVD,574.1,586.3,568.0,579.55,6426,0.6577,9770
2021-11-02,ALBERTDAVD,579.55,608.8,579.55,599.55,9979,0.5775,17281
2021-11-03,ALBERTDAVD,609.0,616.0,601.05,607.6,7499,0.6278,11945
2021-11-04,ALBERTDAVD,605.7,613.05,604.05,608.85,1941,0.6622,2931
2021-11-08,ALBERTDAVD,612.8,624.3,603.0,617.7,13880,0.687,20205
2021-11-09,ALBERTDAVD,617.3,626.95,612.45,614.95,10566,0.628,16826
2021-11-10,ALBERTDAVD,614.05,635.0,614.0,623.95,8497,0.6625,12826
2021-11-11,ALBERTDAVD,622.95,637.0,610.0,629.95,13381,0.635,21073
2021-11-12,ALBERTDAVD,632.55,639.7,624.15,629.85,17347,0.6359,27281
2021-11-15,ALBERTDAVD,648.2,658.6,625.65,634.1,36572,0.5708,64077
2021-11-16,ALBERTDAVD,630.1,639.95,624.0,627.35,5968,0.7044,8472
2021-11-17,ALBERTDAVD,619.0,630.1,600.95,611.15,11076,0.6977,15876
2021-11-18,ALBERTDAVD,602.0,610.95,594.8,596.8,5088,0.6056,8401
2021-11-22,ALBERTDAVD,598.55,598.55,577.3,578.7,5215,0.6552,7960
2021-11-23,ALBERTDAVD,571.25,590.0,571.25,584.65,2823,0.6948000000000001,4063
2021-11-24,ALBERTDAVD,586.35,604.0,577.0,582.75,5535,0.6052000000000001,9146
2021-11-25,ALBERTDAVD,580.0,594.05,580.0,585.95,2653,0.585,4535
2021-11-26,ALBERTDAVD,582.5,620.0,572.25,593.05,16891,0.38560000000000005,43806
2021-11-29,ALBERTDAVD,587.1,598.0,580.75,582.9,9147,0.7297,12536
2021-11-30,ALBERTDAVD,586.75,594.35,575.2,579.8,2704,0.3922,6895
2021-12-01,ALBERTDAVD,579.75,588.05,575.35,580.2,5204,0.7047,7385
2021-12-02,ALBERTDAVD,579.85,593.95,577.1,584.3,3013,0.4197,7179
2021-12-03,ALBERTDAVD,586.95,591.0,583.25,585.5,2207,0.7142000000000001,3090
2021-12-06,ALBERTDAVD,585.5,591.0,575.5,580.5,2631,0.4325,6083
2021-12-07,ALBERTDAVD,586.25,590.8,578.9,585.45,5312,0.7198000000000001,7380
2021-12-08,ALBERTDAVD,587.35,594.0,580.15,585.5,3256,0.5361,6074
2021-12-09,ALBERTDAVD,585.05,585.05,573.1,580.95,4936,0.5872999999999999,8404
2021-12-10,ALBERTDAVD,580.0,589.9,580.0,584.55,2251,0.6603,3409
2021-12-13,ALBERTDAVD,602.0,609.95,594.95,600.05,4295,0.489,8783
2021-12-14,ALBERTDAVD,601.3,607.9,587.4,595.95,4094,0.6421,6376
2021-12-15,ALBERTDAVD,595.85,599.35,589.55,591.85,2634,0.7107,3706
2021-12-16,ALBERTDAVD,592.15,600.05,582.1,584.85,8163,0.7726000000000001,10565
2021-12-17,ALBERTDAVD,582.9,593.0,576.45,581.6,6541,0.7105,9206
2021-12-20,ALBERTDAVD,576.1,580.0,556.4,559.95,13330,0.5619,23721
2021-12-21,ALBERTDAVD,558.0,620.0,558.0,574.9,4676,0.6728000000000001,6950
2021-12-22,ALBERTDAVD,578.0,588.05,574.05,583.5,3670,0.6373,5759
2021-12-23,ALBERTDAVD,580.45,593.45,580.45,588.9,2234,0.5351,4175
2021-12-24,ALBERTDAVD,593.6,598.45,580.7,584.9,4097,0.4905,8353
2021-12-27,ALBERTDAVD,583.0,588.0,581.2,584.2,3469,0.7387,4696
2021-12-28,ALBERTDAVD,593.15,595.0,586.25,590.05,3491,0.7104,4914
2021-12-29,ALBERTDAVD,584.5,599.95,584.5,594.9,2896,0.5456000000000001,5308
2021-12-30,ALBERTDAVD,597.0,624.95,594.55,604.8,8874,0.6282,14125
2021-12-31,ALBERTDAVD,611.9,615.0,602.1,604.6,2146,0.449,4779
2022-01-03,ALBERTDAVD,610.0,725.0,602.0,673.4,103136,0.2361,436828
2022-01-04,ALBERTDAVD,677.0,696.0,640.1,652.5,37751,0.3688,102367
2022-01-05,ALBERTDAVD,662.3,675.0,655.0,662.05,12098,0.4362,27736
2022-01-06,ALBERTDAVD,661.4,709.1,651.95,695.5,36980,0.31829999999999997,116191
2022-01-07,ALBERTDAVD,699.85,730.0,675.05,688.05,36113,0.2536,142426
2022-01-10,ALBERTDAVD,694.9,705.0,688.0,697.7,14754,0.4498,32800
