Date,symbol,open,high,low,close,deliverable volume,deliverable_percentage,volume
2021-09-01,AMBUJACEM,423.0,424.05,418.8,421.5,862096,0.45130000000000003,1910281
2021-09-02,AMBUJACEM,421.55,432.0,421.5,428.7,1396733,0.3331,4193528
2021-09-03,AMBUJACEM,430.85,437.85,425.5,437.1,1887801,0.41880000000000006,4507212
2021-09-06,AMBUJACEM,440.85,442.0,436.65,438.3,1161458,0.325,3574072
2021-09-07,AMBUJACEM,437.15,442.5,434.0,441.5,838519,0.40700000000000003,2060092
2021-09-08,AMBUJACEM,441.45,441.45,433.5,435.95,1654921,0.5179,3195625
2021-09-09,AMBUJACEM,432.95,440.35,432.1,438.35,531759,0.39030000000000004,1362416
2021-09-13,AMBUJACEM,437.1,439.7,434.4,436.25,835832,0.4667,1790853
2021-09-14,AMBUJACEM,436.55,436.85,428.5,432.45,1589583,0.5534,2872240
2021-09-15,AMBUJACEM,432.45,438.05,431.45,437.05,1490950,0.5763,2587288
2021-09-16,AMBUJACEM,437.05,439.7,427.8,430.2,1804701,0.542,3329646
2021-09-17,AMBUJACEM,431.9,432.35,418.45,419.8,3325215,0.6304,5274442
2021-09-20,AMBUJACEM,416.9,419.2,408.25,409.8,2083091,0.498,4182620
2021-09-21,AMBUJACEM,407.75,414.0,402.4,413.2,2136494,0.48710000000000003,4386443
2021-09-22,AMBUJACEM,414.65,422.85,413.05,419.5,1523735,0.47130000000000005,3233311
2021-09-23,AMBUJACEM,421.9,422.9,415.1,419.55,1027386,0.4719,2177190
2021-09-24,AMBUJACEM,421.0,423.5,408.85,410.7,1347515,0.4693,2871092
2021-09-27,AMBUJACEM,412.0,420.0,407.45,418.0,2162256,0.4618,4682546
2021-09-28,AMBUJACEM,421.0,424.5,411.1,413.1,2053636,0.441,4657118
2021-09-29,AMBUJACEM,410.0,410.0,401.15,406.45,3230150,0.5638000000000001,5728780
2021-09-30,AMBUJACEM,408.0,408.35,398.4,400.2,6008319,0.6452,9312005
2021-10-01,AMBUJACEM,399.9,404.8,396.0,402.25,1912259,0.41009999999999996,4662848
2021-10-04,AMBUJACEM,404.9,409.95,402.5,406.5,2224797,0.5397,4122450
2021-10-05,AMBUJACEM,406.45,407.6,402.8,403.65,1480614,0.5910000000000001,2505330
