Date,symbol,open,high,low,close,deliverable volume,deliverable_percentage,volume
2021-09-01,AMJLAND,29.35,34.35,28.15,34.25,150668,0.3106,485037
2021-09-02,AMJLAND,36.3,36.3,32.5,34.95,208799,0.3649,572265
2021-09-03,AMJLAND,35.4,35.4,33.1,34.1,46371,0.5085000000000001,91192
2021-09-06,AMJLAND,34.1,34.45,31.45,32.15,58056,0.5744,101072
2021-09-07,AMJLAND,32.85,32.9,30.25,30.7,30805,0.6255,49246
2021-09-08,AMJLAND,30.95,33.6,30.1,33.2,58642,0.5099,115010
2021-09-09,AMJLAND,33.8,33.8,32.05,32.2,12782,0.5313,24058
2021-09-13,AMJLAND,32.8,32.8,31.4,31.85,14716,0.8406,17506
2021-09-14,AMJLAND,32.6,32.6,31.5,31.95,12227,0.6695000000000001,18262
2021-09-15,AMJLAND,31.55,34.5,31.55,31.9,43884,0.5256000000000001,83495
2021-09-16,AMJLAND,32.0,32.65,31.95,32.0,7478,0.6724,11122
2021-09-17,AMJLAND,32.95,37.45,31.75,35.1,275852,0.3837,718935
2021-09-20,AMJLAND,35.1,35.5,32.7,32.95,85671,0.5953,143916
2021-09-21,AMJLAND,33.9,36.95,32.7,36.35,165925,0.47750000000000004,347510
2021-09-22,AMJLAND,38.0,40.2,36.8,38.25,381930,0.4042,944833
2021-09-23,AMJLAND,38.65,41.8,37.8,40.2,363624,0.3188,1140624
2021-09-24,AMJLAND,40.25,42.7,39.45,40.1,216638,0.44920000000000004,482278
2021-09-27,AMJLAND,40.55,41.5,37.1,37.95,84639,0.4437,190776
2021-09-28,AMJLAND,38.5,40.0,34.8,38.7,118447,0.2018,587008
2021-09-29,AMJLAND,38.85,39.65,37.6,38.15,63648,0.3801,167461
2021-09-30,AMJLAND,38.5,39.85,37.5,37.8,53459,0.3935,135841
2021-10-01,AMJLAND,37.55,38.6,37.55,37.85,36017,0.5639000000000001,63870
2021-10-04,AMJLAND,37.3,38.25,37.1,37.3,40125,0.5906,67935
2021-10-05,AMJLAND,37.75,38.0,36.5,36.95,41823,0.6493000000000001,64408
2021-10-06,AMJLAND,37.45,37.5,36.1,36.35,33732,0.6365,52992
2021-10-07,AMJLAND,36.0,38.7,36.0,37.85,42018,0.5351,78528
2021-10-08,AMJLAND,39.5,39.5,37.1,37.2,30436,0.5434,56011
2021-10-11,AMJLAND,37.3,37.95,35.2,36.55,25930,0.5444,47628
2021-10-12,AMJLAND,36.1,39.0,36.05,37.25,34234,0.5796,59066
2021-10-13,AMJLAND,37.25,38.35,36.4,36.55,21343,0.6375000000000001,33478
2021-10-14,AMJLAND,36.25,37.0,35.9,36.0,24913,0.5590999999999999,44557
2021-10-18,AMJLAND,36.95,36.95,35.35,35.55,24883,0.5707,43603
2021-10-19,AMJLAND,35.3,35.75,33.55,33.95,41181,0.7016,58694
2021-10-20,AMJLAND,34.8,34.8,32.4,32.95,32920,0.64,51439
2021-10-21,AMJLAND,34.65,37.0,33.0,35.75,66644,0.4636,143743
2021-10-22,AMJLAND,35.9,35.9,34.1,34.55,22066,0.5597,39427
2021-10-25,AMJLAND,34.9,35.4,33.7,33.9,10401,0.6635,15676
2021-10-26,AMJLAND,34.4,34.65,33.6,34.05,12354,0.6419,19245
2021-10-27,AMJLAND,34.3,34.3,32.05,33.4,19651,0.5311,36998
2021-10-28,AMJLAND,33.9,35.0,33.0,33.55,27844,0.5009,55587
2021-10-29,AMJLAND,33.5,33.7,32.6,33.2,9121,0.4671,19527
2021-11-01,AMJLAND,34.8,34.9,33.35,34.0,18902,0.4817,39241
2021-11-02,AMJLAND,34.65,34.65,33.15,33.4,19686,0.6712,29331
2021-11-03,AMJLAND,33.05,34.6,32.9,34.15,16450,0.5818,28275
2021-11-04,AMJLAND,34.85,34.9,33.2,34.35,14721,0.8086,18206
2021-11-08,AMJLAND,34.9,36.0,34.0,34.2,19585,0.6784,28868
2021-11-09,AMJLAND,34.9,34.95,33.5,33.9,18703,0.6756000000000001,27683
2021-11-10,AMJLAND,33.25,34.35,33.1,33.7,27198,0.7399,36758
2021-11-11,AMJLAND,33.7,36.3,33.4,35.25,56784,0.5035000000000001,112783
2021-11-12,AMJLAND,35.4,35.75,34.1,34.55,16745,0.71,23585
2021-11-15,AMJLAND,34.2,34.9,33.2,33.4,20753,0.6685,31044
2021-11-16,AMJLAND,34.3,34.35,31.8,32.4,47083,0.8343,56434
2021-11-17,AMJLAND,32.4,33.75,31.4,31.8,64113,0.7328,87487
2021-11-18,AMJLAND,32.0,32.5,30.65,31.4,22429,0.6415000000000001,34965
2021-11-22,AMJLAND,30.3,31.9,30.0,30.35,22586,0.5996,37670
2021-11-23,AMJLAND,30.7,32.55,30.35,31.6,17500,0.5619,31142
2021-11-24,AMJLAND,31.95,32.55,31.1,31.75,14167,0.6441,21996
2021-11-25,AMJLAND,32.3,32.9,30.95,31.25,25638,0.7497,34199
2021-11-26,AMJLAND,31.5,35.05,31.05,32.15,36730,0.6598,55671
2021-11-29,AMJLAND,32.15,32.2,30.35,30.8,14308,0.6104999999999999,23436
2021-11-30,AMJLAND,31.35,32.0,30.25,30.8,7030,0.6393,10997
2021-12-01,AMJLAND,31.45,31.55,30.8,31.2,6121,0.6535,9367
2021-12-02,AMJLAND,31.2,31.5,30.5,30.85,10768,0.7721,13947
2021-12-03,AMJLAND,30.5,31.35,30.5,31.05,8101,0.6636,12208
2021-12-06,AMJLAND,31.0,31.4,30.95,31.1,4984,0.5302,9400
2021-12-07,AMJLAND,31.4,31.65,31.0,31.05,9166,0.6533,14030
2021-12-08,AMJLAND,31.6,33.9,31.35,33.35,41622,0.6964,59764
2021-12-09,AMJLAND,33.9,33.9,32.55,33.0,16094,0.5063000000000001,31786
2021-12-10,AMJLAND,33.0,35.65,33.0,34.0,44089,0.4044,109034
2021-12-13,AMJLAND,34.75,35.9,32.75,33.65,21781,0.5024000000000001,43351
2021-12-14,AMJLAND,33.9,33.9,32.8,33.3,13876,0.5716,24274
2021-12-15,AMJLAND,33.0,34.2,33.0,33.6,16858,0.6361,26502
