Date,symbol,open,high,low,close,deliverable volume,deliverable_percentage,volume
2021-10-12,ANDHRACEMT,16.0,16.35,15.05,15.45,1566190,0.7714,2030372
2021-10-13,ANDHRACEMT,15.85,16.2,15.0,15.85,1154759,0.7472,1545486
2021-10-14,ANDHRACEMT,16.0,16.1,15.5,15.65,595614,0.7081999999999999,841035
2021-10-18,ANDHRACEMT,15.85,16.4,15.65,16.4,864532,0.8862000000000001,975587
2021-10-19,ANDHRACEMT,16.85,17.2,16.0,16.4,1180413,0.7320000000000001,1612483
2021-10-20,ANDHRACEMT,16.4,16.4,15.6,15.65,479650,0.7198000000000001,666362
2021-10-21,ANDHRACEMT,15.65,16.3,15.65,15.85,213412,0.6759000000000001,315731
2021-10-22,ANDHRACEMT,16.15,16.6,15.8,16.2,459987,0.8394,548016
2021-10-25,ANDHRACEMT,17.0,17.0,16.0,17.0,1332829,0.8618000000000001,1546638
2021-10-26,ANDHRACEMT,17.85,17.85,17.85,17.85,331773,1.0,331773
2021-10-27,ANDHRACEMT,18.7,18.7,18.7,18.7,302958,1.0,302958
2021-10-28,ANDHRACEMT,19.6,19.6,18.7,19.6,2024404,0.4119,4915365
2021-10-29,ANDHRACEMT,20.3,20.4,18.65,18.85,1954943,0.5415,3610173
2021-11-01,ANDHRACEMT,18.9,19.75,18.55,19.75,1080926,0.6149,1757869
2021-11-02,ANDHRACEMT,20.0,20.25,18.8,18.8,649140,0.8226000000000001,789095
2021-11-03,ANDHRACEMT,18.2,18.65,17.9,17.9,562298,0.7183,782847
2021-11-04,ANDHRACEMT,17.95,18.25,17.15,18.05,279599,0.6817000000000001,410145
2021-11-08,ANDHRACEMT,17.6,18.4,17.4,17.5,343868,0.626,549332
2021-11-09,ANDHRACEMT,17.25,18.2,16.65,17.45,553701,0.6394,866018
2021-11-10,ANDHRACEMT,17.7,17.75,17.1,17.25,246013,0.6638,370620
2021-11-11,ANDHRACEMT,17.1,17.65,17.1,17.2,227924,0.6855,332485
2021-11-12,ANDHRACEMT,17.3,17.6,16.75,17.0,263930,0.6766,390087
2021-11-15,ANDHRACEMT,17.3,17.3,16.75,16.8,231344,0.8339,277422
2021-11-16,ANDHRACEMT,16.75,17.45,16.1,17.1,751703,0.6385000000000001,1177370
2021-11-17,ANDHRACEMT,17.4,17.5,16.5,16.55,223935,0.6386000000000001,350657
2021-11-18,ANDHRACEMT,16.85,16.85,15.8,16.25,325719,0.6517000000000001,499798
2021-11-22,ANDHRACEMT,16.25,16.6,15.7,15.8,247397,0.6984,354220
2021-11-23,ANDHRACEMT,16.1,16.55,15.55,16.55,251364,0.6953,361540
2021-11-24,ANDHRACEMT,16.55,17.2,16.55,16.65,231495,0.6872,336875
2021-11-25,ANDHRACEMT,16.8,16.95,16.15,16.4,184106,0.6665000000000001,276243
2021-11-26,ANDHRACEMT,16.4,16.45,15.6,15.8,1814052,0.9661000000000001,1877653
2021-11-29,ANDHRACEMT,15.35,16.3,15.1,15.5,283470,0.6825,415357
2021-11-30,ANDHRACEMT,15.7,16.15,15.3,15.95,160615,0.6154999999999999,260945
2021-12-01,ANDHRACEMT,16.2,16.2,15.6,15.75,89415,0.6476000000000001,138070
2021-12-02,ANDHRACEMT,15.8,16.3,15.6,15.8,149107,0.5208,286303
2021-12-03,ANDHRACEMT,15.85,16.15,15.75,15.85,127645,0.7655,166746
2021-12-06,ANDHRACEMT,16.0,16.1,15.25,15.55,188592,0.7579000000000001,248825
2021-12-07,ANDHRACEMT,15.8,15.95,15.5,15.55,136694,0.798,171297
2021-12-08,ANDHRACEMT,15.8,15.85,15.55,15.7,152246,0.7090000000000001,214745
2021-12-09,ANDHRACEMT,15.05,15.95,15.05,15.7,198135,0.6905,286942
2021-12-10,ANDHRACEMT,15.7,15.9,15.55,15.8,238082,0.7484000000000001,318133
2021-12-13,ANDHRACEMT,15.9,16.55,15.9,16.55,580944,0.7227,803806
2021-12-14,ANDHRACEMT,17.35,17.35,16.6,17.35,926522,0.8106,1142993
2021-12-15,ANDHRACEMT,17.7,17.75,16.5,16.9,2680577,0.5616,4772831
2021-12-16,ANDHRACEMT,17.2,17.4,16.3,16.75,532408,0.7667,694398
2021-12-17,ANDHRACEMT,17.0,17.15,16.05,16.25,274334,0.6724,407995
2021-12-20,ANDHRACEMT,16.2,16.5,15.5,15.55,367492,0.6824,538563
2021-12-21,ANDHRACEMT,15.6,16.2,15.6,15.9,185490,0.7347,252462
2021-12-22,ANDHRACEMT,16.2,16.3,15.9,16.1,137537,0.7809999999999999,176108
2021-12-23,ANDHRACEMT,16.5,16.5,15.8,15.95,152112,0.7443000000000001,204377
2021-12-24,ANDHRACEMT,16.2,16.2,15.3,15.75,193158,0.6781999999999999,284804
2021-12-27,ANDHRACEMT,16.0,16.0,15.1,15.7,183954,0.6646,276805
2021-12-28,ANDHRACEMT,15.9,16.45,15.75,16.45,619663,0.6373,972254
2021-12-29,ANDHRACEMT,16.35,16.8,16.0,16.15,264117,0.5389,490075
2021-12-30,ANDHRACEMT,16.3,16.5,15.9,16.1,134989,0.6176,218564
2021-12-31,ANDHRACEMT,15.95,16.4,15.95,16.15,248342,0.7071,351233
2022-01-03,ANDHRACEMT,16.35,16.95,16.3,16.95,1154207,0.7831,1473881
2022-01-04,ANDHRACEMT,17.7,17.75,17.0,17.35,802216,0.6688,1199567
2022-01-05,ANDHRACEMT,17.65,17.65,16.65,17.0,506937,0.6088,832731
2022-01-06,ANDHRACEMT,16.85,17.0,16.5,16.9,339796,0.6895,492814
2022-01-07,ANDHRACEMT,16.9,17.7,16.75,17.4,1164632,0.6285000000000001,1853018
2022-01-10,ANDHRACEMT,17.75,18.25,17.45,18.25,1367293,0.8675,1576137
2022-01-11,ANDHRACEMT,19.15,19.15,18.3,19.15,1379694,0.7292000000000001,1891946
2022-01-12,ANDHRACEMT,19.7,20.1,18.2,18.2,1499205,0.7675000000000001,1953330
