Date,symbol,open,high,low,close,deliverable volume,deliverable_percentage,volume
2021-09-01,ANDHRSUGAR,526.5,535.25,523.05,525.1,16946,0.5254,32256
2021-09-02,ANDHRSUGAR,520.0,535.0,520.0,527.6,14089,0.5092,27669
2021-09-03,ANDHRSUGAR,529.9,538.45,527.05,530.5,15335,0.5639000000000001,27195
2021-09-06,ANDHRSUGAR,534.4,538.9,524.55,531.05,18141,0.6176,29374
2021-09-07,ANDHRSUGAR,535.0,536.95,525.3,531.45,11355,0.4518,25134
2021-09-08,ANDHRSUGAR,531.45,536.0,525.85,533.75,20117,0.4712,42696
2021-09-09,ANDHRSUGAR,535.95,553.5,530.85,543.55,35736,0.5338,66950
2021-09-13,ANDHRSUGAR,548.0,570.0,543.55,566.75,78908,0.5914,133430
2021-09-14,ANDHRSUGAR,574.7,600.0,570.15,595.0,186914,0.5252,355892
2021-09-15,ANDHRSUGAR,600.55,604.85,565.55,568.55,72780,0.5644,128961
2021-09-16,ANDHRSUGAR,577.0,582.0,562.0,566.1,25652,0.5826,44028
2021-09-17,ANDHRSUGAR,570.65,577.0,537.0,567.65,50400,0.4405,114416
2021-09-20,ANDHRSUGAR,571.0,571.0,541.0,543.65,19570,0.5031,38900
2021-09-21,ANDHRSUGAR,536.2,562.4,536.2,559.0,28184,0.5361,52577
2021-09-22,ANDHRSUGAR,561.0,583.95,559.0,572.4,74613,0.6463,115442
2021-09-23,ANDHRSUGAR,577.3,580.0,568.0,574.35,30011,0.5632,53285
2021-09-24,ANDHRSUGAR,581.0,607.9,581.0,585.1,133612,0.4466,299167
2021-09-27,ANDHRSUGAR,591.45,634.4,582.1,624.1,174089,0.4515,385592
2021-09-28,ANDHRSUGAR,626.8,634.75,594.0,612.45,94610,0.5089,185923
2021-09-29,ANDHRSUGAR,611.05,641.0,598.0,628.5,90169,0.4378,205961
2021-09-30,ANDHRSUGAR,632.4,643.0,610.0,616.25,62211,0.5155,120684
2021-10-01,ANDHRSUGAR,619.5,652.0,610.2,632.2,85874,0.3226,266162
2021-10-04,ANDHRSUGAR,640.0,684.8,640.0,660.9,202081,0.3025,667952
2021-10-05,ANDHRSUGAR,666.0,676.0,663.0,667.35,86283,0.45380000000000004,190155
2021-10-06,ANDHRSUGAR,670.7,692.0,658.85,662.0,82665,0.4482,184432
2021-10-07,ANDHRSUGAR,677.0,683.0,662.25,665.6,34512,0.4482,77007
2021-10-08,ANDHRSUGAR,668.5,698.9,652.75,679.8,81672,0.3009,271427
2021-10-11,ANDHRSUGAR,684.4,688.4,672.95,677.5,36773,0.44770000000000004,82141
2021-10-12,ANDHRSUGAR,676.9,686.7,666.0,669.15,53403,0.40340000000000004,132371
2021-10-13,ANDHRSUGAR,672.8,688.0,667.0,669.0,51664,0.3821,135221
2021-10-14,ANDHRSUGAR,674.7,674.9,658.05,667.85,39902,0.45990000000000003,86764
2021-10-18,ANDHRSUGAR,667.1,694.05,662.0,677.15,44005,0.2974,147988
2021-10-19,ANDHRSUGAR,682.0,688.45,663.05,670.0,43348,0.4386,98841
2021-10-20,ANDHRSUGAR,664.1,668.2,632.55,641.95,50799,0.44070000000000004,115259
2021-10-21,ANDHRSUGAR,642.0,662.8,642.0,656.55,29766,0.42810000000000004,69523
2021-10-22,ANDHRSUGAR,650.6,674.5,633.0,669.1,44769,0.4943,90565
2021-10-25,ANDHRSUGAR,673.9,674.0,641.4,647.25,23779,0.406,58567
2021-10-26,ANDHRSUGAR,645.3,659.9,645.3,654.25,26438,0.4682,56468
