Date,symbol,open,high,low,close,deliverable volume,deliverable_percentage,volume
2021-09-01,ANSALAPI,9.3,9.5,9.3,9.4,60915,0.6977,87314
2021-09-02,ANSALAPI,9.5,9.65,9.25,9.35,120322,0.6337,189879
2021-09-03,ANSALAPI,9.3,9.5,9.25,9.3,175096,0.8148000000000001,214889
2021-09-06,ANSALAPI,9.3,9.5,9.15,9.3,109271,0.7136,153131
2021-09-07,ANSALAPI,9.45,9.6,9.15,9.5,460932,0.8434,546514
2021-09-08,ANSALAPI,9.45,9.5,9.25,9.45,50740,0.6745,75222
2021-09-09,ANSALAPI,9.45,9.45,9.25,9.3,58769,0.6259,93896
2021-09-13,ANSALAPI,9.25,9.55,9.2,9.35,55943,0.627,89218
2021-09-14,ANSALAPI,9.45,9.45,9.15,9.25,161095,0.7635,211004
2021-09-15,ANSALAPI,9.25,9.35,9.15,9.15,80435,0.7548,106564
2021-09-16,ANSALAPI,9.2,9.25,8.9,8.95,160994,0.7723000000000001,208459
2021-09-17,ANSALAPI,8.9,9.25,8.9,9.0,60629,0.7931999999999999,76435
2021-09-20,ANSALAPI,8.95,9.8,8.85,8.95,115814,0.7671,150977
2021-09-21,ANSALAPI,8.95,9.0,8.85,8.9,23060,0.7165,32186
2021-09-22,ANSALAPI,9.0,9.25,8.8,9.05,140678,0.7827,179745
2021-09-23,ANSALAPI,8.9,9.75,8.9,9.35,424236,0.6813,622713
2021-09-24,ANSALAPI,9.7,9.7,8.95,9.1,151504,0.6283,241133
2021-09-27,ANSALAPI,9.2,9.35,8.9,9.0,273601,0.8689,314867
2021-09-28,ANSALAPI,9.0,9.9,8.85,9.65,305583,0.8511,359037
2021-09-29,ANSALAPI,9.5,9.9,8.9,9.05,375202,0.5459,687331
2021-09-30,ANSALAPI,9.25,9.35,8.9,9.0,198613,0.7375,269303
2021-10-01,ANSALAPI,9.0,9.2,8.9,8.95,129419,0.6843000000000001,189138
2021-10-04,ANSALAPI,8.95,9.15,8.85,8.95,190050,0.8623000000000001,220405
2021-10-05,ANSALAPI,9.0,9.2,8.95,8.95,172462,0.7957,216748
2021-10-06,ANSALAPI,9.1,9.1,8.9,9.0,122758,0.8984000000000001,136634
2021-10-07,ANSALAPI,9.15,10.8,8.95,10.8,975210,0.6414,1520532
2021-10-08,ANSALAPI,12.0,12.35,10.85,11.5,1198139,0.61,1964247
2021-10-11,ANSALAPI,11.8,11.9,10.5,11.05,574523,0.5810000000000001,988838
2021-10-12,ANSALAPI,10.9,11.25,10.4,10.55,236838,0.6950000000000001,340787
2021-10-13,ANSALAPI,10.6,10.8,10.5,10.6,262462,0.8563,306524
2021-10-14,ANSALAPI,10.6,10.8,10.35,10.55,170105,0.7614000000000001,223397
2021-10-18,ANSALAPI,10.75,11.0,10.3,10.5,162356,0.7576999999999999,214274
2021-10-19,ANSALAPI,10.15,10.6,10.0,10.05,233033,0.7643000000000001,304917
2021-10-20,ANSALAPI,10.1,11.8,9.55,11.15,719579,0.49369999999999997,1457483
2021-10-21,ANSALAPI,12.4,12.4,11.4,12.05,813872,0.456,1784622
2021-10-22,ANSALAPI,12.0,12.4,10.65,11.35,352855,0.624,565480
2021-10-25,ANSALAPI,11.8,11.9,11.0,11.75,210126,0.5954,352896
2021-10-26,ANSALAPI,11.8,13.6,11.3,12.95,859609,0.6625,1297585
2021-10-27,ANSALAPI,13.1,13.9,12.8,12.9,546015,0.6455,845846
2021-10-28,ANSALAPI,12.65,12.9,11.8,12.3,322759,0.6537000000000001,493773
2021-10-29,ANSALAPI,12.5,13.1,11.9,12.4,194397,0.5098,381317
2021-11-01,ANSALAPI,12.15,13.75,12.15,13.1,625576,0.7731,809209
2021-11-02,ANSALAPI,13.6,14.3,13.25,13.7,678681,0.7018000000000001,967017
2021-11-03,ANSALAPI,13.8,14.35,13.3,13.7,470725,0.7565999999999999,622181
2022-01-04,ANSALAPI,13.35,13.35,12.55,12.9,326369,0.746,437465
2022-01-05,ANSALAPI,12.55,13.5,12.55,13.4,317561,0.7366,431126
2022-01-06,ANSALAPI,13.4,13.8,12.75,13.2,266564,0.7043,378492
2022-01-07,ANSALAPI,13.1,13.8,12.9,13.3,256153,0.6851999999999999,373862
2022-01-10,ANSALAPI,13.65,13.65,13.1,13.3,118624,0.5897,201167
2022-01-11,ANSALAPI,13.55,13.7,13.2,13.4,169971,0.7371,230587
2022-01-12,ANSALAPI,13.65,13.75,12.75,12.75,175004,0.6526000000000001,268175
2022-01-13,ANSALAPI,12.75,13.05,12.35,12.6,105436,0.6717000000000001,156959
2022-01-14,ANSALAPI,12.2,12.95,12.2,12.6,102333,0.7318000000000001,139833
2022-01-17,ANSALAPI,12.8,13.2,12.4,13.2,134820,0.6539,206174
2022-01-18,ANSALAPI,13.85,13.85,13.7,13.85,169601,0.6985,242808
2022-01-19,ANSALAPI,14.5,14.5,14.25,14.5,323909,0.5457,593548
2022-01-20,ANSALAPI,15.2,15.2,15.2,15.2,25964,1.0,25964
2022-01-21,ANSALAPI,15.95,15.95,15.95,15.95,127386,1.0,127386
2022-01-24,ANSALAPI,16.7,16.7,15.2,15.45,380700,0.7869,2207756
2022-01-25,ANSALAPI,15.25,16.2,14.7,16.2,389575,0.7908,492664
2022-01-27,ANSALAPI,16.45,16.5,15.55,15.75,219372,0.6168,355659
2022-01-28,ANSALAPI,15.75,16.3,15.0,15.1,210148,0.6022,348955
2022-01-31,ANSALAPI,15.0,15.45,14.45,15.0,179321,0.6518,275111
2022-02-01,ANSALAPI,14.6,15.35,14.5,14.55,123606,0.6219,198743
2022-02-02,ANSALAPI,14.3,15.25,13.9,15.25,184330,0.6940999999999999,265573
2022-02-03,ANSALAPI,15.95,16.0,15.45,15.65,366388,0.6842,535476
2022-02-04,ANSALAPI,16.25,16.4,15.9,16.4,314220,0.6107,514483
