Date,symbol,open,high,low,close,deliverable volume,deliverable_percentage,volume
2021-09-01,APLAPOLLO,1675.0,1697.45,1640.0,1676.75,127354,0.7028,181215
2021-09-02,APLAPOLLO,1686.0,1715.0,1677.0,1703.45,88040,0.6452,136450
2021-09-03,APLAPOLLO,1705.0,1715.1,1690.0,1699.2,55951,0.6454000000000001,86688
2021-09-06,APLAPOLLO,1710.0,1711.0,1680.0,1703.05,54127,0.6431,84169
2021-09-07,APLAPOLLO,1732.0,1774.9,1720.1,1764.95,220175,0.5977,368386
2021-09-08,APLAPOLLO,1775.1,1875.0,1775.1,1839.8,274523,0.5821000000000001,471592
2021-09-09,APLAPOLLO,1852.05,1901.0,1836.2,1879.5,251701,0.6124,411037
2021-09-13,APLAPOLLO,1896.0,1908.5,1833.85,1854.75,200898,0.5246000000000001,382968
2021-09-14,APLAPOLLO,1882.8,1890.0,1840.0,1880.0,268723,0.7154,375638
2021-09-15,APLAPOLLO,1898.0,1902.25,1840.0,1859.1,180602,0.7131000000000001,253259
2021-09-16,APLAPOLLO,924.75,1044.7,923.2,956.15,359794,0.613,586978
2021-09-17,APLAPOLLO,983.0,987.6,942.3,945.95,321117,0.6401000000000001,501650
2021-09-20,APLAPOLLO,945.95,949.0,915.0,918.55,178517,0.7144,249877
2021-09-21,APLAPOLLO,924.0,924.0,869.1,882.6,285110,0.6609,431413
2021-09-22,APLAPOLLO,891.25,904.4,875.0,879.35,122143,0.6419,190284
2021-09-23,APLAPOLLO,887.4,920.0,885.6,913.75,118216,0.58,203836
2021-09-24,APLAPOLLO,924.95,925.0,885.0,894.15,100994,0.6177,163488
2021-09-27,APLAPOLLO,899.85,899.9,861.0,868.85,294768,0.3336,883480
2021-09-28,APLAPOLLO,873.9,880.0,841.0,847.85,225958,0.7277,310502
2021-09-29,APLAPOLLO,845.0,845.0,820.0,829.45,693456,0.7879,880113
2021-09-30,APLAPOLLO,822.0,836.55,804.1,821.8,641722,0.6929000000000001,926191
2021-10-01,APLAPOLLO,821.0,869.0,820.2,848.85,585810,0.5893,994083
2021-10-04,APLAPOLLO,859.0,891.9,851.0,872.25,408142,0.6099,669216
2021-10-05,APLAPOLLO,865.0,876.5,850.0,853.0,358326,0.7112,503854
2021-10-06,APLAPOLLO,863.0,863.6,840.1,845.5,438685,0.7372,595083
2021-10-07,APLAPOLLO,849.9,861.0,826.85,857.05,344515,0.6247,551501
2021-10-08,APLAPOLLO,862.0,866.9,846.25,854.4,252192,0.7042,358125
2021-10-11,APLAPOLLO,858.0,884.0,857.0,878.25,328377,0.7193,456531
2021-10-12,APLAPOLLO,883.0,885.0,862.0,872.7,147092,0.6115,240525
2021-10-13,APLAPOLLO,879.7,879.7,853.0,854.4,203852,0.6389,319088
