Date,symbol,open,high,low,close,deliverable volume,deliverable_percentage,volume
2021-09-01,APOLLOHOSP,4985.0,5071.8,4945.3,5039.05,179562,0.2133,841956
2021-09-02,APOLLOHOSP,5039.05,5122.0,5013.0,5043.5,268861,0.29850000000000004,900686
2021-09-03,APOLLOHOSP,5054.0,5073.3,4967.0,5014.55,235899,0.4153,567961
2021-09-06,APOLLOHOSP,5029.0,5040.0,4972.0,4995.5,209038,0.4753,439776
2021-09-07,APOLLOHOSP,5020.4,5023.0,4860.0,4877.05,199379,0.41619999999999996,479021
2021-09-08,APOLLOHOSP,4900.0,4901.45,4792.1,4811.4,308304,0.4798,642506
2021-09-09,APOLLOHOSP,4815.7,4820.0,4685.0,4719.55,453506,0.541,838279
2021-09-13,APOLLOHOSP,4735.0,4796.0,4681.35,4745.85,726917,0.6314000000000001,1151299
2021-09-14,APOLLOHOSP,4773.0,4773.0,4696.7,4732.45,309654,0.5854,528943
2021-09-15,APOLLOHOSP,4750.0,4819.2,4686.55,4792.05,266714,0.4046,659281
2021-09-16,APOLLOHOSP,4819.0,4890.0,4792.05,4880.75,400053,0.5132,779552
2021-09-17,APOLLOHOSP,4875.0,4945.5,4864.45,4908.25,395203,0.485,814867
2021-09-20,APOLLOHOSP,4864.0,4952.55,4781.7,4878.1,157701,0.3628,434640
2021-09-21,APOLLOHOSP,4858.0,4918.95,4790.15,4891.6,243537,0.5269,462221
2021-09-22,APOLLOHOSP,4925.0,5010.0,4869.9,4904.9,224678,0.3998,562041
2021-09-23,APOLLOHOSP,4931.4,5134.0,4905.0,5084.2,289486,0.4154,696944
2021-09-24,APOLLOHOSP,5156.1,5198.0,4711.55,4731.8,634176,0.32520000000000004,1949974
2021-09-27,APOLLOHOSP,4748.8,4771.0,4464.1,4565.55,671343,0.3561,1885178
2021-09-28,APOLLOHOSP,4580.0,4629.9,4376.0,4411.05,409896,0.3898,1051440
2021-09-29,APOLLOHOSP,4420.0,4507.1,4400.0,4423.5,140625,0.2459,571896
2021-09-30,APOLLOHOSP,4445.0,4500.65,4383.65,4481.6,339333,0.4197,808446
2021-10-01,APOLLOHOSP,4481.6,4520.0,4435.0,4459.4,249050,0.46590000000000004,534563
2021-10-04,APOLLOHOSP,4459.9,4565.0,4440.85,4548.25,276192,0.5159,535335
2021-10-05,APOLLOHOSP,4571.0,4576.85,4469.05,4482.4,173736,0.4083,425555
2021-10-06,APOLLOHOSP,4495.0,4509.0,4356.0,4378.75,175632,0.3655,480575
2021-10-07,APOLLOHOSP,4410.0,4468.0,4381.0,4428.3,88925,0.32130000000000003,276775
2021-10-08,APOLLOHOSP,4459.0,4459.0,4365.6,4379.25,144954,0.5376,269607
2021-10-11,APOLLOHOSP,4401.1,4422.95,4360.0,4377.15,144093,0.4349,331320
2021-10-12,APOLLOHOSP,4349.0,4407.05,4293.3,4351.3,256231,0.4182,612692
2021-10-13,APOLLOHOSP,4385.0,4409.0,4340.0,4377.5,151771,0.502,302343
2021-10-14,APOLLOHOSP,4403.95,4429.75,4312.35,4328.4,255991,0.5869,436160
2021-10-18,APOLLOHOSP,4449.0,4449.0,4321.65,4330.4,142309,0.41240000000000004,345049
2021-10-19,APOLLOHOSP,4352.0,4387.65,4226.65,4301.05,95388,0.3343,285362
2021-10-20,APOLLOHOSP,4301.05,4317.35,4135.0,4146.75,241454,0.4731,510321
