Date,symbol,open,high,low,close,deliverable volume,deliverable_percentage,volume
2021-09-01,AROGRANITE,70.6,71.45,68.35,69.5,38804,0.6059,64048
2021-09-02,AROGRANITE,70.85,71.1,69.5,69.8,31955,0.7399,43186
2021-09-03,AROGRANITE,71.6,72.0,70.0,70.5,31028,0.5109,60734
2021-09-06,AROGRANITE,70.0,71.0,69.2,69.6,34364,0.6256,54931
2021-09-07,AROGRANITE,70.55,70.55,68.6,68.95,20930,0.7223,28978
2021-09-08,AROGRANITE,68.5,71.95,68.3,69.0,36924,0.6188,59667
2021-09-09,AROGRANITE,70.45,70.45,68.5,69.1,17864,0.5845,30563
2021-09-13,AROGRANITE,68.6,72.05,67.15,70.7,71765,0.7476,95994
2021-09-14,AROGRANITE,72.0,72.45,69.7,69.85,91994,0.6897,133387
2021-09-15,AROGRANITE,71.5,71.55,69.65,70.0,45105,0.6820999999999999,66131
2021-09-16,AROGRANITE,69.7,70.8,68.6,68.85,31042,0.7413,41873
2021-09-17,AROGRANITE,68.85,70.25,66.05,66.9,53985,0.7199,74987
2021-09-20,AROGRANITE,67.0,68.5,65.0,65.2,26456,0.589,44915
2021-09-21,AROGRANITE,65.2,67.4,65.1,65.95,16980,0.5269,32225
2021-09-22,AROGRANITE,67.3,67.3,65.8,66.05,12338,0.6096,20239
2021-09-23,AROGRANITE,66.8,67.2,66.0,66.15,17134,0.5640999999999999,30373
2021-09-24,AROGRANITE,67.2,67.4,64.9,65.1,31894,0.7334,43489
2021-09-27,AROGRANITE,66.85,66.85,63.15,63.75,35327,0.745,47416
2021-09-28,AROGRANITE,64.65,64.65,62.0,63.0,39487,0.7454000000000001,52974
2021-09-29,AROGRANITE,63.0,66.7,62.45,63.8,38618,0.4926,78390
2021-09-30,AROGRANITE,63.75,65.2,63.05,63.45,26710,0.6057,44099
2021-10-01,AROGRANITE,63.25,67.9,62.9,63.75,22595,0.6607999999999999,34195
2021-10-04,AROGRANITE,63.0,64.75,63.0,63.65,16402,0.6391,25663
2021-10-05,AROGRANITE,63.1,65.0,63.1,63.75,30468,0.7225,42169
2021-10-06,AROGRANITE,65.0,65.0,63.5,63.6,24634,0.6108,40329
2021-10-07,AROGRANITE,63.65,64.75,63.65,63.9,31049,0.5908,52558
2021-10-08,AROGRANITE,64.5,64.5,63.35,63.9,23079,0.7203,32042
2021-10-11,AROGRANITE,64.95,66.4,63.85,64.8,31732,0.6452,49180
2021-10-12,AROGRANITE,65.5,67.6,64.45,66.05,47907,0.5091,94097
2021-10-13,AROGRANITE,66.15,67.4,63.85,64.25,38644,0.6842,56483
2021-10-14,AROGRANITE,64.25,64.95,63.55,63.7,17655,0.7011000000000001,25183
2021-10-18,AROGRANITE,63.8,64.05,63.3,63.4,32544,0.8414,38679
2021-10-19,AROGRANITE,63.05,63.75,62.7,63.2,27858,0.5324,52328
2021-10-20,AROGRANITE,63.0,64.3,61.8,62.25,36178,0.7526999999999999,48063
2021-10-21,AROGRANITE,62.35,63.9,62.35,62.7,14441,0.7352,19641
2021-10-22,AROGRANITE,63.5,66.65,63.05,65.6,67912,0.6631,102421
