Date,symbol,open,high,low,close,deliverable volume,deliverable_percentage,volume
2021-09-01,ARVIND,90.9,91.85,89.6,90.45,246795,0.43229999999999996,570841
2021-09-02,ARVIND,91.0,96.7,90.55,93.55,703888,0.41759999999999997,1685482
2021-09-03,ARVIND,94.0,94.45,92.2,92.7,413033,0.41759999999999997,989151
2021-09-06,ARVIND,92.7,94.0,91.8,92.85,387045,0.5489,705149
2021-09-07,ARVIND,93.2,93.95,91.2,93.2,413259,0.3846,1074596
2021-09-08,ARVIND,95.0,101.0,95.0,98.2,2266388,0.3616,6268442
2021-09-09,ARVIND,99.4,100.0,96.85,97.45,786222,0.5106,1539781
2021-09-13,ARVIND,98.0,98.35,96.1,97.85,490112,0.6093000000000001,804435
2021-09-14,ARVIND,98.1,98.3,95.3,95.7,525389,0.696,754855
2021-09-15,ARVIND,95.7,97.3,95.2,95.85,309839,0.5895,525572
2021-09-16,ARVIND,97.0,97.7,93.5,94.4,448872,0.5666,792290
2021-09-17,ARVIND,94.85,95.3,92.55,94.2,413344,0.593,697013
2021-09-20,ARVIND,93.0,97.45,92.2,94.6,591378,0.4495,1315624
2021-09-21,ARVIND,94.2,98.0,92.75,95.2,612911,0.4022,1524040
2021-09-22,ARVIND,95.3,98.75,94.7,97.1,972660,0.34299999999999997,2835383
2021-09-23,ARVIND,97.7,101.85,96.9,97.6,1514004,0.4266,3549375
2021-09-24,ARVIND,98.0,100.6,95.0,95.9,751061,0.49210000000000004,1526225
2021-09-27,ARVIND,96.1,98.85,94.8,95.3,544558,0.3153,1727089
2021-09-28,ARVIND,95.95,97.25,94.0,95.25,390778,0.3778,1034245
2021-09-29,ARVIND,94.65,96.7,94.4,94.7,258562,0.3,861992
2021-09-30,ARVIND,95.15,96.3,94.0,94.45,379345,0.3862,982240
2021-10-01,ARVIND,93.75,95.5,93.55,94.45,277625,0.32270000000000004,860412
2021-10-04,ARVIND,94.9,103.9,94.85,102.8,2221544,0.4261,5214227
2021-10-05,ARVIND,103.55,111.4,103.55,108.7,2809240,0.3239,8673171
2021-10-06,ARVIND,109.2,111.35,101.35,103.7,1869101,0.3104,6020682
2021-10-07,ARVIND,104.95,106.45,103.5,104.2,723092,0.3558,2032362
2021-10-08,ARVIND,104.25,105.3,102.25,102.65,427768,0.37820000000000004,1131159
2021-10-11,ARVIND,103.5,109.95,103.5,107.8,1889994,0.4681,4037666
2021-10-12,ARVIND,106.65,109.5,105.0,106.3,652511,0.45130000000000003,1445738
2021-10-13,ARVIND,107.2,127.55,107.1,127.55,5799362,0.449,12916592
2021-10-14,ARVIND,128.5,129.75,118.9,120.4,2115429,0.381,5552998
2021-10-18,ARVIND,120.5,134.5,120.5,130.0,2152219,0.2566,8385979
2021-10-19,ARVIND,130.95,138.65,129.3,131.35,1851924,0.2685,6897750
2021-10-20,ARVIND,132.4,132.95,119.4,126.3,1111689,0.3089,3599416
2021-10-21,ARVIND,127.2,134.9,124.65,132.1,1714351,0.294,5831890
2021-10-22,ARVIND,134.0,137.0,127.1,129.3,962834,0.2815,3419878
2021-10-25,ARVIND,130.0,131.0,120.7,124.7,820484,0.3332,2462309
2021-10-26,ARVIND,125.9,138.1,125.9,136.6,1979825,0.33390000000000003,5929476
2021-10-27,ARVIND,137.0,139.0,127.55,130.65,2448827,0.2778,8813951
2021-10-28,ARVIND,132.0,134.5,128.6,130.95,1154478,0.3796,3041270
2021-10-29,ARVIND,130.95,136.3,126.25,131.35,874423,0.307,2848084
2021-11-01,ARVIND,132.4,146.9,130.4,143.6,2337954,0.3691,6334600
