Date,symbol,open,high,low,close,deliverable volume,deliverable_percentage,volume
2021-09-01,ASAHIINDIA,360.0,362.1,342.1,347.9,81865,0.5457,150020
2021-09-02,ASAHIINDIA,350.0,354.95,349.0,351.05,10517,0.3533,29770
2021-09-03,ASAHIINDIA,354.0,372.95,353.0,366.3,73086,0.4522,161640
2021-09-06,ASAHIINDIA,368.8,387.8,368.1,376.55,110376,0.2495,442325
2021-09-07,ASAHIINDIA,376.55,376.55,365.0,366.05,33378,0.5188,64332
2021-09-08,ASAHIINDIA,364.5,377.5,363.95,374.35,41532,0.27649999999999997,150233
2021-09-09,ASAHIINDIA,373.7,389.15,370.5,379.55,45207,0.4173,108344
2021-09-13,ASAHIINDIA,379.55,382.75,372.25,377.85,45427,0.4378,103771
2021-09-14,ASAHIINDIA,377.85,384.0,375.05,377.0,25417,0.48560000000000003,52344
2021-09-15,ASAHIINDIA,375.25,381.05,372.3,376.3,100910,0.7165,140845
2021-09-16,ASAHIINDIA,375.9,378.0,364.0,366.6,43928,0.6531999999999999,67253
2021-09-17,ASAHIINDIA,367.0,374.45,360.9,368.3,46205,0.4487,102970
2021-09-20,ASAHIINDIA,367.45,367.45,355.0,358.7,23230,0.5006,46408
2021-09-21,ASAHIINDIA,360.0,362.3,355.3,357.3,13296,0.44430000000000003,29924
2021-09-22,ASAHIINDIA,362.9,365.75,356.95,358.2,24982,0.49590000000000006,50378
2021-09-23,ASAHIINDIA,359.95,365.8,357.95,359.2,11491,0.3986,28827
2021-09-24,ASAHIINDIA,359.2,365.3,358.0,358.55,14507,0.4293,33791
2021-09-27,ASAHIINDIA,358.0,366.45,354.0,357.8,20347,0.4522,44997
2021-09-28,ASAHIINDIA,357.0,384.95,357.0,368.2,92687,0.2257,410640
2021-09-29,ASAHIINDIA,368.2,370.25,356.05,358.95,89691,0.766,117085
2021-09-30,ASAHIINDIA,357.0,364.7,355.85,362.7,64423,0.4422,145673
2021-10-01,ASAHIINDIA,362.7,364.0,355.0,357.45,14944,0.473,31594
2021-10-04,ASAHIINDIA,358.05,362.85,357.15,359.2,21158,0.5291,39985
2021-10-05,ASAHIINDIA,361.4,372.0,360.0,370.85,71140,0.6159,115505
2021-10-06,ASAHIINDIA,373.9,374.0,364.0,366.1,39516,0.5742,68823
2021-10-07,ASAHIINDIA,369.0,373.5,368.65,369.6,22123,0.659,33570
2021-10-08,ASAHIINDIA,369.05,370.0,362.4,364.4,26983,0.1301,207388
2021-10-11,ASAHIINDIA,364.4,370.5,361.1,362.15,26505,0.139,190705
2021-10-12,ASAHIINDIA,362.15,370.0,361.5,362.75,17401,0.185,94082
2021-10-13,ASAHIINDIA,366.75,375.0,362.9,372.0,54211,0.4951,109489
2021-10-14,ASAHIINDIA,374.95,381.1,370.0,370.75,30011,0.1743,172181
2021-10-18,ASAHIINDIA,374.0,397.8,374.0,379.05,109512,0.40740000000000004,268804
2021-10-19,ASAHIINDIA,381.0,385.5,369.0,371.05,27479,0.3011,91252
2021-10-20,ASAHIINDIA,373.0,373.05,360.55,362.95,23026,0.4418,52114
2021-10-21,ASAHIINDIA,365.0,369.45,356.0,359.95,47605,0.5694,83600
2021-10-22,ASAHIINDIA,358.1,365.2,355.0,357.0,12208,0.4191,29129
2021-10-25,ASAHIINDIA,357.55,359.0,345.25,352.5,20223,0.4404,45923
2021-10-26,ASAHIINDIA,354.0,359.0,350.25,352.7,15815,0.4104,38532
2021-10-27,ASAHIINDIA,355.0,394.9,352.2,388.45,601677,0.3057,1968037
2021-10-28,ASAHIINDIA,387.5,429.0,381.5,417.7,818713,0.20829999999999999,3930056
2021-10-29,ASAHIINDIA,406.35,439.95,400.0,429.2,136911,0.1593,859272
2021-11-01,ASAHIINDIA,439.9,448.0,418.8,422.4,451137,0.5043,894550
2021-11-02,ASAHIINDIA,423.95,435.0,419.0,429.55,56474,0.2536,222652
2021-11-03,ASAHIINDIA,428.2,440.0,421.1,427.7,41080,0.21660000000000001,189646
2021-11-04,ASAHIINDIA,439.0,449.1,430.0,444.6,54010,0.4344,124322
2021-11-08,ASAHIINDIA,449.0,454.65,442.55,450.0,64031,0.25070000000000003,255430
2021-11-09,ASAHIINDIA,454.65,454.65,428.0,430.65,53780,0.4464,120487
2021-11-10,ASAHIINDIA,430.65,436.5,412.3,415.0,55001,0.18960000000000002,290119
2021-11-11,ASAHIINDIA,418.2,428.25,415.0,417.05,27410,0.35960000000000003,76220
2021-11-12,ASAHIINDIA,424.0,498.0,415.55,481.65,507993,0.21480000000000002,2364450
2021-11-15,ASAHIINDIA,481.9,533.0,481.9,527.45,246951,0.1585,1557907
2021-11-16,ASAHIINDIA,517.1,525.0,485.25,495.4,233811,0.21489999999999998,1087838
2021-11-17,ASAHIINDIA,494.0,517.0,481.0,511.95,103526,0.2601,397962
2021-11-18,ASAHIINDIA,509.95,514.75,479.25,490.9,83705,0.3667,228256
2021-11-22,ASAHIINDIA,497.2,523.5,491.05,504.95,154303,0.2596,594401
2021-11-23,ASAHIINDIA,510.2,522.0,505.5,510.05,139079,0.5787,240321
2021-11-24,ASAHIINDIA,514.95,524.0,488.05,493.1,120432,0.5357000000000001,224813
2021-11-25,ASAHIINDIA,499.0,515.0,492.15,511.95,136983,0.5857,233897
2021-11-26,ASAHIINDIA,508.0,509.7,471.0,479.2,61127,0.5128,119200
2021-11-29,ASAHIINDIA,476.0,488.8,439.05,442.85,95690,0.5557,172201
2021-11-30,ASAHIINDIA,452.8,522.0,447.3,481.75,953048,0.445,2141803
2021-12-01,ASAHIINDIA,473.85,497.05,461.25,471.5,81512,0.2522,323176
2021-12-02,ASAHIINDIA,476.9,489.55,465.15,470.45,43425,0.3337,130129
2021-12-03,ASAHIINDIA,475.0,480.0,462.0,464.35,585498,0.9117000000000001,642177
2021-12-06,ASAHIINDIA,464.35,474.75,455.7,460.75,32284,0.4496,71800
2021-12-07,ASAHIINDIA,466.0,475.75,459.0,460.7,50468,0.5086999999999999,99205
2021-12-08,ASAHIINDIA,468.8,472.0,459.0,461.3,41770,0.5571,74978
2021-12-09,ASAHIINDIA,468.5,470.2,459.0,460.05,27860,0.5536,50325
2021-12-10,ASAHIINDIA,464.3,488.0,462.0,474.3,47815,0.2335,204767
2021-12-13,ASAHIINDIA,483.95,484.65,470.0,472.05,44443,0.40640000000000004,109354
2021-12-14,ASAHIINDIA,471.7,479.95,468.45,475.45,30233,0.3211,94159
2021-12-15,ASAHIINDIA,477.0,516.9,477.0,494.55,225157,0.20800000000000002,1082504
2021-12-16,ASAHIINDIA,494.0,508.9,483.0,502.15,90735,0.2429,373516
2021-12-17,ASAHIINDIA,499.45,503.9,463.05,468.15,78289,0.2888,271120
2021-12-20,ASAHIINDIA,463.0,480.0,441.0,473.05,45989,0.2511,183178
2021-12-21,ASAHIINDIA,484.95,495.9,473.2,486.7,48670,0.2318,209973
2021-12-22,ASAHIINDIA,482.6,497.95,480.65,484.1,28962,0.27440000000000003,105544
2021-12-23,ASAHIINDIA,486.95,495.0,481.45,487.9,28044,0.3043,92162
2021-12-24,ASAHIINDIA,494.0,494.0,467.0,470.15,49856,0.35119999999999996,141975
2021-12-27,ASAHIINDIA,473.5,473.95,461.0,462.7,32925,0.379,86869
2021-12-28,ASAHIINDIA,464.0,474.35,462.0,464.3,28339,0.3553,79752
2021-12-29,ASAHIINDIA,466.0,485.0,463.0,476.1,51792,0.33170000000000005,156139
2021-12-30,ASAHIINDIA,476.25,504.9,471.6,476.3,98136,0.1942,505296
2021-12-31,ASAHIINDIA,479.15,486.0,472.3,482.25,31635,0.2915,108509
2022-01-03,ASAHIINDIA,486.5,503.0,480.6,491.95,81584,0.2945,276983
2022-01-04,ASAHIINDIA,493.8,509.0,486.2,490.2,70603,0.3023,233518
2022-01-05,ASAHIINDIA,489.8,489.8,484.05,485.85,29102,0.3582,81236
