Date,symbol,open,high,low,close,deliverable volume,deliverable_percentage,volume
2021-09-01,ASHIMASYN,18.4,19.05,17.4,19.05,112289,0.42700000000000005,262979
2021-09-02,ASHIMASYN,19.0,19.9,18.25,19.25,84917,0.6545000000000001,129734
2021-09-03,ASHIMASYN,18.85,19.25,18.6,18.7,20542,0.7121,28849
2021-09-06,ASHIMASYN,18.6,18.65,18.0,18.3,20700,0.6801,30438
2021-09-07,ASHIMASYN,18.65,18.75,17.6,17.9,8976,0.6817000000000001,13168
2021-09-08,ASHIMASYN,17.95,18.45,17.55,17.9,29746,0.6939000000000001,42866
2021-09-09,ASHIMASYN,18.0,18.9,17.95,18.75,60467,0.7399,81722
2021-09-13,ASHIMASYN,19.15,19.15,18.15,18.3,27499,0.8869,31006
2021-09-14,ASHIMASYN,18.65,18.65,17.95,18.05,18027,0.8622,20909
2021-09-15,ASHIMASYN,18.15,18.25,17.15,17.55,66865,0.7966,83939
2021-09-16,ASHIMASYN,17.2,18.0,17.2,17.8,32322,0.7692,42018
2021-09-17,ASHIMASYN,18.0,18.0,17.0,17.35,28993,0.6321,45867
2021-09-20,ASHIMASYN,17.6,17.6,16.8,16.9,34989,0.8466,41330
2021-09-21,ASHIMASYN,17.7,17.7,16.5,16.85,17359,0.6968000000000001,24912
2021-09-22,ASHIMASYN,16.9,17.25,16.7,16.8,35078,0.9324,37621
2021-09-23,ASHIMASYN,16.8,17.75,16.75,16.9,48614,0.7232999999999999,67207
2021-09-24,ASHIMASYN,17.5,17.5,16.75,16.75,14138,0.6346,22280
2021-09-27,ASHIMASYN,17.0,18.4,16.5,18.0,199490,0.8915000000000001,223775
2021-09-28,ASHIMASYN,18.4,18.5,17.5,18.2,118313,0.8174,144741
2021-09-29,ASHIMASYN,18.1,19.0,17.75,18.0,78535,0.6813,115278
2021-09-30,ASHIMASYN,18.0,18.6,17.6,17.8,51240,0.7981,64203
2021-10-01,ASHIMASYN,17.8,18.6,17.6,17.75,40069,0.7524,53257
2021-10-04,ASHIMASYN,18.5,18.5,17.7,17.8,52576,0.8323999999999999,63165
2021-10-05,ASHIMASYN,17.75,18.5,17.0,17.6,59126,0.539,109686
2021-10-06,ASHIMASYN,17.8,18.3,17.5,17.7,102821,0.8661,118719
2021-10-07,ASHIMASYN,18.05,18.9,17.6,17.75,51573,0.5976,86298
2021-10-08,ASHIMASYN,18.35,21.3,17.5,21.0,715842,0.34299999999999997,2087265
2021-10-11,ASHIMASYN,21.15,21.4,18.6,19.7,323897,0.7533,429967
2021-10-12,ASHIMASYN,20.5,20.5,18.75,19.95,112131,0.6758,165931
2021-10-13,ASHIMASYN,19.95,20.15,19.5,20.0,113441,0.8023,141400
2021-10-14,ASHIMASYN,20.0,20.0,19.25,19.55,42277,0.7027,60165
2021-10-18,ASHIMASYN,19.95,19.95,18.25,19.4,63841,0.7301000000000001,87445
2021-10-19,ASHIMASYN,19.75,19.75,18.9,19.0,56507,0.7514000000000001,75200
2021-10-20,ASHIMASYN,19.65,19.65,18.35,18.45,41638,0.6634000000000001,62765
2021-10-21,ASHIMASYN,19.0,19.0,17.8,18.0,77563,0.8608,90109
2021-10-22,ASHIMASYN,18.45,19.35,18.05,18.1,30978,0.6826000000000001,45382
2021-10-25,ASHIMASYN,18.5,18.5,17.7,17.75,94085,0.9204000000000001,102217
2021-10-26,ASHIMASYN,18.4,18.4,17.55,17.95,66900,0.8884000000000001,75302
2021-10-27,ASHIMASYN,18.45,18.45,17.3,17.35,37653,0.7951,47356
2021-10-28,ASHIMASYN,17.95,17.95,15.15,16.3,132603,0.7181000000000001,184668
2021-10-29,ASHIMASYN,16.95,17.2,16.05,16.75,27418,0.6318,43396
2021-11-01,ASHIMASYN,16.75,17.1,16.35,16.75,6709,0.6943,9663
2021-11-02,ASHIMASYN,16.5,17.8,16.45,16.8,20418,0.5353,38145
2021-11-03,ASHIMASYN,17.4,17.45,16.05,16.5,62954,0.7263,86676
2021-11-04,ASHIMASYN,17.1,17.95,16.6,17.3,33124,0.7454000000000001,44438
2021-11-08,ASHIMASYN,17.5,18.05,16.65,17.75,23555,0.6647,35435
2021-11-09,ASHIMASYN,17.95,19.3,17.05,18.8,57768,0.6728000000000001,85864
2021-11-10,ASHIMASYN,18.5,19.2,17.6,18.4,39337,0.6194,63505
