Date,symbol,open,high,low,close,deliverable volume,deliverable_percentage,volume
2021-09-01,ASHOKA,99.95,101.1,98.8,100.0,297068,0.36600000000000005,811642
2021-09-02,ASHOKA,100.0,102.95,99.85,101.4,371898,0.2975,1250056
2021-09-03,ASHOKA,100.25,102.5,100.05,100.4,267004,0.321,831762
2021-09-06,ASHOKA,107.0,107.3,101.15,101.65,1267627,0.2843,4459336
2021-09-07,ASHOKA,102.0,104.85,101.75,103.0,486002,0.2377,2044332
2021-09-08,ASHOKA,103.5,103.7,102.15,102.45,293494,0.38079999999999997,770785
2021-09-09,ASHOKA,101.0,105.35,101.0,102.5,397595,0.2056,1934175
2021-09-13,ASHOKA,102.0,104.9,101.5,103.5,440867,0.242,1821990
2021-09-14,ASHOKA,104.45,105.0,102.0,102.25,516936,0.4572,1130549
2021-09-15,ASHOKA,102.3,104.8,101.4,101.85,557503,0.5572,1000578
2021-09-16,ASHOKA,101.65,102.4,100.8,100.9,619944,0.6437,963087
2021-09-17,ASHOKA,101.2,101.8,98.4,99.3,539678,0.5408,997889
2021-09-20,ASHOKA,97.5,100.75,97.0,97.15,463561,0.5173,896071
2021-09-21,ASHOKA,97.8,97.85,95.5,96.05,533794,0.573,931648
2021-09-22,ASHOKA,96.7,98.5,94.65,94.9,982470,0.5425,1811016
2021-09-23,ASHOKA,96.5,100.0,96.0,99.35,1627590,0.5895,2760733
2021-09-24,ASHOKA,100.4,101.4,96.75,97.15,736092,0.44770000000000004,1644115
2021-09-27,ASHOKA,97.9,98.8,96.6,97.95,391281,0.4363,896855
2021-09-28,ASHOKA,97.95,98.8,97.1,97.8,241914,0.37090000000000006,652235
2021-09-29,ASHOKA,97.25,98.0,96.65,97.4,271370,0.4498,603320
2021-09-30,ASHOKA,97.9,101.0,97.75,98.45,379327,0.32880000000000004,1153683
2021-10-01,ASHOKA,96.65,99.25,96.65,97.95,248168,0.3789,654943
