Date,symbol,open,high,low,close,deliverable volume,deliverable_percentage,volume
2021-09-01,ASHOKLEY,122.5,124.25,121.4,122.5,7087808,0.3564,19885829
2021-09-02,ASHOKLEY,122.9,123.7,120.9,121.85,4973289,0.41759999999999997,11908571
2021-09-03,ASHOKLEY,121.95,123.0,119.7,120.6,17509941,0.5478000000000001,31962511
2021-09-06,ASHOKLEY,121.2,122.9,120.9,121.8,7080293,0.3981,17785545
2021-09-07,ASHOKLEY,122.4,123.65,120.05,120.6,7347057,0.3737,19660911
2021-09-08,ASHOKLEY,121.1,122.15,119.55,121.7,5446080,0.3521,15467971
2021-09-09,ASHOKLEY,121.65,126.9,121.15,125.3,16711034,0.4263,39201010
2021-09-13,ASHOKLEY,125.95,125.95,123.05,123.3,3212814,0.34600000000000003,9285028
2021-09-14,ASHOKLEY,124.0,125.45,123.7,124.85,5859513,0.5015999999999999,11681491
2021-09-15,ASHOKLEY,125.85,128.95,125.15,128.35,5266124,0.2948,17861664
2021-09-16,ASHOKLEY,128.85,129.65,126.6,127.25,2945838,0.3229,9124419
2021-09-17,ASHOKLEY,128.25,128.45,124.55,125.15,3715192,0.3523,10545546
2021-09-20,ASHOKLEY,124.0,128.4,122.0,125.1,3241547,0.21530000000000002,15058652
2021-09-21,ASHOKLEY,125.0,127.25,123.7,126.9,3345127,0.3235,10341959
2021-09-22,ASHOKLEY,127.5,130.85,127.2,128.3,4868536,0.3066,15880190
2021-09-23,ASHOKLEY,129.5,130.95,128.5,128.85,5582402,0.446,12517143
2021-09-24,ASHOKLEY,129.7,130.0,125.3,127.4,3579941,0.31570000000000004,11339040
2021-09-27,ASHOKLEY,128.85,131.95,128.0,130.4,11383392,0.43119999999999997,26396292
2021-09-28,ASHOKLEY,130.95,132.2,128.2,129.65,5796899,0.381,15215980
2021-09-29,ASHOKLEY,130.0,130.95,126.2,129.35,6025746,0.3173,18991879
2021-09-30,ASHOKLEY,130.65,134.5,128.5,133.8,15279997,0.4171,36630467
2021-10-01,ASHOKLEY,133.95,134.5,129.7,130.75,8031149,0.3094,25956465
2021-10-04,ASHOKLEY,131.5,131.65,129.0,129.85,4588366,0.3418,13424262
2021-10-05,ASHOKLEY,130.0,133.2,129.45,132.25,4241306,0.32030000000000003,13242500
2021-10-06,ASHOKLEY,133.0,134.4,129.25,129.85,3992853,0.3123,12785028
2021-10-07,ASHOKLEY,132.0,138.5,131.2,135.85,14992770,0.3496,42882284
2021-10-08,ASHOKLEY,136.2,138.0,134.6,134.9,4668041,0.336,13894388
2021-10-11,ASHOKLEY,135.9,139.15,135.0,136.75,4741591,0.3173,14943042
2021-10-12,ASHOKLEY,136.75,140.0,134.65,139.1,5294108,0.33159999999999995,15964967
2021-10-13,ASHOKLEY,141.4,149.7,141.2,146.45,18491847,0.30100000000000005,61438642
2021-10-14,ASHOKLEY,149.0,149.0,143.5,144.75,7158644,0.39780000000000004,17994831
2021-10-18,ASHOKLEY,145.0,146.7,143.65,144.7,13724534,0.43450000000000005,31587903
2021-10-19,ASHOKLEY,147.0,147.5,138.25,139.65,5594308,0.327,17105601
2021-10-20,ASHOKLEY,139.75,140.75,134.6,136.6,6531337,0.36729999999999996,17784386
2021-10-21,ASHOKLEY,137.8,141.8,136.45,141.05,4669258,0.3582,13035269
2021-10-22,ASHOKLEY,142.4,144.25,138.5,139.2,6636225,0.33799999999999997,19631189
2021-10-25,ASHOKLEY,138.5,141.15,133.7,137.4,4453620,0.2973,14981834
2021-10-26,ASHOKLEY,137.5,143.95,136.9,143.35,3702480,0.2958,12517839
2021-10-27,ASHOKLEY,144.2,145.45,141.25,141.85,2634663,0.2169,12145158
2021-10-28,ASHOKLEY,141.75,144.5,140.2,141.3,6882391,0.3578,19233759
2021-10-29,ASHOKLEY,141.0,143.7,136.35,142.4,4025391,0.2515,16005774
2021-11-01,ASHOKLEY,142.4,145.45,141.55,144.3,4249448,0.2827,15029721
2021-11-02,ASHOKLEY,145.25,147.95,143.9,144.55,3513138,0.2421,14510122
2021-11-03,ASHOKLEY,144.9,145.8,141.75,143.2,4285959,0.3909,10963965
2021-11-04,ASHOKLEY,144.15,145.25,143.65,144.95,1013391,0.48590000000000005,2085464
2021-11-08,ASHOKLEY,146.35,150.25,145.4,146.05,6402831,0.2933,21829295
2021-11-09,ASHOKLEY,146.45,152.7,146.2,149.85,8276183,0.2666,31041778
2021-11-10,ASHOKLEY,149.4,151.05,147.55,148.65,2594087,0.27899999999999997,9296430
2021-11-11,ASHOKLEY,149.25,149.25,144.3,146.4,3122745,0.3093,10095568
2021-11-12,ASHOKLEY,147.25,147.7,144.7,145.7,2583878,0.30100000000000005,8584972
2021-11-15,ASHOKLEY,145.85,152.8,143.3,152.1,5755291,0.22640000000000002,25418744
2021-11-16,ASHOKLEY,153.0,153.5,145.3,147.1,15634427,0.3826,40864835
2021-11-17,ASHOKLEY,147.1,148.0,144.0,146.0,3866663,0.2366,16342804
2021-11-18,ASHOKLEY,146.5,147.65,138.6,139.4,6403349,0.3079,20797964
2021-11-22,ASHOKLEY,140.4,140.9,130.9,133.65,7182659,0.37,19413864
2021-11-23,ASHOKLEY,133.15,135.65,130.35,135.05,13688394,0.46399999999999997,29501360
2021-11-24,ASHOKLEY,136.3,137.35,134.4,135.25,3288081,0.2668,12325597
2021-11-25,ASHOKLEY,135.8,135.9,133.0,133.75,2624845,0.2887,9090731
2021-11-26,ASHOKLEY,132.95,132.95,125.1,125.65,10596400,0.4205,25202323
2021-11-29,ASHOKLEY,124.1,125.4,118.75,121.25,8269032,0.3688,22421823
2021-11-30,ASHOKLEY,122.3,124.2,119.05,119.7,4267460,0.2868,14879949
2021-12-01,ASHOKLEY,120.0,122.8,119.4,121.8,4583964,0.2852,16072132
2021-12-02,ASHOKLEY,122.05,122.5,118.2,120.0,5858183,0.33299999999999996,17591644
2021-12-03,ASHOKLEY,120.85,123.15,120.4,120.65,4951885,0.33840000000000003,14631168
2021-12-06,ASHOKLEY,120.95,121.3,118.0,119.25,3768953,0.3085,12218468
2021-12-07,ASHOKLEY,121.05,123.45,120.45,122.45,3453238,0.26940000000000003,12820252
2021-12-08,ASHOKLEY,124.7,126.4,123.1,126.15,7324284,0.3956,18512479
2021-12-09,ASHOKLEY,127.8,128.75,125.85,127.45,5525396,0.3401,16248201
2021-12-10,ASHOKLEY,127.75,128.55,126.7,127.9,2859255,0.3195,8950336
2021-12-13,ASHOKLEY,129.2,130.35,127.65,128.15,5285677,0.48810000000000003,10829203
2021-12-14,ASHOKLEY,127.45,127.7,124.8,125.95,3122608,0.3289,9495087
2021-12-15,ASHOKLEY,126.0,127.25,125.3,126.25,2012743,0.3128,6434700
2021-12-16,ASHOKLEY,127.75,128.15,125.0,126.05,2404371,0.3223,7460795
2021-12-17,ASHOKLEY,126.75,126.75,122.15,123.2,2335278,0.2932,7964732
2021-12-20,ASHOKLEY,120.1,120.85,117.0,119.8,5679422,0.36560000000000004,15534948
2021-12-21,ASHOKLEY,120.05,124.05,119.95,122.35,1261774,0.1436,8787373
2021-12-22,ASHOKLEY,123.8,125.5,123.15,124.35,1536698,0.2113,7273742
2021-12-23,ASHOKLEY,125.3,126.45,124.7,125.85,2307138,0.32770000000000005,7039360
2021-12-24,ASHOKLEY,126.3,126.3,122.5,122.85,1191392,0.20320000000000002,5864495
2021-12-27,ASHOKLEY,122.5,123.2,120.3,122.8,2475328,0.32189999999999996,7689056
2021-12-28,ASHOKLEY,123.65,124.1,122.6,123.0,2806146,0.43479999999999996,6454500
2021-12-29,ASHOKLEY,122.6,123.5,121.0,121.25,3386880,0.40340000000000004,8396497
2021-12-30,ASHOKLEY,121.65,121.65,119.85,120.6,3474183,0.4421,7858622
2021-12-31,ASHOKLEY,120.6,123.65,120.5,122.45,3619450,0.4026,8989480
2022-01-03,ASHOKLEY,125.0,128.3,124.15,127.7,6253182,0.32880000000000004,19018355
2022-01-04,ASHOKLEY,128.0,128.2,125.8,127.4,5127635,0.4029,12727476
2022-01-05,ASHOKLEY,127.0,132.25,126.05,131.75,5768036,0.33630000000000004,17150006
2022-01-06,ASHOKLEY,129.2,133.15,129.1,132.45,2594469,0.2158,12019899
2022-01-07,ASHOKLEY,133.8,133.8,131.05,132.4,1798890,0.28850000000000003,6235554
2022-01-10,ASHOKLEY,132.4,134.9,132.4,134.25,1901996,0.3034,6269461
2022-01-11,ASHOKLEY,133.5,136.1,133.0,135.15,2443087,0.31980000000000003,7638743
2022-01-12,ASHOKLEY,135.75,139.3,134.5,138.9,4771756,0.40090000000000003,11901175
2022-01-13,ASHOKLEY,139.2,139.2,136.15,138.05,3514921,0.3904,9003201
2022-01-14,ASHOKLEY,137.65,139.5,136.85,137.75,1657426,0.2738,6053961
2022-01-17,ASHOKLEY,137.75,141.9,137.55,139.3,7281157,0.36100000000000004,20167029
2022-01-18,ASHOKLEY,140.3,140.3,134.25,135.45,3955298,0.37820000000000004,10457315
2022-01-19,ASHOKLEY,135.4,138.35,130.3,137.45,2768675,0.2743,10092581
2022-01-20,ASHOKLEY,138.3,141.4,137.5,139.05,7649602,0.40549999999999997,18864154
2022-01-21,ASHOKLEY,138.75,139.95,135.5,138.3,4164316,0.3652,11403668
2022-01-24,ASHOKLEY,138.0,138.85,130.55,132.8,8316475,0.45049999999999996,15983816
2022-01-25,ASHOKLEY,131.25,132.15,128.0,130.85,10315957,0.4651,22178008
2022-01-27,ASHOKLEY,129.9,131.7,125.7,131.0,5809284,0.34409999999999996,16880740
2022-01-28,ASHOKLEY,131.9,135.3,130.0,130.75,5200625,0.3529,14737610
2022-01-31,ASHOKLEY,133.45,133.7,130.95,132.55,1973021,0.3208,6150983
2022-02-01,ASHOKLEY,133.55,133.65,128.05,130.45,5675647,0.33890000000000003,16746215
