Date,symbol,open,high,low,close,deliverable volume,deliverable_percentage,volume
2021-09-01,ASIANPAINT,3230.05,3333.0,3215.0,3302.75,615326,0.2539,2423168
2021-09-02,ASIANPAINT,3312.95,3319.0,3266.65,3301.6,358744,0.4233,847517
2021-09-03,ASIANPAINT,3301.6,3344.95,3286.5,3338.8,405393,0.4872,832039
2021-09-06,ASIANPAINT,3342.0,3347.7,3305.9,3315.55,331753,0.4993,664394
2021-09-07,ASIANPAINT,3333.5,3394.6,3323.85,3336.25,418838,0.3257,1285818
2021-09-08,ASIANPAINT,3345.0,3361.55,3297.0,3336.6,330074,0.4698,702598
2021-09-09,ASIANPAINT,3305.0,3359.0,3305.0,3346.35,314959,0.5323,591745
2021-09-13,ASIANPAINT,3346.6,3374.0,3330.35,3367.05,303236,0.4964,610920
2021-09-14,ASIANPAINT,3384.9,3388.6,3356.85,3362.5,347892,0.611,569412
2021-09-15,ASIANPAINT,3361.85,3383.95,3346.95,3352.3,354905,0.6037,587855
2021-09-16,ASIANPAINT,3350.0,3371.0,3335.0,3342.1,291198,0.5635,516746
2021-09-17,ASIANPAINT,3352.0,3382.0,3285.05,3303.05,1045810,0.6766,1545695
2021-09-20,ASIANPAINT,3299.95,3315.0,3265.0,3271.55,357657,0.5189,689288
2021-09-21,ASIANPAINT,3271.55,3335.0,3271.0,3309.2,386413,0.4191,922057
2021-09-22,ASIANPAINT,3328.5,3329.95,3288.25,3317.5,518547,0.6278,825945
2021-09-23,ASIANPAINT,3340.0,3340.0,3315.0,3320.65,448220,0.6452,694716
2021-09-24,ASIANPAINT,3330.0,3505.0,3320.85,3448.6,790446,0.2847,2775975
2021-09-27,ASIANPAINT,3461.6,3470.0,3417.65,3430.65,407677,0.45170000000000005,902449
2021-09-28,ASIANPAINT,3424.9,3429.7,3350.0,3379.7,525188,0.5463,961271
2021-09-29,ASIANPAINT,3365.0,3381.7,3310.0,3323.05,606740,0.6233,973387
2021-09-30,ASIANPAINT,3329.9,3347.7,3220.0,3244.65,1233451,0.5936,2077896
2021-10-01,ASIANPAINT,3248.0,3252.95,3170.0,3177.85,850199,0.5622,1512332
2021-10-04,ASIANPAINT,3202.8,3230.5,3178.0,3201.6,475100,0.5157,921241
2021-10-05,ASIANPAINT,3208.55,3260.0,3191.65,3254.75,353380,0.3886,909337
2021-10-06,ASIANPAINT,3262.0,3280.0,3200.65,3212.25,364412,0.46340000000000003,786378
2021-10-07,ASIANPAINT,3220.0,3318.0,3220.0,3290.85,545291,0.4632,1177283
2021-10-08,ASIANPAINT,3307.0,3329.0,3264.1,3306.9,428565,0.4857,882436
2021-10-11,ASIANPAINT,3326.4,3344.35,3297.75,3306.05,193438,0.4203,460197
2021-10-12,ASIANPAINT,3280.0,3335.0,3280.0,3323.25,288864,0.5117,564524
2021-10-13,ASIANPAINT,3343.0,3358.9,3291.4,3323.5,380364,0.4939,770144
2021-10-14,ASIANPAINT,3342.0,3352.95,3290.0,3297.8,305811,0.4715,648597
2021-10-18,ASIANPAINT,3252.5,3283.95,3232.0,3241.5,910415,0.5776,1576121
2021-10-19,ASIANPAINT,3260.9,3269.1,3176.1,3183.75,553930,0.5316,1042069
2021-10-20,ASIANPAINT,3190.0,3219.95,3136.65,3169.6,529108,0.4389,1205540
2021-10-21,ASIANPAINT,3194.0,3195.45,2920.45,3002.0,1590299,0.3116,5103543
2021-10-22,ASIANPAINT,2975.0,3002.95,2912.15,2982.4,1329467,0.4656,2855592
2021-10-25,ASIANPAINT,2950.0,2950.0,2857.25,2918.05,961083,0.4446,2161537
2021-10-26,ASIANPAINT,2918.05,3024.0,2898.0,2969.8,1305922,0.6568,1988263
2021-10-27,ASIANPAINT,3029.2,3145.0,3029.2,3094.65,1024747,0.2223,4609951
2021-10-28,ASIANPAINT,3103.0,3147.6,3062.0,3116.3,749889,0.41869999999999996,1791065
2021-10-29,ASIANPAINT,3125.0,3144.7,3083.3,3100.1,479818,0.4288,1118903
2021-11-01,ASIANPAINT,3128.0,3142.25,3091.65,3121.8,296727,0.3954,750393
2021-11-02,ASIANPAINT,3120.0,3139.8,3080.0,3103.35,468721,0.5315,881916
2021-11-03,ASIANPAINT,3102.1,3182.9,3095.0,3170.65,454795,0.5173,879227
2021-11-04,ASIANPAINT,3179.0,3190.0,3145.0,3159.25,122871,0.4661,263595
2021-11-08,ASIANPAINT,3165.0,3181.0,3095.15,3138.0,395367,0.5018,787824
2021-11-09,ASIANPAINT,3140.0,3155.0,3120.0,3145.15,366972,0.5487,668840
2021-11-10,ASIANPAINT,3132.0,3136.65,3080.5,3108.3,498299,0.5708,872975
2021-11-11,ASIANPAINT,3090.0,3106.65,3052.0,3063.5,587174,0.6128,958143
2021-11-12,ASIANPAINT,3089.0,3128.0,3075.8,3122.9,305485,0.44770000000000004,682344
2021-11-15,ASIANPAINT,3126.0,3180.0,3126.0,3168.7,267696,0.38439999999999996,696377
2021-11-16,ASIANPAINT,3165.0,3209.0,3120.1,3151.7,734623,0.5246999999999999,1400107
2021-11-17,ASIANPAINT,3170.0,3239.9,3165.05,3230.25,632637,0.3914,1616452
2021-11-18,ASIANPAINT,3249.85,3260.0,3214.0,3226.85,802130,0.4983,1609821
2021-11-22,ASIANPAINT,3241.0,3308.35,3215.05,3261.25,987674,0.46,2146970
2021-11-23,ASIANPAINT,3261.25,3288.3,3171.55,3185.55,754162,0.5086999999999999,1482618
2021-11-24,ASIANPAINT,3186.05,3208.9,3150.0,3157.0,552326,0.5229,1056213
2021-11-25,ASIANPAINT,3156.5,3173.35,3113.0,3144.25,282465,0.3876,728825
2021-11-26,ASIANPAINT,3101.0,3167.35,3091.0,3143.1,380276,0.36950000000000005,1029110
2021-11-29,ASIANPAINT,3131.0,3178.9,3071.9,3144.3,281065,0.32060000000000005,876651
2021-11-30,ASIANPAINT,3116.15,3189.0,3116.15,3143.65,1338856,0.5720000000000001,2340489
2021-12-01,ASIANPAINT,3155.9,3199.75,3124.1,3138.15,795508,0.45670000000000005,1741820
2021-12-02,ASIANPAINT,3160.0,3194.0,3152.25,3180.6,514640,0.5479,939320
2021-12-03,ASIANPAINT,3185.0,3187.45,3106.0,3110.45,728359,0.5988,1216263
2021-12-06,ASIANPAINT,3115.0,3115.0,3028.25,3038.3,630231,0.5690999999999999,1107363
2021-12-07,ASIANPAINT,3040.0,3069.0,3016.45,3030.35,1345852,0.6545000000000001,2056459
2021-12-08,ASIANPAINT,3031.9,3123.0,3031.0,3108.5,640434,0.5467000000000001,1171484
2021-12-09,ASIANPAINT,3152.4,3183.05,3111.0,3178.7,572324,0.4446,1287243
