Date,symbol,open,high,low,close,deliverable volume,deliverable_percentage,volume
2021-09-01,ASIANTILES,164.0,164.0,162.15,163.35,101350,0.49710000000000004,203865
2021-09-02,ASIANTILES,165.0,165.75,163.2,163.75,68196,0.5887,115837
2021-09-03,ASIANTILES,165.9,168.9,164.3,165.65,158508,0.47270000000000006,335293
2021-09-06,ASIANTILES,168.7,173.0,159.7,160.6,844341,0.29760000000000003,2837008
2021-09-07,ASIANTILES,161.0,166.35,156.6,164.25,392759,0.4661,842680
2021-09-08,ASIANTILES,143.0,156.45,141.25,155.35,586801,0.3201,1833459
2021-09-09,ASIANTILES,154.95,166.0,153.5,161.1,444326,0.359,1237568
2021-09-13,ASIANTILES,164.0,166.0,159.55,160.8,309632,0.334,926940
2021-09-14,ASIANTILES,161.9,162.85,157.2,159.35,283831,0.4397,645526
2021-09-15,ASIANTILES,158.0,158.25,155.15,155.65,290650,0.5616,517497
2021-09-16,ASIANTILES,154.1,156.3,153.75,154.3,141394,0.46399999999999997,304736
2021-09-17,ASIANTILES,157.85,157.9,151.0,152.85,241102,0.43950000000000006,548544
2021-09-20,ASIANTILES,152.5,156.95,149.05,149.95,210585,0.5445000000000001,386768
2021-09-21,ASIANTILES,152.0,161.25,145.65,157.6,628825,0.35590000000000005,1766642
2021-09-22,ASIANTILES,157.6,164.9,155.7,158.35,447418,0.3789,1180961
2021-09-23,ASIANTILES,159.0,165.0,153.8,155.8,705329,0.36840000000000006,1914397
2021-09-24,ASIANTILES,156.55,164.35,152.0,153.05,304403,0.41990000000000005,724944
2021-09-27,ASIANTILES,153.05,156.6,147.9,151.8,384909,0.334,1152274
2021-09-28,ASIANTILES,151.05,156.8,150.0,150.9,431946,0.5332,810105
2021-09-29,ASIANTILES,151.25,157.0,151.25,153.95,629119,0.4697,1339395
2021-09-30,ASIANTILES,154.5,160.0,152.05,153.75,423447,0.45909999999999995,922439
2021-10-01,ASIANTILES,153.75,161.0,152.75,159.0,518563,0.4292,1208153
2021-10-04,ASIANTILES,160.6,170.0,157.5,168.25,1098331,0.40490000000000004,2712313
2021-10-05,ASIANTILES,168.25,174.0,166.0,171.7,449528,0.3893,1154745
2021-10-06,ASIANTILES,171.55,176.3,163.75,168.9,275116,0.3456,796108
2021-10-07,ASIANTILES,169.0,175.0,153.8,164.75,271570,0.386,703616
2021-10-08,ASIANTILES,165.9,166.5,162.65,164.7,120762,0.454,266002
2021-10-11,ASIANTILES,166.0,167.0,162.0,162.55,97044,0.5522,175747
2021-10-12,ASIANTILES,163.9,163.9,156.95,158.35,159904,0.4623,345909
2021-10-13,ASIANTILES,159.0,159.75,153.65,156.05,405056,0.7315,553699
2021-10-14,ASIANTILES,156.95,159.75,148.65,149.95,532712,0.48960000000000004,1088001
2021-10-18,ASIANTILES,149.0,152.15,147.45,150.5,221019,0.4079,541810
2021-10-19,ASIANTILES,150.5,152.0,149.15,150.1,134861,0.485,278080
2021-10-20,ASIANTILES,148.5,149.5,145.55,147.4,159954,0.4307,371391
2021-10-21,ASIANTILES,129.05,142.0,128.7,136.45,836784,0.48490000000000005,1725743
2021-10-22,ASIANTILES,139.75,140.9,134.75,136.5,265894,0.5147,516631
2021-10-25,ASIANTILES,137.7,138.05,132.8,133.7,227351,0.5847,388826
2021-10-26,ASIANTILES,134.75,136.9,134.05,136.25,168480,0.5356000000000001,314545
2021-10-27,ASIANTILES,137.0,140.65,136.3,137.2,218948,0.5034000000000001,434952
2021-10-28,ASIANTILES,138.95,138.95,133.7,134.55,285604,0.6781999999999999,421113
2021-10-29,ASIANTILES,136.0,136.8,132.5,133.3,140268,0.49570000000000003,282964
2021-11-01,ASIANTILES,135.0,136.45,134.75,135.45,103531,0.5954,173894
2021-11-02,ASIANTILES,136.1,136.35,132.85,134.15,94514,0.5844,161738
2021-11-03,ASIANTILES,135.55,136.5,133.05,134.6,99361,0.5246000000000001,189402
2021-11-04,ASIANTILES,135.95,135.95,134.35,135.2,56344,0.7433,75807
2021-11-08,ASIANTILES,137.25,138.8,135.25,136.25,154203,0.5904,261162
2021-11-09,ASIANTILES,136.7,140.4,136.0,138.8,242259,0.511,474098
2021-11-10,ASIANTILES,138.85,144.8,138.0,143.15,269830,0.41630000000000006,648239
2021-11-11,ASIANTILES,144.2,146.5,143.1,143.65,150617,0.3911,385102
2021-11-12,ASIANTILES,144.85,144.85,137.05,140.65,152672,0.5155,296161
2021-11-15,ASIANTILES,146.5,146.5,137.0,138.25,350671,0.628,558363
2021-11-16,ASIANTILES,140.6,140.6,136.55,137.7,163125,0.6038,270169
2021-11-17,ASIANTILES,138.5,138.5,135.7,136.15,168140,0.7072,237763
2021-11-18,ASIANTILES,137.25,137.65,134.4,135.3,213041,0.6185,344450
2021-11-22,ASIANTILES,136.0,136.7,127.4,128.15,395703,0.6924,571492
2021-11-23,ASIANTILES,129.35,131.7,124.55,130.55,142172,0.4204,338219
2021-11-24,ASIANTILES,132.95,134.4,130.1,130.55,158957,0.5362,296434
2021-11-25,ASIANTILES,131.55,132.65,129.6,131.8,70414,0.5105,137938
2021-11-26,ASIANTILES,130.1,131.1,127.0,128.0,104562,0.6034,173294
2021-11-29,ASIANTILES,125.3,127.65,122.5,124.35,122056,0.4364,279702
2021-11-30,ASIANTILES,126.0,129.45,123.75,125.6,80762,0.4803,168144
2021-12-01,ASIANTILES,125.65,128.4,125.4,126.5,50042,0.4758,105172
