Date,symbol,open,high,low,close,deliverable volume,deliverable_percentage,volume
2021-09-01,ASTERDM,214.6,229.55,213.4,226.4,1251718,0.2079,6021719
2021-09-02,ASTERDM,225.1,236.95,218.0,223.95,1250284,0.1724,7250482
2021-09-03,ASTERDM,225.9,230.0,221.5,228.3,658026,0.20879999999999999,3151747
2021-09-06,ASTERDM,229.0,234.0,223.05,226.15,604796,0.25579999999999997,2364317
2021-09-07,ASTERDM,226.4,227.6,217.0,218.55,791290,0.3529,2242159
2021-09-08,ASTERDM,219.9,222.4,216.25,219.75,308678,0.239,1291565
2021-09-09,ASTERDM,217.55,233.0,217.55,227.25,1731163,0.4019,4307334
2021-09-13,ASTERDM,226.95,232.45,225.1,229.35,1318926,0.5136999999999999,2567712
2021-09-14,ASTERDM,232.45,237.0,230.6,233.85,941643,0.2822,3336511
2021-09-15,ASTERDM,233.9,233.9,229.5,230.85,445057,0.4429,1004811
2021-09-16,ASTERDM,230.9,232.05,223.25,227.25,795470,0.5357999999999999,1484588
2021-09-17,ASTERDM,228.0,229.4,213.6,216.35,8763821,0.8495,10316306
2021-09-20,ASTERDM,218.0,226.9,211.0,214.1,475666,0.2964,1604948
2021-09-21,ASTERDM,214.0,218.95,211.95,217.75,371331,0.2848,1303781
2021-09-22,ASTERDM,217.75,218.75,208.35,209.2,564538,0.5567000000000001,1014058
2021-09-23,ASTERDM,210.95,214.8,208.1,209.95,229432,0.2968,773122
2021-09-24,ASTERDM,212.0,215.15,206.4,213.45,326941,0.31620000000000004,1033830
2021-09-27,ASTERDM,215.0,217.25,210.5,211.75,191513,0.3006,637060
2021-09-28,ASTERDM,212.0,215.8,210.0,213.0,176442,0.27,653526
2021-09-29,ASTERDM,212.25,214.45,209.6,210.55,189388,0.42060000000000003,450278
2021-09-30,ASTERDM,211.45,211.95,207.0,207.55,292964,0.49090000000000006,596809
2021-10-01,ASTERDM,207.55,213.0,206.0,211.85,274753,0.38530000000000003,713091
2021-10-04,ASTERDM,211.3,212.75,209.0,210.45,190500,0.3579,532290
2021-10-05,ASTERDM,211.45,218.0,210.5,212.35,345521,0.3437,1005177
2021-10-06,ASTERDM,213.0,215.25,206.1,207.95,258038,0.4596,561434
2021-10-07,ASTERDM,210.0,213.5,208.85,211.65,189798,0.4362,435149
2021-10-08,ASTERDM,212.9,217.05,211.6,212.8,279344,0.40770000000000006,685111
2021-10-11,ASTERDM,214.3,216.75,211.35,212.7,288375,0.4794,601577
2021-10-12,ASTERDM,213.65,214.05,209.0,211.35,147143,0.4551,323316
2021-10-13,ASTERDM,212.5,212.85,208.8,209.4,135693,0.5264,257780
2021-10-14,ASTERDM,209.4,212.65,207.15,207.95,144740,0.3839,377037
2021-10-18,ASTERDM,207.5,208.2,203.0,203.65,312262,0.5364,582119
2021-10-19,ASTERDM,203.1,205.75,196.15,196.9,270168,0.4778,565465
2021-10-20,ASTERDM,198.8,200.3,187.65,188.75,268235,0.4455,602056
2021-10-21,ASTERDM,190.9,202.95,189.85,195.2,167020,0.1912,873696
2021-10-22,ASTERDM,195.2,198.75,192.1,193.4,84794,0.3088,274596
2021-10-25,ASTERDM,178.0,191.2,177.45,185.15,408680,0.3437,1189167
2021-10-26,ASTERDM,185.15,190.0,183.35,187.35,247450,0.4269,579652
2021-10-27,ASTERDM,189.65,195.8,187.35,188.65,118109,0.2832,416982
2021-10-28,ASTERDM,189.0,191.5,180.8,183.65,98348,0.41100000000000003,239281
2021-10-29,ASTERDM,183.0,195.5,176.0,187.8,266237,0.29100000000000004,915052
2021-11-01,ASTERDM,179.0,187.85,179.0,184.05,336544,0.23399999999999999,1438000
2021-11-02,ASTERDM,187.55,189.75,184.85,188.15,84278,0.355,237420
2021-11-03,ASTERDM,189.1,190.35,185.05,185.95,58024,0.43729999999999997,132694
2021-11-04,ASTERDM,191.0,199.0,189.0,193.75,121070,0.3804,318303
2021-11-08,ASTERDM,195.9,197.0,191.1,192.0,121579,0.4587,265031
2021-11-09,ASTERDM,193.0,196.9,192.0,194.5,99957,0.43090000000000006,231947
2021-11-10,ASTERDM,195.25,207.0,193.7,205.35,351907,0.31930000000000003,1102090
2021-11-11,ASTERDM,207.35,212.3,197.1,203.45,294835,0.2576,1144445
2021-11-12,ASTERDM,212.0,214.0,203.6,207.9,436327,0.3511,1242672
2021-11-15,ASTERDM,211.0,211.25,205.45,207.4,297947,0.4096,727387
2021-11-16,ASTERDM,208.65,209.5,198.65,200.25,181136,0.3483,519987
2021-11-17,ASTERDM,200.75,207.55,200.25,201.5,169449,0.2983,567995
2021-11-18,ASTERDM,203.0,204.75,195.25,196.4,211585,0.4877,433811
2021-11-22,ASTERDM,198.35,198.6,186.75,191.8,142855,0.45409999999999995,314566
2021-11-23,ASTERDM,190.75,204.6,187.6,201.95,162438,0.3301,492014
2021-11-24,ASTERDM,204.85,206.5,197.65,198.5,228721,0.40909999999999996,559061
2021-11-25,ASTERDM,198.6,209.3,197.5,207.2,359158,0.44079999999999997,814739
2021-11-26,ASTERDM,207.2,212.75,203.0,205.4,1495792,0.47600000000000003,3142578
2021-11-29,ASTERDM,209.4,209.5,190.5,192.25,285012,0.3043,936661
2021-11-30,ASTERDM,191.9,197.2,190.1,192.0,218452,0.39590000000000003,551854
2021-12-01,ASTERDM,193.2,194.9,188.1,191.45,126693,0.3519,360010
2021-12-02,ASTERDM,191.55,194.7,191.55,193.6,83154,0.33840000000000003,245735
2021-12-03,ASTERDM,194.65,196.15,191.6,194.1,155192,0.49729999999999996,312059
2021-12-06,ASTERDM,192.65,198.5,191.0,192.45,141994,0.34659999999999996,409683
2021-12-07,ASTERDM,193.1,194.9,190.5,191.3,116218,0.4686,247999
2021-12-08,ASTERDM,192.7,195.15,192.0,192.7,77035,0.4078,188911
2021-12-09,ASTERDM,194.3,196.3,192.5,193.1,186987,0.5739,325794
2021-12-10,ASTERDM,190.9,197.75,188.1,194.3,230863,0.2212,1043536
2021-12-13,ASTERDM,193.0,196.2,191.1,191.75,151724,0.4551,333393
2021-12-14,ASTERDM,191.6,193.75,190.1,190.7,132320,0.5502,240506
2021-12-15,ASTERDM,191.5,195.5,190.6,192.1,140976,0.3946,357224
2021-12-16,ASTERDM,193.45,193.8,186.1,187.0,212561,0.5676,374495
2021-12-17,ASTERDM,187.65,190.25,185.1,185.5,96889,0.3023,320460
2021-12-20,ASTERDM,180.1,184.0,173.6,175.8,634760,0.48360000000000003,1312562
2021-12-21,ASTERDM,177.0,179.4,172.0,173.9,144650,0.3007,481111
2021-12-22,ASTERDM,173.95,177.5,173.95,175.75,80408,0.38520000000000004,208729
2021-12-23,ASTERDM,176.9,179.4,175.25,178.45,107612,0.34840000000000004,308891
2021-12-24,ASTERDM,182.0,183.8,167.5,172.3,153905,0.32520000000000004,473328
2021-12-27,ASTERDM,173.0,177.2,169.25,176.4,154377,0.37320000000000003,413644
2021-12-28,ASTERDM,176.0,177.0,173.2,173.65,188666,0.511,369209
2021-12-29,ASTERDM,174.8,182.3,174.25,175.5,258377,0.3041,849656
2021-12-30,ASTERDM,176.85,176.85,172.15,172.75,203765,0.4826,422208
2021-12-31,ASTERDM,175.5,175.6,172.7,173.8,147686,0.3934,375421
2022-01-03,ASTERDM,175.45,179.8,175.05,178.3,240376,0.4853,495351
2022-01-04,ASTERDM,181.6,183.15,178.2,179.25,260028,0.4733,549429
2022-01-05,ASTERDM,182.1,194.6,180.15,191.45,581254,0.21420000000000003,2713569
2022-01-06,ASTERDM,190.0,191.5,187.25,190.5,212800,0.31620000000000004,673024
2022-01-07,ASTERDM,192.0,194.85,186.0,187.65,227547,0.40159999999999996,566581
2022-01-10,ASTERDM,188.85,189.45,179.05,183.95,184869,0.4181,442194
2022-01-11,ASTERDM,183.95,187.7,182.1,183.85,170428,0.43100000000000005,395405
2022-01-12,ASTERDM,184.75,185.4,180.55,182.3,188511,0.5917,318569
2022-01-13,ASTERDM,182.5,183.7,181.75,183.25,94656,0.49,193170
2022-01-14,ASTERDM,183.6,185.5,182.5,183.9,77409,0.392,197463
2022-01-17,ASTERDM,186.0,189.95,183.7,188.75,281058,0.543,517616
2022-01-18,ASTERDM,189.95,193.5,187.2,189.45,433910,0.39060000000000006,1110851
2022-01-19,ASTERDM,191.05,194.8,189.45,192.7,287034,0.3951,726471
2022-01-20,ASTERDM,192.75,200.45,192.0,198.6,574175,0.3691,1555432
2022-01-21,ASTERDM,198.45,200.0,186.15,189.65,235991,0.3576,659963
2022-01-24,ASTERDM,187.9,189.8,178.05,180.65,72706,0.2865,650474
2022-01-25,ASTERDM,179.1,185.0,176.2,182.45,87180,0.30100000000000005,289601
2022-01-27,ASTERDM,182.45,187.3,181.45,184.85,73390,0.26239999999999997,279642
2022-01-28,ASTERDM,185.85,190.0,183.5,184.45,74989,0.331,226523
2022-01-31,ASTERDM,188.1,188.1,183.3,184.65,70756,0.4118,171840
2022-02-01,ASTERDM,185.6,198.9,185.1,187.95,230728,0.2373,972406
2022-02-02,ASTERDM,189.3,191.35,185.0,185.9,140624,0.4941,284619
2022-02-03,ASTERDM,186.95,188.75,185.0,185.5,66888,0.3693,181103
2022-02-04,ASTERDM,185.45,188.25,184.45,185.7,56645,0.373,151882
2022-02-07,ASTERDM,186.5,189.25,183.75,184.2,98630,0.4268,231066
2022-02-08,ASTERDM,184.9,188.2,176.1,184.4,102356,0.354,289114
2022-02-09,ASTERDM,192.9,196.8,188.0,192.95,351223,0.2133,1646400
2022-02-10,ASTERDM,192.85,194.0,188.95,190.45,117935,0.32180000000000003,366508
2022-02-11,ASTERDM,182.15,188.85,182.0,185.6,77933,0.34850000000000003,223632
2022-02-14,ASTERDM,182.0,184.6,179.0,181.6,166694,0.502,332027
2022-02-15,ASTERDM,182.3,188.0,182.0,184.75,243668,0.4732,514951
2022-02-16,ASTERDM,186.9,189.25,183.2,184.25,129887,0.3901,332961
2022-02-17,ASTERDM,185.95,188.7,180.1,182.25,78946,0.37570000000000003,210158
2022-02-18,ASTERDM,182.8,191.45,180.65,189.85,411072,0.3381,1215903
2022-02-21,ASTERDM,186.3,187.55,182.0,182.75,76237,0.2817,270617
2022-02-22,ASTERDM,179.8,181.95,175.8,177.1,415175,0.6355,653345
2022-02-23,ASTERDM,177.3,184.0,176.25,178.05,95230,0.3755,253623
2022-02-24,ASTERDM,175.0,178.65,166.2,170.8,255401,0.5353,477093
2022-02-25,ASTERDM,174.2,175.9,170.8,174.1,131504,0.2926,449507
2022-02-28,ASTERDM,172.5,172.9,168.0,170.8,79879,0.2932,272485
2022-03-02,ASTERDM,171.95,173.1,168.15,168.8,78405,0.3926,199702
2022-03-03,ASTERDM,170.7,173.0,166.5,167.0,124167,0.48009999999999997,258639
2022-03-04,ASTERDM,167.8,181.45,163.5,166.3,551536,0.1493,3693911
2022-03-07,ASTERDM,163.1,165.5,158.1,161.9,207038,0.4484,461730
2022-03-08,ASTERDM,161.0,166.0,160.3,163.05,121785,0.4304,282938
2022-03-09,ASTERDM,164.0,175.0,162.45,172.35,199518,0.4291,465002
2022-03-10,ASTERDM,173.3,175.95,168.0,168.65,141673,0.4175,339317
2022-03-11,ASTERDM,170.85,174.45,169.5,173.8,163204,0.47159999999999996,346085
2022-03-14,ASTERDM,172.45,177.2,171.0,174.2,123644,0.42840000000000006,288585
2022-03-15,ASTERDM,175.5,176.0,171.0,172.95,87886,0.40270000000000006,218253
2022-03-16,ASTERDM,173.55,174.45,172.1,172.65,64373,0.47340000000000004,135992
2022-03-17,ASTERDM,175.0,175.9,173.65,174.45,56962,0.3915,145495
2022-03-21,ASTERDM,175.9,176.9,170.05,173.6,80751,0.44680000000000003,180728
2022-03-22,ASTERDM,174.5,179.4,170.55,173.6,77168,0.3104,248583
2022-03-23,ASTERDM,174.3,179.0,170.5,171.2,132218,0.37340000000000007,354125
2022-03-24,ASTERDM,171.75,175.8,171.55,175.0,131869,0.5033,262031
2022-03-25,ASTERDM,175.4,183.9,175.2,180.95,286353,0.3626,789682
2022-03-28,ASTERDM,181.95,201.7,181.95,200.0,1395920,0.3045,4584167
2022-03-29,ASTERDM,200.5,201.55,192.6,194.7,249678,0.2136,1168807
2022-03-30,ASTERDM,197.15,202.05,193.2,195.15,119971,0.29760000000000003,403163
2022-03-31,ASTERDM,194.2,199.7,194.2,197.5,315337,0.4336,727256
2022-04-01,ASTERDM,197.55,201.45,193.1,194.1,191085,0.28500000000000003,670500
2022-04-04,ASTERDM,195.8,199.45,191.85,192.7,107873,0.44090000000000007,244688
2022-04-05,ASTERDM,193.9,197.4,192.3,194.35,137694,0.42619999999999997,323056
2022-04-06,ASTERDM,194.25,204.35,192.85,198.6,295771,0.3469,852664
2022-04-07,ASTERDM,199.6,203.4,188.25,192.6,6188985,0.4932,12547463
2022-04-08,ASTERDM,193.7,197.95,188.2,196.6,825339,0.4915,1679195
2022-04-11,ASTERDM,197.3,197.3,191.9,193.6,237005,0.505,469304
2022-04-12,ASTERDM,194.0,194.0,188.55,190.75,223773,0.41509999999999997,539099
2022-04-13,ASTERDM,191.5,193.8,189.2,190.0,180554,0.4704,383860
2022-04-18,ASTERDM,188.5,190.5,182.25,182.8,189873,0.5660000000000001,335438
