Date,symbol,open,high,low,close,deliverable volume,deliverable_percentage,volume
2021-10-12,AUSOMENT,69.25,69.25,66.05,66.45,2843,0.7587,3747
2021-10-13,AUSOMENT,68.25,68.3,65.1,66.05,2730,0.6509,4194
2021-10-14,AUSOMENT,67.15,67.6,65.9,66.25,2031,0.5085000000000001,3994
2021-10-18,AUSOMENT,67.05,69.55,65.75,67.15,7431,0.37479999999999997,19824
2021-10-19,AUSOMENT,66.05,68.35,63.8,64.05,13238,0.6833,19375
2021-10-20,AUSOMENT,64.45,65.9,61.65,63.45,1992,0.502,3968
2021-10-21,AUSOMENT,64.2,64.65,62.4,63.8,2526,0.47759999999999997,5289
2021-10-22,AUSOMENT,63.4,65.45,61.7,64.1,2125,0.5251,4047
2021-10-25,AUSOMENT,62.8,63.5,61.1,61.9,3031,0.6374000000000001,4755
2021-10-26,AUSOMENT,63.15,63.25,61.7,62.35,578,0.3497,1653
2021-10-27,AUSOMENT,63.5,63.5,60.35,61.7,3618,0.922,3924
2021-10-28,AUSOMENT,63.3,63.3,60.05,61.1,1283,0.6361,2017
2021-10-29,AUSOMENT,61.1,61.1,58.55,60.0,4299,0.7136,6024
2021-11-01,AUSOMENT,60.0,61.7,58.35,59.0,4077,0.6083,6702
2021-11-02,AUSOMENT,61.8,61.8,57.2,58.75,2677,0.6417,4172
2021-11-03,AUSOMENT,61.55,61.65,59.3,61.65,3346,0.5463,6125
2021-11-04,AUSOMENT,64.7,64.7,62.9,64.5,1865,0.9915,1881
2021-11-08,AUSOMENT,65.0,65.95,62.3,63.2,3493,0.5917,5903
2021-11-09,AUSOMENT,65.95,66.3,61.6,62.35,2456,0.68,3612
2021-11-10,AUSOMENT,64.95,64.95,62.25,63.4,1341,0.4316,3107
2021-11-11,AUSOMENT,62.65,63.65,61.75,62.25,1672,0.7659,2183
2021-11-12,AUSOMENT,65.25,65.25,62.4,62.65,1384,0.6504000000000001,2128
2021-11-15,AUSOMENT,64.95,64.95,60.2,61.7,3650,0.6817000000000001,5354
2021-11-16,AUSOMENT,63.5,63.5,59.2,60.3,823,0.9309999999999999,884
2021-11-17,AUSOMENT,60.5,62.75,60.5,61.0,1890,0.7097,2663
2021-11-18,AUSOMENT,60.45,61.7,59.5,60.15,955,0.9156000000000001,1043
2021-11-22,AUSOMENT,62.05,62.05,57.6,58.05,2153,0.8345,2580
2021-11-23,AUSOMENT,59.4,60.55,57.9,60.2,1873,0.433,4326
2021-11-24,AUSOMENT,59.6,60.05,58.0,58.4,1584,0.7853,2017
2021-11-25,AUSOMENT,60.5,61.3,57.0,60.55,5252,0.8388,6261
2021-11-26,AUSOMENT,61.8,63.55,59.7,60.0,3417,0.5263,6492
2021-11-29,AUSOMENT,61.8,61.8,57.25,57.7,1153,0.6136,1879
2021-11-30,AUSOMENT,59.45,59.45,57.7,58.0,989,0.9715,1018
2021-12-01,AUSOMENT,60.9,60.9,59.15,59.6,1159,0.5292,2190
2021-12-02,AUSOMENT,62.25,62.25,56.65,58.6,931,0.5690999999999999,1636
2021-12-03,AUSOMENT,60.9,60.95,58.95,59.4,1828,0.756,2418
