Date,symbol,open,high,low,close,deliverable volume,deliverable_percentage,volume
2021-09-01,AVANTIFEED,564.1,570.0,560.75,564.25,42934,0.34140000000000004,125758
2021-09-02,AVANTIFEED,564.25,571.95,563.0,565.0,64205,0.4336,148058
2021-09-03,AVANTIFEED,565.1,566.95,553.5,560.55,147999,0.542,273051
2021-09-06,AVANTIFEED,561.0,570.1,557.6,562.15,51724,0.3247,159281
2021-09-07,AVANTIFEED,563.0,567.3,553.0,557.55,155167,0.6117,253654
2021-09-08,AVANTIFEED,559.75,560.35,552.3,555.6,49947,0.4044,123510
2021-09-09,AVANTIFEED,555.95,572.0,555.6,558.3,55044,0.277,198748
2021-09-13,AVANTIFEED,561.55,568.0,557.1,564.45,50605,0.4058,124718
2021-09-14,AVANTIFEED,565.05,577.85,561.0,564.45,77648,0.3241,239599
2021-09-15,AVANTIFEED,567.3,567.5,557.8,560.7,63840,0.45439999999999997,140494
2021-09-16,AVANTIFEED,561.95,565.15,555.05,561.05,60380,0.4744,127289
2021-09-17,AVANTIFEED,563.3,569.8,553.0,554.3,72263,0.40020000000000006,180559
2021-09-20,AVANTIFEED,552.0,558.6,546.4,555.1,61316,0.5046,121515
2021-09-21,AVANTIFEED,555.0,558.0,548.0,555.4,111216,0.5225,212851
2021-09-22,AVANTIFEED,555.4,564.0,547.0,548.85,114523,0.5085000000000001,225218
2021-09-23,AVANTIFEED,551.8,556.0,549.0,550.8,130010,0.6082,213748
2021-09-24,AVANTIFEED,551.8,557.05,551.25,554.45,111723,0.5810000000000001,192283
2021-09-27,AVANTIFEED,558.0,558.0,548.0,550.1,64639,0.5114,126403
2021-09-28,AVANTIFEED,547.0,551.0,542.0,543.45,61036,0.4637,131626
2021-09-29,AVANTIFEED,542.95,546.2,538.35,539.75,61060,0.48729999999999996,125315
2021-09-30,AVANTIFEED,540.6,544.35,538.25,539.15,47820,0.4913,97333
2021-10-01,AVANTIFEED,538.95,551.75,535.0,549.65,106928,0.5085000000000001,210289
2021-10-04,AVANTIFEED,553.7,557.95,550.0,553.5,71196,0.5113000000000001,139238
2021-10-05,AVANTIFEED,555.0,579.0,554.5,574.0,223319,0.32439999999999997,688358
2021-10-06,AVANTIFEED,577.7,589.35,569.8,571.15,173507,0.3896,445372
2021-10-07,AVANTIFEED,575.7,584.0,569.6,580.15,132534,0.5256000000000001,252177
2021-10-08,AVANTIFEED,584.7,591.4,575.6,582.8,142765,0.47490000000000004,300614
2021-10-11,AVANTIFEED,584.95,589.95,574.35,577.35,74456,0.41700000000000004,178535
2021-10-12,AVANTIFEED,576.95,588.0,574.8,583.4,80356,0.5064,158669
2021-10-13,AVANTIFEED,586.35,590.9,576.35,577.7,59420,0.2767,214727
2021-10-14,AVANTIFEED,575.1,579.95,568.4,570.2,64672,0.4986,129719
2021-10-18,AVANTIFEED,574.85,578.5,550.0,553.7,174116,0.49920000000000003,348795
2021-10-19,AVANTIFEED,555.95,574.0,555.0,559.55,71892,0.35090000000000005,204873
2021-10-20,AVANTIFEED,561.0,563.95,548.0,552.2,57589,0.3943,146041
2021-10-21,AVANTIFEED,559.0,565.0,548.0,550.95,60807,0.4228,143814
2021-10-22,AVANTIFEED,552.9,560.5,550.35,557.15,71588,0.4645,154103
2021-10-25,AVANTIFEED,565.0,568.0,539.45,543.45,51432,0.3947,130300
2021-10-26,AVANTIFEED,543.0,555.0,543.0,551.55,41731,0.46399999999999997,89936
2021-10-27,AVANTIFEED,554.5,558.0,548.0,552.15,42559,0.5446,78152
2021-10-28,AVANTIFEED,553.95,560.4,536.0,552.4,62840,0.4618,136083
2021-10-29,AVANTIFEED,552.4,564.85,541.0,556.8,38768,0.31670000000000004,122402
2021-11-01,AVANTIFEED,555.0,557.25,546.95,550.35,30281,0.28350000000000003,106828
2021-11-02,AVANTIFEED,551.0,557.9,550.55,555.55,27597,0.42590000000000006,64790
2021-11-03,AVANTIFEED,556.5,559.85,549.5,552.7,26685,0.4222,63210
2021-11-04,AVANTIFEED,555.95,558.0,553.5,556.6,16177,0.6939000000000001,23312
2021-11-08,AVANTIFEED,560.0,572.25,553.55,565.35,45153,0.3653,123605
2021-11-09,AVANTIFEED,567.7,580.0,563.15,573.9,78140,0.4458,175264
2021-11-10,AVANTIFEED,574.0,588.0,570.3,573.15,72275,0.3024,238970
2021-11-11,AVANTIFEED,572.9,592.15,570.5,575.5,83558,0.3904,214034
