Date,symbol,open,high,low,close,deliverable volume,deliverable_percentage,volume
2021-09-01,AVTNPL,74.0,75.3,72.7,74.0,53291,0.4623,115275
2021-09-02,AVTNPL,74.4,77.3,74.4,74.65,88232,0.49840000000000007,177018
2021-09-03,AVTNPL,75.1,76.35,74.6,74.8,75125,0.4806,156303
2021-09-06,AVTNPL,75.9,77.45,74.95,75.45,150104,0.4753,315777
2021-09-07,AVTNPL,75.95,76.85,75.25,75.35,87105,0.5614,155166
2021-09-08,AVTNPL,75.45,78.8,75.45,77.1,180440,0.4999,360931
2021-09-09,AVTNPL,76.45,78.45,76.05,76.7,75333,0.5545,135863
2021-09-13,AVTNPL,76.95,77.55,75.65,76.05,98925,0.5499,179894
2021-09-14,AVTNPL,76.55,82.4,76.55,80.75,548613,0.4622,1186852
2021-09-15,AVTNPL,80.75,90.1,80.5,85.7,693507,0.4739,1463317
2021-09-16,AVTNPL,86.5,88.6,83.85,84.2,210428,0.5285,398190
2021-09-17,AVTNPL,84.8,85.2,79.1,82.55,200799,0.5670000000000001,354139
2021-09-20,AVTNPL,82.45,83.55,79.15,79.75,94057,0.4804,195770
2021-09-21,AVTNPL,80.0,80.75,77.4,80.1,100280,0.45630000000000004,219773
2021-09-22,AVTNPL,79.45,81.45,79.45,79.95,47516,0.5393,88113
2021-09-23,AVTNPL,80.75,81.45,79.55,80.05,68094,0.5526,123222
2021-09-24,AVTNPL,81.35,81.35,78.1,78.35,75171,0.568,132335
2021-09-27,AVTNPL,78.95,80.0,77.5,77.8,58718,0.47159999999999996,124508
2021-09-28,AVTNPL,78.75,79.3,77.5,78.8,59869,0.5053,118475
2021-09-29,AVTNPL,78.8,81.45,78.45,81.0,106975,0.5051,211802
2021-09-30,AVTNPL,82.0,83.0,81.45,81.95,90616,0.4598,197084
2021-10-01,AVTNPL,81.95,82.6,80.45,81.15,81031,0.45549999999999996,177907
2021-10-04,AVTNPL,82.0,84.5,79.55,82.5,130790,0.45640000000000003,286542
2021-10-05,AVTNPL,81.85,86.0,81.25,83.45,116821,0.4146,281737
2021-10-06,AVTNPL,83.25,85.45,82.55,83.9,105116,0.43700000000000006,240530
2021-10-07,AVTNPL,85.0,86.8,84.25,84.95,139233,0.5109,272508
2021-10-08,AVTNPL,85.5,86.5,84.4,85.2,86299,0.3995,216018
2021-10-11,AVTNPL,85.6,92.95,85.05,88.9,310255,0.46270000000000006,670473
2021-10-12,AVTNPL,89.15,91.2,87.0,87.35,136876,0.35710000000000003,383281
2021-10-13,AVTNPL,87.1,89.9,86.55,88.15,104367,0.4554,229179
2021-10-14,AVTNPL,88.8,90.9,88.0,89.85,99892,0.5025000000000001,198805
2021-10-18,AVTNPL,90.2,93.7,89.2,90.6,129558,0.5677000000000001,228229
2021-10-19,AVTNPL,91.2,91.8,88.5,89.0,132159,0.33049999999999996,399913
2021-10-20,AVTNPL,88.4,88.6,84.8,85.5,138814,0.551,251936
2021-10-21,AVTNPL,85.95,88.1,85.55,87.35,88816,0.3724,238521
2021-10-22,AVTNPL,87.95,90.3,85.8,86.3,66083,0.36479999999999996,181139
2021-10-25,AVTNPL,87.0,87.4,81.3,83.15,69886,0.3337,209458
2021-10-26,AVTNPL,82.4,85.8,82.4,84.8,48708,0.3761,129521
2021-10-27,AVTNPL,85.6,87.45,84.8,86.9,48509,0.4435,109376
2021-10-28,AVTNPL,87.75,87.75,85.15,86.0,68454,0.3805,179899
2021-10-29,AVTNPL,87.45,87.5,82.65,83.1,61399,0.3235,189792
2021-11-01,AVTNPL,83.5,84.6,81.05,81.85,46452,0.3502,132639
2021-11-02,AVTNPL,82.0,83.25,81.35,82.1,44515,0.419,106234
2021-11-03,AVTNPL,83.0,83.15,79.1,81.05,36631,0.5899,62094
2021-11-04,AVTNPL,81.8,84.0,81.8,83.0,18615,0.6283,29629
2021-11-08,AVTNPL,84.0,85.3,83.15,84.55,55757,0.44780000000000003,124510
2021-11-09,AVTNPL,85.0,85.4,78.75,81.65,141413,0.5524,255980
2021-11-10,AVTNPL,82.0,83.3,79.0,81.45,57070,0.5432,105059
2021-11-11,AVTNPL,82.0,82.5,80.0,81.0,52323,0.4968,105318
2021-11-12,AVTNPL,81.15,82.4,79.0,79.3,70659,0.3701,190936
2021-11-15,AVTNPL,79.95,79.95,75.35,76.95,77762,0.542,143460
2021-11-16,AVTNPL,77.7,79.4,76.85,78.6,46926,0.5650000000000001,83049
2021-11-17,AVTNPL,78.95,79.35,77.0,77.2,35090,0.5763,60888
2021-11-18,AVTNPL,77.5,78.2,75.0,76.3,59728,0.631,94661
2021-11-22,AVTNPL,76.8,76.8,72.0,72.4,68850,0.531,129668
2021-11-23,AVTNPL,72.4,75.4,72.4,74.8,28946,0.3421,84612
2021-11-24,AVTNPL,76.1,76.1,74.25,75.55,20942,0.3264,64165
2021-11-25,AVTNPL,77.8,77.8,72.65,76.75,90771,0.6213000000000001,146109
2021-11-26,AVTNPL,76.95,76.95,72.3,74.7,50567,0.563,89814
2021-11-29,AVTNPL,72.75,75.95,71.0,75.05,73238,0.5966,122750
2021-11-30,AVTNPL,76.0,77.05,73.6,74.2,37782,0.3493,108171
2021-12-01,AVTNPL,74.1,75.6,73.05,73.95,16815,0.4903,34292
2021-12-02,AVTNPL,73.95,76.2,72.65,73.95,37748,0.6032000000000001,62577
2021-12-03,AVTNPL,74.4,74.95,72.75,73.85,27869,0.5081,54854
2021-12-06,AVTNPL,74.75,74.8,72.0,72.55,26199,0.6111,42872
2021-12-07,AVTNPL,72.55,74.75,72.55,73.4,26585,0.6117,43462
2021-12-08,AVTNPL,74.4,74.75,73.0,73.6,26850,0.5136999999999999,52265
2021-12-09,AVTNPL,74.4,76.8,73.7,75.55,59405,0.6067,97917
2021-12-10,AVTNPL,75.0,77.7,74.65,77.0,74663,0.6359,117405
2021-12-13,AVTNPL,77.5,78.95,75.4,76.25,55221,0.5169,106827
2021-12-14,AVTNPL,76.25,76.4,75.05,75.85,20390,0.4479,45526
2021-12-15,AVTNPL,75.1,84.25,75.1,81.4,251588,0.2582,974456
2021-12-16,AVTNPL,82.0,82.0,77.6,78.0,98782,0.5392,183190
2021-12-17,AVTNPL,78.65,78.85,74.0,74.55,64478,0.5104,126338
2021-12-20,AVTNPL,74.35,74.7,71.75,73.05,58732,0.5346000000000001,109859
2021-12-21,AVTNPL,73.9,76.0,73.35,74.45,28780,0.534,53900
2021-12-22,AVTNPL,74.4,77.4,74.0,74.95,33719,0.6281,53682
2021-12-23,AVTNPL,75.8,76.15,75.0,75.85,36889,0.67,55056
2021-12-24,AVTNPL,77.4,77.4,74.0,74.3,38610,0.6476000000000001,59620
2021-12-27,AVTNPL,75.8,75.8,73.9,74.55,15944,0.4954,32184
2021-12-28,AVTNPL,75.4,79.45,74.55,78.1,97512,0.5381,181205
2021-12-29,AVTNPL,78.0,79.0,76.95,77.35,26686,0.5005,53314
2021-12-30,AVTNPL,77.4,78.2,76.15,76.4,23053,0.5519,41773
2021-12-31,AVTNPL,77.0,78.65,76.5,77.55,26320,0.713,36912
2022-01-03,AVTNPL,77.55,81.15,77.4,79.8,86646,0.6603,131228
2022-01-04,AVTNPL,80.0,80.7,78.0,78.85,69499,0.6652,104473
2022-01-05,AVTNPL,78.3,79.5,75.8,77.85,65866,0.559,117824
2022-01-06,AVTNPL,76.7,81.8,76.7,80.0,90443,0.5699000000000001,158686
2022-01-07,AVTNPL,80.05,85.3,79.35,81.65,136737,0.3119,438368
2022-01-10,AVTNPL,82.9,83.2,80.55,81.3,71020,0.6743000000000001,105318
2022-01-11,AVTNPL,81.85,82.0,79.9,80.7,56895,0.5806,97988
2022-01-12,AVTNPL,81.5,82.0,79.4,81.45,56184,0.5288,106246
2022-01-13,AVTNPL,81.0,82.8,80.55,81.05,72624,0.5569,130408
2022-01-14,AVTNPL,81.05,89.75,80.85,87.05,247239,0.3171,779740
2022-01-17,AVTNPL,87.05,87.75,85.5,86.1,131937,0.5946,221909
2022-01-18,AVTNPL,86.1,87.25,82.4,83.1,68992,0.5342,129144
2022-01-19,AVTNPL,83.1,85.0,81.3,84.35,80391,0.554,145108
2022-01-20,AVTNPL,84.45,86.0,83.1,83.75,53351,0.5384000000000001,99099
2022-01-21,AVTNPL,83.1,86.9,83.05,84.95,92027,0.5178,177722
2022-01-24,AVTNPL,85.0,88.0,81.0,82.1,46602,0.5104,538180
2022-01-25,AVTNPL,82.0,84.0,79.5,82.45,46866,0.43950000000000006,106624
2022-01-27,AVTNPL,81.95,83.9,80.85,82.55,62418,0.4618,135155
2022-01-28,AVTNPL,83.2,85.0,82.05,82.45,32669,0.4908,66564
2022-01-31,AVTNPL,85.0,85.15,82.85,83.35,49826,0.5720000000000001,87106
2022-02-01,AVTNPL,84.35,85.0,82.05,83.55,66201,0.6313000000000001,104864
2022-02-02,AVTNPL,84.85,84.95,83.65,84.0,41890,0.6039,69370
2022-02-03,AVTNPL,84.85,86.8,83.4,85.75,75253,0.682,110336
2022-02-04,AVTNPL,86.8,97.95,85.65,96.7,753258,0.2879,2616252
2022-02-07,AVTNPL,99.0,99.35,94.15,95.2,444609,0.45520000000000005,976691
2022-02-08,AVTNPL,95.1,106.0,90.6,103.75,567539,0.24850000000000003,2283980
2022-02-09,AVTNPL,107.0,109.8,98.35,100.75,690558,0.19440000000000002,3552844
2022-02-10,AVTNPL,100.95,104.4,99.75,101.3,214774,0.2972,722631
2022-02-11,AVTNPL,100.9,102.9,95.1,97.75,172293,0.3239,531979
