Date,symbol,open,high,low,close,deliverable volume,deliverable_percentage,volume
2021-09-01,AXISBANK,798.1,819.0,795.4,798.9,6362696,0.3186,19972195
2021-09-02,AXISBANK,795.5,806.1,792.4,802.7,2598431,0.3821,6799617
2021-09-03,AXISBANK,804.5,809.9,787.7,798.0,3453209,0.4598,7509746
2021-09-06,AXISBANK,800.85,805.9,795.35,800.8,2193417,0.4832,4539192
2021-09-07,AXISBANK,798.0,799.4,782.05,787.85,3106669,0.4485,6926921
2021-09-08,AXISBANK,790.0,797.35,783.0,794.7,3046430,0.5161,5903035
2021-09-09,AXISBANK,789.0,793.7,784.2,790.15,2500383,0.5093,4909325
2021-09-13,AXISBANK,786.0,790.45,783.5,788.35,2709956,0.5629,4814443
2021-09-14,AXISBANK,791.0,801.0,790.0,794.4,3529043,0.5601,6301208
2021-09-15,AXISBANK,796.0,797.45,787.0,791.4,1863023,0.4571,4075592
2021-09-16,AXISBANK,792.5,807.45,789.1,802.6,9698895,0.6279,15446511
2021-09-17,AXISBANK,808.85,820.7,797.25,807.35,7147841,0.4882,14641298
2021-09-20,AXISBANK,800.0,808.55,791.5,795.85,3356042,0.5322,6306484
2021-09-21,AXISBANK,795.25,799.0,772.3,795.35,3018650,0.38530000000000003,7833561
2021-09-22,AXISBANK,792.5,796.8,786.0,788.35,1748883,0.4012,4359142
2021-09-23,AXISBANK,794.35,814.5,792.55,812.15,3832418,0.4238,9043492
2021-09-24,AXISBANK,812.55,816.95,795.1,798.05,2232542,0.43060000000000004,5184626
2021-09-27,AXISBANK,802.9,808.8,792.8,796.95,4986513,0.6463,7715259
2021-09-28,AXISBANK,802.0,805.6,778.0,789.2,4408555,0.5982000000000001,7369680
2021-09-29,AXISBANK,783.0,789.5,778.5,782.15,10315275,0.7243,14241004
2021-09-30,AXISBANK,779.9,787.35,764.85,766.55,4506157,0.49100000000000005,9178187
2021-10-01,AXISBANK,763.4,771.7,754.0,768.15,2811904,0.4617,6089895
2021-10-04,AXISBANK,771.1,781.15,770.3,779.0,3108186,0.5317000000000001,5845527
2021-10-05,AXISBANK,774.4,784.0,771.2,782.6,1749195,0.4434,3945224
2021-10-06,AXISBANK,782.25,794.2,776.0,778.95,1756406,0.34490000000000004,5092479
2021-10-07,AXISBANK,790.0,790.15,774.1,777.1,4280170,0.6463,6622698
2021-10-08,AXISBANK,781.9,785.0,776.0,781.95,2103602,0.4897,4295686
2021-10-11,AXISBANK,782.0,793.0,779.0,787.15,2281792,0.5165,4417455
2021-10-12,AXISBANK,788.0,799.7,785.45,797.15,2755119,0.5404,5098502
2021-10-13,AXISBANK,799.95,804.5,793.2,794.6,2258302,0.5154,4381414
2021-10-14,AXISBANK,799.0,804.0,788.0,802.05,3968849,0.5545,7157116
