Date,symbol,open,high,low,close,deliverable volume,deliverable_percentage,volume
2021-09-01,AYMSYNTEX,91.5,91.75,88.1,89.35,18137,0.4936,36745
2021-09-02,AYMSYNTEX,93.0,93.0,89.1,89.65,15256,0.7141,21363
2021-09-03,AYMSYNTEX,92.8,98.6,86.4,98.6,234296,0.5437,430938
2021-09-06,AYMSYNTEX,104.1,106.7,97.1,98.0,120516,0.4558,264380
2021-09-07,AYMSYNTEX,97.9,99.9,95.5,97.2,23970,0.5742,41747
2021-09-08,AYMSYNTEX,100.0,104.4,98.5,102.1,83381,0.4539,183708
2021-09-09,AYMSYNTEX,104.2,104.9,98.55,100.95,64879,0.5723,113371
2021-09-13,AYMSYNTEX,101.0,102.9,97.3,99.7,29672,0.5965,49743
2021-09-14,AYMSYNTEX,98.55,101.65,97.35,97.75,19620,0.5875,33397
2021-09-15,AYMSYNTEX,97.0,102.0,97.0,100.2,42385,0.6019,70413
2021-09-16,AYMSYNTEX,103.6,104.8,99.2,102.55,58396,0.6446,90594
2021-09-17,AYMSYNTEX,104.6,104.6,97.95,99.1,24232,0.6315,38373
2021-09-20,AYMSYNTEX,99.0,103.65,95.4,99.8,50523,0.5209,96991
2021-09-21,AYMSYNTEX,101.75,101.75,96.0,98.65,49280,0.6043000000000001,81543
2021-09-22,AYMSYNTEX,99.9,107.8,98.55,104.55,137677,0.6022,228620
2021-09-23,AYMSYNTEX,104.55,114.0,101.35,112.5,204538,0.41250000000000003,495900
2021-09-24,AYMSYNTEX,113.7,113.7,105.0,106.8,63192,0.5728,110315
2021-09-27,AYMSYNTEX,110.5,110.5,102.35,103.35,29842,0.5926,50361
2021-09-28,AYMSYNTEX,104.95,107.5,101.15,103.7,28227,0.5992000000000001,47106
2021-09-29,AYMSYNTEX,103.0,104.2,99.95,103.1,30069,0.5665,53080
2021-09-30,AYMSYNTEX,104.95,105.6,102.1,102.6,24630,0.7348,33518
2021-10-01,AYMSYNTEX,102.25,112.85,99.8,112.85,107553,0.6684,160911
2021-10-04,AYMSYNTEX,112.85,121.5,109.1,115.0,112982,0.5769,195843
2021-10-05,AYMSYNTEX,114.75,119.2,113.15,116.65,40971,0.5246000000000001,78093
2021-10-06,AYMSYNTEX,117.0,117.0,109.0,111.05,55863,0.6636,84184
2021-10-07,AYMSYNTEX,115.0,116.95,112.3,113.35,18659,0.499,37392
2021-10-08,AYMSYNTEX,114.9,115.4,111.95,113.35,14141,0.5799000000000001,24385
2021-10-11,AYMSYNTEX,116.0,116.2,110.3,111.0,44427,0.6984,63616
2021-10-12,AYMSYNTEX,112.6,112.6,107.15,110.25,28582,0.49420000000000003,57836
2021-10-13,AYMSYNTEX,111.65,111.65,107.35,108.0,32387,0.7388,43835
2021-10-14,AYMSYNTEX,107.4,109.85,107.2,108.65,35772,0.7409,48281
2021-10-18,AYMSYNTEX,110.0,112.65,106.8,109.05,27810,0.6093000000000001,45642
2021-10-19,AYMSYNTEX,111.7,111.7,106.0,107.4,21283,0.5274,40353
2021-10-20,AYMSYNTEX,106.3,109.45,105.0,106.9,24512,0.6922,35410
2021-10-21,AYMSYNTEX,105.0,109.9,105.0,107.55,19946,0.5772,34555
