Date,symbol,open,high,low,close,deliverable volume,deliverable_percentage,volume
2021-10-11,BAJAJHIND,16.7,16.85,15.8,15.8,5036501,0.6831999999999999,7371612
2021-10-12,BAJAJHIND,15.9,16.4,15.05,15.05,7012695,0.6679,10500108
2021-10-13,BAJAJHIND,15.1,15.7,14.3,14.4,11183156,0.7640000000000001,14637709
2021-10-14,BAJAJHIND,14.45,14.85,14.3,14.7,5447304,0.7177,7589504
2021-10-18,BAJAJHIND,15.0,15.3,14.0,14.2,14575261,0.5754,25331866
2021-10-19,BAJAJHIND,14.25,14.6,13.5,13.65,10258583,0.7782,13182065
2021-10-20,BAJAJHIND,13.65,14.15,13.5,13.95,3908451,0.6846,5709378
2021-10-21,BAJAJHIND,14.25,14.25,13.7,13.95,2355535,0.6526000000000001,3609524
2021-10-22,BAJAJHIND,14.3,14.3,13.6,13.75,2431284,0.6709999999999999,3623325
2021-10-25,BAJAJHIND,14.0,14.0,13.35,13.5,2549192,0.6879000000000001,3705614
2021-10-26,BAJAJHIND,13.5,14.15,13.4,14.15,2285474,0.5478000000000001,4172178
2021-10-27,BAJAJHIND,14.25,14.4,13.75,13.85,2417914,0.6459,3743277
2021-10-28,BAJAJHIND,13.9,13.9,13.5,13.6,1740490,0.5834,2983513
2021-10-29,BAJAJHIND,13.6,13.65,13.1,13.45,1414589,0.6504000000000001,2175096
2021-11-01,BAJAJHIND,13.55,13.8,13.2,13.4,1818301,0.6351,2862841
2021-11-02,BAJAJHIND,13.5,14.05,13.4,13.9,1406194,0.5832,2411166
2021-11-03,BAJAJHIND,14.0,14.0,13.35,13.5,1517105,0.6043999999999999,2509927
2021-11-04,BAJAJHIND,13.6,13.9,13.6,13.8,626606,0.7986,784630
2021-11-08,BAJAJHIND,13.9,13.95,13.7,13.75,1449951,0.6988,2074797
2021-11-09,BAJAJHIND,13.75,14.0,13.75,13.9,1242345,0.6525,1904010
2021-11-10,BAJAJHIND,13.95,14.55,13.3,14.55,3758103,0.7007,5363598
2021-11-11,BAJAJHIND,15.0,15.25,14.45,14.7,6952521,0.518,13421695
2021-11-12,BAJAJHIND,14.5,14.65,14.0,14.0,4502260,0.6087,7396583
2021-11-15,BAJAJHIND,14.0,14.15,13.6,13.9,1749432,0.5709000000000001,3064095
2021-11-29,BAJAJHIND,12.95,13.05,12.45,12.55,1918247,0.6890999999999999,2783554
