Date,symbol,open,high,low,close,deliverable volume,deliverable_percentage,volume
2021-09-01,BAJAJHLDNG,4355.0,4395.6,4285.0,4337.25,7940,0.3809,20847
2021-09-02,BAJAJHLDNG,4360.1,4388.35,4251.05,4285.1,9519,0.5274,18049
2021-09-03,BAJAJHLDNG,4295.0,4395.8,4270.05,4353.45,11745,0.4711,24930
2021-09-06,BAJAJHLDNG,4394.95,4394.95,4241.15,4249.25,24449,0.5652,43258
2021-09-07,BAJAJHLDNG,4248.0,4298.0,4231.25,4275.05,20281,0.6603,30716
2021-09-08,BAJAJHLDNG,4275.0,4365.0,4239.0,4322.35,12565,0.41130000000000005,30546
2021-09-09,BAJAJHLDNG,4285.0,4339.35,4269.25,4284.35,4488,0.4213,10653
2021-09-13,BAJAJHLDNG,4296.0,4309.85,4251.35,4281.4,6353,0.5776,10999
2021-09-14,BAJAJHLDNG,4329.95,4329.95,4258.85,4282.2,4689,0.4491,10442
2021-09-15,BAJAJHLDNG,4348.0,4348.0,4272.75,4303.6,31871,0.7539,42277
2021-09-16,BAJAJHLDNG,4308.0,4345.3,4298.95,4319.25,12762,0.5977,21353
2021-09-17,BAJAJHLDNG,4347.95,4923.9,4285.0,4398.85,167273,0.1979,845305
2021-09-20,BAJAJHLDNG,4450.0,4800.0,4405.0,4482.9,41026,0.0992,413440
2021-09-21,BAJAJHLDNG,4546.85,4739.95,4411.85,4681.85,105463,0.3074,343062
2021-09-22,BAJAJHLDNG,4730.5,4799.0,4648.0,4719.2,39256,0.2724,144092
2021-09-23,BAJAJHLDNG,4760.0,4981.25,4706.5,4952.0,48284,0.2065,233872
2021-09-24,BAJAJHLDNG,4995.0,5012.45,4850.0,4890.65,18996,0.264,71950
2021-09-27,BAJAJHLDNG,4979.0,5100.0,4918.75,4993.1,35428,0.19530000000000003,181379
2021-09-28,BAJAJHLDNG,4950.0,4954.05,4780.0,4798.9,31930,0.3028,105439
2021-09-29,BAJAJHLDNG,4802.0,4816.4,4650.0,4712.55,47721,0.6013000000000001,79366
2021-09-30,BAJAJHLDNG,4754.0,4841.9,4725.0,4808.6,17039,0.27399999999999997,62195
2021-10-01,BAJAJHLDNG,4784.2,4899.95,4710.0,4737.4,18386,0.2475,74284
2021-10-04,BAJAJHLDNG,4787.9,4949.0,4762.7,4915.4,25870,0.3017,85737
2021-10-05,BAJAJHLDNG,4950.0,4950.0,4801.0,4836.6,14210,0.3194,44484
2021-10-06,BAJAJHLDNG,4873.45,4888.0,4750.0,4767.95,52779,0.7244,72861
2021-10-07,BAJAJHLDNG,4812.0,4838.0,4720.0,4741.0,10333,0.45170000000000005,22876
2021-10-08,BAJAJHLDNG,4792.95,4792.95,4700.0,4716.6,8670,0.40130000000000005,21606
2021-10-11,BAJAJHLDNG,4709.1,4780.0,4672.1,4700.75,14694,0.5048,29110
2021-10-12,BAJAJHLDNG,4700.0,4789.15,4683.0,4747.7,17394,0.4823,36062
2021-10-13,BAJAJHLDNG,4790.0,4794.0,4710.0,4732.1,11042,0.49710000000000004,22211
2021-10-14,BAJAJHLDNG,4755.45,4808.0,4716.7,4745.65,18817,0.6894,27294
2021-10-18,BAJAJHLDNG,4784.95,4796.6,4716.5,4773.3,17640,0.6037,29219
2021-10-19,BAJAJHLDNG,4807.95,4915.5,4747.55,4805.6,39855,0.6559,60765
2021-10-20,BAJAJHLDNG,4810.0,4888.0,4686.65,4783.8,9117,0.41840000000000005,21788
2021-10-21,BAJAJHLDNG,4785.0,4824.2,4702.55,4733.15,11331,0.5643,20080
2021-10-22,BAJAJHLDNG,4735.0,4799.75,4691.4,4747.4,33820,0.6962,48576
2021-10-25,BAJAJHLDNG,4748.1,4784.8,4654.6,4735.45,26699,0.6694,39884
