Date,symbol,open,high,low,close,deliverable volume,deliverable_percentage,volume
2021-09-01,BALPHARMA,98.3,99.75,96.5,97.0,34107,0.7216,47267
2021-09-02,BALPHARMA,99.0,103.85,97.8,99.65,50272,0.5674,88594
2021-09-03,BALPHARMA,100.65,101.4,97.5,98.0,28498,0.743,38356
2021-09-06,BALPHARMA,98.25,100.55,97.1,98.35,22671,0.5493,41272
2021-09-07,BALPHARMA,98.9,99.8,96.95,97.1,19200,0.6461,29716
2021-09-08,BALPHARMA,98.8,98.8,94.5,95.15,45884,0.7946,57747
2021-09-09,BALPHARMA,96.0,104.65,94.7,100.0,60614,0.3893,155719
2021-09-13,BALPHARMA,100.0,100.25,96.5,97.55,36025,0.6012,59925
2021-09-14,BALPHARMA,99.55,99.55,96.15,98.2,14673,0.5208,28173
2021-09-15,BALPHARMA,102.0,108.0,101.9,106.2,246371,0.40149999999999997,613555
2021-09-16,BALPHARMA,105.0,106.4,101.75,102.4,66324,0.6503,101990
2021-09-17,BALPHARMA,102.4,107.65,100.35,104.4,114285,0.5572,205099
2021-09-20,BALPHARMA,103.7,104.4,101.2,102.6,35558,0.7019,50658
2021-09-21,BALPHARMA,102.6,112.0,101.7,106.45,235785,0.3027,778994
2021-09-22,BALPHARMA,107.1,110.45,105.2,108.1,127132,0.5029,252817
2021-09-23,BALPHARMA,110.0,111.8,106.05,106.95,55704,0.6611,84255
2021-09-24,BALPHARMA,107.55,107.55,103.0,104.3,65641,0.6888,95296
2021-09-27,BALPHARMA,105.15,106.35,101.5,102.8,28386,0.6433,44128
2021-09-28,BALPHARMA,104.8,107.0,102.0,104.05,32630,0.3858,84580
2021-09-29,BALPHARMA,103.9,104.6,102.4,103.15,21095,0.5666,37229
2021-09-30,BALPHARMA,104.85,104.9,102.6,102.95,20933,0.6809000000000001,30742
2021-10-01,BALPHARMA,102.95,104.45,101.95,102.65,23595,0.6319,37342
2021-10-04,BALPHARMA,104.0,104.6,102.5,103.0,28501,0.616,46270
2021-10-05,BALPHARMA,104.0,104.5,102.0,102.95,32249,0.584,55218
2021-10-06,BALPHARMA,104.45,105.0,101.05,101.6,28021,0.6969,40209
2021-10-07,BALPHARMA,102.0,111.85,102.0,108.4,199601,0.42450000000000004,470238
2021-10-08,BALPHARMA,112.5,114.4,108.5,108.8,114155,0.5257000000000001,217129
2021-10-11,BALPHARMA,109.0,110.4,106.85,107.85,35398,0.5635,62823
2021-10-12,BALPHARMA,107.85,108.4,102.85,105.4,73655,0.6064,121467
2021-10-13,BALPHARMA,104.0,110.75,103.5,105.55,45329,0.4215,107544
2021-10-14,BALPHARMA,106.95,106.95,103.95,104.15,29786,0.5814,51234
2021-10-18,BALPHARMA,103.55,106.7,103.0,103.7,30747,0.6297,48827
2021-10-19,BALPHARMA,105.4,105.4,101.0,101.5,45431,0.6244,72763
2021-10-20,BALPHARMA,101.5,101.5,95.3,98.8,60929,0.5650000000000001,107838
2021-10-21,BALPHARMA,101.95,101.95,97.35,99.0,12402,0.48450000000000004,25596
2021-10-22,BALPHARMA,101.5,101.5,97.1,98.25,15612,0.6357,24557
2021-10-25,BALPHARMA,98.25,99.75,93.05,96.15,19799,0.6226,31801
2021-10-26,BALPHARMA,97.35,98.9,95.5,95.8,22830,0.6705,34049
2021-10-27,BALPHARMA,95.5,102.0,95.5,97.95,22843,0.4147,55082
2021-10-28,BALPHARMA,98.95,100.35,96.0,96.1,13004,0.5186999999999999,25072
2021-10-29,BALPHARMA,97.85,97.85,94.0,96.1,11253,0.5474,20558
2021-11-01,BALPHARMA,96.1,97.85,95.0,96.15,7159,0.5851,12236
2021-11-02,BALPHARMA,97.8,97.8,96.2,97.15,9605,0.8016,11982
2021-11-03,BALPHARMA,98.05,98.45,96.35,97.2,8258,0.7719,10698
2021-11-04,BALPHARMA,100.85,100.9,96.0,97.3,3597,0.6115,5882
2021-11-08,BALPHARMA,96.5,103.0,96.5,99.05,26246,0.509,51560
2021-11-09,BALPHARMA,99.0,100.9,98.0,98.4,15381,0.6863,22411
2021-11-10,BALPHARMA,100.0,100.7,98.05,99.6,14221,0.6897,20618
2021-11-11,BALPHARMA,100.0,100.0,98.0,98.6,11675,0.758,15403
2021-11-12,BALPHARMA,99.75,99.75,95.0,96.75,33035,0.7339,45013
2021-11-15,BALPHARMA,97.5,98.45,95.6,95.7,20192,0.8339,24213
2021-11-16,BALPHARMA,95.75,97.25,95.0,95.45,11378,0.6111,18618
2021-11-17,BALPHARMA,94.65,96.95,94.6,94.75,12977,0.7586,17106
2021-11-18,BALPHARMA,95.95,96.45,91.1,93.35,26127,0.6093000000000001,42879
2021-11-22,BALPHARMA,93.5,95.0,90.8,93.05,21597,0.4828,44735
2021-11-23,BALPHARMA,92.0,94.75,91.3,92.85,146353,0.9061,161513
2021-11-24,BALPHARMA,94.8,109.4,94.8,106.25,238801,0.4156,574660
2021-11-25,BALPHARMA,106.65,107.4,101.2,102.3,62399,0.4399,141838
2021-11-26,BALPHARMA,99.95,108.0,97.1,100.25,77979,0.2763,282241
2021-11-29,BALPHARMA,102.0,104.9,98.25,100.0,50599,0.43060000000000004,117512
2021-11-30,BALPHARMA,100.8,103.35,97.6,98.0,30160,0.4767,63270
2021-12-01,BALPHARMA,98.6,100.0,96.25,97.4,17762,0.49570000000000003,35832
2021-12-02,BALPHARMA,98.3,100.5,96.25,98.45,23294,0.518,44968
2021-12-03,BALPHARMA,99.4,100.0,97.15,98.05,15566,0.5533,28135
2021-12-06,BALPHARMA,98.05,103.8,97.45,100.3,42496,0.3972,106976
2021-12-07,BALPHARMA,100.2,103.0,99.5,101.3,20523,0.6034,34010
2021-12-08,BALPHARMA,102.55,102.6,99.0,99.35,35766,0.6528,54789
2021-12-09,BALPHARMA,100.2,103.3,99.0,101.6,27535,0.4476,61511
2021-12-10,BALPHARMA,102.2,102.45,100.0,101.0,18765,0.6507,28840
2021-12-13,BALPHARMA,101.0,103.9,100.05,101.2,27051,0.5891,45917
2021-12-14,BALPHARMA,100.95,104.1,99.25,102.4,31161,0.5687,54795
2021-12-15,BALPHARMA,101.5,103.35,101.05,101.4,11693,0.5464,21402
2021-12-16,BALPHARMA,101.5,102.75,99.3,99.8,16818,0.5836,28818
2021-12-17,BALPHARMA,99.7,100.75,97.35,97.9,17362,0.6645000000000001,26128
2021-12-20,BALPHARMA,97.4,97.85,93.65,95.55,19995,0.6346,31508
2021-12-21,BALPHARMA,98.9,98.95,96.3,96.8,8024,0.5123,15664
2021-12-22,BALPHARMA,100.0,102.25,99.05,99.65,18413,0.45310000000000006,40634
2021-12-23,BALPHARMA,100.0,102.4,98.0,100.95,19443,0.5468999999999999,35551
2021-12-24,BALPHARMA,101.95,102.6,100.0,100.45,13432,0.6358,21127
2021-12-27,BALPHARMA,101.75,102.75,99.55,100.8,15625,0.5156000000000001,30307
2021-12-28,BALPHARMA,101.0,102.5,99.55,100.7,16559,0.5487,30176
2021-12-29,BALPHARMA,100.15,101.9,99.65,100.55,20829,0.6087,34221
2021-12-30,BALPHARMA,101.6,103.95,99.65,102.2,31331,0.4604,68045
2021-12-31,BALPHARMA,103.9,108.7,101.1,105.85,88602,0.4918,180163
2022-01-03,BALPHARMA,106.5,127.0,105.85,127.0,533695,0.44689999999999996,1194304
2022-01-04,BALPHARMA,137.0,137.0,115.6,118.35,434372,0.4192,1036117
2022-01-05,BALPHARMA,119.45,125.4,113.65,115.05,130609,0.39659999999999995,329356
2022-01-06,BALPHARMA,115.0,127.15,114.35,119.75,158591,0.2626,603979
2022-01-07,BALPHARMA,120.75,123.0,119.0,119.95,79996,0.48979999999999996,163310
2022-01-10,BALPHARMA,125.0,127.2,121.65,123.6,124266,0.5386,230725
2022-01-11,BALPHARMA,124.4,124.4,116.55,118.5,80311,0.5383,149196
2022-01-12,BALPHARMA,119.8,120.3,114.8,116.6,58159,0.5728,101533
2022-01-13,BALPHARMA,119.5,125.0,116.85,121.7,110250,0.4389,251212
2022-01-14,BALPHARMA,122.9,129.5,122.6,126.1,165391,0.39530000000000004,418385
2022-01-17,BALPHARMA,126.0,148.0,125.0,136.05,400007,0.25329999999999997,1579050
2022-01-18,BALPHARMA,137.1,138.95,127.0,129.0,134308,0.4333,309995
2022-01-19,BALPHARMA,129.5,133.65,128.25,130.2,62642,0.43170000000000003,145107
2022-01-20,BALPHARMA,131.1,148.85,128.65,138.75,271811,0.2596,1047091
2022-01-21,BALPHARMA,138.9,144.3,133.8,136.45,92966,0.33530000000000004,277241
2022-01-24,BALPHARMA,137.85,137.85,120.35,122.9,61091,0.3854,220176
2022-01-25,BALPHARMA,122.95,130.0,115.25,127.25,62677,0.34520000000000006,181541
2022-01-27,BALPHARMA,123.1,129.0,122.0,127.65,50861,0.39299999999999996,129414
2022-01-28,BALPHARMA,130.0,133.0,127.15,129.6,70430,0.4255,165525
2022-01-31,BALPHARMA,130.9,131.65,123.1,124.7,40273,0.5257000000000001,76609
2022-02-01,BALPHARMA,127.0,128.7,122.85,126.9,23982,0.5167,46416
2022-02-02,BALPHARMA,127.05,139.0,127.05,132.6,107964,0.4048,266689
2022-02-03,BALPHARMA,132.95,134.9,131.0,132.6,34328,0.3797,90399
2022-02-04,BALPHARMA,132.6,132.7,127.5,128.0,27258,0.49340000000000006,55250
2022-02-07,BALPHARMA,128.4,128.4,123.0,126.2,25759,0.44880000000000003,57391
2022-02-08,BALPHARMA,126.85,133.5,124.0,124.85,35314,0.3393,104083
2022-02-09,BALPHARMA,125.05,128.2,123.0,123.8,18588,0.5702,32600
2022-02-10,BALPHARMA,127.45,127.45,120.1,122.55,40002,0.5074000000000001,78844
2022-02-11,BALPHARMA,122.0,122.0,112.55,117.25,51844,0.5984,86637
2022-02-14,BALPHARMA,116.55,118.9,107.0,108.2,41115,0.5004,82164
2022-02-15,BALPHARMA,111.5,113.0,108.8,110.85,19555,0.4491,43540
2022-02-16,BALPHARMA,112.7,116.35,111.5,112.7,18230,0.413,44145
2022-02-17,BALPHARMA,113.25,116.35,111.65,112.5,6646,0.47759999999999997,13914
