Date,symbol,open,high,low,close,deliverable volume,deliverable_percentage,volume
2021-09-01,BANARISUG,1809.95,1812.0,1760.0,1773.5,714,0.42,1700
2021-09-02,BANARISUG,1772.65,1823.85,1750.0,1791.45,1010,0.397,2544
2021-09-03,BANARISUG,1792.0,1812.0,1775.0,1791.95,3299,0.49590000000000006,6652
2021-09-06,BANARISUG,1809.95,1809.95,1755.0,1771.8,532,0.5336,997
2021-09-07,BANARISUG,1795.0,1795.0,1756.0,1759.05,485,0.5781000000000001,839
2021-09-08,BANARISUG,1760.0,1781.1,1752.15,1760.05,939,0.5182,1812
2021-09-09,BANARISUG,1760.05,1790.0,1740.0,1779.75,865,0.4115,2102
2021-09-13,BANARISUG,1794.0,1800.0,1773.8,1794.4,1111,0.7625000000000001,1457
2021-09-14,BANARISUG,1769.65,1820.0,1755.1,1797.45,1804,0.7251000000000001,2488
2021-09-15,BANARISUG,1815.0,1828.0,1797.25,1815.9,1657,0.7368000000000001,2249
2021-09-16,BANARISUG,1825.5,2008.35,1816.45,1939.2,24759,0.7648,32372
2021-09-17,BANARISUG,2060.0,2280.0,2030.0,2194.2,35757,0.2669,133975
2021-09-20,BANARISUG,2219.95,2250.0,2035.5,2115.75,8778,0.321,27345
2021-09-21,BANARISUG,2075.0,2223.8,2075.0,2200.5,9279,0.5347999999999999,17351
2021-09-22,BANARISUG,2200.5,2246.3,2157.0,2231.6,8351,0.6184000000000001,13505
2021-09-23,BANARISUG,2285.0,2285.0,2155.3,2169.65,2228,0.344,6476
2021-09-24,BANARISUG,2199.95,2215.0,2145.0,2161.65,2940,0.6673,4406
2021-09-27,BANARISUG,2234.0,2269.95,2160.0,2196.9,3715,0.46649999999999997,7964
2021-09-28,BANARISUG,2223.95,2223.95,2150.0,2164.0,3477,0.7268000000000001,4784
2021-09-29,BANARISUG,2145.0,2180.0,2093.95,2118.05,3356,0.6597,5087
2021-09-30,BANARISUG,2138.0,2219.8,2123.05,2196.8,4200,0.7184,5846
2021-10-01,BANARISUG,2156.4,2255.0,2156.4,2247.3,3315,0.5824,5692
2021-10-04,BANARISUG,2264.0,2375.0,2226.05,2307.8,5402,0.3626,14898
2021-10-05,BANARISUG,2340.0,2407.0,2266.6,2345.2,2590,0.5709000000000001,4537
2021-10-06,BANARISUG,2388.0,2410.0,2265.3,2282.2,2390,0.44380000000000003,5385
2021-10-07,BANARISUG,2257.1,2343.8,2244.65,2310.45,2201,0.5075999999999999,4336
2021-10-08,BANARISUG,2335.0,2353.0,2280.0,2286.05,1188,0.368,3228
2021-10-11,BANARISUG,2298.55,2301.65,2252.0,2275.45,654,0.5547,1179
2021-10-12,BANARISUG,2276.15,2425.0,2262.05,2398.6,3184,0.6898000000000001,4616
2021-10-13,BANARISUG,2411.0,2449.0,2345.0,2385.8,3175,0.3995,7948
2021-10-14,BANARISUG,2387.5,2408.85,2360.3,2381.85,1782,0.6781,2628
2021-10-18,BANARISUG,2330.05,2450.0,2330.05,2417.0,2290,0.6375000000000001,3592
2021-10-19,BANARISUG,2417.0,2425.4,2251.15,2306.7,934,0.6349,1471
2021-10-20,BANARISUG,2305.0,2340.0,2233.3,2246.75,1550,0.47270000000000006,3279
2021-10-21,BANARISUG,2246.75,2334.8,2235.0,2262.95,248,0.3833,647
2021-10-22,BANARISUG,2281.5,2313.9,2180.0,2204.8,3667,0.5524,6638
2021-10-25,BANARISUG,2169.0,2205.0,2111.3,2184.5,3075,0.5631,5461
2021-10-26,BANARISUG,2151.75,2272.9,2151.0,2234.9,1237,0.4986,2481
2021-10-27,BANARISUG,2298.0,2298.0,2215.3,2246.65,785,0.7651000000000001,1026
2021-10-28,BANARISUG,2285.0,2285.0,2211.0,2236.5,1809,0.402,4500
2021-10-29,BANARISUG,2192.55,2277.55,2152.2,2204.15,5691,0.7167,7941
2021-11-01,BANARISUG,2168.8,2274.0,2168.8,2242.8,2171,0.5158,4209
2021-11-02,BANARISUG,2203.25,2266.0,2203.25,2230.95,597,0.5214,1145
2021-11-03,BANARISUG,2233.1,2270.0,2180.0,2223.75,2109,0.7284999999999999,2895
2021-11-04,BANARISUG,2249.95,2264.65,2181.0,2216.5,302,0.6848000000000001,441
2021-11-08,BANARISUG,2250.0,2324.0,2200.45,2300.8,4869,0.5952000000000001,8181
2021-11-09,BANARISUG,2323.95,2325.0,2305.35,2314.0,1074,0.9125,1177
2021-11-10,BANARISUG,2322.95,2448.6,2320.0,2350.45,1617,0.5143,3144
2021-11-11,BANARISUG,2395.0,2399.0,2294.7,2339.55,1335,0.5414,2466
2021-11-12,BANARISUG,2382.0,2408.7,2336.55,2388.5,4626,0.72,6425
2021-11-15,BANARISUG,2439.9,2439.9,2310.3,2325.1,819,0.7633,1073
2021-11-16,BANARISUG,2378.95,2413.2,2329.0,2402.65,6726,0.6487,10369
2021-11-17,BANARISUG,2425.9,2425.9,2305.3,2352.5,2298,0.6959000000000001,3302
2021-11-18,BANARISUG,2397.95,2397.95,2254.9,2270.4,1294,0.6107,2119
2021-11-22,BANARISUG,2301.1,2301.1,2130.0,2155.7,3954,0.5836,6775
2021-11-23,BANARISUG,2173.7,2254.0,2173.7,2220.55,578,0.38079999999999997,1518
2021-11-24,BANARISUG,2279.95,2359.95,2221.0,2250.75,4199,0.6008,6989
2021-11-25,BANARISUG,2251.2,2285.0,2201.0,2259.4,1685,0.5114,3295
2021-11-26,BANARISUG,2217.35,2225.0,2140.0,2154.05,843,0.6249,1349
2021-11-29,BANARISUG,2120.25,2194.15,2024.05,2069.05,520,0.4518,1151
2021-11-30,BANARISUG,2104.25,2167.5,2078.0,2130.35,342,0.5979,572
2021-12-01,BANARISUG,2127.15,2167.45,2093.35,2118.1,1522,0.4647,3275
2021-12-02,BANARISUG,2101.4,2192.85,2090.05,2165.15,669,0.44810000000000005,1493
2021-12-03,BANARISUG,2150.4,2190.0,2146.9,2167.75,202,0.5344,378
2021-12-06,BANARISUG,2205.0,2222.45,2085.85,2106.4,513,0.698,735
2021-12-07,BANARISUG,2119.0,2220.0,2110.0,2209.1,1531,0.7572,2022
2021-12-08,BANARISUG,2219.7,2353.75,2165.0,2310.4,4895,0.5512,8880
2021-12-09,BANARISUG,2349.0,2424.85,2300.35,2386.15,4254,0.585,7272
2021-12-10,BANARISUG,2386.15,2440.0,2377.45,2429.95,3205,0.7925,4044
2021-12-13,BANARISUG,2450.0,2848.4,2445.0,2607.15,17826,0.3693,48276
2021-12-14,BANARISUG,2640.25,2747.0,2620.15,2660.0,2992,0.2808,10656
2021-12-15,BANARISUG,2699.0,2725.0,2619.75,2649.8,2136,0.4462,4787
2021-12-16,BANARISUG,2655.0,2680.0,2550.0,2574.8,2284,0.5713,3998
2021-12-17,BANARISUG,2598.95,2598.95,2512.25,2546.75,1560,0.4313,3617
2021-12-20,BANARISUG,2540.0,2540.0,2460.0,2479.75,1197,0.4882,2452
2021-12-21,BANARISUG,2500.0,2583.05,2495.0,2513.8,843,0.41000000000000003,2056
2021-12-22,BANARISUG,2551.0,2584.4,2495.0,2509.55,1065,0.4879,2183
2021-12-23,BANARISUG,2502.05,2547.9,2481.0,2499.1,814,0.5920000000000001,1375
2021-12-24,BANARISUG,2481.05,2524.95,2453.45,2468.3,703,0.531,1324
2021-12-27,BANARISUG,2500.0,2593.2,2479.8,2566.55,1735,0.4769,3638
2021-12-28,BANARISUG,2570.0,2638.4,2566.55,2603.45,1361,0.502,2711
2021-12-29,BANARISUG,2572.0,2698.0,2560.05,2638.5,1515,0.47990000000000005,3157
2021-12-30,BANARISUG,2674.0,2680.0,2602.5,2643.25,546,0.5363,1018
2021-12-31,BANARISUG,2715.0,2715.0,2600.7,2674.4,2101,0.606,3467
2022-01-03,BANARISUG,2700.0,2724.0,2675.0,2715.25,1374,0.7061000000000001,1946
2022-01-04,BANARISUG,2724.0,2977.0,2704.65,2911.4,13404,0.34159999999999996,39238
2022-01-05,BANARISUG,2881.6,2881.6,2760.0,2779.25,4734,0.47000000000000003,10072
2022-01-06,BANARISUG,2731.6,2945.4,2731.6,2820.7,6721,0.4337,15497
2022-01-07,BANARISUG,2843.35,2843.35,2772.0,2801.75,1986,0.5037,3943
2022-01-10,BANARISUG,2850.0,2900.0,2795.0,2822.2,3168,0.45670000000000005,6937
2022-01-11,BANARISUG,2849.0,2875.0,2799.9,2817.45,1197,0.40880000000000005,2928
2022-01-12,BANARISUG,2840.0,2870.2,2751.2,2800.0,3167,0.39630000000000004,7991
2022-01-13,BANARISUG,2852.0,2854.75,2792.4,2822.1,1900,0.5052000000000001,3761
