Date,symbol,open,high,low,close,deliverable volume,deliverable_percentage,volume
2021-09-01,BANKBEES,367.16,374.95,367.14,369.47,663559,0.622,1066861
2021-09-02,BANKBEES,371.4,372.0,366.51,371.29,195639,0.4696,416634
2021-09-03,BANKBEES,374.88,374.88,369.17,370.95,542191,0.6885,787495
2021-09-06,BANKBEES,393.2,393.2,369.06,369.43,179195,0.5685,315226
2021-09-07,BANKBEES,377.88,377.88,364.66,367.48,230131,0.45280000000000004,508270
2021-09-08,BANKBEES,370.0,370.9,366.47,370.24,168204,0.5151,326534
2021-09-09,BANKBEES,372.5,372.5,366.94,368.96,96753,0.4723,204843
2021-09-13,BANKBEES,399.88,399.88,365.68,367.25,126348,0.43229999999999996,292249
2021-09-14,BANKBEES,369.99,369.99,367.82,368.41,94165,0.5351,175962
2021-09-15,BANKBEES,369.0,371.84,367.6,370.96,198310,0.6702,295895
2021-09-16,BANKBEES,370.96,379.7,370.96,378.91,488643,0.6583,742315
2021-09-17,BANKBEES,378.9,383.3,376.25,379.57,340407,0.3519,967226
2021-09-20,BANKBEES,413.7,413.7,373.4,374.07,416633,0.5569,748123
2021-09-21,BANKBEES,378.9,378.9,368.61,374.98,287430,0.4153,692127
2021-09-22,BANKBEES,408.7,408.7,371.8,372.75,132233,0.4983,265355
2021-09-23,BANKBEES,365.25,380.5,365.25,379.96,344482,0.6695000000000001,514544
2021-09-24,BANKBEES,399.0,399.0,379.12,380.54,264219,0.5595,472233
2021-09-27,BANKBEES,382.3,385.5,380.8,383.83,212553,0.5727000000000001,371127
2021-09-28,BANKBEES,386.6,386.6,376.65,382.85,326787,0.5442,600507
2021-09-29,BANKBEES,382.8,382.8,376.4,381.1,316597,0.5395000000000001,586786
2021-09-30,BANKBEES,382.0,382.0,376.9,377.46,246167,0.6522,377420
2021-10-01,BANKBEES,382.88,382.88,372.48,375.26,326745,0.6442,507184
2021-10-04,BANKBEES,381.0,381.0,374.97,379.12,110749,0.4455,248568
2021-10-05,BANKBEES,379.12,381.4,356.4,380.53,252439,0.662,381322
2021-10-06,BANKBEES,370.0,383.76,370.0,377.58,400544,0.5524,725133
2021-10-07,BANKBEES,377.58,389.0,377.58,380.04,82868,0.42479999999999996,195059
2021-10-08,BANKBEES,389.8,389.8,379.19,380.25,142530,0.4703,303056
2021-10-11,BANKBEES,384.0,386.82,380.25,384.82,339170,0.6744,502915
2021-10-12,BANKBEES,385.0,387.97,383.42,387.25,127283,0.48210000000000003,263994
2021-10-13,BANKBEES,387.25,389.5,387.25,388.18,151444,0.5518,274440
2021-10-14,BANKBEES,388.56,396.21,388.0,395.99,583427,0.5414,1077706
2021-10-18,BANKBEES,416.88,416.88,386.26,400.39,598476,0.6835,875557
2021-10-19,BANKBEES,400.8,402.9,396.82,399.08,454416,0.5307999999999999,856049
2021-10-20,BANKBEES,409.88,409.88,396.88,398.62,96150,0.3344,287494
2021-10-21,BANKBEES,410.44,410.44,397.5,403.6,175312,0.469,373800
2021-10-22,BANKBEES,405.0,408.09,404.05,406.14,397675,0.5694,698364
2021-10-25,BANKBEES,434.88,434.88,400.25,414.63,274000,0.402,681508
2021-10-26,BANKBEES,415.0,417.8,410.82,413.72,327748,0.5571,588315
2021-10-27,BANKBEES,415.0,415.92,410.5,411.67,182446,0.5597,325997
2021-10-28,BANKBEES,420.0,420.0,396.36,398.0,484436,0.4976,973640
2021-10-29,BANKBEES,401.6,406.14,388.1,394.62,424693,0.4764,891391
2021-11-01,BANKBEES,401.0,402.15,388.11,400.98,312607,0.5991,521794
2021-11-02,BANKBEES,400.98,403.94,398.0,402.5,89773,0.3886,230990
2021-11-03,BANKBEES,402.5,404.5,395.01,395.95,611507,0.6453,947620
2021-11-04,BANKBEES,407.49,407.49,396.5,397.69,71567,0.8125,88085
2021-11-08,BANKBEES,404.88,404.88,392.08,397.48,214609,0.37920000000000004,565984
2021-11-09,BANKBEES,399.5,399.5,394.64,396.21,72122,0.41960000000000003,171897
2021-11-10,BANKBEES,396.0,396.0,391.43,392.2,347239,0.5636,616105
2021-11-11,BANKBEES,395.4,395.4,386.46,388.61,264561,0.5939,445432
2021-11-12,BANKBEES,391.0,391.4,387.61,390.09,123119,0.3907,315140
2021-11-15,BANKBEES,394.4,394.4,389.0,389.79,79908,0.3699,216010
2021-11-16,BANKBEES,388.25,390.4,384.7,385.59,259831,0.5839,445011
2021-11-17,BANKBEES,385.5,387.35,382.5,383.83,205783,0.5982000000000001,344000
2021-11-18,BANKBEES,386.8,386.8,380.65,382.82,237591,0.5302,448081
2021-11-22,BANKBEES,382.82,384.0,370.0,374.57,812834,0.6456000000000001,1258958
2021-11-23,BANKBEES,377.4,377.4,369.02,374.92,407701,0.5608,726958
2021-11-24,BANKBEES,375.9,380.59,373.0,376.43,149673,0.43460000000000004,344427
2021-11-25,BANKBEES,389.88,389.88,373.84,376.64,151410,0.46880000000000005,322969
2021-11-26,BANKBEES,384.5,384.5,362.46,363.31,1099409,0.5897,1864459
2021-11-29,BANKBEES,384.88,384.88,356.52,362.68,301114,0.4717,638384
2021-11-30,BANKBEES,363.0,369.86,358.1,359.61,452739,0.48850000000000005,926883
2021-12-01,BANKBEES,360.4,367.0,360.11,366.53,180050,0.40990000000000004,439209
2021-12-02,BANKBEES,389.88,389.88,364.45,367.98,179173,0.38549999999999995,464721
2021-12-03,BANKBEES,375.0,375.0,363.46,365.16,204946,0.4047,506463
2021-12-06,BANKBEES,368.0,368.0,360.2,360.58,244058,0.6254,390227
2021-12-07,BANKBEES,366.0,375.0,360.58,369.8,2614922,0.8886000000000001,2942661
