Date,symbol,open,high,low,close,deliverable volume,deliverable_percentage,volume
2021-09-01,BANKINDIA,66.2,66.75,63.2,63.55,3839205,0.5861,6550446
2021-09-02,BANKINDIA,62.5,62.5,59.0,59.6,11226281,0.5357999999999999,20950755
2021-09-03,BANKINDIA,60.0,61.5,59.15,59.3,4837322,0.4404,10983099
2021-09-06,BANKINDIA,60.7,60.7,59.65,59.9,2481733,0.4191,5921285
2021-09-07,BANKINDIA,60.2,60.2,57.75,57.95,4131909,0.5436,7600953
2021-09-08,BANKINDIA,57.95,58.85,57.3,57.5,2847075,0.3826,7441491
2021-09-09,BANKINDIA,57.8,57.95,57.0,57.2,2612317,0.46770000000000006,5585134
2021-09-13,BANKINDIA,57.45,57.45,56.05,56.2,3221553,0.5746,5607025
2021-09-14,BANKINDIA,56.3,56.7,55.95,56.1,3115869,0.5602,5561610
2021-09-15,BANKINDIA,56.3,57.4,55.85,56.8,5124684,0.5113000000000001,10023714
2021-09-16,BANKINDIA,57.5,60.45,57.2,60.05,9803897,0.46549999999999997,21060444
2021-09-17,BANKINDIA,61.0,61.95,57.5,58.25,7495460,0.4194,17871450
2021-09-20,BANKINDIA,57.5,57.95,55.3,55.95,3893540,0.5885,6615910
2021-09-21,BANKINDIA,55.95,56.25,54.45,54.7,4582944,0.5145000000000001,8907778
2021-09-22,BANKINDIA,55.2,56.1,54.35,54.5,3372119,0.49460000000000004,6817850
2021-09-23,BANKINDIA,55.25,55.75,54.4,54.6,2838302,0.4793,5921861
2021-09-24,BANKINDIA,55.05,55.15,53.45,53.95,2933982,0.4632,6334580
2021-09-27,BANKINDIA,54.05,54.4,52.95,53.1,3857934,0.5954,6480025
2021-09-28,BANKINDIA,53.6,54.0,52.75,53.05,3317452,0.41759999999999997,7944198
2021-09-29,BANKINDIA,52.9,55.75,52.7,55.1,8363027,0.4254,19661029
2021-09-30,BANKINDIA,55.6,57.9,55.25,55.5,6461886,0.3544,18235786
2021-10-01,BANKINDIA,55.4,56.8,54.7,56.6,5114058,0.39270000000000005,13022709
2021-10-04,BANKINDIA,57.25,57.95,57.0,57.8,3905251,0.4389,8897221
2021-10-05,BANKINDIA,58.0,58.5,57.3,57.5,2846608,0.4128,6895984
2021-10-06,BANKINDIA,57.9,58.4,55.9,56.1,3699033,0.43479999999999996,8508015
2021-10-07,BANKINDIA,57.0,57.2,56.25,56.4,1462912,0.379,3860147
2021-10-08,BANKINDIA,56.9,57.85,55.5,57.5,3497219,0.38530000000000003,9076192
2021-10-11,BANKINDIA,57.95,58.8,57.5,57.7,2513514,0.30260000000000004,8307657
2021-10-12,BANKINDIA,57.6,59.4,57.25,58.6,4389218,0.3129,14028096
2021-10-13,BANKINDIA,59.5,60.4,59.0,59.25,6442864,0.33740000000000003,19093199
2021-10-14,BANKINDIA,59.75,61.2,59.3,59.85,4668598,0.3084,15139531
2021-10-18,BANKINDIA,60.5,62.65,60.2,62.2,7896947,0.3262,24206735
2021-10-19,BANKINDIA,62.8,63.4,60.0,60.3,5098743,0.373,13669837
2021-10-20,BANKINDIA,60.5,61.2,58.8,59.6,2598454,0.2352,11046290
2021-10-21,BANKINDIA,60.25,62.6,59.6,61.25,4431765,0.2745,16145454
2021-10-22,BANKINDIA,61.8,62.75,60.2,60.95,3629979,0.2896,12534305
2021-10-25,BANKINDIA,61.55,62.7,59.6,61.1,3778967,0.2534,14912840
2021-10-26,BANKINDIA,61.35,63.25,61.05,61.85,3803649,0.2751,13826130
2021-10-27,BANKINDIA,62.35,64.7,61.9,62.8,6977791,0.3209,21745209
2021-10-28,BANKINDIA,62.6,62.6,59.0,59.45,3754904,0.36369999999999997,10323547
2021-10-29,BANKINDIA,59.45,60.7,56.85,59.9,2002395,0.1457,13745789
2021-11-01,BANKINDIA,60.4,60.95,59.65,60.4,1307311,0.2506,5215816
2021-11-02,BANKINDIA,60.85,63.35,60.25,62.55,5983263,0.2866,20875822
2021-11-03,BANKINDIA,63.3,63.8,62.2,62.6,5009218,0.3764,13309695
2021-11-04,BANKINDIA,63.3,63.5,62.9,63.1,1289617,0.617,2090104
2021-11-08,BANKINDIA,63.5,63.95,62.3,63.2,2869772,0.32030000000000003,8960699
2021-11-09,BANKINDIA,63.45,65.55,63.15,64.95,7258062,0.38280000000000003,18959426
2021-11-10,BANKINDIA,64.9,65.8,64.05,64.3,4455663,0.3331,13374524
2021-11-11,BANKINDIA,64.5,64.65,61.85,62.25,3514695,0.3948,8901813
2021-11-12,BANKINDIA,62.8,62.85,61.2,61.75,2345314,0.4029,5821598
2021-11-15,BANKINDIA,62.35,62.5,60.65,61.35,1967517,0.4264,4614352
2021-11-16,BANKINDIA,61.3,61.8,59.45,59.8,2481336,0.4841,5125242
2021-11-17,BANKINDIA,59.7,60.8,59.3,59.5,1421774,0.35979999999999995,3951051
2021-11-18,BANKINDIA,59.8,60.4,58.75,59.05,1262932,0.2748,4595163
2021-11-22,BANKINDIA,59.35,59.6,56.3,56.95,3003497,0.37979999999999997,7907691
2021-11-23,BANKINDIA,56.35,58.8,56.1,58.5,1385145,0.3141,4410488
2021-11-24,BANKINDIA,59.55,60.35,58.2,58.35,2245096,0.3381,6640369
2021-11-25,BANKINDIA,58.5,59.1,57.4,57.7,2173552,0.4214,5157952
2021-11-26,BANKINDIA,57.2,57.7,56.5,56.7,1641566,0.3667,4476910
2021-11-29,BANKINDIA,56.75,57.0,54.35,54.85,1341293,0.2489,5387964
2021-11-30,BANKINDIA,55.2,56.35,54.1,54.3,1433214,0.2914,4918548
2021-12-01,BANKINDIA,55.0,55.2,53.6,54.1,2787537,0.42240000000000005,6598767
2021-12-02,BANKINDIA,54.1,54.7,53.55,54.35,2498621,0.4186,5969700
2021-12-03,BANKINDIA,54.5,55.1,54.0,54.1,1806240,0.395,4572992
2021-12-06,BANKINDIA,54.45,54.6,53.65,53.75,1297797,0.34869999999999995,3721794
2021-12-07,BANKINDIA,54.25,54.5,53.85,53.95,1870666,0.4529,4130803
2021-12-08,BANKINDIA,54.35,55.25,54.2,54.8,2033293,0.38770000000000004,5244866
2021-12-09,BANKINDIA,55.1,55.5,54.5,54.85,1662116,0.35240000000000005,4716248
2021-12-10,BANKINDIA,55.0,57.5,54.75,57.2,3199006,0.3315,9649608
2021-12-13,BANKINDIA,57.9,58.8,57.05,57.25,2272408,0.3854,5895670
2021-12-14,BANKINDIA,56.75,57.05,56.0,56.15,2596281,0.5142,5048826
2021-12-15,BANKINDIA,56.15,56.6,55.4,55.75,799201,0.3262,2450234
2021-12-16,BANKINDIA,56.3,56.35,54.55,54.85,1489437,0.4448,3348844
2021-12-17,BANKINDIA,54.8,55.1,52.3,52.7,4007376,0.6409999999999999,6252100
2021-12-20,BANKINDIA,52.4,52.4,48.8,49.55,3158894,0.37840000000000007,8348746
2021-12-21,BANKINDIA,50.4,51.6,50.0,50.8,1659570,0.3429,4840284
2021-12-22,BANKINDIA,51.0,51.95,51.0,51.55,1397588,0.38380000000000003,3641393
2021-12-23,BANKINDIA,52.05,53.1,51.8,52.7,1438132,0.37060000000000004,3880884
2021-12-24,BANKINDIA,53.15,53.15,51.35,51.55,1174249,0.3298,3560899
2021-12-27,BANKINDIA,51.0,51.45,50.4,51.1,1155661,0.3553,3252759
2021-12-28,BANKINDIA,51.3,51.6,50.85,51.35,1194253,0.3583,3332730
2021-12-29,BANKINDIA,51.45,52.0,51.15,51.35,1196161,0.3918,3053199
2021-12-30,BANKINDIA,51.4,51.5,50.8,50.85,1415834,0.5052000000000001,2802538
2021-12-31,BANKINDIA,50.45,51.6,50.4,51.4,931202,0.33530000000000004,2777199
2022-01-03,BANKINDIA,51.65,52.8,51.4,52.65,1535160,0.3651,4204439
2022-01-04,BANKINDIA,52.9,53.3,52.3,52.95,1355141,0.33130000000000004,4090067
2022-01-05,BANKINDIA,52.95,54.25,52.7,54.1,2019391,0.378,5343001
2022-01-06,BANKINDIA,53.75,54.45,53.35,53.95,1289627,0.2596,4967189
2022-01-07,BANKINDIA,54.15,55.35,53.8,54.45,1768000,0.26730000000000004,6613802
2022-01-10,BANKINDIA,54.5,55.7,54.35,55.45,1824727,0.3289,5548302
2022-01-11,BANKINDIA,55.4,55.5,54.6,54.7,1140780,0.3686,3094992
2022-01-12,BANKINDIA,55.2,55.4,54.45,54.65,1599055,0.44420000000000004,3600004
2022-01-13,BANKINDIA,54.9,54.9,54.1,54.2,2535582,0.505,5021357
2022-01-14,BANKINDIA,54.0,54.9,53.8,54.4,1329896,0.4128,3221669
2022-01-17,BANKINDIA,54.7,55.6,54.1,54.35,2228988,0.4708,4734738
2022-01-18,BANKINDIA,54.6,54.75,53.0,53.2,1949008,0.4181,4661053
2022-01-19,BANKINDIA,53.3,54.35,52.8,54.1,1358585,0.3196,4250299
2022-01-20,BANKINDIA,54.25,54.7,53.4,53.8,1111208,0.2969,3742604
2022-01-21,BANKINDIA,53.4,53.5,52.05,52.3,1853444,0.4416,4196698
2022-01-24,BANKINDIA,52.0,52.6,50.6,51.15,1572789,0.3236,5174254
2022-01-25,BANKINDIA,51.1,52.65,50.35,52.35,1581914,0.2864,5523751
2022-01-27,BANKINDIA,51.75,56.0,51.5,55.15,4347979,0.353,12318436
2022-01-28,BANKINDIA,55.85,57.45,55.0,55.25,5045523,0.3615,13957307
2022-01-31,BANKINDIA,56.0,56.6,53.75,54.3,5562069,0.3728,14917995
2022-02-01,BANKINDIA,54.9,55.9,54.0,55.05,3020288,0.26739999999999997,11296542
2022-02-02,BANKINDIA,55.45,57.9,55.25,57.75,5127190,0.3224,15904957
2022-02-03,BANKINDIA,58.25,59.6,57.5,58.45,4930005,0.2832,17408255
2022-02-04,BANKINDIA,58.9,59.4,56.2,56.5,4666807,0.2708,17236563
2022-02-07,BANKINDIA,57.0,59.4,56.2,57.75,5105770,0.2378,21473785
2022-02-08,BANKINDIA,58.1,58.5,55.8,57.35,2530665,0.2072,12214209
2022-02-09,BANKINDIA,57.6,57.95,56.5,56.65,1581944,0.278,5690067
2022-02-10,BANKINDIA,56.9,57.7,56.0,56.25,1974117,0.28940000000000005,6821612
2022-02-11,BANKINDIA,55.75,56.4,55.05,55.15,1424244,0.299,4763279
2022-02-14,BANKINDIA,54.0,54.0,52.0,52.15,2406307,0.30670000000000003,7844973
2022-02-15,BANKINDIA,52.25,53.6,51.55,53.35,1202131,0.1962,6126993
2022-02-16,BANKINDIA,53.85,54.2,52.7,53.0,1262022,0.2095,6023209
2022-02-17,BANKINDIA,53.2,53.7,52.05,52.2,1710633,0.37770000000000004,4528693
2022-02-18,BANKINDIA,52.0,53.1,51.75,52.55,1227195,0.3031,4048923
2022-02-21,BANKINDIA,52.55,52.55,51.0,51.35,1279175,0.3395,3767416
2022-02-22,BANKINDIA,50.0,50.5,49.6,50.2,1464631,0.3575,4096988
2022-02-23,BANKINDIA,51.0,51.5,50.65,51.0,900148,0.3009,2991216
2022-02-24,BANKINDIA,49.4,49.6,43.15,44.25,4408303,0.4462,9879327
2022-02-25,BANKINDIA,46.2,48.65,46.0,46.8,3441316,0.3177,10832499
2022-02-28,BANKINDIA,46.0,47.2,45.8,46.85,1839869,0.3447,5337520
2022-03-02,BANKINDIA,46.55,48.0,46.35,47.75,1874203,0.3834,4888063
2022-03-03,BANKINDIA,48.35,48.75,46.95,47.05,1721786,0.3936,4374803
2022-03-04,BANKINDIA,46.8,47.35,46.3,46.7,1322815,0.311,4254099
2022-03-07,BANKINDIA,45.85,47.1,45.05,46.25,1898462,0.3651,5200513
2022-03-08,BANKINDIA,46.5,47.6,46.4,47.35,1568147,0.38530000000000003,4069886
2022-03-09,BANKINDIA,47.9,48.45,47.25,48.1,1402671,0.38430000000000003,3650384
2022-03-10,BANKINDIA,49.75,50.3,47.8,48.6,2417399,0.3704,6526938
2022-03-11,BANKINDIA,48.6,49.1,48.3,48.7,777391,0.2742,2835461
2022-03-14,BANKINDIA,48.7,49.25,48.1,48.85,1062191,0.3246,3272209
2022-03-15,BANKINDIA,49.0,49.25,47.0,47.3,2108727,0.41759999999999997,5049202
2022-03-16,BANKINDIA,48.25,48.65,47.85,48.45,1342354,0.42100000000000004,3188507
2022-03-17,BANKINDIA,48.9,49.2,47.75,48.05,2164428,0.48810000000000003,4434530
2022-03-21,BANKINDIA,48.15,48.7,47.2,47.45,1586310,0.4964,3195326
2022-03-22,BANKINDIA,47.8,47.95,47.0,47.8,1104066,0.3961,2787479
2022-03-23,BANKINDIA,48.05,48.6,47.2,47.3,1440052,0.39520000000000005,3644054
2022-03-24,BANKINDIA,47.4,47.8,47.0,47.2,1762558,0.5995,2940010
2022-03-25,BANKINDIA,47.6,47.6,46.7,46.8,1775258,0.5392,3292493
2022-03-28,BANKINDIA,46.9,46.95,45.7,46.0,2006749,0.4844,4142874
2022-03-29,BANKINDIA,46.2,46.55,45.05,45.4,2498997,0.5329,4689148
2022-03-30,BANKINDIA,46.0,47.9,45.5,46.9,3599085,0.526,6841967
2022-03-31,BANKINDIA,47.0,47.5,45.7,45.85,2445839,0.5353,4568692
2022-04-01,BANKINDIA,45.8,48.6,45.8,48.3,2593422,0.41090000000000004,6312197
2022-04-04,BANKINDIA,48.6,49.6,48.6,49.25,2116686,0.4643,4558914
2022-04-05,BANKINDIA,49.6,51.5,49.2,50.75,2706112,0.3482,7772528
2022-04-06,BANKINDIA,50.65,52.4,50.15,52.1,2082801,0.3257,6394097
2022-04-07,BANKINDIA,52.25,53.7,50.45,50.85,3057775,0.3604,8484966
2022-04-08,BANKINDIA,51.1,52.7,51.1,52.45,1758633,0.2643,6653342
2022-04-11,BANKINDIA,52.3,53.1,52.0,52.15,1036242,0.2715,3817247
2022-04-12,BANKINDIA,52.1,52.2,50.4,51.0,1133965,0.3296,3440331
2022-04-13,BANKINDIA,51.5,51.7,50.95,51.2,715572,0.27280000000000004,2623329
2022-04-18,BANKINDIA,50.75,50.75,49.75,50.1,863703,0.41840000000000005,2064525
2022-04-19,BANKINDIA,50.5,50.85,48.5,49.45,1127899,0.3412,3305214
2022-04-20,BANKINDIA,49.65,50.3,49.4,49.6,761656,0.2913,2614259
2022-04-21,BANKINDIA,50.0,50.3,49.8,50.05,757883,0.43729999999999997,1733196
2022-04-22,BANKINDIA,49.7,50.1,49.4,49.55,625640,0.4319,1448552
2022-04-25,BANKINDIA,49.0,49.2,48.55,48.75,740936,0.3859,1920086
2022-04-26,BANKINDIA,49.5,50.0,48.9,49.15,780585,0.32780000000000004,2380972
2022-04-27,BANKINDIA,48.95,49.1,48.25,48.8,537416,0.3785,1419803
2022-04-28,BANKINDIA,48.9,49.2,48.3,48.6,478337,0.3007,1590974
2022-04-29,BANKINDIA,48.85,49.2,48.0,48.15,608469,0.3007,2023278
2022-05-02,BANKINDIA,48.25,48.3,47.35,47.7,616992,0.4071,1515510
2022-05-04,BANKINDIA,48.0,48.1,46.0,46.55,1062552,0.35810000000000003,2966841
2022-05-05,BANKINDIA,46.95,47.25,45.45,45.75,1069205,0.43979999999999997,2431280
2022-05-06,BANKINDIA,45.4,46.3,44.8,46.0,950209,0.3236,2936589
2022-05-09,BANKINDIA,45.9,45.9,44.9,45.5,689886,0.3295,2093620
2022-05-10,BANKINDIA,45.8,46.1,45.0,45.25,743766,0.3442,2160619
2022-05-11,BANKINDIA,45.3,45.4,43.1,43.85,1292767,0.39189999999999997,3298635
2022-05-12,BANKINDIA,43.6,43.6,40.5,41.0,2148915,0.4632,4639508
2022-05-13,BANKINDIA,41.8,43.45,41.55,42.1,1112658,0.2915,3817134
2022-05-16,BANKINDIA,42.8,43.6,42.25,43.35,573152,0.2841,2017686
2022-05-17,BANKINDIA,43.7,44.95,43.55,44.8,720510,0.36310000000000003,1984117
2022-05-18,BANKINDIA,44.8,45.9,44.25,44.6,593580,0.2681,2214315
2022-05-19,BANKINDIA,43.7,43.85,43.2,43.6,694505,0.3993,1739318
2022-05-20,BANKINDIA,44.6,45.2,44.35,45.05,570279,0.3358,1698052
