Date,symbol,open,high,low,close,deliverable volume,deliverable_percentage,volume
2021-10-12,BCG,85.85,85.85,80.0,85.85,1670660,0.5068,3296242
2021-10-13,BCG,90.1,90.1,81.6,81.6,3905129,0.7959999999999999,4905704
2021-10-14,BCG,77.55,77.55,77.55,77.55,866784,0.9983,868229
2021-10-18,BCG,73.7,81.4,73.7,81.4,4784769,0.3679,13006451
2021-10-19,BCG,85.45,85.45,77.35,79.4,3812078,0.5027,7582710
2021-10-20,BCG,75.45,80.8,75.45,75.6,4914894,0.43100000000000005,11404144
2021-10-21,BCG,75.6,78.8,71.85,71.9,3199212,0.5351,5978425
2021-10-22,BCG,69.5,74.9,68.7,69.55,3084873,0.5253,5872564
2021-10-25,BCG,70.0,70.25,66.1,66.1,3218947,0.4925,6536528
2021-10-26,BCG,63.9,69.4,63.1,69.4,2048152,0.3611,5671972
2021-10-27,BCG,72.85,72.85,71.5,72.85,1641522,0.6124,2680684
2021-10-28,BCG,76.45,76.45,76.45,76.45,922025,0.8845999999999999,1042359
2021-10-29,BCG,72.65,77.8,72.65,72.65,4117039,0.44680000000000003,9214170
2021-11-01,BCG,72.65,76.25,70.65,76.25,2209348,0.3174,6960166
2021-11-02,BCG,77.85,79.3,74.05,77.0,1849085,0.4816,3839268
2021-11-03,BCG,78.0,78.5,73.8,74.75,1283970,0.5951,2157490
2021-11-04,BCG,77.0,77.0,74.5,75.35,587764,0.7465,787350
2021-11-08,BCG,78.0,79.1,75.3,79.05,2605519,0.5297999999999999,4917980
2021-11-09,BCG,81.0,83.0,81.0,83.0,1696115,0.44420000000000004,3818468
2021-11-10,BCG,85.25,87.15,84.55,87.15,924838,0.8378,1103950
2021-11-11,BCG,91.5,91.5,91.5,91.5,551548,1.0,551548
2021-11-12,BCG,96.05,96.05,86.95,89.75,8063387,0.28300000000000003,28493604
2021-11-15,BCG,94.2,94.2,92.05,94.2,2213490,0.7965000000000001,2779104
2021-11-16,BCG,98.9,98.9,98.9,98.9,584588,1.0,584588
2021-11-17,BCG,103.8,103.8,96.0,102.95,5492357,0.3624,15157341
2021-11-18,BCG,105.0,108.05,100.05,108.05,5053185,0.3862,13085682
2021-11-22,BCG,109.9,113.45,104.7,113.45,4912996,0.38189999999999996,12863393
2021-11-23,BCG,115.75,119.1,112.0,119.1,2434571,0.4693,5187961
2021-11-24,BCG,122.0,125.05,121.5,125.05,1223735,0.7156999999999999,1709748
2021-11-25,BCG,131.3,131.3,122.1,131.3,3640398,0.38430000000000003,9471876
2021-11-26,BCG,124.75,137.85,124.75,137.8,6420323,0.4048,15858678
2021-11-29,BCG,134.1,140.5,130.95,130.95,3575083,0.6343,5636145
2022-03-07,BCG,97.7,97.7,97.7,97.7,282615,1.0,282615
2022-03-08,BCG,92.85,92.85,92.85,92.85,372484,1.0,372484
2022-03-09,BCG,88.25,88.25,88.25,88.25,668420,1.0,668420
2022-03-10,BCG,91.9,92.65,90.0,92.65,4361271,0.9193000000000001,4744051
2022-03-11,BCG,97.25,97.25,97.25,97.25,1232226,1.0,1232226
2022-03-14,BCG,98.0,102.1,97.25,102.1,6693496,0.6619,10112427
2022-03-15,BCG,64.3,64.3,64.3,64.3,298002,1.0,298002
2022-03-16,BCG,67.5,67.5,67.5,67.5,739105,1.0,739105
2022-03-17,BCG,70.85,70.85,70.85,70.85,8148579,0.9450000000000001,8622565
2022-03-21,BCG,73.4,74.35,72.3,74.35,2470577,0.6787000000000001,3640385
2022-03-22,BCG,78.05,78.05,78.05,78.05,730778,0.6552,1115402
2022-03-23,BCG,81.95,81.95,81.95,81.95,454943,1.0,454948
2022-05-16,BCG,66.0,66.0,64.0,64.35,768299,0.7371,1042395
2022-05-17,BCG,65.85,65.85,62.8,63.45,1071326,0.6409,1671684
2022-05-18,BCG,63.85,64.45,62.0,62.15,1466155,0.7615000000000001,1925282
2022-05-19,BCG,59.05,60.7,59.05,59.05,1518056,0.6886,2204638
2022-05-20,BCG,57.5,60.4,56.1,56.15,2918893,0.6163000000000001,4736536
2022-05-23,BCG,56.15,58.95,56.15,58.95,1295360,0.7682,1686255
2022-05-24,BCG,61.85,61.85,61.0,61.85,501329,0.7015000000000001,714680
2022-05-25,BCG,64.9,64.9,63.0,64.9,2655761,0.6068,4376739
2022-05-26,BCG,66.5,67.9,63.1,66.35,2310836,0.5498,4202780
2022-05-27,BCG,66.35,66.35,64.0,64.35,1263885,0.6620999999999999,1908889
2022-05-30,BCG,61.55,67.55,61.55,67.55,2473287,0.6349,3895833
2022-05-31,BCG,69.8,69.8,64.2,64.2,5263275,0.5784,9099887
2022-06-01,BCG,62.0,63.1,61.0,61.0,3736812,0.6132,6094104
2022-06-02,BCG,58.1,59.15,57.95,57.95,3061917,0.3483,8791665
2022-06-03,BCG,55.75,57.2,55.1,55.1,3016720,0.5681,5310354
2022-06-06,BCG,52.8,53.2,52.35,52.35,3531200,0.7977,4426700
2022-06-07,BCG,49.75,54.95,49.75,54.95,6635177,0.5181,12807483
2022-06-08,BCG,57.65,57.65,53.85,57.6,5056629,0.42229999999999995,11974524
2022-06-09,BCG,56.45,57.35,54.75,54.8,2820526,0.4035,6990438
2022-06-10,BCG,52.75,57.3,52.1,56.55,2977928,0.3975,7491870
2022-06-13,BCG,53.85,55.0,53.75,53.75,2931906,0.4803,6103827
2022-06-14,BCG,52.6,54.75,51.1,51.5,2076156,0.4793,4331721
2022-06-15,BCG,51.5,52.5,49.0,49.6,1951859,0.5339,3656118
2022-06-16,BCG,50.0,50.75,47.15,47.15,2435659,0.4925,4945735
2022-06-17,BCG,44.8,44.8,44.8,44.8,3655376,0.9816,3723751
2022-06-20,BCG,43.5,44.5,42.6,42.6,1995340,0.40950000000000003,4873128
2022-06-21,BCG,40.5,42.6,40.5,40.5,4543032,0.3515,12925341
2022-06-22,BCG,39.15,39.85,38.5,38.5,2210216,0.5258,4203370
2022-06-23,BCG,37.15,37.45,36.6,36.6,1930611,0.7084,2832265
2022-06-24,BCG,34.8,34.8,34.8,34.8,990470,0.9995999999999999,990900
2022-06-27,BCG,34.45,36.5,33.1,33.1,13270606,0.3705,35817573
2022-06-28,BCG,31.45,32.0,31.45,31.45,2417778,0.6586,3670870
2022-06-29,BCG,29.9,29.9,29.9,29.9,2867071,0.9787,2929366
2022-06-30,BCG,31.2,31.35,30.6,31.35,1717611,0.659,2606493
2022-07-01,BCG,32.9,32.9,32.9,32.9,731102,0.8904000000000001,821102
2022-07-04,BCG,34.5,34.5,34.5,34.5,284071,1.0,284071
2022-07-05,BCG,36.2,36.2,36.2,36.2,322343,1.0,322343
2022-07-06,BCG,38.0,38.0,36.5,38.0,5492210,0.4585,11978219
2022-07-07,BCG,39.9,39.9,39.9,39.9,203396,1.0,203396
2022-07-08,BCG,41.85,41.85,41.85,41.85,1128962,0.9359999999999999,1206204
2022-07-11,BCG,42.7,43.9,41.85,43.9,1593838,0.7398,2154418
2022-07-12,BCG,46.05,46.05,46.05,46.05,245540,1.0,245540
2022-07-13,BCG,48.35,48.35,45.15,48.35,3806568,0.4966,7664903
2022-07-14,BCG,49.0,50.7,45.95,45.95,4788110,0.4778,10021084
2022-07-15,BCG,44.15,44.9,43.7,43.7,1333076,0.5866,2272366
2022-07-18,BCG,45.85,45.85,45.85,45.85,402661,1.0,402661
2022-07-19,BCG,48.1,48.1,48.1,48.1,190311,1.0,190311
2022-07-20,BCG,50.5,50.5,49.1,50.5,1714637,0.7011000000000001,2445793
2022-07-21,BCG,52.0,53.0,49.55,53.0,5360231,0.3862,13878719
2022-07-22,BCG,53.9,55.65,50.35,55.65,5186283,0.3018,17182698
2022-07-25,BCG,56.45,57.8,54.0,54.85,4272121,0.4042,10570470
2022-07-26,BCG,53.1,54.5,52.15,52.15,2692879,0.49119999999999997,5482388
2022-07-27,BCG,49.6,51.0,49.55,49.55,2896156,0.3014,9608137
2022-07-28,BCG,47.1,49.45,47.1,47.1,3451095,0.5892000000000001,5856899
2022-07-29,BCG,45.55,49.45,44.75,49.4,6750850,0.325,20772326
2022-08-01,BCG,50.0,51.4,47.6,47.95,4616823,0.4606,10024533
2022-08-02,BCG,48.35,48.8,46.55,47.1,2035465,0.5297999999999999,3842196
2022-08-03,BCG,47.5,48.1,44.75,44.75,3728847,0.4857,7676482
2022-08-04,BCG,44.75,46.0,42.55,42.55,5035762,0.4976,10120634
2022-08-05,BCG,42.55,43.25,40.45,40.45,5372866,0.5423,9907587
2022-08-08,BCG,39.5,41.75,38.45,38.45,8399123,0.6088,13797095
2022-08-10,BCG,37.95,40.35,36.55,36.55,11913440,0.4632,25718170
2022-08-11,BCG,36.55,38.35,35.4,38.35,6568726,0.3395,19349501
2022-08-12,BCG,39.7,40.25,36.45,36.7,15408498,0.46299999999999997,33282581
2022-08-16,BCG,38.5,38.5,34.95,38.3,22766318,0.43270000000000003,52611382
2022-08-17,BCG,39.0,40.2,38.7,40.2,7099309,0.6031000000000001,11771702
2022-08-18,BCG,41.65,42.2,41.5,42.2,1933519,0.6423000000000001,3010440
2022-08-19,BCG,44.3,44.3,43.2,44.3,6163763,0.3937,15657276
2022-08-22,BCG,46.0,46.5,45.5,46.5,4011469,0.3797,10566206
2022-08-23,BCG,47.55,48.8,44.65,48.4,13231380,0.3929,33676287
2022-08-24,BCG,46.7,47.45,46.0,46.0,7897913,0.47950000000000004,16470685
2022-08-25,BCG,43.7,43.7,43.7,43.7,3063473,1.0,3063474
2022-08-26,BCG,41.55,45.85,41.55,44.95,11314225,0.3564,31743388
2022-08-29,BCG,43.0,44.35,42.75,42.75,6956129,0.4031,17257920
