Date,symbol,open,high,low,close,deliverable volume,deliverable_percentage,volume
2021-09-01,BEML,1319.5,1379.0,1315.0,1351.55,193570,0.28190000000000004,686686
2021-09-02,BEML,1358.0,1372.95,1326.0,1337.35,97081,0.3127,310426
2021-09-03,BEML,1340.3,1355.0,1328.0,1344.35,51211,0.2724,188033
2021-09-06,BEML,1351.0,1367.5,1345.25,1352.85,75924,0.3429,221437
2021-09-07,BEML,1356.0,1361.0,1336.0,1344.75,32095,0.37560000000000004,85458
2021-09-08,BEML,1344.9,1370.1,1335.1,1341.3,50692,0.1821,278389
2021-09-09,BEML,1341.0,1349.5,1326.55,1330.85,36313,0.44780000000000003,81090
2021-09-13,BEML,1337.9,1369.0,1333.15,1342.6,60379,0.2161,279362
2021-09-14,BEML,1348.7,1443.0,1343.75,1433.45,425774,0.2745,1551014
2021-09-15,BEML,1439.7,1494.0,1416.05,1474.05,368590,0.2382,1547682
2021-09-16,BEML,1475.05,1494.0,1450.2,1457.15,132695,0.3523,376686
2021-09-17,BEML,1457.15,1463.75,1391.0,1416.9,110927,0.3789,292749
2021-09-20,BEML,1399.6,1442.0,1383.35,1396.9,87987,0.31760000000000005,277029
2021-09-21,BEML,1399.0,1406.9,1377.0,1390.55,59558,0.32909999999999995,180958
2021-09-22,BEML,1390.0,1430.0,1383.8,1407.6,61027,0.312,195620
2021-09-23,BEML,1415.0,1428.2,1382.1,1388.4,76552,0.4475,171054
2021-09-24,BEML,1398.0,1401.55,1372.35,1377.95,48065,0.41990000000000005,114460
2021-09-27,BEML,1384.0,1428.0,1360.2,1404.2,73005,0.20440000000000003,357129
2021-09-28,BEML,1408.0,1430.0,1384.1,1406.0,56223,0.23199999999999998,242315
2021-09-29,BEML,1399.8,1457.0,1390.15,1434.4,208367,0.3533,589823
2021-09-30,BEML,1436.0,1447.75,1425.0,1433.5,60671,0.3904,155406
2021-10-01,BEML,1429.8,1432.8,1402.25,1423.95,84869,0.35240000000000005,240817
2021-10-04,BEML,1424.0,1439.0,1417.95,1429.0,72710,0.4539,160175
2021-10-05,BEML,1417.15,1471.0,1417.15,1453.2,168433,0.3682,457392
2021-10-06,BEML,1453.55,1537.9,1453.55,1493.8,424313,0.3408,1245190
