Date,symbol,open,high,low,close,deliverable volume,deliverable_percentage,volume
2021-09-01,BGRENERGY,53.5,54.95,50.6,52.35,50900,0.30350000000000005,167714
2021-09-02,BGRENERGY,52.8,54.0,52.5,53.1,41801,0.4258,98161
2021-09-03,BGRENERGY,53.85,55.0,53.6,53.85,42623,0.5369,79394
2021-09-06,BGRENERGY,54.6,60.75,52.0,55.75,97330,0.44880000000000003,216872
2021-09-07,BGRENERGY,55.45,58.7,55.0,57.0,158203,0.3437,460238
2021-09-08,BGRENERGY,56.8,58.85,56.1,58.1,85653,0.3005,285044
2021-09-09,BGRENERGY,58.75,59.6,57.15,58.45,74845,0.3689,202864
2021-09-13,BGRENERGY,58.45,62.0,57.9,61.1,178980,0.4214,424700
2021-09-14,BGRENERGY,61.5,63.5,60.75,62.0,88296,0.4006,220412
2021-09-15,BGRENERGY,62.0,64.5,61.4,63.25,126461,0.3943,320711
2021-09-16,BGRENERGY,63.0,65.2,63.0,63.25,136850,0.4337,315548
2021-09-17,BGRENERGY,63.25,63.75,60.1,60.5,93009,0.6184000000000001,150396
2021-09-20,BGRENERGY,59.0,60.35,57.05,57.45,62891,0.4879,128910
2021-09-21,BGRENERGY,58.45,58.45,55.3,57.5,64907,0.45890000000000003,141449
2021-09-22,BGRENERGY,58.25,59.0,57.5,58.45,24532,0.4789,51221
2021-09-23,BGRENERGY,59.0,60.3,58.15,58.7,71864,0.4832,148715
2021-09-24,BGRENERGY,58.65,60.8,57.3,57.65,44744,0.36460000000000004,122731
2021-09-27,BGRENERGY,57.7,59.9,57.7,58.0,33786,0.4128,81853
2021-09-28,BGRENERGY,58.95,59.9,57.9,58.45,55728,0.3555,156781
2021-09-29,BGRENERGY,59.25,68.4,58.4,66.1,626678,0.2541,2466144
2021-09-30,BGRENERGY,66.5,68.45,64.55,65.6,278362,0.42340000000000005,657507
2021-10-01,BGRENERGY,65.4,66.35,63.65,65.25,108482,0.3725,291262
2021-10-04,BGRENERGY,65.25,68.1,63.6,66.15,207398,0.4586,452233
2021-10-05,BGRENERGY,66.5,73.4,65.5,72.3,712522,0.3311,2152146
2021-10-06,BGRENERGY,73.0,73.7,66.5,67.3,344922,0.39740000000000003,867908
2021-10-07,BGRENERGY,67.95,70.35,67.9,68.55,119263,0.3607,330677
2021-10-08,BGRENERGY,69.0,69.6,66.35,67.05,111887,0.3676,304359
2021-10-11,BGRENERGY,67.75,72.3,67.5,70.6,275436,0.35090000000000005,785008
2021-10-12,BGRENERGY,70.45,72.4,69.5,70.7,158023,0.2999,526892
2021-10-13,BGRENERGY,71.9,73.15,68.05,69.6,207335,0.34659999999999996,598206
2021-10-14,BGRENERGY,69.0,70.85,68.0,69.4,158993,0.4549,349491
2021-10-18,BGRENERGY,72.25,75.9,71.95,73.15,475985,0.3639,1308034
2021-10-19,BGRENERGY,75.0,78.2,69.2,71.55,554145,0.3714,1492084
2021-10-20,BGRENERGY,71.1,72.2,68.75,69.15,185928,0.3331,558111
2021-10-21,BGRENERGY,69.95,70.1,66.8,67.65,179021,0.43979999999999997,407018
2021-10-22,BGRENERGY,68.0,69.25,65.4,66.4,101442,0.41960000000000003,241741
2021-10-25,BGRENERGY,67.0,67.9,63.4,63.7,82274,0.3506,234646
2021-10-26,BGRENERGY,63.4,66.85,63.3,65.9,75206,0.2284,329248
2021-10-27,BGRENERGY,66.4,67.3,65.35,65.65,57265,0.2305,248489
2021-10-28,BGRENERGY,65.5,67.4,63.05,63.35,90244,0.2509,359703
2021-10-29,BGRENERGY,62.55,64.9,62.05,63.3,52522,0.34909999999999997,150446
2021-11-01,BGRENERGY,63.7,65.5,62.5,62.95,84418,0.35369999999999996,238694
2021-11-02,BGRENERGY,63.4,65.3,63.15,64.95,62326,0.3787,164598
