Date,symbol,open,high,low,close,deliverable volume,deliverable_percentage,volume
2021-09-01,BHAGERIA,242.0,243.7,237.0,237.95,23242,0.6202000000000001,37478
2021-09-02,BHAGERIA,239.4,254.0,238.4,250.95,49194,0.4364,112731
2021-09-03,BHAGERIA,251.9,258.0,249.0,250.05,36539,0.5121,71346
2021-09-06,BHAGERIA,250.95,252.95,245.8,247.9,19177,0.5251,36523
2021-09-07,BHAGERIA,249.4,250.2,244.0,244.8,13899,0.5157,26950
2021-09-08,BHAGERIA,246.65,250.2,245.0,247.85,12630,0.4222,29912
2021-09-09,BHAGERIA,247.85,253.0,244.0,245.85,30562,0.5145000000000001,59405
2021-09-13,BHAGERIA,245.1,257.9,244.75,252.95,34176,0.5565,61417
2021-09-14,BHAGERIA,250.5,255.6,249.25,251.95,18582,0.5297999999999999,35074
2021-09-15,BHAGERIA,252.95,268.95,252.0,266.35,110921,0.4354,254740
2021-09-16,BHAGERIA,267.9,267.9,255.5,260.1,62184,0.43729999999999997,142184
2021-09-17,BHAGERIA,261.8,263.5,252.0,257.65,36087,0.459,78617
2021-09-20,BHAGERIA,256.0,257.7,246.3,249.7,29752,0.6516,45662
2021-09-21,BHAGERIA,247.2,253.9,244.0,249.1,21621,0.5239,41270
2021-09-22,BHAGERIA,250.0,254.95,250.0,251.1,16104,0.4814,33450
2021-09-23,BHAGERIA,253.7,255.75,248.3,249.95,20445,0.5461,37440
2021-09-24,BHAGERIA,250.9,257.85,246.6,251.75,127785,0.5031,254019
2021-09-27,BHAGERIA,257.0,265.6,256.15,260.2,69362,0.5144,134846
2021-09-28,BHAGERIA,261.95,263.4,251.8,255.1,282152,0.8778,321426
2021-09-29,BHAGERIA,250.8,277.75,250.8,264.65,118902,0.3078,386261
2021-09-30,BHAGERIA,266.2,275.4,262.3,270.5,64469,0.5197,124057
2021-10-01,BHAGERIA,269.7,284.35,264.65,280.95,128506,0.5635,228044
2021-10-04,BHAGERIA,286.1,298.5,279.6,294.55,160641,0.4254,377607
2021-10-05,BHAGERIA,294.55,320.0,294.55,310.1,259841,0.28690000000000004,905790
2021-10-06,BHAGERIA,312.4,329.0,308.2,315.5,199139,0.36310000000000003,548442
2021-10-07,BHAGERIA,320.45,322.75,310.5,313.8,61381,0.4267,143843
2021-10-08,BHAGERIA,315.45,318.5,302.1,308.65,57321,0.4985,114978
2021-10-11,BHAGERIA,308.5,315.0,307.0,308.6,32356,0.48950000000000005,66106
2021-10-12,BHAGERIA,309.0,309.05,295.0,301.6,41976,0.4097,102452
2021-10-13,BHAGERIA,299.0,303.9,295.05,297.4,44600,0.5115,87191
2021-10-14,BHAGERIA,298.75,303.55,290.65,293.5,60711,0.6888,88137
2021-10-18,BHAGERIA,295.75,302.0,291.0,295.45,31565,0.523,60359
2021-10-19,BHAGERIA,297.5,307.0,290.0,291.3,60688,0.5872999999999999,103332
2021-10-20,BHAGERIA,292.5,292.5,275.05,278.6,54783,0.5321,102947
2021-10-21,BHAGERIA,277.15,286.0,274.1,282.65,27450,0.419,65519
2021-10-22,BHAGERIA,284.0,292.0,273.05,275.3,44144,0.4582,96343
2021-10-25,BHAGERIA,275.3,276.9,261.7,268.5,32961,0.5301,62175
2021-10-26,BHAGERIA,269.5,281.45,268.55,279.55,26742,0.5034000000000001,53127
2021-10-27,BHAGERIA,280.0,289.0,280.0,285.7,21563,0.5207,41415
2021-10-28,BHAGERIA,286.7,286.7,273.05,275.0,14845,0.5217,28453
2021-10-29,BHAGERIA,275.0,279.95,267.65,271.5,23139,0.4683,49409
2021-11-01,BHAGERIA,272.0,276.75,266.5,267.55,30575,0.5363,57013
2021-11-02,BHAGERIA,268.9,270.6,263.1,266.0,37534,0.6047,62066
2021-11-03,BHAGERIA,267.3,267.3,258.1,260.7,98699,0.5317000000000001,185631
2021-11-04,BHAGERIA,264.5,264.9,260.25,261.85,17687,0.7304,24215
2021-11-08,BHAGERIA,266.45,285.0,261.75,281.4,46660,0.3968,117593
2021-11-09,BHAGERIA,282.55,285.0,274.1,275.75,26987,0.5415,49836
2021-11-10,BHAGERIA,275.9,280.5,269.95,272.95,22466,0.5077,44253
2021-11-11,BHAGERIA,273.9,274.3,265.75,268.05,17655,0.5081,34747
2021-11-12,BHAGERIA,265.0,270.3,264.25,265.25,20640,0.5052000000000001,40855
2021-11-15,BHAGERIA,265.3,267.3,263.25,265.55,9219,0.5258,17534
2021-11-16,BHAGERIA,262.25,267.25,261.35,263.4,34176,0.7868,43438
2021-11-17,BHAGERIA,263.4,265.25,261.8,263.65,7852,0.5031,15608
2021-11-18,BHAGERIA,263.5,264.75,257.0,259.0,24180,0.6613,36566
2021-11-22,BHAGERIA,260.0,261.95,246.25,248.75,26989,0.6019,44841
2021-11-23,BHAGERIA,249.0,255.0,243.9,251.35,16978,0.5533,30687
2021-11-24,BHAGERIA,252.65,262.4,252.2,256.5,21090,0.5651,37319
2021-11-25,BHAGERIA,256.0,258.6,252.05,257.9,18097,0.6126,29541
2021-11-26,BHAGERIA,254.95,289.6,248.45,263.25,20659,0.5398,38272
2021-11-29,BHAGERIA,268.0,268.0,246.85,249.05,34657,0.6124,56592
2021-11-30,BHAGERIA,249.05,254.0,245.05,246.95,11650,0.4523,25758
2021-12-01,BHAGERIA,249.05,251.35,246.05,246.85,7807,0.4841,16128
2021-12-02,BHAGERIA,247.8,251.0,244.6,248.55,13795,0.6131000000000001,22500
2021-12-03,BHAGERIA,249.45,260.9,249.45,256.7,16795,0.3591,46769
2021-12-06,BHAGERIA,257.7,257.7,251.05,251.65,11386,0.5625,20240
2021-12-07,BHAGERIA,252.95,255.85,252.0,253.6,7112,0.5053,14075
2021-12-08,BHAGERIA,254.9,263.0,254.75,256.45,14715,0.5294,27794
2021-12-09,BHAGERIA,257.7,259.75,256.35,257.95,11064,0.61,18137
2021-12-10,BHAGERIA,255.05,262.0,255.05,256.45,13112,0.49950000000000006,26248
2021-12-13,BHAGERIA,256.45,263.25,256.45,260.6,20274,0.6133,33058
2021-12-14,BHAGERIA,260.0,261.9,258.55,260.15,13170,0.5855,22492
2021-12-15,BHAGERIA,261.5,261.5,256.05,257.65,13426,0.6486,20699
2021-12-16,BHAGERIA,258.95,259.8,254.15,255.0,7336,0.6585,11140
2021-12-17,BHAGERIA,254.4,254.4,247.9,248.25,9420,0.6757,13941
2021-12-20,BHAGERIA,240.05,243.7,230.7,235.95,24278,0.6198,39169
2021-12-21,BHAGERIA,237.15,245.5,237.15,242.55,14414,0.6435,22401
2021-12-22,BHAGERIA,243.8,246.1,243.15,244.6,11598,0.8262,14038
2021-12-23,BHAGERIA,247.0,252.0,246.3,249.8,9912,0.6104,16239
2021-12-24,BHAGERIA,249.6,249.95,244.05,245.45,5953,0.49590000000000006,12005
2021-12-27,BHAGERIA,249.95,249.95,242.1,243.95,8551,0.6049,14137
2021-12-28,BHAGERIA,245.25,253.15,245.25,250.35,9929,0.5675,17495
2021-12-29,BHAGERIA,251.2,254.35,247.1,247.85,9105,0.564,16144
2021-12-30,BHAGERIA,248.0,251.8,242.8,247.55,19248,0.4676,41167
2021-12-31,BHAGERIA,249.5,255.45,246.1,247.4,13556,0.4929,27501
2022-01-03,BHAGERIA,250.0,253.9,250.0,251.65,16381,0.5355,30592
2022-01-04,BHAGERIA,252.85,258.95,251.05,257.25,14706,0.5103,28816
2022-01-05,BHAGERIA,258.0,264.5,257.3,259.35,27927,0.5432,51416
2022-01-06,BHAGERIA,258.0,260.0,252.85,257.05,8336,0.4504,18507
2022-01-07,BHAGERIA,258.0,258.95,251.95,252.65,27577,0.6145,44877
2022-01-10,BHAGERIA,253.9,264.8,253.2,262.95,31037,0.5504,56391
2022-01-11,BHAGERIA,262.0,262.95,255.95,257.55,10658,0.5023,21220
2022-01-12,BHAGERIA,258.7,258.7,211.2,251.6,24271,0.4857,49967
2022-01-13,BHAGERIA,252.9,257.2,251.1,252.95,8528,0.5036,16933
2022-01-14,BHAGERIA,251.05,252.9,248.8,250.2,27387,0.7254,37754
2022-01-17,BHAGERIA,251.0,253.05,249.0,251.4,14477,0.6173,23451
2022-01-18,BHAGERIA,249.0,254.75,245.35,245.95,17722,0.5615,31564
2022-01-19,BHAGERIA,246.6,259.45,243.0,247.45,29847,0.5286,56469
2022-01-20,BHAGERIA,249.0,252.5,246.25,248.05,9096,0.4781,19027
2022-01-21,BHAGERIA,248.0,249.85,236.05,240.35,13334,0.5418000000000001,24611
2022-01-24,BHAGERIA,240.0,241.45,227.0,234.3,16615,0.5372,26293
2022-01-25,BHAGERIA,230.35,241.0,226.05,234.6,16591,0.4617,35932
2022-01-27,BHAGERIA,233.4,236.7,228.45,231.05,11020,0.5009,22001
2022-01-28,BHAGERIA,238.0,241.5,232.55,234.85,16401,0.4968,33016
2022-01-31,BHAGERIA,244.0,245.0,240.0,241.3,16121,0.6543000000000001,24639
2022-02-01,BHAGERIA,242.55,243.4,238.85,242.0,7750,0.504,15376
2022-02-02,BHAGERIA,243.1,247.0,242.15,245.25,14041,0.7399,18976
2022-02-03,BHAGERIA,244.0,246.7,242.5,243.55,5782,0.5817,9939
2022-02-04,BHAGERIA,242.3,244.8,239.0,243.35,14513,0.6781,21403
2022-02-07,BHAGERIA,243.95,287.2,240.05,259.4,79346,0.3276,242195
2022-02-08,BHAGERIA,259.45,261.65,246.6,248.4,18919,0.46520000000000006,40672
2022-02-09,BHAGERIA,249.6,252.9,244.4,248.1,14761,0.5472,26974
2022-02-10,BHAGERIA,249.35,254.0,246.0,251.7,19354,0.5849000000000001,33089
2022-02-11,BHAGERIA,251.5,252.0,247.2,248.7,14739,0.6533,22560
2022-02-14,BHAGERIA,231.2,246.0,231.2,236.9,21002,0.5536,37938
