Date,symbol,open,high,low,close,deliverable volume,deliverable_percentage,volume
2021-10-12,BHARATWIRE,66.0,67.0,64.55,66.5,130448,0.9142,142692
2021-10-13,BHARATWIRE,66.5,67.7,64.5,65.0,13653,0.6162,22157
2021-10-14,BHARATWIRE,66.0,66.0,64.0,64.25,10141,0.6987000000000001,14514
2021-10-18,BHARATWIRE,65.0,65.9,63.05,63.95,21365,0.6886,31028
2021-10-19,BHARATWIRE,63.7,64.95,62.0,62.8,13820,0.7766,17795
2021-10-20,BHARATWIRE,62.0,63.9,61.0,62.35,8776,0.6482,13538
2021-10-21,BHARATWIRE,63.0,63.7,61.5,62.4,3572,0.5446,6559
2021-10-22,BHARATWIRE,63.0,63.0,60.0,60.95,7971,0.6447,12364
2021-10-25,BHARATWIRE,60.0,60.95,57.95,58.05,16208,0.8625,18792
2021-10-26,BHARATWIRE,58.05,59.1,56.6,58.35,8080,0.6834,11824
2021-10-27,BHARATWIRE,58.9,60.0,58.45,59.45,7563,0.7421,10192
2021-10-28,BHARATWIRE,59.0,60.0,57.0,57.65,7500,0.6866,10924
2021-10-29,BHARATWIRE,57.0,58.15,55.55,57.75,5219,0.6507,8021
2021-11-01,BHARATWIRE,57.0,58.9,56.0,57.05,6726,0.6363000000000001,10571
2021-11-02,BHARATWIRE,58.0,58.4,57.0,57.95,2202,0.5429,4056
2021-11-03,BHARATWIRE,58.0,58.15,57.0,57.7,2751,0.6092000000000001,4516
2021-11-04,BHARATWIRE,59.0,59.0,56.05,57.25,5220,0.6331,8245
2021-11-08,BHARATWIRE,58.0,58.0,56.0,56.35,10055,0.7411,13567
2021-11-09,BHARATWIRE,56.05,59.15,56.05,59.15,23274,0.8153,28546
2021-11-10,BHARATWIRE,61.5,62.1,58.1,59.85,44036,0.6468,68078
2021-11-11,BHARATWIRE,60.0,62.0,59.4,61.7,16595,0.5501,30168
2021-11-12,BHARATWIRE,62.0,62.8,59.25,59.7,36326,0.4671,77764
2021-11-15,BHARATWIRE,59.8,60.95,57.15,59.45,12193,0.6437999999999999,18938
2021-11-16,BHARATWIRE,59.0,60.0,58.2,58.85,11202,0.7619,14703
2021-11-17,BHARATWIRE,57.6,59.95,57.6,58.95,5585,0.5155,10835
2021-11-18,BHARATWIRE,59.0,59.35,57.5,58.85,34494,0.9167000000000001,37630
2021-11-22,BHARATWIRE,59.0,59.0,56.0,56.5,9592,0.6696,14324
2021-11-23,BHARATWIRE,57.0,57.7,55.65,56.75,11748,0.7158,16412
2021-11-24,BHARATWIRE,56.0,57.0,55.35,56.85,4629,0.5158,8974
2021-11-25,BHARATWIRE,57.0,59.15,55.6,58.75,12799,0.7706999999999999,16607
2021-11-26,BHARATWIRE,59.0,59.45,57.85,57.9,9534,0.7276,13104
2021-11-29,BHARATWIRE,57.0,57.0,55.05,55.05,12319,0.6879000000000001,17909
2021-11-30,BHARATWIRE,55.05,55.3,53.55,54.25,7879,0.6244,12619
2021-12-01,BHARATWIRE,54.35,55.2,52.1,53.65,2290,0.2989,7661
2021-12-02,BHARATWIRE,54.0,56.3,53.05,56.3,10745,0.8429000000000001,12748
2021-12-03,BHARATWIRE,57.0,58.8,55.5,56.5,13427,0.6415000000000001,20931
2021-12-06,BHARATWIRE,57.0,58.25,56.55,57.3,5251,0.5660000000000001,9277
2021-12-07,BHARATWIRE,57.95,58.75,54.85,55.35,16106,0.627,25686
