Date,symbol,open,high,low,close,deliverable volume,deliverable_percentage,volume
2021-09-01,BHARTIARTL,668.0,673.3,654.0,666.4,11672184,0.3861,30228814
2021-09-02,BHARTIARTL,669.95,673.75,664.05,666.5,10042566,0.5399,18601857
2021-09-03,BHARTIARTL,668.0,669.6,654.0,658.45,2700674,0.34740000000000004,7774350
2021-09-06,BHARTIARTL,664.4,665.75,653.4,654.6,5106439,0.5089,10035041
2021-09-07,BHARTIARTL,657.95,680.5,648.0,670.55,8734758,0.31570000000000004,27665704
2021-09-08,BHARTIARTL,678.0,683.8,665.0,667.85,4586861,0.2238,20492200
2021-09-09,BHARTIARTL,667.85,688.2,667.05,686.15,7866073,0.4051,19419892
2021-09-13,BHARTIARTL,692.0,697.0,685.85,693.3,8168516,0.42229999999999995,19341527
2021-09-14,BHARTIARTL,695.0,699.7,689.1,694.2,4082118,0.3556,11479081
2021-09-15,BHARTIARTL,697.0,734.95,696.15,725.5,20541501,0.3685,55750090
2021-09-16,BHARTIARTL,735.0,737.0,715.4,718.6,20642424,0.4673,44172650
2021-09-17,BHARTIARTL,721.0,734.75,721.0,728.15,11528051,0.44070000000000004,26158201
2021-09-20,BHARTIARTL,725.0,733.7,720.3,724.95,7929458,0.5637,14066795
2021-09-21,BHARTIARTL,722.9,740.75,722.0,726.65,5393263,0.3865,13954874
2021-09-22,BHARTIARTL,727.0,732.05,724.1,726.75,9401649,0.5859000000000001,16047334
2021-09-23,BHARTIARTL,733.4,740.1,723.2,726.8,15817212,0.6081000000000001,26009026
2021-09-24,BHARTIARTL,729.05,753.0,728.0,739.4,32677530,0.46130000000000004,70844952
2021-09-27,BHARTIARTL,731.0,731.9,718.15,722.55,4728776,0.4191,11282248
2021-09-28,BHARTIARTL,724.4,726.8,686.0,696.15,11007945,0.5015999999999999,21944239
2021-09-29,BHARTIARTL,697.0,702.0,689.15,694.1,9013506,0.5388000000000001,16729859
2021-09-30,BHARTIARTL,695.8,709.8,686.8,688.3,5789356,0.41619999999999996,13911568
2021-10-01,BHARTIARTL,687.35,687.35,667.65,675.9,7902803,0.5285,14952128
2021-10-04,BHARTIARTL,675.0,686.2,669.7,681.4,4791414,0.5373,8917898
2021-10-05,BHARTIARTL,684.4,703.45,680.4,699.25,12409556,0.48479999999999995,25598885
2021-10-06,BHARTIARTL,705.75,707.95,688.2,691.4,4697552,0.4514,10406502
2021-10-07,BHARTIARTL,695.75,702.2,691.3,692.5,4558435,0.5613,8121590
2021-10-08,BHARTIARTL,695.15,699.55,688.9,695.5,3371512,0.5354,6297352
2021-10-11,BHARTIARTL,693.1,696.05,685.0,690.85,5338492,0.6072,8792050
2021-10-12,BHARTIARTL,691.0,698.4,684.2,686.35,4895467,0.5706,8579567
2021-10-13,BHARTIARTL,689.0,696.8,683.1,689.9,3865847,0.5474,7062149
2021-10-14,BHARTIARTL,693.0,694.0,681.85,685.8,6618657,0.674,9820591
2021-10-18,BHARTIARTL,700.0,701.95,679.65,680.6,5131456,0.5985,8574445
2021-10-19,BHARTIARTL,699.0,699.0,675.45,681.1,2337461,0.3189,7328862
