Date,symbol,open,high,low,close,deliverable volume,deliverable_percentage,volume
2021-09-01,BIL,224.0,224.0,208.0,209.8,2650,0.7012,3779
2021-09-02,BIL,217.9,221.0,208.1,216.45,1559,0.7545999999999999,2066
2021-09-03,BIL,216.0,219.0,214.0,215.6,3168,0.6922,4577
2021-09-06,BIL,215.0,217.85,214.3,215.4,1353,0.8087000000000001,1673
2021-09-07,BIL,214.55,216.1,210.0,211.75,900,0.7311,1231
2021-09-08,BIL,211.25,214.4,208.0,210.25,731,0.5693,1284
2021-09-09,BIL,209.1,214.8,209.1,211.95,460,0.455,1011
2021-09-13,BIL,210.0,214.9,210.0,213.6,1522,0.9136,1666
2021-09-14,BIL,220.0,220.0,210.05,212.6,885,0.498,1777
2021-09-15,BIL,218.0,224.0,210.4,213.05,1735,0.6096,2846
2021-09-16,BIL,217.7,217.7,208.8,210.15,2790,0.6236,4474
2021-09-17,BIL,207.35,214.1,207.35,210.25,998,0.6653,1500
2021-09-20,BIL,206.05,210.45,206.05,206.5,2537,0.7528,3370
2021-09-21,BIL,206.5,207.0,185.85,189.4,22035,0.44320000000000004,49720
2021-09-22,BIL,195.95,208.3,195.95,208.3,19515,0.6062,32193
2021-09-23,BIL,218.0,229.1,216.9,229.1,18134,0.5567000000000001,32574
2021-09-24,BIL,237.0,244.95,211.1,221.3,20604,0.38189999999999996,53954
2021-09-27,BIL,227.0,227.0,212.45,215.8,1744,0.46530000000000005,3748
2021-09-28,BIL,213.0,225.0,213.0,220.75,2746,0.5647,4863
2021-09-29,BIL,216.4,224.45,216.4,218.0,4450,0.6770999999999999,6572
2021-09-30,BIL,216.25,228.25,210.3,223.0,7595,0.5003,15182
2021-10-01,BIL,228.0,228.0,218.7,222.05,3258,0.5756,5660
2021-10-04,BIL,220.6,244.0,220.1,233.3,13404,0.34,39428
2021-10-05,BIL,235.0,242.15,223.1,229.2,4143,0.4816,8602
2021-10-06,BIL,233.95,235.0,226.45,228.85,1964,0.5486,3580
2021-10-07,BIL,229.0,239.85,225.0,229.35,2668,0.5583,4779
2021-10-08,BIL,233.0,233.75,225.25,226.8,2767,0.6861,4033
2021-10-11,BIL,230.0,230.0,221.8,223.35,1522,0.8113,1876
2021-10-12,BIL,221.0,237.95,221.0,225.45,2862,0.7337,3901
2021-10-13,BIL,221.25,230.8,221.25,226.75,4244,0.6993,6069
2021-10-14,BIL,229.9,230.25,224.0,224.7,1677,0.7637,2196
