Date,symbol,open,high,low,close,deliverable volume,deliverable_percentage,volume
2021-10-12,BRFL,7.35,7.6,7.2,7.25,624609,0.777,803874
2021-10-13,BRFL,7.3,7.55,7.15,7.35,524149,0.8595,609860
2021-10-14,BRFL,7.4,7.5,7.15,7.2,308105,0.5441,566249
2021-10-18,BRFL,7.35,7.35,7.15,7.2,358030,0.7968999999999999,449285
2021-10-19,BRFL,7.3,7.4,7.05,7.15,418576,0.7395999999999999,565931
2021-10-20,BRFL,7.25,7.25,6.95,7.05,257336,0.7812000000000001,329401
2021-10-21,BRFL,6.95,7.15,6.95,7.0,174574,0.7759,224994
2021-10-22,BRFL,7.15,7.15,6.95,7.0,211408,0.8498000000000001,248764
2022-01-24,BRFL,8.0,8.25,7.75,7.75,231149,0.6970000000000001,395262
2022-01-25,BRFL,7.45,7.8,7.4,7.45,311945,0.7251000000000001,430217
2022-01-27,BRFL,7.45,7.55,7.1,7.35,355715,0.5698,624277
2022-01-28,BRFL,7.25,7.7,7.2,7.4,371619,0.6508,571022
2022-01-31,BRFL,7.6,7.75,7.6,7.7,336501,0.6989,481471
2022-02-01,BRFL,7.8,7.85,7.45,7.45,193229,0.6041,319859
2022-02-02,BRFL,7.55,7.65,7.3,7.5,333306,0.6872,485008
2022-02-03,BRFL,7.6,7.65,7.35,7.5,239819,0.7345,326525
2022-02-04,BRFL,7.75,7.85,7.5,7.8,250723,0.753,332952
2022-02-07,BRFL,8.45,8.55,8.3,8.55,467950,0.8521,549194
2022-02-08,BRFL,8.9,9.4,8.05,9.3,2137290,0.5379,3973185
2022-02-09,BRFL,9.45,9.95,9.3,9.75,1732664,0.6162,2812027
2022-02-10,BRFL,9.75,9.9,9.3,9.3,534289,0.5595,955023
2022-02-11,BRFL,8.9,8.95,8.85,8.85,198650,0.8201999999999999,242196
2022-02-14,BRFL,8.45,8.45,8.45,8.45,61325,0.9822,62436
2022-02-15,BRFL,8.05,8.35,8.05,8.05,172838,0.6727,256949
2022-02-16,BRFL,7.95,8.4,7.65,7.85,513554,0.5545,926075
2022-02-17,BRFL,7.8,8.2,7.5,7.75,422061,0.5673,744024
2022-02-18,BRFL,7.7,7.85,7.55,7.6,241574,0.5639000000000001,428366
2022-02-21,BRFL,7.5,7.6,7.35,7.35,320752,0.6701,478672
2022-02-22,BRFL,7.15,7.45,7.0,7.05,187729,0.7053,266160
2022-02-23,BRFL,7.1,7.4,7.1,7.3,136811,0.6547,208980
2022-02-24,BRFL,7.0,7.15,6.95,6.95,218408,0.6854000000000001,318674
2022-02-25,BRFL,6.9,7.25,6.9,7.05,233569,0.5357999999999999,435936
2022-02-28,BRFL,7.05,7.25,6.8,7.2,136488,0.6194,220355
2022-03-02,BRFL,7.25,7.3,7.05,7.1,133680,0.5668,235870
2022-03-03,BRFL,7.05,7.3,7.0,7.1,135769,0.6001,226249
2022-03-04,BRFL,7.1,7.25,6.9,6.95,185966,0.7121,261152
2022-03-07,BRFL,6.85,7.25,6.7,7.15,308317,0.5718,539194
2022-03-08,BRFL,7.15,7.35,7.05,7.25,161111,0.6920000000000001,232836
2022-03-09,BRFL,7.35,7.6,7.35,7.6,858350,0.8881,966524
2022-03-10,BRFL,7.8,7.9,7.55,7.6,147855,0.6637000000000001,222790
2022-03-11,BRFL,7.75,7.95,7.5,7.95,372892,0.6953,536289
2022-03-14,BRFL,7.9,8.0,7.6,7.7,179994,0.5893,305458
2022-03-15,BRFL,7.8,7.8,7.4,7.5,157332,0.7792,201902
2022-03-16,BRFL,7.7,7.75,7.35,7.4,97873,0.6337,154439
2022-03-17,BRFL,7.65,7.65,7.35,7.4,128786,0.8216,156741
2022-03-21,BRFL,7.4,7.55,7.1,7.2,135276,0.5899,229316
2022-03-22,BRFL,7.05,7.35,7.05,7.1,97387,0.5809000000000001,167637
2022-03-23,BRFL,7.05,7.4,7.0,7.1,210144,0.5059,415403
2022-03-24,BRFL,7.15,7.15,6.95,7.0,180803,0.7532,240040
2022-03-25,BRFL,6.9,7.1,6.65,6.65,474472,0.6920999999999999,685505
2022-03-28,BRFL,6.65,6.8,6.45,6.65,307970,0.7522,409435
2022-03-29,BRFL,6.75,6.8,6.4,6.5,190347,0.6943,274160
2022-03-30,BRFL,6.5,6.6,6.35,6.4,347801,0.6929000000000001,501979
2022-03-31,BRFL,6.55,6.55,6.3,6.35,226984,0.7678,295635
2022-04-01,BRFL,6.5,6.65,6.35,6.65,217520,0.7911,274946
