Date,symbol,open,high,low,close,deliverable volume,deliverable_percentage,volume
2021-09-01,BRNL,30.75,31.4,30.75,30.95,10959,0.642,17071
2021-09-02,BRNL,31.0,31.5,30.6,31.35,10641,0.8027,13256
2021-09-03,BRNL,31.45,31.7,30.75,30.95,15103,0.7433,20320
2021-09-06,BRNL,31.45,31.45,30.5,30.75,20740,0.8320000000000001,24928
2021-09-07,BRNL,31.3,31.3,30.4,30.65,13066,0.7534000000000001,17343
2021-09-08,BRNL,30.25,30.9,30.25,30.35,15159,0.8164,18568
2021-09-09,BRNL,30.85,31.0,30.3,30.4,20022,0.6325999999999999,31648
2021-09-13,BRNL,30.85,30.9,29.25,30.25,16206,0.6308,25692
2021-09-14,BRNL,30.25,31.45,30.0,30.2,58765,0.7778,75554
2021-09-15,BRNL,30.7,30.8,29.75,29.9,99914,0.8093000000000001,123460
2021-09-16,BRNL,29.95,30.5,29.8,30.25,38296,0.7594,50427
2021-09-17,BRNL,30.75,30.75,29.4,29.5,50036,0.8065000000000001,62044
2021-09-20,BRNL,29.5,30.3,29.0,29.2,33809,0.7597,44501
2021-09-21,BRNL,29.0,29.75,27.2,28.25,91745,0.7189,127615
2021-09-22,BRNL,29.1,29.2,28.45,29.05,38724,0.7693000000000001,50339
2021-09-23,BRNL,29.45,29.85,28.85,29.4,23068,0.6753,34160
2021-09-24,BRNL,29.6,29.85,28.8,29.15,18125,0.7317,24771
2021-09-27,BRNL,29.7,29.7,28.15,28.8,46993,0.8373999999999999,56116
2021-09-28,BRNL,29.6,29.7,28.15,28.4,61227,0.7862,77873
2021-09-29,BRNL,28.85,29.25,28.3,28.5,29664,0.5625,52736
2021-09-30,BRNL,28.5,29.4,28.2,28.4,36167,0.7820999999999999,46241
2021-10-01,BRNL,28.8,28.95,28.3,28.6,34646,0.7445,46535
2021-10-04,BRNL,29.0,29.2,28.4,28.8,28838,0.7204,40033
2021-10-05,BRNL,29.15,31.8,28.5,30.95,118488,0.48310000000000003,245241
2021-10-06,BRNL,31.2,32.0,30.5,30.6,64868,0.5398,120173
2021-10-07,BRNL,30.7,31.4,30.0,30.45,39377,0.7012999999999999,56147
2021-10-08,BRNL,31.7,31.7,30.1,30.55,28900,0.37670000000000003,76710
2021-10-11,BRNL,30.2,31.25,30.1,30.25,32076,0.41880000000000006,76595
2021-10-12,BRNL,30.0,30.45,29.6,30.15,37094,0.7383,50244
2021-10-13,BRNL,29.85,30.3,29.65,30.1,63180,0.6735,93815
2021-10-14,BRNL,30.1,30.9,29.9,29.95,35757,0.7759,46084
2021-10-18,BRNL,30.35,31.1,29.1,29.7,50604,0.5709000000000001,88640
2021-10-19,BRNL,30.3,30.75,29.3,29.65,26123,0.5482,47655
2021-10-20,BRNL,30.4,30.45,29.3,29.55,21927,0.6906,31750
2021-10-21,BRNL,29.95,30.0,29.05,29.2,26074,0.6009000000000001,43394
2021-10-22,BRNL,29.3,29.75,28.8,28.95,20610,0.74,27852
2021-10-25,BRNL,28.95,29.5,28.5,28.8,21877,0.8199,26681
2021-10-26,BRNL,29.3,29.7,28.5,28.95,18572,0.7606999999999999,24414
2021-10-27,BRNL,28.95,29.35,28.55,28.7,14325,0.5652,25343
2021-10-28,BRNL,28.85,29.2,28.2,28.6,9749,0.5244,18592
2021-10-29,BRNL,28.3,29.65,27.85,27.95,36706,0.7176,51154
2021-11-01,BRNL,28.95,28.95,27.95,28.2,11274,0.6922,16288
2021-11-02,BRNL,28.05,28.8,28.05,28.25,10370,0.5424,19118
2021-11-03,BRNL,28.75,28.75,27.9,28.2,15980,0.6809000000000001,23470
2021-11-04,BRNL,28.0,29.9,28.0,28.9,8495,0.7777,10923
2021-11-08,BRNL,29.45,29.45,28.35,28.75,12454,0.7914,15737
2021-11-09,BRNL,29.0,29.1,28.55,28.85,14810,0.7615000000000001,19448
2021-11-10,BRNL,29.3,29.3,28.6,28.7,10709,0.6967,15371
2021-11-11,BRNL,29.2,29.2,28.5,28.5,10801,0.6466,16705
