Date,symbol,open,high,low,close,deliverable volume,deliverable_percentage,volume
2021-09-13,BUTTERFLY,863.85,863.85,830.0,838.9,40915,0.8066,50723
2021-09-14,BUTTERFLY,838.9,858.0,838.9,839.95,60889,0.8412999999999999,72372
2021-09-15,BUTTERFLY,844.9,857.0,838.05,843.2,129404,0.8924,145004
2021-09-16,BUTTERFLY,847.7,870.5,827.65,846.05,81891,0.7240000000000001,113102
2021-09-17,BUTTERFLY,854.75,888.35,846.0,888.35,161691,0.8197,197251
2021-09-20,BUTTERFLY,900.0,932.75,890.0,924.55,116888,0.6713,174127
2021-09-21,BUTTERFLY,912.3,931.0,878.35,927.7,73648,0.5154,142905
2021-09-22,BUTTERFLY,934.9,974.05,931.0,971.25,65898,0.6011,109629
2021-09-23,BUTTERFLY,998.0,999.8,955.0,972.85,60148,0.6785,88643
2021-09-24,BUTTERFLY,970.0,995.45,932.0,948.3,30282,0.6554000000000001,46203
2021-09-27,BUTTERFLY,956.0,979.6,931.5,947.7,21119,0.6129,34458
2021-09-28,BUTTERFLY,949.0,950.8,921.0,925.1,18881,0.6369,29644
2021-09-29,BUTTERFLY,933.0,971.35,914.5,968.35,34204,0.7081999999999999,48297
2021-09-30,BUTTERFLY,985.0,985.0,933.0,943.15,22233,0.6448,34478
2021-10-01,BUTTERFLY,943.15,980.0,943.15,954.55,19696,0.6454000000000001,30516
2021-10-04,BUTTERFLY,968.0,998.0,955.0,987.7,48935,0.7615999999999999,64252
2021-10-05,BUTTERFLY,999.0,1024.0,974.4,998.3,36768,0.7031000000000001,52292
2021-10-06,BUTTERFLY,1000.0,1025.95,988.9,1002.75,23956,0.6776000000000001,35352
2021-10-07,BUTTERFLY,1010.0,1050.0,999.15,1036.65,35183,0.7034999999999999,50011
2021-10-08,BUTTERFLY,1069.0,1069.0,1018.8,1042.9,21217,0.6285000000000001,33758
2021-10-11,BUTTERFLY,1050.0,1070.0,1021.0,1036.75,12794,0.5759000000000001,22217
2022-01-04,BUTTERFLY,1234.0,1247.95,1155.1,1181.55,22588,0.664,34016
2022-01-05,BUTTERFLY,1181.0,1240.6,1126.55,1237.7,65453,0.7334,89247
2022-01-06,BUTTERFLY,1233.9,1290.0,1202.15,1278.05,81350,0.6047,134531
2022-01-07,BUTTERFLY,1287.45,1310.05,1234.0,1284.2,127498,0.7170000000000001,177816
2022-01-10,BUTTERFLY,1312.3,1345.0,1285.6,1299.8,82540,0.6697,123258
2022-01-11,BUTTERFLY,1329.0,1345.0,1263.5,1270.2,22470,0.6985,32168
2022-01-12,BUTTERFLY,1280.0,1330.0,1261.0,1324.15,64991,0.6593000000000001,98576
2022-01-13,BUTTERFLY,1350.0,1350.0,1298.5,1319.5,23773,0.6689,35541
2022-01-14,BUTTERFLY,1319.5,1327.85,1290.2,1310.9,16109,0.6386999999999999,25222
2022-01-17,BUTTERFLY,1280.0,1311.75,1280.0,1299.95,31769,0.7421,42810
2022-01-18,BUTTERFLY,1285.0,1312.0,1250.05,1274.75,28541,0.7534000000000001,37882
2022-01-19,BUTTERFLY,1298.0,1300.0,1265.0,1276.6,16665,0.6174000000000001,26994
2022-01-20,BUTTERFLY,1300.0,1325.0,1279.7,1301.15,30908,0.7784000000000001,39705
2022-01-21,BUTTERFLY,1282.0,1325.0,1255.85,1280.3,27569,0.7252,38016
2022-01-24,BUTTERFLY,1272.0,1315.0,1230.1,1253.0,17212,0.7962,36974
2022-01-25,BUTTERFLY,1240.0,1252.4,1190.35,1190.35,18568,0.8081999999999999,22974
2022-01-27,BUTTERFLY,1130.85,1169.9,1130.85,1131.1,35870,0.7519,47704
2022-01-28,BUTTERFLY,1106.0,1182.95,1074.55,1084.6,51900,0.6578,78898
2022-01-31,BUTTERFLY,1100.0,1135.0,1071.0,1106.4,72599,0.833,87150
2022-02-01,BUTTERFLY,1122.0,1122.0,1081.0,1102.8,33542,0.6854000000000001,48936
2022-02-02,BUTTERFLY,1117.9,1117.9,1067.85,1074.5,47184,0.8185,57646
2022-02-03,BUTTERFLY,1085.0,1121.8,1067.2,1102.65,52723,0.7170000000000001,73534
2022-02-04,BUTTERFLY,1125.0,1157.75,1122.0,1157.75,9720,0.9407,10333
2022-02-07,BUTTERFLY,1204.0,1273.5,1158.1,1268.85,158887,0.4118,385839
2022-02-08,BUTTERFLY,1251.1,1270.0,1216.95,1249.4,39348,0.532,73964
2022-02-09,BUTTERFLY,1268.15,1289.0,1250.0,1253.65,36453,0.691,52755
2022-02-10,BUTTERFLY,1280.0,1365.0,1248.7,1339.45,114361,0.506,225996
2022-02-11,BUTTERFLY,1335.0,1399.0,1308.9,1369.45,106125,0.45920000000000005,231115
2022-02-14,BUTTERFLY,1313.3,1345.0,1280.0,1317.15,121046,0.6720999999999999,180109
2022-02-15,BUTTERFLY,1308.1,1364.5,1261.0,1268.25,163337,0.7059000000000001,231403
2022-02-16,BUTTERFLY,1281.0,1330.0,1275.65,1304.3,94408,0.5829,161956
2022-02-17,BUTTERFLY,1315.0,1340.1,1173.9,1173.9,111725,0.5819,191988
2022-02-18,BUTTERFLY,1092.05,1291.25,1065.15,1284.4,177182,0.32920000000000005,538297
2022-02-21,BUTTERFLY,1304.0,1389.9,1255.0,1378.45,294602,0.3847,765845
2022-02-22,BUTTERFLY,1348.0,1400.0,1320.0,1387.2,161249,0.4743,339942
2022-02-23,BUTTERFLY,1399.0,1419.5,1387.25,1397.45,473315,0.5327000000000001,888570
2022-02-24,BUTTERFLY,1362.1,1394.95,1362.1,1381.05,149429,0.5906,253009
2022-02-25,BUTTERFLY,1393.9,1399.0,1369.35,1376.45,263530,0.7827,336687
2022-02-28,BUTTERFLY,1388.0,1390.0,1365.2,1383.0,30081,0.43090000000000006,69811
2022-03-02,BUTTERFLY,1393.5,1393.5,1372.0,1382.4,40959,0.6777,60438
2022-03-03,BUTTERFLY,1390.0,1395.0,1370.0,1370.6,27422,0.6924,39607
2022-03-04,BUTTERFLY,1389.0,1389.0,1365.5,1378.2,27246,0.6132,44436
