Date,symbol,open,high,low,close,deliverable volume,deliverable_percentage,volume
2021-09-01,CAPACITE,150.0,150.45,144.75,146.45,143420,0.6178,232131
2021-09-02,CAPACITE,148.0,158.0,148.0,153.5,507231,0.523,969916
2021-09-03,CAPACITE,154.7,158.35,148.65,149.9,271371,0.5970000000000001,454592
2021-09-06,CAPACITE,151.0,164.85,149.0,164.15,702900,0.34740000000000004,2023086
2021-09-07,CAPACITE,165.5,168.8,159.0,160.6,336887,0.5186,649561
2021-09-08,CAPACITE,161.4,162.6,155.55,158.3,252887,0.7363,343441
2021-09-09,CAPACITE,157.8,163.75,157.0,160.75,152835,0.489,312571
2021-09-13,CAPACITE,163.25,176.8,163.25,169.4,596626,0.4594,1298573
2021-09-14,CAPACITE,170.6,177.65,168.55,172.35,236951,0.4743,499544
2021-09-15,CAPACITE,172.95,175.5,170.0,172.95,221621,0.5344,414741
2021-09-16,CAPACITE,174.1,176.4,172.0,173.25,147285,0.4606,319772
2021-09-17,CAPACITE,173.8,173.8,161.45,167.3,148851,0.4366,340920
2021-09-20,CAPACITE,163.8,164.9,160.2,162.85,234289,0.6034,388285
2021-09-21,CAPACITE,160.0,164.1,158.8,162.7,410370,0.8104000000000001,506384
2021-09-22,CAPACITE,163.2,171.3,163.0,166.1,403848,0.6894,585818
2021-09-23,CAPACITE,167.8,177.0,167.5,170.95,163217,0.374,436446
2021-09-24,CAPACITE,173.45,181.05,170.3,172.2,318344,0.5412,588227
2021-09-27,CAPACITE,173.9,177.1,170.0,171.0,109148,0.5807,187948
2021-09-28,CAPACITE,171.0,171.75,165.0,166.15,108117,0.5555,194646
2021-09-29,CAPACITE,165.0,167.15,163.0,163.35,93040,0.5851,159002
2021-09-30,CAPACITE,164.15,166.85,160.8,162.7,195417,0.6314000000000001,309505
2021-10-01,CAPACITE,163.55,166.45,162.05,164.3,248261,0.638,389142
2021-10-04,CAPACITE,166.0,177.0,165.9,175.2,389077,0.5373,724115
2021-10-05,CAPACITE,173.95,187.3,172.65,184.4,548053,0.5128,1068663
2021-10-06,CAPACITE,185.6,202.0,181.6,184.3,678686,0.584,1162035
2021-10-07,CAPACITE,189.25,196.35,187.7,188.85,254291,0.42240000000000005,601957
2021-10-08,CAPACITE,190.3,204.35,189.95,201.15,451974,0.44420000000000004,1017452
2021-10-11,CAPACITE,201.4,208.25,195.5,199.55,366947,0.5163,710776
2021-10-12,CAPACITE,198.05,204.4,171.3,196.45,239541,0.43590000000000007,549561
2021-10-13,CAPACITE,196.45,198.15,189.0,190.35,162391,0.5639000000000001,287999
2021-10-14,CAPACITE,191.5,196.0,185.0,186.25,206636,0.5686,363404
2021-10-18,CAPACITE,189.7,189.7,182.0,182.85,211768,0.6337,334194
2021-10-19,CAPACITE,187.4,187.4,169.35,173.9,248576,0.5996,414536
2021-10-20,CAPACITE,173.5,174.15,165.15,167.6,211830,0.4805,440814
2021-10-21,CAPACITE,167.0,176.2,166.0,168.95,184572,0.44939999999999997,410734
2021-10-22,CAPACITE,169.65,173.75,165.0,168.25,102939,0.503,204639
2021-10-25,CAPACITE,168.1,169.5,158.6,161.15,143024,0.4965,288085
2021-10-26,CAPACITE,162.7,165.25,157.95,160.15,89580,0.5276,169796
2021-10-27,CAPACITE,161.0,171.8,158.75,168.6,147646,0.4512,327224
2021-10-28,CAPACITE,168.6,168.6,162.6,163.85,60266,0.4168,144586
2021-10-29,CAPACITE,164.5,168.0,158.75,164.35,47356,0.30920000000000003,153152
2021-11-01,CAPACITE,165.0,176.0,164.95,174.0,172365,0.5362,321469
2021-11-02,CAPACITE,176.25,178.0,173.1,176.05,74095,0.5839,126895
2021-11-03,CAPACITE,175.2,180.25,171.7,173.8,108581,0.6249,173759
2021-11-04,CAPACITE,175.2,187.15,175.2,180.95,107048,0.6912,154864
2021-11-08,CAPACITE,181.9,181.9,176.45,178.0,72929,0.5665,128733
2021-11-09,CAPACITE,178.0,181.1,177.05,178.0,63052,0.5858,107629
2021-11-10,CAPACITE,178.0,178.65,175.05,175.75,49457,0.5297,93368
2021-11-11,CAPACITE,175.55,185.0,168.55,172.8,153617,0.371,414022
2021-11-12,CAPACITE,166.95,182.0,166.95,173.65,252255,0.42,600603
