Date,symbol,open,high,low,close,deliverable volume,deliverable_percentage,volume
2021-09-01,CAREERP,169.75,177.8,167.45,168.75,152359,0.3361,453273
2021-09-02,CAREERP,170.8,176.0,165.0,169.05,50809,0.326,155872
2021-09-03,CAREERP,170.2,170.5,166.15,167.95,30324,0.5359,56580
2021-09-06,CAREERP,167.7,170.2,161.8,162.4,40185,0.5418000000000001,74164
2021-09-07,CAREERP,161.3,162.9,160.0,160.2,20573,0.6203000000000001,33164
2021-09-08,CAREERP,162.9,164.9,159.3,160.85,22581,0.43210000000000004,52254
2021-09-09,CAREERP,160.95,168.0,160.9,165.2,42488,0.5071,83778
2021-09-13,CAREERP,165.5,167.3,163.0,163.2,18925,0.562,33673
2021-09-14,CAREERP,162.35,166.0,162.05,162.5,14031,0.5987,23436
2021-09-15,CAREERP,162.65,165.0,160.6,162.15,11614,0.4559,25473
2021-09-16,CAREERP,161.5,163.5,161.0,161.4,18938,0.6246,30320
2021-09-17,CAREERP,163.9,163.9,154.95,156.05,43622,0.7023999999999999,62107
2021-09-20,CAREERP,155.0,158.5,150.0,152.15,22463,0.6509999999999999,34506
2021-09-21,CAREERP,154.0,155.95,150.7,154.65,12416,0.49560000000000004,25054
2021-09-22,CAREERP,152.5,160.0,152.5,156.4,11832,0.6349,18636
2021-09-23,CAREERP,156.4,158.0,153.0,154.2,12891,0.6034,21363
2021-09-24,CAREERP,155.0,169.0,154.05,166.05,83813,0.433,193549
2021-09-27,CAREERP,168.7,174.0,167.2,167.9,87714,0.4986,175925
2021-09-28,CAREERP,166.6,167.55,160.7,162.35,31153,0.5034000000000001,61883
2021-09-29,CAREERP,161.45,166.95,161.05,163.8,37242,0.603,61761
2021-09-30,CAREERP,163.0,165.5,162.0,162.25,15192,0.5639000000000001,26941
2021-10-01,CAREERP,159.2,163.35,159.2,160.15,15599,0.5194,30034
2021-10-04,CAREERP,160.0,164.9,157.05,161.6,17632,0.48100000000000004,36660
2021-10-05,CAREERP,160.95,165.0,158.3,159.1,31677,0.7348,43107
2021-10-06,CAREERP,160.45,162.0,156.65,158.0,17455,0.6333,27561
2021-10-07,CAREERP,159.8,162.05,157.95,160.1,12070,0.4944,24415
2021-10-08,CAREERP,160.1,162.0,159.0,159.05,19138,0.5802,32986
2021-10-11,CAREERP,160.0,160.8,157.8,158.55,12406,0.6097,20347
2021-10-12,CAREERP,157.4,162.2,155.7,158.85,13435,0.39520000000000005,33997
2021-10-13,CAREERP,159.9,159.9,156.65,157.65,9653,0.5283,18273
2021-10-14,CAREERP,157.95,158.0,156.0,156.15,17057,0.6397,26664
2021-10-18,CAREERP,157.0,161.3,152.2,154.9,22484,0.5401,41629
2021-10-19,CAREERP,154.15,157.95,148.9,150.8,26477,0.6445000000000001,41080
2021-10-20,CAREERP,151.8,152.35,138.55,142.8,75477,0.6715000000000001,112408
2021-10-21,CAREERP,144.4,147.6,143.55,145.5,11329,0.5761999999999999,19663
2021-10-22,CAREERP,146.7,146.7,139.85,142.25,13981,0.5516,25344
2021-10-25,CAREERP,143.05,144.15,137.5,138.85,25337,0.7093,35723
2021-10-26,CAREERP,138.5,146.7,138.5,144.1,14630,0.3712,39415
2021-10-27,CAREERP,144.45,148.75,141.4,142.7,6122,0.28350000000000003,21598
2021-10-28,CAREERP,143.5,143.5,139.1,139.65,20734,0.7690000000000001,26964
2021-10-29,CAREERP,140.65,143.35,138.5,140.0,8330,0.5631,14793
2021-11-01,CAREERP,140.25,142.35,140.0,140.3,6118,0.6414,9538
2021-11-02,CAREERP,140.95,144.0,138.65,140.8,10554,0.6545000000000001,16125
2021-11-03,CAREERP,143.5,143.5,139.05,140.4,7564,0.613,12339
2021-11-04,CAREERP,140.95,142.9,140.95,141.85,8372,0.858,9758
2021-11-08,CAREERP,142.0,148.0,140.15,146.2,19266,0.5633,34199
2021-11-09,CAREERP,147.45,153.0,147.45,150.0,37669,0.4241,88814
2021-11-10,CAREERP,150.0,151.5,148.35,149.6,9926,0.5712,17377
2021-11-11,CAREERP,149.1,154.0,146.75,151.5,13264,0.7232,18340
2021-11-12,CAREERP,153.9,154.9,150.05,150.95,13779,0.6029,22854
2021-11-15,CAREERP,148.0,153.0,143.0,147.35,25309,0.5497,46038
2021-11-16,CAREERP,146.5,148.45,143.3,143.95,10091,0.4581,22030
2021-11-17,CAREERP,144.8,146.2,141.55,142.35,9597,0.6082,15779
2021-11-18,CAREERP,142.3,147.0,141.05,144.45,15866,0.6865000000000001,23111
2021-11-22,CAREERP,147.0,147.0,138.0,138.65,15117,0.605,24986
2021-11-23,CAREERP,140.0,140.45,138.1,139.75,13971,0.5822999999999999,23992
2021-11-24,CAREERP,139.75,144.7,138.15,139.8,52011,0.6612,78663
2021-11-25,CAREERP,140.75,145.25,138.4,142.4,23429,0.6920000000000001,33859
2021-11-26,CAREERP,141.8,142.2,137.0,137.45,38010,0.7733,49152
