Date,symbol,open,high,low,close,deliverable volume,deliverable_percentage,volume
2021-09-01,CENTENKA,434.4,448.4,430.65,439.3,28746,0.5332,53909
2021-09-02,CENTENKA,441.45,460.0,440.3,456.8,66532,0.3735,178147
2021-09-03,CENTENKA,459.0,468.0,449.5,451.9,23668,0.5212,45408
2021-09-06,CENTENKA,456.5,459.6,431.3,438.95,43428,0.6065,71599
2021-09-07,CENTENKA,438.95,441.95,431.35,432.55,19573,0.6042000000000001,32397
2021-09-08,CENTENKA,437.5,454.0,437.45,445.6,43706,0.3641,120035
2021-09-09,CENTENKA,445.4,450.05,433.6,439.0,24344,0.5751,42329
2021-09-13,CENTENKA,435.5,445.0,432.35,442.0,24878,0.5715,43529
2021-09-14,CENTENKA,442.0,467.45,442.0,454.95,46575,0.4825,96531
2021-09-15,CENTENKA,458.9,466.0,451.0,454.9,40635,0.6651,61098
2021-09-16,CENTENKA,454.9,474.75,452.2,462.0,56732,0.5363,105783
2021-09-17,CENTENKA,463.95,468.0,450.1,456.7,34409,0.5798,59342
2021-09-20,CENTENKA,459.9,464.8,438.7,440.8,44980,0.5972,75320
2021-09-21,CENTENKA,438.0,445.7,430.0,438.7,27872,0.5798,48074
2021-09-22,CENTENKA,443.7,456.0,438.05,447.05,29576,0.5494,53829
2021-09-23,CENTENKA,450.7,461.95,442.2,447.45,75372,0.6245,120690
2021-09-24,CENTENKA,450.1,457.9,442.0,448.2,33357,0.5044,66127
2021-09-27,CENTENKA,452.25,458.0,442.8,447.5,36316,0.6117,59373
2021-09-28,CENTENKA,447.45,449.95,438.0,444.45,22329,0.5758,38778
2021-09-29,CENTENKA,444.25,451.2,442.2,445.6,9174,0.5651,16234
2021-09-30,CENTENKA,447.65,453.0,443.6,445.5,24030,0.6254,38421
2021-10-01,CENTENKA,445.5,457.15,438.25,455.7,44032,0.5994,73465
2021-10-04,CENTENKA,463.0,469.0,451.5,455.35,70769,0.6426999999999999,110114
2021-10-05,CENTENKA,456.0,464.0,453.15,461.05,22644,0.6563,34504
2021-10-06,CENTENKA,464.0,485.3,464.0,469.1,59763,0.5650000000000001,105779
2021-10-07,CENTENKA,473.65,480.0,465.5,467.55,22568,0.6413,35189
2021-10-08,CENTENKA,473.0,475.0,461.9,463.15,17532,0.5967,29380
2021-10-11,CENTENKA,475.0,477.0,461.7,465.45,56789,0.7503000000000001,75690
2021-10-12,CENTENKA,470.0,480.0,469.7,473.7,22372,0.5299,42219
2021-10-13,CENTENKA,476.35,485.0,463.0,465.95,41712,0.6752,61773
2021-10-14,CENTENKA,465.95,469.9,455.9,459.2,31290,0.6778000000000001,46166
2021-10-18,CENTENKA,460.0,470.0,455.0,457.2,26370,0.6797,38799
2021-10-19,CENTENKA,457.2,473.0,445.0,452.75,41219,0.6313000000000001,65291
2021-10-20,CENTENKA,453.0,463.85,444.25,446.75,29996,0.5258,57052
