Date,symbol,open,high,low,close,deliverable volume,deliverable_percentage,volume
2021-09-01,CENTRUM,36.1,36.3,34.75,35.0,416268,0.68,612198
2021-09-02,CENTRUM,34.9,35.25,34.6,34.8,179415,0.5376,333723
2021-09-03,CENTRUM,35.15,35.75,34.8,35.05,214527,0.5908,363143
2021-09-06,CENTRUM,35.05,35.25,34.55,35.05,212258,0.5583,380157
2021-09-07,CENTRUM,35.2,35.2,33.05,34.05,312557,0.4082,765757
2021-09-08,CENTRUM,34.25,34.65,33.75,34.25,128062,0.4186,305918
2021-09-09,CENTRUM,34.0,35.25,34.0,34.9,237764,0.5956,399188
2021-09-13,CENTRUM,34.9,35.8,34.6,34.85,229125,0.5511,415769
2021-09-14,CENTRUM,35.15,35.45,34.5,35.0,275073,0.606,453890
2021-09-15,CENTRUM,35.25,36.1,34.85,35.2,190456,0.6365999999999999,299192
2021-09-16,CENTRUM,35.35,35.8,34.45,34.85,214679,0.5660000000000001,379292
2021-09-17,CENTRUM,35.2,35.2,33.85,34.05,164502,0.5531,297440
2021-09-20,CENTRUM,33.7,34.0,32.8,33.4,171378,0.6703,255690
2021-09-21,CENTRUM,33.0,34.25,32.5,33.85,232686,0.4631,502446
2021-09-22,CENTRUM,34.0,34.0,32.3,32.7,524006,0.5716,916753
2021-09-23,CENTRUM,33.35,33.7,32.8,33.05,234692,0.5675,413567
2021-09-24,CENTRUM,33.05,33.35,32.15,32.4,324121,0.538,602500
2021-09-27,CENTRUM,32.5,33.15,32.05,32.15,326948,0.5817,562057
2021-09-28,CENTRUM,32.15,32.8,31.5,31.75,335831,0.5643,595122
2021-09-29,CENTRUM,31.8,33.25,31.5,32.05,468793,0.49820000000000003,940985
2021-09-30,CENTRUM,32.15,32.4,31.25,31.4,383122,0.6586,581732
2021-10-01,CENTRUM,30.5,31.7,29.7,30.15,673109,0.6544,1028541
2021-10-04,CENTRUM,30.15,36.15,30.15,36.15,1778828,0.4806,3701159
2021-10-05,CENTRUM,37.0,40.75,36.85,38.85,1772336,0.4562,3884901
2021-10-06,CENTRUM,39.35,40.35,37.9,38.65,666748,0.48119999999999996,1385457
2021-10-07,CENTRUM,39.5,39.5,37.55,38.15,395730,0.5272,750651
2021-10-08,CENTRUM,38.4,42.25,37.5,40.75,1494113,0.3381,4419311
2021-10-11,CENTRUM,42.75,42.9,40.5,40.9,1030390,0.5683,1813027
2021-10-12,CENTRUM,40.5,40.9,39.6,40.0,323891,0.5598,578557
2021-10-13,CENTRUM,47.85,47.9,44.35,45.1,4209923,0.5025000000000001,8377944
2021-10-14,CENTRUM,45.5,46.2,43.5,43.75,1034468,0.6204999999999999,1667093
2021-10-18,CENTRUM,44.0,45.0,42.05,44.25,915097,0.668,1369988
2021-10-19,CENTRUM,44.3,45.5,42.45,43.05,601112,0.5622,1069196
2021-10-20,CENTRUM,42.7,43.45,41.2,41.7,426283,0.5166,825095
2021-10-21,CENTRUM,42.0,42.7,41.7,41.85,219418,0.37579999999999997,583942
2021-10-22,CENTRUM,42.25,42.7,39.65,40.2,430665,0.501,859695
2021-10-25,CENTRUM,40.3,40.45,38.85,39.3,355544,0.5505,645911
2021-10-26,CENTRUM,39.35,47.0,39.35,40.6,441973,0.44530000000000003,992614
2021-10-27,CENTRUM,41.05,43.35,40.95,42.25,410742,0.5522,743865
2021-10-28,CENTRUM,42.5,42.7,40.85,41.15,246110,0.5677000000000001,433493
2021-10-29,CENTRUM,40.5,40.95,39.45,39.95,233738,0.47850000000000004,488484
2021-11-01,CENTRUM,40.0,42.6,40.0,41.65,370382,0.5573,664545
2021-11-02,CENTRUM,42.6,43.0,41.65,42.0,319610,0.6114,522745
2021-11-03,CENTRUM,42.25,42.8,41.3,41.8,260182,0.6539,397870
2021-11-04,CENTRUM,41.05,42.05,40.0,41.65,153697,0.46770000000000006,328652
2021-11-08,CENTRUM,41.6,41.95,40.5,40.85,167131,0.5739,291212
2021-11-09,CENTRUM,40.85,42.05,40.3,40.6,254548,0.5655,450133
2021-11-10,CENTRUM,41.0,41.0,40.1,40.2,164894,0.5663,291179
2021-11-11,CENTRUM,40.5,40.5,38.5,39.2,190795,0.6534000000000001,292000
2021-11-12,CENTRUM,39.3,39.7,38.3,38.45,216280,0.5891,367150
2021-11-15,CENTRUM,38.6,39.4,37.0,37.55,313888,0.626,501415
2021-11-16,CENTRUM,37.75,38.05,37.15,37.45,126191,0.5371,234948
2021-11-17,CENTRUM,37.3,43.15,37.05,39.7,671992,0.4866,1380894
2021-11-18,CENTRUM,40.1,40.4,37.95,38.25,250693,0.4583,547053
2021-11-22,CENTRUM,38.25,38.7,35.1,35.65,427780,0.6331,675724
2021-11-23,CENTRUM,36.7,39.1,36.25,37.05,327072,0.37520000000000003,871645
2021-11-24,CENTRUM,37.6,38.5,37.15,37.85,418156,0.6511,642278
2021-11-25,CENTRUM,38.1,38.2,36.95,37.65,200242,0.5102,392456
2021-11-26,CENTRUM,37.3,38.9,36.35,36.95,462573,0.47159999999999996,980820
2021-11-29,CENTRUM,37.95,37.95,35.0,35.85,435263,0.5035000000000001,864423
2021-11-30,CENTRUM,36.25,36.6,34.35,34.7,276974,0.5195000000000001,533130
2021-12-01,CENTRUM,35.2,35.45,34.2,34.4,172769,0.5287,326760
2021-12-02,CENTRUM,34.7,35.7,34.25,34.65,224494,0.5895,380801
2021-12-03,CENTRUM,34.8,36.6,34.2,34.7,220120,0.3208,686221
2021-12-06,CENTRUM,35.05,35.05,34.0,34.2,134485,0.4756,282789
2021-12-07,CENTRUM,34.85,35.0,34.0,34.35,181655,0.596,304811
2021-12-08,CENTRUM,35.05,35.05,34.2,34.4,218335,0.6559999999999999,332846
2021-12-09,CENTRUM,34.2,36.1,34.2,35.25,264671,0.3754,705103
2021-12-10,CENTRUM,35.65,36.4,35.45,35.95,618092,0.5972,1034901
2021-12-13,CENTRUM,36.7,36.7,35.15,35.4,170469,0.5661,301147
2021-12-14,CENTRUM,35.0,35.65,33.9,34.25,363317,0.5441,667788
2021-12-15,CENTRUM,34.4,34.7,33.9,34.15,261437,0.5503,475084
2021-12-16,CENTRUM,34.25,34.7,33.65,33.9,181912,0.6053000000000001,300555
2021-12-17,CENTRUM,33.5,34.15,32.1,32.75,174231,0.5406000000000001,322310
2021-12-20,CENTRUM,31.2,32.1,31.2,31.9,172064,0.5750000000000001,299259
2021-12-21,CENTRUM,32.0,32.95,31.8,32.4,381881,0.48600000000000004,785835
2021-12-22,CENTRUM,33.2,33.35,31.4,31.7,289513,0.5865,493636
2021-12-23,CENTRUM,31.75,32.25,31.35,31.55,159962,0.40850000000000003,391590
2021-12-24,CENTRUM,31.85,32.15,31.0,31.4,134554,0.539,249636
2021-12-27,CENTRUM,31.75,31.75,30.7,30.9,324480,0.46990000000000004,690590
2021-12-28,CENTRUM,31.3,34.75,30.95,33.1,1164081,0.3719,3129776
2021-12-29,CENTRUM,33.25,33.45,32.25,32.75,166796,0.40490000000000004,411964
2021-12-30,CENTRUM,32.8,33.25,32.05,32.2,224931,0.5711,393859
2021-12-31,CENTRUM,32.75,32.75,32.0,32.1,180652,0.6209,290949
2022-01-03,CENTRUM,32.3,32.65,32.15,32.45,178047,0.5948,299317
2022-01-04,CENTRUM,32.45,34.3,32.45,33.1,648777,0.5254,1234846
2022-01-05,CENTRUM,33.2,33.4,32.6,32.8,239696,0.559,428761
2022-01-06,CENTRUM,32.75,34.1,31.95,33.5,220131,0.2197,1002066
2022-01-07,CENTRUM,33.35,33.5,32.8,32.9,228913,0.6153000000000001,372058
2022-01-10,CENTRUM,32.9,36.0,32.75,34.8,1119184,0.46590000000000004,2402408
2022-01-11,CENTRUM,34.9,36.45,34.3,35.1,1337261,0.5124000000000001,2609852
2022-01-12,CENTRUM,35.7,35.95,34.6,34.75,306474,0.5794,528969
2022-01-13,CENTRUM,34.95,36.0,34.65,35.35,654582,0.326,2008150
