Date,symbol,open,high,low,close,deliverable volume,deliverable_percentage,volume
2021-09-01,CENTUM,480.0,485.5,469.9,471.45,1345,0.6933,1940
2021-09-02,CENTUM,473.9,479.3,470.0,472.05,675,0.6038,1118
2021-09-03,CENTUM,485.0,488.0,471.0,478.2,2898,0.4448,6515
2021-09-06,CENTUM,476.0,489.8,476.0,476.45,2584,0.6522,3962
2021-09-07,CENTUM,481.3,486.5,460.35,465.75,1781,0.5677000000000001,3137
2021-09-08,CENTUM,465.0,475.0,462.0,465.45,1864,0.7058,2641
2021-09-09,CENTUM,469.0,474.0,460.0,465.75,1890,0.6385000000000001,2960
2021-09-13,CENTUM,466.7,466.7,450.25,456.95,2659,0.4501,5908
2021-09-14,CENTUM,472.5,474.0,460.0,464.5,1640,0.6269,2616
2021-09-15,CENTUM,463.1,557.4,463.1,540.6,83212,0.43979999999999997,189208
2021-09-16,CENTUM,538.0,542.8,507.0,514.55,23834,0.5139,46381
2021-09-17,CENTUM,519.95,519.95,476.15,495.1,13100,0.5761000000000001,22738
2021-09-20,CENTUM,472.65,493.65,471.15,473.7,9643,0.5309,18164
2021-09-21,CENTUM,482.95,540.0,467.1,509.65,31386,0.2468,127191
2021-09-22,CENTUM,507.0,532.0,500.0,514.5,11608,0.4097,28334
2021-09-23,CENTUM,514.5,525.05,495.0,499.95,17351,0.6072,28577
2021-09-24,CENTUM,504.85,510.4,497.05,498.35,6009,0.5738000000000001,10473
2021-09-27,CENTUM,500.95,500.95,491.95,497.7,2868,0.5092,5632
2021-09-28,CENTUM,504.65,506.75,490.0,493.05,3356,0.44810000000000005,7489
2021-09-29,CENTUM,483.25,500.0,483.25,488.9,1456,0.4612,3157
2021-09-30,CENTUM,486.2,489.1,471.0,472.65,11855,0.4925,24072
2021-10-01,CENTUM,487.0,491.35,470.0,483.1,3093,0.4571,6767
2021-10-04,CENTUM,483.35,493.0,477.0,479.15,4825,0.7317,6594
2021-10-05,CENTUM,484.8,574.95,481.0,546.95,78993,0.2464,320635
2021-10-06,CENTUM,554.5,559.0,510.05,517.35,18185,0.3933,46242
2021-10-07,CENTUM,522.4,528.95,495.0,515.0,10235,0.40590000000000004,25218
2021-10-08,CENTUM,522.6,528.0,501.1,507.95,8712,0.43229999999999996,20155
2021-10-11,CENTUM,512.55,565.0,500.1,543.15,27407,0.38439999999999996,71306
2021-10-12,CENTUM,541.75,548.0,524.0,529.25,4290,0.4648,9229
2021-10-13,CENTUM,536.95,536.95,512.8,529.35,8465,0.35119999999999996,24104
2021-10-14,CENTUM,534.75,555.0,519.0,541.5,7658,0.543,14102
2021-10-18,CENTUM,545.95,572.25,545.05,549.5,29346,0.7070000000000001,41506
2021-10-19,CENTUM,550.0,615.0,542.9,576.35,47341,0.335,141299
2021-10-20,CENTUM,570.0,593.45,549.0,556.3,10912,0.40590000000000004,26884
2021-10-21,CENTUM,562.45,578.8,551.05,553.0,11192,0.46799999999999997,23913
2021-10-22,CENTUM,570.0,570.0,531.35,538.55,13467,0.6325999999999999,21290
2021-10-25,CENTUM,536.0,550.0,507.5,519.2,14304,0.5461,26193
2021-10-26,CENTUM,535.25,548.8,519.25,525.65,18606,0.6975,26676
2021-10-27,CENTUM,531.45,542.25,531.15,535.45,2611,0.4978,5245
2021-10-28,CENTUM,539.4,539.4,531.15,535.7,3793,0.6527,5811
2021-10-29,CENTUM,535.6,544.95,520.0,538.45,6172,0.4878,12653
2021-11-01,CENTUM,538.45,581.0,538.45,571.0,15917,0.7048000000000001,22584
2021-11-02,CENTUM,576.6,622.0,559.6,606.35,55933,0.5388000000000001,103805
2021-11-03,CENTUM,601.0,622.0,586.9,600.0,10876,0.4683,23222
2021-11-04,CENTUM,598.0,612.25,585.0,607.3,5484,0.711,7713
2021-11-08,CENTUM,607.3,643.5,585.3,621.3,24221,0.4071,59491
2021-11-09,CENTUM,612.0,630.65,590.0,595.75,7482,0.2669,28030
2021-11-10,CENTUM,595.5,606.4,588.1,597.25,5592,0.5468999999999999,10224
2021-11-11,CENTUM,590.5,590.5,555.1,571.3,22270,0.6215,35835
2021-11-12,CENTUM,565.0,594.65,551.3,564.9,11984,0.6448,18587
2021-11-15,CENTUM,573.0,573.0,555.1,556.7,3852,0.4164,9250
2021-11-16,CENTUM,557.0,572.0,551.15,554.9,4796,0.4878,9831
2021-11-17,CENTUM,571.55,571.55,539.05,542.8,4463,0.5568,8016
2021-11-18,CENTUM,550.0,564.75,534.3,550.35,4016,0.44530000000000003,9019
2021-11-22,CENTUM,555.0,586.7,536.3,543.8,5222,0.44320000000000004,11783
2021-11-23,CENTUM,542.0,553.6,533.8,538.75,2060,0.5075000000000001,4059
2021-11-24,CENTUM,531.2,560.3,525.4,530.4,5944,0.5465,10876
2021-11-25,CENTUM,540.0,540.0,525.55,530.65,9568,0.7645000000000001,12516
2021-11-26,CENTUM,521.1,532.8,512.85,519.35,9220,0.6975,13219
2021-11-29,CENTUM,510.1,550.75,504.0,534.1,14129,0.4985,28344
2021-11-30,CENTUM,540.0,554.2,525.0,538.05,6466,0.5196000000000001,12443
