Date,symbol,open,high,low,close,deliverable volume,deliverable_percentage,volume
2021-09-01,CERA,4447.4,4479.2,4350.0,4358.15,8546,0.5948,14367
2021-09-02,CERA,4364.0,4388.0,4191.75,4211.2,19317,0.6005,32170
2021-09-03,CERA,4259.0,4357.95,4253.0,4346.5,10109,0.4554,22197
2021-09-06,CERA,4346.5,4365.0,4295.05,4306.75,6321,0.5337,11844
2021-09-07,CERA,4295.05,4383.0,4280.0,4304.75,5351,0.4228,12657
2021-09-08,CERA,4290.0,4438.35,4290.0,4408.25,25282,0.6545000000000001,38628
2021-09-09,CERA,4400.0,4420.0,4346.3,4357.35,3211,0.5861999999999999,5478
2021-09-13,CERA,4356.0,4450.0,4300.0,4436.3,28370,0.7966,35613
2021-09-14,CERA,4413.0,4470.0,4386.2,4453.65,4076,0.4913,8297
2021-09-15,CERA,4475.95,4475.95,4415.0,4427.95,1559,0.513,3039
2021-09-16,CERA,4427.95,4433.55,4378.0,4399.45,2425,0.5727000000000001,4234
2021-09-17,CERA,4415.0,4568.0,4348.85,4478.4,12314,0.3987,30887
2021-09-20,CERA,4470.0,4475.0,4400.0,4427.75,2736,0.6011,4552
2021-09-21,CERA,4417.75,4520.0,4385.0,4465.0,5740,0.38520000000000004,14903
2021-09-22,CERA,4475.0,4600.0,4425.0,4584.9,5734,0.498,11515
2021-09-23,CERA,4614.9,4618.0,4561.45,4587.65,2256,0.5059,4459
2021-09-24,CERA,4610.6,5070.0,4604.25,4990.4,20826,0.2479,84015
2021-09-27,CERA,5160.0,5187.25,4882.25,5090.55,11591,0.20989999999999998,55212
2021-09-28,CERA,5045.1,5700.0,5018.0,5397.2,33597,0.1404,239359
2021-09-29,CERA,5368.95,5585.0,5310.0,5452.75,11364,0.1812,62698
2021-09-30,CERA,5530.0,5530.0,5222.0,5260.6,8609,0.2555,33690
2021-10-01,CERA,5260.6,5316.8,5110.0,5162.95,5274,0.33890000000000003,15560
2021-10-04,CERA,5208.0,5266.35,5155.05,5247.7,4137,0.294,14073
2021-10-05,CERA,5250.0,5369.0,5247.95,5304.7,1996,0.271,7366
2021-10-06,CERA,5350.0,5350.0,5200.0,5231.0,2830,0.4708,6011
2021-10-07,CERA,5235.0,5337.4,5218.15,5261.65,1905,0.3766,5058
2021-10-08,CERA,5270.0,5291.3,5250.2,5263.5,1630,0.5962,2734
2021-10-11,CERA,5290.0,5639.45,5200.0,5481.1,6421,0.25260000000000005,25421
2021-10-12,CERA,5467.1,5528.9,5381.95,5412.15,1499,0.33159999999999995,4520
2021-10-13,CERA,5428.9,5630.0,5415.35,5587.75,8251,0.3064,26931
2021-10-14,CERA,5600.0,5699.0,5538.3,5606.6,2525,0.37560000000000004,6723
2021-10-18,CERA,5634.65,6391.5,5610.6,6201.0,19921,0.21239999999999998,93780
2021-10-19,CERA,6264.0,6450.0,6206.0,6302.5,12677,0.31170000000000003,40665
2021-10-20,CERA,6000.0,6142.95,5625.0,5687.7,53032,0.6591,80466
2021-10-21,CERA,5750.3,5850.0,5450.25,5497.5,3521,0.2157,16324
2021-10-22,CERA,5525.0,5580.0,5325.0,5395.75,4117,0.3525,11680
2021-10-25,CERA,5362.0,5424.1,5030.0,5237.85,6878,0.33799999999999997,20351
2021-10-26,CERA,5201.0,5944.9,5182.15,5302.05,18933,0.1784,106142
2021-10-27,CERA,5275.0,5511.0,5268.0,5471.9,7228,0.34630000000000005,20874
2021-10-28,CERA,5550.0,5574.8,5281.0,5347.75,4347,0.44520000000000004,9764
2021-10-29,CERA,5345.0,5347.75,5135.05,5183.05,5426,0.4573,11865
2021-11-01,CERA,5200.0,5570.0,5200.0,5460.4,6536,0.2547,25663
2021-11-02,CERA,5537.95,5624.0,5460.4,5519.25,4008,0.3261,12292
2021-11-03,CERA,5546.2,5546.25,5408.75,5509.85,7222,0.5671,12736
2021-11-04,CERA,5540.0,5541.05,5454.55,5517.2,854,0.5304,1610
2021-11-08,CERA,5556.0,5561.95,5460.05,5493.7,1010,0.4455,2267
2021-11-09,CERA,5555.0,5645.0,5349.9,5416.2,2952,0.41409999999999997,7129
