Date,symbol,open,high,low,close,deliverable volume,deliverable_percentage,volume
2021-09-01,CESC,807.0,819.0,806.55,812.6,261936,0.5556,471429
2021-09-02,CESC,813.5,824.9,812.85,820.7,218935,0.5722,382610
2021-09-03,CESC,823.0,836.0,817.1,829.4,284286,0.5521,514908
2021-09-06,CESC,834.65,849.9,830.6,837.65,163399,0.3985,410018
2021-09-07,CESC,839.85,847.4,824.15,833.85,215670,0.45299999999999996,476080
2021-09-08,CESC,837.9,840.05,827.5,829.95,82708,0.42119999999999996,196379
2021-09-09,CESC,829.9,835.65,823.0,828.75,99540,0.46590000000000004,213665
2021-09-13,CESC,834.0,843.55,830.45,838.25,168619,0.467,361052
2021-09-14,CESC,840.0,894.0,839.0,880.85,525179,0.34049999999999997,1542468
2021-09-15,CESC,886.4,900.0,871.0,880.35,529610,0.3957,1338271
2021-09-16,CESC,887.85,890.75,872.65,882.05,552519,0.6059,911923
2021-09-17,CESC,89.4,96.9,88.2,92.2,6050125,0.3589,16859161
2021-09-20,CESC,92.7,94.55,91.95,92.95,2363695,0.3887,6080755
2021-09-21,CESC,92.5,92.85,87.6,88.85,2331454,0.4491,5191014
2021-09-22,CESC,90.0,90.0,85.75,85.95,3134616,0.5283,5932959
2021-09-23,CESC,86.6,87.9,85.8,86.15,2368132,0.4927,4806374
2021-09-24,CESC,86.6,87.0,83.45,84.1,2238540,0.4966,4508144
2021-09-27,CESC,84.85,86.35,81.6,82.45,2009869,0.40030000000000004,5020631
2021-09-28,CESC,82.85,84.1,81.55,82.3,1697871,0.37200000000000005,4564412
2021-09-29,CESC,81.9,88.2,81.5,86.65,6479187,0.34090000000000004,19006357
2021-09-30,CESC,86.9,92.0,86.9,91.55,5529254,0.36840000000000006,15009512
2021-10-01,CESC,91.5,92.4,88.5,91.4,5923044,0.3114,19023158
2021-10-04,CESC,92.25,94.35,91.6,92.15,5185127,0.4097,12656400
2021-10-05,CESC,92.6,94.2,92.3,93.0,3621769,0.4523,8007115
2021-10-06,CESC,93.5,94.45,91.05,91.4,3153449,0.4773,6606431
2021-10-07,CESC,92.35,93.1,88.7,89.25,3080711,0.5182,5944727
2021-10-08,CESC,90.2,90.4,88.5,88.7,1923170,0.554,3471596
2021-10-11,CESC,88.8,92.1,88.75,90.05,1957386,0.445,4398920
2021-10-12,CESC,90.0,91.7,89.4,90.25,2451524,0.4822,5083616
2021-10-13,CESC,90.9,92.15,90.6,91.4,2746619,0.5952000000000001,4614308
2021-10-14,CESC,91.85,96.4,91.1,93.75,4583561,0.4421,10368276
2021-10-18,CESC,94.6,99.7,93.1,98.35,6156381,0.3507,17555109
2021-10-19,CESC,98.9,102.45,93.85,96.05,7698135,0.3483,22100504
2021-10-20,CESC,96.05,98.0,93.0,93.35,2895474,0.4434,6530686
2021-10-21,CESC,94.0,95.9,92.0,94.6,4751461,0.628,7565972
2021-10-22,CESC,95.0,95.7,92.4,93.0,1995541,0.5175,3856056
2021-10-25,CESC,93.3,93.7,89.35,90.9,1541773,0.4686,3290242
2021-10-26,CESC,91.25,93.4,91.0,91.95,1422677,0.49340000000000006,2883395
2021-10-27,CESC,92.4,93.25,89.9,90.15,1846022,0.613,3011494
2021-10-28,CESC,90.0,90.55,89.0,89.25,2140554,0.6418,3335094
2021-10-29,CESC,88.9,89.1,86.45,87.2,2221691,0.5901,3764862
2021-11-01,CESC,87.65,89.75,86.75,88.2,1619394,0.5888,2750210
