Date,symbol,open,high,low,close,deliverable volume,deliverable_percentage,volume
2021-09-01,CIGNITITEC,541.0,543.8,524.4,528.9,27818,0.5201,53481
2021-09-02,CIGNITITEC,530.75,539.9,525.05,530.95,25182,0.5523,45595
2021-09-03,CIGNITITEC,534.95,538.85,528.65,532.0,19367,0.5017,38600
2021-09-06,CIGNITITEC,529.6,571.6,529.6,566.25,106113,0.4604,230492
2021-09-07,CIGNITITEC,572.7,575.65,560.1,567.2,64142,0.4619,138853
2021-09-08,CIGNITITEC,571.7,584.85,563.9,571.3,66175,0.38549999999999995,171674
2021-09-09,CIGNITITEC,578.95,590.0,568.95,574.3,56369,0.3566,158083
2021-09-13,CIGNITITEC,580.65,584.85,572.0,576.25,53284,0.5311,100321
2021-09-14,CIGNITITEC,579.0,584.8,572.0,579.1,55857,0.5301,105368
2021-09-15,CIGNITITEC,585.65,586.9,572.0,574.65,93567,0.668,140068
2021-09-16,CIGNITITEC,575.0,577.05,554.0,563.35,56294,0.653,86210
2021-09-17,CIGNITITEC,569.0,573.9,544.0,569.6,59493,0.6092000000000001,97661
2021-09-20,CIGNITITEC,560.0,568.0,545.3,550.65,29151,0.5856,49777
2021-09-21,CIGNITITEC,559.9,559.9,537.95,546.95,13921,0.42710000000000004,32598
2021-09-22,CIGNITITEC,548.2,564.85,546.3,561.05,36413,0.5876,61968
2021-09-23,CIGNITITEC,562.0,563.15,551.1,552.9,30169,0.6505,46379
2021-09-24,CIGNITITEC,552.95,562.0,551.15,553.25,50244,0.6946,72335
2021-09-27,CIGNITITEC,553.5,576.0,546.0,572.2,61017,0.4961,122994
2021-09-28,CIGNITITEC,575.0,597.8,565.5,590.35,132915,0.5129,259166
2021-09-29,CIGNITITEC,599.0,615.0,585.0,609.7,123111,0.4472,275301
2021-09-30,CIGNITITEC,610.0,618.4,605.4,611.3,65256,0.5247999999999999,124347
2021-10-01,CIGNITITEC,607.0,614.0,599.05,605.55,42042,0.5241,80215
2021-10-04,CIGNITITEC,608.6,608.6,586.6,597.35,63024,0.5402,116659
2021-10-05,CIGNITITEC,594.0,603.25,574.6,584.6,53650,0.4852,110562
2021-10-06,CIGNITITEC,593.8,609.9,577.05,600.6,68055,0.5534,122977
2021-10-07,CIGNITITEC,612.0,612.0,590.0,591.95,53824,0.23500000000000001,229065
2021-10-08,CIGNITITEC,590.1,632.0,590.1,626.4,171114,0.3542,483118
2021-10-11,CIGNITITEC,630.45,646.5,623.0,634.9,139204,0.5161,269712
2021-10-12,CIGNITITEC,637.85,639.0,618.05,622.3,50953,0.3088,165011
2021-10-13,CIGNITITEC,622.3,630.7,614.0,617.15,49933,0.5692,87727
2021-10-14,CIGNITITEC,622.2,627.9,601.7,615.0,54823,0.32270000000000004,169877
2021-10-18,CIGNITITEC,624.0,624.0,602.1,603.95,40515,0.36479999999999996,111069
2021-10-19,CIGNITITEC,607.0,617.0,591.1,597.35,44976,0.4596,97853
2021-10-20,CIGNITITEC,603.35,609.0,570.9,603.8,73290,0.3935,186231
2021-10-21,CIGNITITEC,610.0,614.8,582.0,598.45,48346,0.34270000000000006,141072
2021-10-22,CIGNITITEC,589.0,595.15,556.25,589.85,138514,0.45270000000000005,305992
2021-10-25,CIGNITITEC,592.8,609.0,578.85,585.15,78229,0.691,113207
2021-10-26,CIGNITITEC,581.1,608.3,581.1,605.1,117530,0.5640999999999999,208336
2021-10-27,CIGNITITEC,604.65,609.0,590.1,594.55,50144,0.5671,88425
2021-10-28,CIGNITITEC,595.0,599.35,582.5,587.45,60131,0.5229,115003
2021-10-29,CIGNITITEC,587.45,601.05,577.0,598.25,88485,0.6596,134157
2021-11-01,CIGNITITEC,600.0,616.0,586.05,611.5,122403,0.6241,196113
2021-11-02,CIGNITITEC,616.0,643.5,611.55,634.1,177485,0.616,288135
2021-11-03,CIGNITITEC,640.0,652.0,621.1,627.9,129654,0.4932,262902
2021-11-04,CIGNITITEC,630.0,638.0,628.7,635.55,29276,0.8176000000000001,35809
2021-11-08,CIGNITITEC,632.0,643.0,621.6,634.25,53890,0.5001,107768
2021-11-09,CIGNITITEC,635.1,654.0,629.1,645.85,136588,0.6118,223260
2021-11-10,CIGNITITEC,645.0,657.0,641.1,649.55,89761,0.5179,173322
2021-11-11,CIGNITITEC,644.6,658.0,634.95,654.0,61058,0.4814,126829
2021-11-12,CIGNITITEC,656.6,664.8,637.05,658.6,73644,0.41630000000000006,176907
2021-11-15,CIGNITITEC,660.0,670.8,647.2,654.4,65664,0.4169,157512
2021-11-16,CIGNITITEC,656.0,657.1,625.9,631.45,77188,0.46630000000000005,165535
2021-11-17,CIGNITITEC,632.35,637.8,612.2,620.65,49705,0.5437,91427
2021-11-18,CIGNITITEC,617.9,625.25,603.0,613.7,53921,0.4065,132648
2021-11-22,CIGNITITEC,615.0,635.9,586.0,615.5,62982,0.4459,141248
2021-11-23,CIGNITITEC,614.0,625.0,603.0,614.9,52502,0.3787,138639
2021-11-24,CIGNITITEC,615.0,641.0,614.9,625.05,73346,0.679,108027
2021-11-25,CIGNITITEC,625.05,645.0,611.0,620.8,94223,0.4697,200596
2021-11-26,CIGNITITEC,610.6,627.75,601.95,608.4,59452,0.5997,99132
2021-11-29,CIGNITITEC,607.0,607.0,575.0,583.45,58451,0.6606000000000001,88480
2021-11-30,CIGNITITEC,584.9,605.0,584.9,588.55,56694,0.6413,88407
2021-12-01,CIGNITITEC,591.5,599.95,585.95,591.9,13806,0.5177,26670
2021-12-02,CIGNITITEC,582.2,598.0,582.2,589.4,8326,0.49590000000000006,16788
2021-12-03,CIGNITITEC,586.0,593.0,585.5,587.9,11491,0.5937,19354
2021-12-06,CIGNITITEC,590.0,595.85,581.0,587.9,20764,0.49920000000000003,41593
2021-12-07,CIGNITITEC,590.85,594.95,578.95,586.55,23794,0.5375,44268
2021-12-08,CIGNITITEC,589.45,609.0,585.0,603.8,24973,0.49729999999999996,50215
2021-12-09,CIGNITITEC,612.0,615.0,599.55,612.9,24063,0.4268,56380
2021-12-10,CIGNITITEC,612.7,621.15,584.3,601.8,63036,0.6271,100524
2021-12-13,CIGNITITEC,604.85,617.95,594.95,598.9,23417,0.6505,35999
2021-12-14,CIGNITITEC,596.7,602.55,585.0,586.5,13374,0.5135000000000001,26044
2021-12-15,CIGNITITEC,588.25,595.0,583.5,587.55,10595,0.48869999999999997,21680
2021-12-16,CIGNITITEC,591.0,598.0,574.3,582.45,23081,0.3229,71485
2021-12-17,CIGNITITEC,582.45,583.2,561.35,565.3,54248,0.35840000000000005,151351
2021-12-20,CIGNITITEC,540.0,568.1,540.0,549.1,47449,0.3147,150773
2021-12-21,CIGNITITEC,551.85,568.75,551.45,558.95,22068,0.4633,47632
2021-12-22,CIGNITITEC,561.7,580.8,533.35,565.7,62878,0.525,119757
2021-12-23,CIGNITITEC,559.8,572.75,548.15,552.8,58473,0.6493000000000001,90059
2021-12-24,CIGNITITEC,553.0,559.3,539.1,543.5,35357,0.5760000000000001,61382
2021-12-27,CIGNITITEC,545.0,557.9,536.15,549.4,22084,0.4146,53261
2021-12-28,CIGNITITEC,550.3,559.15,543.3,548.75,18965,0.6515000000000001,29111
2021-12-29,CIGNITITEC,548.5,555.9,544.0,546.6,9660,0.5183,18637
2021-12-30,CIGNITITEC,546.7,558.0,543.25,545.1,23640,0.6485,36455
