Date,symbol,open,high,low,close,deliverable volume,deliverable_percentage,volume
2021-10-12,CINELINE,127.05,130.0,122.0,125.5,37655,0.6067,62061
2021-10-13,CINELINE,130.5,130.5,124.0,124.9,28617,0.7702,37156
2021-10-14,CINELINE,122.0,127.5,122.0,123.8,29694,0.6043999999999999,49129
2021-10-18,CINELINE,124.5,129.95,124.5,127.9,95789,0.7467,128276
2021-10-19,CINELINE,131.7,131.7,121.55,123.45,66565,0.7017,94863
2021-10-20,CINELINE,121.05,123.0,117.3,121.2,61286,0.6795,90190
2021-10-21,CINELINE,120.95,124.95,115.5,116.75,15828,0.5233,30245
2021-10-22,CINELINE,122.0,122.0,111.45,115.15,30434,0.5752,52914
2021-10-25,CINELINE,110.5,114.8,109.4,112.1,67240,0.5537,121440
2021-10-26,CINELINE,112.1,115.8,110.1,112.05,12414,0.5597,22180
2021-10-27,CINELINE,110.0,114.35,110.0,113.55,110414,0.9523,115946
2021-10-28,CINELINE,114.0,119.2,113.45,114.25,52259,0.6854000000000001,76248
2021-10-29,CINELINE,115.0,115.0,108.95,111.15,32769,0.6968000000000001,47030
2021-11-01,CINELINE,111.8,114.45,110.0,111.4,12055,0.5489,21964
2021-11-02,CINELINE,109.0,112.95,109.0,110.65,6970,0.6551,10639
2021-11-03,CINELINE,110.65,112.0,105.65,107.45,25392,0.5883,43159
2021-11-04,CINELINE,109.95,109.95,103.65,107.35,6121,0.7261,8430
2021-11-08,CINELINE,107.35,111.95,105.3,106.5,16080,0.5675,28337
2021-11-09,CINELINE,108.65,110.5,101.65,105.15,23240,0.5545,41911
2021-11-10,CINELINE,102.1,110.4,102.1,110.35,28817,0.8096,35595
2021-11-11,CINELINE,111.4,111.4,106.0,106.8,13127,0.7026000000000001,18683
2021-11-12,CINELINE,111.35,111.35,105.0,108.5,11581,0.5716,20261
2021-11-15,CINELINE,111.4,111.45,103.15,105.2,10011,0.6652,15050
2021-11-16,CINELINE,104.05,104.85,102.5,103.0,9017,0.5625,16031
2021-11-17,CINELINE,103.0,104.45,100.45,102.0,6824,0.7151000000000001,9543
2021-11-18,CINELINE,100.8,103.2,96.9,97.35,60339,0.8471,71231
2021-11-22,CINELINE,101.95,101.95,95.05,96.7,25243,0.7268000000000001,34733
2021-11-23,CINELINE,96.25,99.85,96.25,98.25,4113,0.6619,6214
2021-11-24,CINELINE,97.0,100.0,97.0,98.75,10800,0.7386,14622
2021-11-25,CINELINE,102.5,102.5,94.0,96.7,27276,0.8945000000000001,30492
2021-11-26,CINELINE,95.95,95.95,91.9,93.4,79319,0.968,81938
2021-11-29,CINELINE,89.0,90.8,88.75,88.75,164057,0.7094,231250
2021-11-30,CINELINE,87.95,89.5,84.35,85.05,60237,0.615,97942
2021-12-01,CINELINE,85.1,89.3,85.0,88.7,38681,0.5945,65062
2021-12-02,CINELINE,92.0,93.1,87.1,91.85,15649,0.6835,22896
2021-12-03,CINELINE,92.9,95.0,88.25,94.15,9598,0.5878,16330
2021-12-06,CINELINE,94.15,94.3,90.15,91.0,19814,0.7733,25623
2021-12-07,CINELINE,94.5,94.5,89.2,92.1,11863,0.8179000000000001,14505
2021-12-08,CINELINE,94.9,94.9,90.65,94.65,23040,0.6809999999999999,33833
2021-12-09,CINELINE,96.4,96.4,92.3,94.05,12212,0.8215000000000001,14866
2021-12-10,CINELINE,95.25,95.25,92.15,93.2,17089,0.8278,20644
2021-12-13,CINELINE,93.5,94.0,92.0,92.95,13780,0.8365,16474
2021-12-14,CINELINE,92.8,93.1,89.65,90.65,70600,0.8537,82695
2021-12-15,CINELINE,90.65,93.0,87.45,92.3,29973,0.677,44270
2021-12-16,CINELINE,93.95,93.95,90.1,91.65,18432,0.6358,28989
2021-12-17,CINELINE,90.15,92.65,88.1,89.45,40916,0.6152000000000001,66507
2021-12-20,CINELINE,86.5,93.5,86.5,92.2,117820,0.8039000000000001,146558
2021-12-21,CINELINE,95.7,95.7,91.65,94.2,29919,0.7253000000000001,41251
2021-12-22,CINELINE,94.2,96.4,94.2,95.95,63271,0.9107,69475
2021-12-23,CINELINE,100.4,100.7,98.95,100.7,46559,0.918,50720
2021-12-24,CINELINE,105.0,105.7,97.2,99.1,72137,0.5349,134855
2021-12-27,CINELINE,95.55,103.5,95.05,99.5,22218,0.6441,34496
2021-12-28,CINELINE,102.5,102.5,96.3,97.5,32382,0.7097,45630
2021-12-29,CINELINE,100.0,100.0,96.1,96.4,20712,0.8378,24721
2021-12-30,CINELINE,96.9,100.75,94.25,98.65,25995,0.7603,34191
2021-12-31,CINELINE,98.65,99.0,93.75,95.4,40657,0.7290000000000001,55769
2022-01-03,CINELINE,95.5,97.55,93.5,94.35,16944,0.7422,22829
2022-01-04,CINELINE,97.95,97.95,94.5,95.65,9793,0.7648,12804
2022-01-05,CINELINE,93.1,97.95,93.1,95.2,11018,0.5403,20394
2022-01-06,CINELINE,93.3,97.8,93.3,96.5,20200,0.5082,39748
2022-01-07,CINELINE,99.85,99.85,96.05,96.15,20370,0.7404000000000001,27514
2022-01-10,CINELINE,98.1,98.1,93.8,94.45,13054,0.7359,17739
2022-01-11,CINELINE,94.4,96.35,93.2,94.1,15545,0.6522,23833
2022-01-12,CINELINE,94.1,95.65,93.65,94.2,10391,0.8303,12515
2022-01-13,CINELINE,94.5,95.75,92.85,94.15,41855,0.8962000000000001,46704
2022-01-14,CINELINE,92.5,95.6,92.5,93.8,10227,0.7841,13043
2022-01-17,CINELINE,91.15,93.95,89.55,90.3,31911,0.7423000000000001,42988
2022-01-18,CINELINE,92.85,94.8,90.65,92.7,43944,0.7473000000000001,58807
2022-01-19,CINELINE,92.7,92.7,90.4,91.35,22122,0.8579000000000001,25786
2022-01-20,CINELINE,92.85,94.7,91.3,93.55,10401,0.8483,12261
2022-01-21,CINELINE,91.4,94.9,90.0,91.35,13263,0.6343,20909
2022-01-24,CINELINE,93.2,93.2,87.3,88.05,14121,0.8587,173668
2022-01-25,CINELINE,88.0,89.25,86.15,88.65,14632,0.8405,17409
2022-01-27,CINELINE,86.05,90.0,84.25,87.0,93441,0.6631999999999999,140888
2022-01-28,CINELINE,85.2,91.35,85.2,91.35,74082,0.7208,102775
2022-01-31,CINELINE,94.9,95.9,91.4,95.9,50681,0.9174,55246
2022-02-01,CINELINE,99.8,99.8,94.05,97.75,43898,0.7436,59033
2022-02-02,CINELINE,98.8,102.0,95.3,99.5,92772,0.8003,115922
2022-02-03,CINELINE,99.95,100.25,98.05,99.45,104293,0.8254000000000001,126359
2022-02-04,CINELINE,99.45,101.0,96.5,99.35,62013,0.7698,80561
2022-02-07,CINELINE,100.9,109.25,98.1,109.1,211719,0.5253,403033
2022-02-08,CINELINE,113.7,120.0,109.5,119.25,249333,0.42240000000000005,590287
2022-02-09,CINELINE,118.0,119.5,114.05,116.7,107854,0.659,163668
2022-02-10,CINELINE,118.5,121.0,113.1,114.9,65337,0.6695000000000001,97592
2022-02-11,CINELINE,114.25,117.45,111.5,111.6,31540,0.7051000000000001,44734
2022-02-14,CINELINE,108.0,114.0,104.05,110.7,70003,0.6966,100486
2022-02-15,CINELINE,106.4,113.0,105.2,107.2,28142,0.6962,40423
2022-02-16,CINELINE,113.0,113.0,104.7,107.65,33983,0.6558,51820
2022-02-17,CINELINE,107.15,114.0,107.0,109.15,36958,0.2575,143512
2022-02-18,CINELINE,107.0,108.95,106.0,106.2,17329,0.8094,21411
2022-02-21,CINELINE,106.0,106.75,100.85,101.75,32186,0.7929,40591
