Date,symbol,open,high,low,close,deliverable volume,deliverable_percentage,volume
2021-09-01,COALINDIA,146.6,146.65,143.9,144.2,3308859,0.3932,8415876
2021-09-02,COALINDIA,143.8,143.8,141.2,141.6,2423444,0.31120000000000003,7787657
2021-09-03,COALINDIA,141.9,147.15,141.75,146.35,4954888,0.3891,12734022
2021-09-06,COALINDIA,147.8,147.85,144.3,146.35,2999609,0.3088,9712271
2021-09-07,COALINDIA,147.0,148.1,145.55,147.2,3840301,0.4053,9475870
2021-09-08,COALINDIA,147.35,149.85,146.3,149.15,2919454,0.37079999999999996,7873034
2021-09-09,COALINDIA,149.15,150.95,148.0,148.65,3267943,0.3433,9519564
2021-09-13,COALINDIA,149.6,155.9,149.3,154.6,11327508,0.3175,35672746
2021-09-14,COALINDIA,155.35,155.5,153.35,154.7,3172869,0.3604,8804432
2021-09-15,COALINDIA,155.5,162.25,154.25,161.05,10351755,0.42090000000000005,24591822
2021-09-16,COALINDIA,162.15,163.0,157.55,162.3,6025100,0.32670000000000005,18440504
2021-09-17,COALINDIA,162.7,163.3,155.4,156.7,7106562,0.4104,17317065
2021-09-20,COALINDIA,155.9,157.55,152.8,154.2,4664138,0.3719,12541523
2021-09-21,COALINDIA,155.7,158.0,153.45,156.4,3071680,0.22510000000000002,13645046
2021-09-22,COALINDIA,157.25,162.5,155.0,162.1,5574049,0.29550000000000004,18861877
2021-09-23,COALINDIA,163.75,170.0,163.1,167.35,9003122,0.2867,31399318
2021-09-24,COALINDIA,168.1,169.45,162.9,166.1,6637794,0.3846,17259638
2021-09-27,COALINDIA,167.0,169.15,165.35,167.05,2673484,0.2938,9099672
2021-09-28,COALINDIA,168.5,176.3,168.15,174.55,9404350,0.2263,41551332
2021-09-29,COALINDIA,174.5,197.0,172.8,185.7,19129908,0.1894,100988643
2021-09-30,COALINDIA,187.6,191.5,184.1,185.1,12837301,0.2622,48957916
2021-10-01,COALINDIA,185.4,189.9,182.4,188.7,6074541,0.23829999999999998,25492957
2021-10-04,COALINDIA,192.5,193.35,188.3,189.95,6285006,0.2693,23341448
2021-10-05,COALINDIA,191.0,198.9,190.4,197.95,10760067,0.254,42359592
2021-10-06,COALINDIA,200.0,203.8,191.7,192.85,10911304,0.2602,41926821
2021-10-07,COALINDIA,194.75,194.95,189.25,190.7,5010088,0.3033,16517664
2021-10-08,COALINDIA,191.1,191.7,184.1,188.45,8610610,0.29710000000000003,28978175
2021-10-11,COALINDIA,192.0,199.7,191.65,196.85,8604943,0.2462,34952223
2021-10-12,COALINDIA,199.2,201.0,191.25,193.3,7037086,0.2791,25216411
2021-10-13,COALINDIA,194.0,194.55,189.35,190.05,7255892,0.4175,17378156
2021-10-14,COALINDIA,190.0,191.8,182.3,183.8,10358287,0.3506,29542941
2021-10-18,COALINDIA,184.8,187.75,183.4,185.3,5047322,0.32630000000000003,15468914
2021-10-19,COALINDIA,187.3,188.95,183.6,184.5,5019465,0.2884,17403803
2021-10-20,COALINDIA,182.7,183.4,177.4,180.5,4126988,0.25920000000000004,15921230
2021-10-21,COALINDIA,182.0,183.0,178.9,182.4,5333611,0.3422,15586097
2021-10-22,COALINDIA,183.4,184.3,175.3,175.9,4287364,0.3152,13603152
2021-10-25,COALINDIA,176.25,177.25,173.0,174.1,3702698,0.3153,11744666
2021-10-26,COALINDIA,173.0,176.0,171.75,175.05,5396185,0.4651,11602891
2021-10-27,COALINDIA,175.7,176.65,172.8,173.6,3326317,0.34880000000000005,9535881
2021-10-28,COALINDIA,173.0,173.0,165.95,166.55,13964438,0.5698,24509136
2021-10-29,COALINDIA,165.0,169.5,163.3,164.45,5993583,0.4042,14826816
2021-11-01,COALINDIA,165.0,171.95,163.8,170.75,5421092,0.399,13585170
2021-11-02,COALINDIA,171.45,173.75,168.35,169.2,4810481,0.3369,14278962
2021-11-03,COALINDIA,168.2,171.1,167.35,169.75,3332807,0.3714,8974463
2021-11-04,COALINDIA,171.2,171.4,169.75,170.7,515575,0.5297,973260
2021-11-08,COALINDIA,171.0,174.2,168.5,171.7,3230780,0.36869999999999997,8761953
2021-11-09,COALINDIA,172.05,172.4,169.6,170.5,2571031,0.44920000000000004,5723308
2021-11-10,COALINDIA,169.9,170.85,166.45,166.7,3592473,0.39,9212143
2021-11-11,COALINDIA,165.9,167.65,165.2,167.0,1962135,0.3041,6453205
2021-11-12,COALINDIA,168.85,168.85,165.7,166.95,2159168,0.3072,7027513
2021-11-15,COALINDIA,164.25,167.6,159.5,159.75,6575384,0.33890000000000003,19400018
