Date,symbol,open,high,low,close,deliverable volume,deliverable_percentage,volume
2021-09-01,COROMANDEL,792.5,802.9,789.05,794.95,121545,0.3214,378137
2021-09-02,COROMANDEL,794.95,819.1,794.95,801.45,434363,0.45130000000000003,962376
2021-09-03,COROMANDEL,803.5,808.25,791.55,799.25,160472,0.4108,390599
2021-09-06,COROMANDEL,806.9,806.9,792.1,797.65,75052,0.37,202824
2021-09-07,COROMANDEL,798.65,801.8,786.9,788.65,109843,0.48590000000000005,226039
2021-09-08,COROMANDEL,790.1,793.7,779.15,789.1,93173,0.2934,317531
2021-09-09,COROMANDEL,789.1,829.7,789.1,814.4,290036,0.1336,2171045
2021-09-13,COROMANDEL,821.5,839.6,807.05,835.05,246637,0.2585,954243
2021-09-14,COROMANDEL,834.5,835.95,821.65,827.2,76097,0.29460000000000003,258280
2021-09-15,COROMANDEL,827.15,835.95,825.1,831.35,586463,0.8133,721095
2021-09-16,COROMANDEL,831.35,845.35,830.75,833.5,528177,0.6496,813103
2021-09-17,COROMANDEL,833.35,836.95,802.4,807.6,368735,0.6052000000000001,609235
2021-09-20,COROMANDEL,805.0,814.65,785.0,793.5,865353,0.7173999999999999,1206318
2021-09-21,COROMANDEL,787.0,808.55,782.0,806.3,115740,0.2411,480093
2021-09-22,COROMANDEL,806.1,825.6,806.1,818.75,127502,0.33880000000000005,376351
2021-09-23,COROMANDEL,824.85,833.45,802.75,806.15,368695,0.5044,730935
2021-09-24,COROMANDEL,807.6,827.75,782.7,807.4,663479,0.3208,2068309
2021-09-27,COROMANDEL,807.75,815.3,793.5,797.15,532359,0.6545000000000001,813403
2021-09-28,COROMANDEL,798.0,806.65,785.2,799.0,454371,0.5649000000000001,804322
2021-09-29,COROMANDEL,791.6,814.95,788.0,797.15,457265,0.5336,856874
2021-09-30,COROMANDEL,801.3,808.0,791.5,794.45,119202,0.4044,294773
2021-10-01,COROMANDEL,790.8,802.0,788.1,799.9,70544,0.2989,236040
2021-10-04,COROMANDEL,802.0,811.0,798.15,800.9,174318,0.47880000000000006,364074
2021-10-05,COROMANDEL,800.0,830.0,799.3,827.05,383002,0.4336,883386
2021-10-06,COROMANDEL,831.0,865.0,829.2,857.0,422068,0.3308,1275895
2021-10-07,COROMANDEL,870.0,874.9,841.5,857.8,416420,0.2866,1452929
2021-10-08,COROMANDEL,858.0,879.8,844.8,859.15,873019,0.5379,1623091
2021-10-11,COROMANDEL,859.8,876.75,850.8,856.9,168374,0.4167,404050
2021-10-12,COROMANDEL,841.0,886.4,841.0,852.8,513422,0.4204,1221391
2021-10-13,COROMANDEL,859.95,882.65,856.8,869.6,340215,0.4495,756920
2021-10-14,COROMANDEL,871.8,887.95,860.5,863.2,106236,0.2061,515540
