Date,symbol,open,high,low,close,deliverable volume,deliverable_percentage,volume
2021-09-01,CUMMINSIND,1000.0,1015.95,996.05,1005.95,239230,0.3661,653535
2021-09-02,CUMMINSIND,1010.0,1043.8,1007.35,1040.3,362911,0.2489,1457864
2021-09-03,CUMMINSIND,1045.75,1049.4,1017.65,1025.95,433098,0.46880000000000005,923886
2021-09-06,CUMMINSIND,1025.0,1049.9,1021.0,1047.3,148290,0.2557,579889
2021-09-07,CUMMINSIND,1054.0,1064.45,1034.0,1039.45,295365,0.23940000000000003,1233627
2021-09-08,CUMMINSIND,1039.95,1057.45,1033.0,1041.55,194879,0.3031,643045
2021-09-09,CUMMINSIND,1033.1,1064.25,1033.1,1044.0,651898,0.5331,1222854
2021-09-13,CUMMINSIND,1050.0,1055.0,1035.0,1044.15,154519,0.34450000000000003,448594
2021-09-14,CUMMINSIND,1045.0,1049.3,1026.75,1038.65,215833,0.4483,481487
2021-09-15,CUMMINSIND,1041.9,1050.65,1037.7,1041.3,181348,0.4608,393516
2021-09-16,CUMMINSIND,1040.15,1048.95,1025.05,1032.05,234584,0.5147999999999999,455660
2021-09-17,CUMMINSIND,1039.0,1041.15,996.75,1007.7,471878,0.5218,904354
2021-09-20,CUMMINSIND,1007.7,1022.5,976.05,984.2,270993,0.4056,668143
2021-09-21,CUMMINSIND,992.5,1007.1,968.65,990.65,170556,0.284,600629
2021-09-22,CUMMINSIND,993.1,1026.35,987.55,1022.2,227229,0.3196,710873
2021-09-23,CUMMINSIND,1030.7,1039.3,1015.0,1027.8,87125,0.1916,454649
2021-09-24,CUMMINSIND,1030.0,1041.25,990.6,994.8,204910,0.3841,533414
2021-09-27,CUMMINSIND,1004.05,1004.9,983.15,998.4,87464,0.2607,335525
2021-09-28,CUMMINSIND,997.05,1023.0,995.0,1001.5,122662,0.2798,438399
2021-09-29,CUMMINSIND,1003.75,1011.95,993.0,996.95,77472,0.2863,270602
2021-09-30,CUMMINSIND,932.0,1000.0,932.0,991.95,239919,0.3221,744956
2021-10-01,CUMMINSIND,987.8,987.8,878.15,918.1,3652591,0.40159999999999996,9096073
