Date,symbol,open,high,low,close,deliverable volume,deliverable_percentage,volume
2021-09-01,DATAMATICS,316.8,335.0,313.0,325.5,159581,0.33659999999999995,474162
2021-09-02,DATAMATICS,327.45,327.45,316.95,319.6,178840,0.6425,278361
2021-09-03,DATAMATICS,320.6,322.7,310.0,312.85,79091,0.6075,130192
2021-09-06,DATAMATICS,312.8,319.6,311.0,312.4,60041,0.4781,125589
2021-09-07,DATAMATICS,314.45,316.4,302.15,307.2,95176,0.4829,197108
2021-09-08,DATAMATICS,309.6,325.0,305.15,321.7,139429,0.3643,382689
2021-09-09,DATAMATICS,324.0,326.0,315.0,316.55,72188,0.5574,129516
2021-09-13,DATAMATICS,318.7,318.95,307.0,309.05,92617,0.5908,156762
2021-09-14,DATAMATICS,311.0,313.1,307.0,308.55,69358,0.5513,125800
2021-09-15,DATAMATICS,311.9,329.0,311.0,316.75,175711,0.4186,419762
2021-09-16,DATAMATICS,318.0,319.95,311.15,312.7,87944,0.6834,128695
2021-09-17,DATAMATICS,313.1,316.0,296.15,304.55,102899,0.5811000000000001,177076
2021-09-20,DATAMATICS,301.0,318.45,300.05,308.15,112454,0.2859,393287
2021-09-21,DATAMATICS,305.0,308.65,294.0,300.6,130600,0.5643,231433
2021-09-22,DATAMATICS,303.4,307.0,302.05,303.3,74938,0.6048,123896
2021-09-23,DATAMATICS,306.2,313.9,303.1,304.15,92725,0.4747,195343
2021-09-24,DATAMATICS,312.0,315.0,304.65,306.8,88584,0.5023,176365
2021-09-27,DATAMATICS,309.0,322.8,303.95,305.55,135015,0.37479999999999997,360207
2021-09-28,DATAMATICS,306.3,308.15,300.1,303.45,72813,0.56,130027
2021-09-29,DATAMATICS,301.45,309.85,298.0,304.35,53650,0.3517,152561
2021-09-30,DATAMATICS,310.0,312.0,301.1,302.7,50296,0.47130000000000005,106720
2021-10-01,DATAMATICS,301.9,305.0,298.55,300.85,57253,0.5147,111225
2021-10-04,DATAMATICS,303.0,312.45,302.0,304.55,94856,0.45420000000000005,208861
2021-10-05,DATAMATICS,305.4,326.0,305.0,322.85,416658,0.5354,778148
2021-10-06,DATAMATICS,326.0,340.0,324.0,328.3,356773,0.44380000000000003,803960
2021-10-07,DATAMATICS,332.4,337.8,319.5,322.8,160914,0.48840000000000006,329485
2021-10-08,DATAMATICS,324.95,371.2,321.05,364.55,683319,0.2683,2546710
2021-10-11,DATAMATICS,366.7,366.7,349.7,354.55,202337,0.3944,513065
