Date,symbol,open,high,low,close,deliverable volume,deliverable_percentage,volume
2021-09-20,DEEPAKFERT,430.0,430.0,408.6,410.35,149356,0.7429000000000001,201038
2021-09-21,DEEPAKFERT,408.0,408.0,393.0,405.5,156904,0.7484000000000001,209657
2021-09-22,DEEPAKFERT,402.0,419.5,402.0,409.5,107406,0.674,159349
2021-09-23,DEEPAKFERT,415.0,418.9,405.0,408.85,85273,0.5941,143541
2021-09-24,DEEPAKFERT,412.0,429.25,407.05,423.85,317200,0.3971,798749
2021-09-27,DEEPAKFERT,427.0,427.8,411.9,414.3,332566,0.6401000000000001,519536
2021-09-28,DEEPAKFERT,417.4,419.65,402.7,409.35,136904,0.6159,222272
2021-09-29,DEEPAKFERT,408.7,415.3,403.5,408.35,121279,0.5034000000000001,240925
2021-09-30,DEEPAKFERT,412.65,415.4,406.1,407.35,112577,0.7615999999999999,147821
2021-10-01,DEEPAKFERT,407.4,422.0,401.35,415.65,213312,0.3829,557118
2021-10-04,DEEPAKFERT,428.0,430.0,415.5,419.75,299368,0.6024,496986
2021-10-05,DEEPAKFERT,425.0,426.35,419.0,421.65,375785,0.6371,589882
2021-10-06,DEEPAKFERT,423.9,428.7,409.3,415.35,322041,0.6207,518876
2021-10-07,DEEPAKFERT,422.3,425.4,418.2,421.7,324142,0.7234999999999999,448017
2021-10-08,DEEPAKFERT,424.9,425.4,415.0,420.45,221817,0.5587,396997
2021-10-11,DEEPAKFERT,419.8,423.15,411.35,413.35,160226,0.7229000000000001,221656
2021-10-12,DEEPAKFERT,414.4,418.0,408.1,414.15,165665,0.6558,252606
2021-10-13,DEEPAKFERT,419.0,422.0,410.2,414.55,175006,0.6736,259822
2021-10-14,DEEPAKFERT,419.95,435.25,417.3,421.0,916935,0.6101,1502968
2021-10-18,DEEPAKFERT,424.9,450.6,423.0,440.7,968610,0.6985,1386721
2021-10-19,DEEPAKFERT,450.0,450.0,425.0,433.15,546547,0.7101999999999999,769563
2021-10-20,DEEPAKFERT,434.9,438.6,411.1,418.65,461515,0.6954000000000001,663655
2021-10-21,DEEPAKFERT,423.3,424.9,409.0,419.75,558454,0.7181000000000001,777697
2021-10-22,DEEPAKFERT,421.0,421.0,407.2,409.0,187574,0.5663,331248
2021-10-25,DEEPAKFERT,420.0,420.8,394.0,418.8,391530,0.6384000000000001,613297
2021-10-26,DEEPAKFERT,420.4,420.4,405.25,412.45,179054,0.6342,282317
2021-10-27,DEEPAKFERT,413.95,419.9,412.15,414.55,103244,0.6468,159611
2021-10-28,DEEPAKFERT,416.7,418.0,406.1,408.85,120491,0.5438000000000001,221552
2021-10-29,DEEPAKFERT,411.35,411.35,399.1,403.3,186144,0.6551,284163
2021-11-01,DEEPAKFERT,409.65,416.0,405.35,408.05,226181,0.7937000000000001,284955
2021-11-02,DEEPAKFERT,408.95,410.75,403.0,407.7,81411,0.6533,124622
2021-11-03,DEEPAKFERT,409.6,409.8,400.6,401.8,81465,0.6865000000000001,118663
2021-11-04,DEEPAKFERT,402.2,410.0,402.2,408.35,59658,0.7985,74714
2021-11-08,DEEPAKFERT,410.0,411.9,404.0,407.25,85363,0.625,136570
2021-11-09,DEEPAKFERT,409.95,409.95,402.0,404.05,207252,0.7602,272623
2021-11-10,DEEPAKFERT,403.0,405.8,397.0,397.85,215108,0.8016,268350
2021-11-11,DEEPAKFERT,395.0,402.0,384.45,396.8,119633,0.5613,213154
2021-11-12,DEEPAKFERT,402.0,406.0,392.5,397.2,267899,0.5818,460448
2021-11-15,DEEPAKFERT,393.0,395.8,375.0,383.65,376579,0.6487,580519
2021-11-16,DEEPAKFERT,387.0,393.7,378.35,382.15,223882,0.7198000000000001,311032
2021-11-17,DEEPAKFERT,382.95,387.35,375.0,377.65,210144,0.7663,274222
2021-11-18,DEEPAKFERT,378.0,381.4,359.1,371.1,232699,0.6705,347066
2021-11-22,DEEPAKFERT,370.0,379.0,345.25,352.4,352733,0.6596,534748
2021-11-23,DEEPAKFERT,345.15,363.65,343.55,357.4,170473,0.6301,270567
2021-11-24,DEEPAKFERT,361.25,367.95,350.1,351.95,133429,0.6831999999999999,195303
2021-11-25,DEEPAKFERT,356.0,387.1,356.0,382.5,243680,0.6048,402877
2021-11-26,DEEPAKFERT,378.8,383.0,365.0,366.6,201816,0.6739,299472
2021-11-29,DEEPAKFERT,370.0,372.65,346.75,355.3,161751,0.6970000000000001,232065
